component,explained_variance_ratio,cumulative_explained_variance,meets_variance_threshold
1,0.5185194661071714,0.5185194661071714,False
2,0.2034321532027727,0.721951619309944,False
3,0.1514806895753256,0.8734323088852696,True
4,0.06208671682482066,0.9355190257100903,True
5,0.03762549441606,0.9731445201261503,True
6,0.012284888966069597,0.9854294090922199,True
7,0.009421852645017999,0.9948512617372379,True
8,0.003655178237241913,0.9985064399744799,True
9,0.0012847713737347566,0.9997912113482146,True
10,0.00020878865178532117,0.9999999999999999,True
