feature_left,feature_left_label,feature_right,feature_right_label,pearson_r,abs_pearson_r
tau_p_div_u_r,$\tau_p/u_r$,tau_r_div_u_r,$\tau_r/u_r$,0.977063051278615,0.977063051278615
tau_r_MPa,$\tau_r$ (MPa),tau_p_x_tau_r,$\tau_p \tau_r$,0.9701755913336233,0.9701755913336233
tau_p_div_u_p,$\tau_p/u_p$,tau_r_div_u_p,$\tau_r/u_p$,0.9608298314129828,0.9608298314129828
tau_r_MPa,$\tau_r$ (MPa),tau_r_div_u_r,$\tau_r/u_r$,0.9250004334465205,0.9250004334465205
tau_r_MPa,$\tau_r$ (MPa),tau_p_div_u_r,$\tau_p/u_r$,0.8890867811473789,0.8890867811473789
tau_p_x_tau_r,$\tau_p \tau_r$,tau_r_div_u_r,$\tau_r/u_r$,0.8650454824051916,0.8650454824051916
tau_p_div_u_r,$\tau_p/u_r$,tau_p_x_tau_r,$\tau_p \tau_r$,0.842083730665955,0.842083730665955
tau_r_div_u_p,$\tau_r/u_p$,tau_p_div_u_r,$\tau_p/u_r$,0.7637767299066998,0.7637767299066998
tau_r_div_u_p,$\tau_r/u_p$,tau_r_div_u_r,$\tau_r/u_r$,0.736727683636612,0.736727683636612
tau_p_div_u_p,$\tau_p/u_p$,tau_p_div_u_r,$\tau_p/u_r$,0.7338852587241175,0.7338852587241175
u_r_mm,$u_r$ (mm),u_r_x_u_p,$u_r u_p$,0.7282790865795714,0.7282790865795714
tau_p_div_u_p,$\tau_p/u_p$,tau_r_div_u_r,$\tau_r/u_r$,0.653624547679969,0.653624547679969
tau_r_MPa,$\tau_r$ (MPa),tau_r_div_u_p,$\tau_r/u_p$,0.6099415895272476,0.6099415895272476
tau_r_div_u_p,$\tau_r/u_p$,tau_p_x_tau_r,$\tau_p \tau_r$,0.5475300927563836,0.5475300927563836
tau_p_div_u_p,$\tau_p/u_p$,tau_r_MPa,$\tau_r$ (MPa),0.5223372030181739,0.5223372030181739
tau_r_div_tau_p,$\tau_r/\tau_p$,u_p_div_u_r,$u_p/u_r$,0.5209717724806062,0.5209717724806062
tau_p_div_u_p,$\tau_p/u_p$,tau_p_x_tau_r,$\tau_p \tau_r$,0.4815461668326793,0.4815461668326793
tau_r_div_tau_p,$\tau_r/\tau_p$,tau_r_MPa,$\tau_r$ (MPa),0.47837147138899705,0.47837147138899705
tau_r_div_tau_p,$\tau_r/\tau_p$,tau_r_div_u_r,$\tau_r/u_r$,0.4768811025011947,0.4768811025011947
u_p_div_u_r,$u_p/u_r$,tau_r_MPa,$\tau_r$ (MPa),0.3948970922072041,0.3948970922072041
tau_r_div_tau_p,$\tau_r/\tau_p$,tau_p_x_tau_r,$\tau_p \tau_r$,0.39014139832504324,0.39014139832504324
tau_r_div_tau_p,$\tau_r/\tau_p$,tau_p_div_u_r,$\tau_p/u_r$,0.368430590417787,0.368430590417787
u_p_div_u_r,$u_p/u_r$,tau_p_x_tau_r,$\tau_p \tau_r$,0.3625276761999652,0.3625276761999652
u_p_div_u_r,$u_p/u_r$,tau_r_div_u_r,$\tau_r/u_r$,0.3484196806793959,0.3484196806793959
u_r_mm,$u_r$ (mm),tau_p_div_u_r,$\tau_p/u_r$,-0.28718593221224764,0.28718593221224764
u_p_div_u_r,$u_p/u_r$,tau_p_div_u_r,$\tau_p/u_r$,0.27969309487726485,0.27969309487726485
u_r_mm,$u_r$ (mm),tau_r_div_u_r,$\tau_r/u_r$,-0.2778825437174195,0.2778825437174195
u_r_mm,$u_r$ (mm),tau_r_div_u_p,$\tau_r/u_p$,-0.26738655598990496,0.26738655598990496
u_r_mm,$u_r$ (mm),tau_p_div_u_p,$\tau_p/u_p$,-0.2666114761985562,0.2666114761985562
u_p_div_u_r,$u_p/u_r$,tau_p_div_u_p,$\tau_p/u_p$,-0.26383112464550273,0.26383112464550273
tau_r_div_tau_p,$\tau_r/\tau_p$,tau_r_div_u_p,$\tau_r/u_p$,0.24847453005492554,0.24847453005492554
u_r_x_u_p,$u_r u_p$,tau_p_div_u_p,$\tau_p/u_p$,-0.21671158221066306,0.21671158221066306
u_r_x_u_p,$u_r u_p$,tau_r_div_u_p,$\tau_r/u_p$,-0.20778894163640968,0.20778894163640968
u_p_div_u_r,$u_p/u_r$,u_r_x_u_p,$u_r u_p$,0.19278576846561488,0.19278576846561488
tau_r_div_tau_p,$\tau_r/\tau_p$,u_r_mm,$u_r$ (mm),-0.19175907261034214,0.19175907261034214
u_p_div_u_r,$u_p/u_r$,tau_r_div_u_p,$\tau_r/u_p$,-0.1899222655113357,0.1899222655113357
u_r_x_u_p,$u_r u_p$,tau_p_div_u_r,$\tau_p/u_r$,-0.16222036841095014,0.16222036841095014
u_r_x_u_p,$u_r u_p$,tau_r_div_u_r,$\tau_r/u_r$,-0.14636724013668195,0.14636724013668195
u_p_div_u_r,$u_p/u_r$,u_r_mm,$u_r$ (mm),-0.1360928959557851,0.1360928959557851
