sample_id,log_e_minus_c_csds,tau_r_div_tau_p,u_p_div_u_r,u_r_mm,u_r_x_u_p,tau_p_div_u_p,tau_r_MPa,tau_r_div_u_p,tau_p_div_u_r,tau_p_x_tau_r,tau_r_div_u_r
7,0.48431354515063785,0.7215909090909092,0.2618181818181818,2.75,1.98,0.06111111111111111,0.03175,0.044097222222222225,0.016,0.001397,0.011545454545454546
8,0.29363052520784333,0.807142857142857,0.3066666666666667,3.0,2.7600000000000002,0.03804347826086957,0.02825,0.030706521739130434,0.011666666666666667,0.00098875,0.009416666666666667
9,0.4846179014595435,0.8793103448275861,0.3233333333333333,3.0,2.91,0.029896907216494847,0.0255,0.026288659793814433,0.009666666666666667,0.0007395,0.008499999999999999
11,0.9462720247769796,0.834999999999998,0.22285714285714286,3.5,2.73,0.06410256410256411,0.0417499999999999,0.05352564102564089,0.014285714285714287,0.002087499999999995,0.0119285714285714
12,-0.06376772915435422,0.8500000000000001,0.35714285714285715,3.5,4.375,0.032,0.034,0.027200000000000002,0.011428571428571429,0.00136,0.009714285714285715
13,-0.16570760823730377,0.9428571428571428,0.45,4.0,7.2,0.019444444444444445,0.033,0.018333333333333333,0.00875,0.0011550000000000002,0.00825
15,0.6702665023864627,0.8932853717026379,0.15619047619047619,10.5,17.22,2.5426829268292686,3.725,2.2713414634146343,0.39714285714285713,15.53325,0.3547619047619048
16,0.9939755601218256,0.9580536912751678,0.15333333333333335,10.5,16.905,8.329192546583851,12.8475,7.979813664596273,1.2771428571428571,172.284975,1.2235714285714285
17,0.10012331976009699,0.9522849462365591,0.26285714285714284,10.5,28.979999999999997,1.347826086956522,3.5425,1.2835144927536233,0.3542857142857143,13.1781,0.3373809523809524
18,0.39052384368238957,0.9894590294351631,0.29238095238095235,10.5,32.235,4.094462540716613,12.4375,4.051302931596092,1.197142857142857,156.339375,1.1845238095238095
19,0.6742239092949024,0.8357843137254902,0.12916666666666668,12.0,18.6,0.6580645161290323,0.8525,0.55,0.085,0.86955,0.07104166666666667
20,0.185696609168175,0.6742217898832686,0.1425,12.0,20.52,1.502923976608187,1.7327500000000002,1.0133040935672517,0.21416666666666664,4.4531675,0.14439583333333336
21,0.2856673506816134,0.7065073041168659,0.13916666666666666,12.0,20.04,4.508982035928144,5.32,3.1856287425149703,0.6275000000000001,40.0596,0.44333333333333336
22,1.0498778759039376,0.9656837824097608,0.13916666666666666,12.0,20.04,11.778443113772457,18.994999999999997,11.374251497005988,1.6391666666666669,373.63165,1.5829166666666665
23,1.7670699826005132,0.8850710900473934,0.0525,16.0,13.44,10.047619047619047,7.47,8.892857142857142,0.5275,63.0468,0.466875
24,0.9895201476238747,0.9566929133858267,0.113125,16.0,28.96,4.209944751381215,7.29,4.027624309392265,0.47625,55.5498,0.455625
27,0.5530110362976527,0.8117021276595744,0.2676923076923077,3.25,2.8275,2.7011494252873565,1.9075,2.192528735632184,0.7230769230769231,4.4826250000000005,0.5869230769230769
28,3.0016161172217757,0.6544117647058824,0.09811320754716982,1.325,0.17225,7.846153846153846,0.6675,5.134615384615384,0.769811320754717,0.68085,0.5037735849056604
29,1.2400999665735735,0.8717038539553754,0.24742268041237114,2.425,1.4549999999999998,8.216666666666667,4.2975,7.1625000000000005,2.0329896907216494,21.186675,1.7721649484536086
30,-1.1094758508228293,0.913561392791692,0.5636363636363636,3.85,8.3545,7.5437788018433185,14.955,6.891705069124424,4.251948051948052,244.81335,3.8844155844155845
31,1.9818434226035115,0.7196969696969696,0.18823529411764706,1.275,0.306,2.7500000000000004,0.475,1.9791666666666667,0.5176470588235295,0.3135,0.37254901960784315
32,2.428665515246472,0.8901273885350318,0.13793103448275862,2.175,0.6525,15.700000000000001,4.1925,13.975,2.1655172413793107,19.746675,1.927586206896552
33,-2.33225893682785,0.7030669144981413,0.5478787878787879,4.125,9.3225,7.141592920353983,11.3475,5.021017699115045,3.912727272727273,183.14865,2.750909090909091
34,0.4279792397101451,0.6518691588785046,0.3081967213114754,1.525,0.7167499999999999,2.276595744680851,0.6975,1.4840425531914894,0.7016393442622951,0.746325,0.4573770491803279
35,1.5974907035973078,0.8655804480651731,0.2136363636363636,2.2,1.034,10.446808510638299,4.25,9.042553191489363,2.231818181818182,20.8675,1.9318181818181817
36,0.30217614092236117,0.954728370221328,0.4082758620689655,3.625,5.365,10.074324324324325,14.235,9.618243243243242,4.113103448275862,212.24384999999998,3.9268965517241377
37,3.2395512220014395,0.6320224719101124,0.08301886792452831,1.325,0.14575,8.090909090909092,0.5625,5.113636363636363,0.6716981132075472,0.500625,0.42452830188679247
38,2.3743375391439097,0.7735849056603773,0.11954022988505748,2.175,0.5655,20.384615384615383,4.1,15.769230769230766,2.4367816091954024,21.729999999999997,1.8850574712643677
