dataset,target,target_label,feature,feature_label,frequency,pearson_r,abs_pearson_r,output_file
FULL,log_e_minus_c_csds,$\log(e - c)$,tau_r_div_tau_p,$\tau_r/\tau_p$,30,-0.1714107457393718,0.1714107457393718,/Users/hariderarako/Desktop/python/results/final-results/recurrent-variables/scatter_log_e_minus_c/log_e_minus_c_vs_tau_r_div_tau_p.png
FULL,log_e_minus_c_csds,$\log(e - c)$,u_p_div_u_r,$u_p/u_r$,30,-0.7766042234085282,0.7766042234085282,/Users/hariderarako/Desktop/python/results/final-results/recurrent-variables/scatter_log_e_minus_c/log_e_minus_c_vs_u_p_div_u_r.png
FULL,log_e_minus_c_csds,$\log(e - c)$,u_r_mm,$u_r$ (mm),30,-0.3419800085629027,0.3419800085629027,/Users/hariderarako/Desktop/python/results/final-results/recurrent-variables/scatter_log_e_minus_c/log_e_minus_c_vs_u_r_mm.png
FULL,log_e_minus_c_csds,$\log(e - c)$,u_r_x_u_p,$u_r u_p$,30,-0.4909199863397779,0.4909199863397779,/Users/hariderarako/Desktop/python/results/final-results/recurrent-variables/scatter_log_e_minus_c/log_e_minus_c_vs_u_r_x_u_p.png
FULL,log_e_minus_c_csds,$\log(e - c)$,tau_p_div_u_p,$\tau_p/u_p$,5,0.4171109066434305,0.4171109066434305,/Users/hariderarako/Desktop/python/results/final-results/recurrent-variables/scatter_log_e_minus_c/log_e_minus_c_vs_tau_p_div_u_p.png
FULL,log_e_minus_c_csds,$\log(e - c)$,tau_r_MPa,$\tau_r$ (MPa),4,-0.24413398342389042,0.24413398342389042,/Users/hariderarako/Desktop/python/results/final-results/recurrent-variables/scatter_log_e_minus_c/log_e_minus_c_vs_tau_r_MPa.png
FULL,log_e_minus_c_csds,$\log(e - c)$,tau_r_div_u_p,$\tau_r/u_p$,3,0.3653319854691511,0.3653319854691511,/Users/hariderarako/Desktop/python/results/final-results/recurrent-variables/scatter_log_e_minus_c/log_e_minus_c_vs_tau_r_div_u_p.png
FULL,log_e_minus_c_csds,$\log(e - c)$,tau_p_div_u_r,$\tau_p/u_r$,2,-0.06979303331601612,0.06979303331601612,/Users/hariderarako/Desktop/python/results/final-results/recurrent-variables/scatter_log_e_minus_c/log_e_minus_c_vs_tau_p_div_u_r.png
FULL,log_e_minus_c_csds,$\log(e - c)$,tau_p_x_tau_r,$\tau_p \tau_r$,2,-0.2582375978370436,0.2582375978370436,/Users/hariderarako/Desktop/python/results/final-results/recurrent-variables/scatter_log_e_minus_c/log_e_minus_c_vs_tau_p_x_tau_r.png
FULL,log_e_minus_c_csds,$\log(e - c)$,tau_r_div_u_r,$\tau_r/u_r$,2,-0.10963567445010736,0.10963567445010736,/Users/hariderarako/Desktop/python/results/final-results/recurrent-variables/scatter_log_e_minus_c/log_e_minus_c_vs_tau_r_div_u_r.png
