lambda,n_components,degree,rows_train,rows_val,rows_test,cv_rmse_mean_z,cv_rmse_std_z,cv_r2_mean_z,cv_r2_std_z,R2_val_z,RMSE_val_z,R2_val_e_gap,RMSE_val_e_gap,R2_val_e,RMSE_val_e,RMSE_val_tau_u,R2_val_tau_u,Valid_curve_count_val,R2_test_z,RMSE_test_z,R2_test_e_gap,RMSE_test_e_gap,R2_test_e,RMSE_test_e,RMSE_test_tau_u,R2_test_tau_u,Valid_curve_count_test
0.0001,5,2,191,48,60,0.40026710403765897,0.4511434525795498,0.8303419407424114,0.40733693581759745,0.9323732012104237,0.41181210914544164,0.5817401353621865,6.202112514559308,0.5986318067266905,6.202112514559308,0.09687616382854541,0.9994808391279851,48,0.8415299965021958,0.5920497605419325,0.9425889387671281,1.4024045172817186,0.9530795388383179,1.4024045172817186,0.32833176148665777,0.9961251255954918,60
0.00021544346900318845,5,2,191,48,60,0.4002713154564228,0.4511600319098576,0.830333698786314,0.4073629691217446,0.9323718277194232,0.41181629104791256,0.5817330659124946,6.2021649285498,0.5986250227808946,6.202164928549801,0.09687749566573345,0.9994808248532145,48,0.8415352368734781,0.5920399713510951,0.942588059131676,1.4024152608560398,0.9530788199367651,1.4024152608560398,0.32832161138435906,0.9961253651688032,60
0.00046415888336127773,5,2,191,48,60,0.400280386624935,0.4511957401158395,0.8303159463014846,0.4074190422236723,0.9323688698270258,0.41182529687282476,0.5817178382821895,6.20227782704517,0.5986104101274221,6.202277827045171,0.09688036339494795,0.9994807941159259,48,0.8415465232313889,0.5920188875029752,0.9425861634919221,1.402438413288579,0.9530772706831973,1.4024384132885792,0.3282997491928299,0.9961258811579162,60
0.001,5,2,191,48,60,0.4002999203249674,0.4512726207060768,0.8302777195245176,0.4075397834132818,0.9323625028232172,0.4118446816703055,0.5816850454263567,6.202520948118686,0.5985789416304166,6.2025209481186865,0.09688653418905566,0.9994807279721888,48,0.8415708218976665,0.5919734930401824,0.9425820770374018,1.4024883219793147,0.9530739309377458,1.4024883219793147,0.3282526742117034,0.9961269920999531,60
0.002154434690031882,5,2,191,48,60,0.400341960255257,0.45143802179645925,0.830195453964472,0.4077996134667056,0.9323488113644385,0.4118863632034168,0.5816144605204918,6.203044221176044,0.5985112073376131,6.203044221176044,0.0968997938664944,0.9994805858296133,48,0.8416230928771611,0.5918758292531575,0.9425732618270362,1.4025959778685322,0.9530667265118615,1.4025959778685322,0.32815137308799086,0.9961293822069882,60
0.004641588833612777,5,2,191,48,60,0.4004323289046603,0.45179329401188306,0.8300186397580696,0.4083580236900545,0.9323194331807323,0.411975786316939,0.5814626905194222,6.204169201102324,0.5983655666575658,6.204169201102324,0.09692820007426518,0.9994802812520923,48,0.8417353435114614,0.5916660442068171,0.9425542183240352,1.402828518733212,0.9530511627873153,1.402828518733212,0.32793367450589384,0.9961345161090283,60
0.01,5,2,191,48,60,0.40062608980123604,0.4525538037705386,0.8296396296056937,0.40955479942008605,0.9322566855839404,0.41216671632041535,0.5811370885804354,6.206582004866178,0.5980531143449571,6.206582004866179,0.0969886630892361,0.9994796326572901,48,0.8419755161733511,0.5912169358455676,0.9425129535651685,1.403332271899307,0.9530174382493225,1.403332271899307,0.3274671658558127,0.9961455061302713,60
0.021544346900318822,5,2,191,48,60,0.4010393298069005,0.45417030944019054,0.8288317016967841,0.41210503663704867,0.932123961835733,0.4125702804490714,0.5804418111411083,6.211731072798115,0.5973859160951607,6.211731072798115,0.09711561112618745,0.9994782695527145,48,0.8424854655680815,0.5902622282766551,0.942422983477278,1.4044299849868949,0.9529439082026046,1.404429984986895,0.3264734070472704,0.9961688649616551,60
0.046415888336127774,5,2,191,48,60,0.4019112496950147,0.4575581465687636,0.8271283065981908,0.4174780307843331,0.9318487727492755,0.4134057740824872,0.5789710386695051,6.222609242557927,0.5959745416374305,6.222609242557929,0.09737467706395052,0.9994754823001583,48,0.8435515664069201,0.5882613098844623,0.9422244806258708,1.406848862370456,0.9527816773514425,1.406848862370456,0.32438170089469764,0.996217799650197,60
0.1,5,2,191,48,60,0.4037141983934605,0.46447537221585117,0.8236082230641293,0.42856671751790204,0.9312999196890497,0.4150671089786317,0.5759139400775546,6.245159618755962,0.5930409057754957,6.245159618755962,0.09787411943434288,0.9994700879164382,48,0.8457162253493988,0.5841774704642666,0.941777612892365,1.412279055100728,0.9524164648003397,1.4122790551007283,0.3200763500475531,0.9963175317674359,60
