rank,feature,frequency,feature_label,pearson_r_with_log_e_minus_c,abs_pearson_r_with_log_e_minus_c
1,tau_r_div_tau_p,30,$\tau_r/\tau_p$,-0.1714107457393718,0.1714107457393718
2,u_p_div_u_r,30,$u_p/u_r$,-0.7766042234085282,0.7766042234085282
3,u_r_mm,30,$u_r$ (mm),-0.3419800085629027,0.3419800085629027
4,u_r_x_u_p,30,$u_r u_p$,-0.4909199863397779,0.4909199863397779
5,tau_p_div_u_p,5,$\tau_p/u_p$,0.4171109066434305,0.4171109066434305
6,tau_r_MPa,4,$\tau_r$ (MPa),-0.24413398342389042,0.24413398342389042
7,tau_r_div_u_p,3,$\tau_r/u_p$,0.3653319854691511,0.3653319854691511
8,tau_p_div_u_r,2,$\tau_p/u_r$,-0.06979303331601612,0.06979303331601612
9,tau_p_x_tau_r,2,$\tau_p \tau_r$,-0.2582375978370436,0.2582375978370436
10,tau_r_div_u_r,2,$\tau_r/u_r$,-0.10963567445010736,0.10963567445010736
