methodologie,feature,feature_label,total_occurrences,models_containing_feature,n_datasets,datasets
methodologie_1,tau_r_div_tau_p,$\tau_r/\tau_p$,24,24,4,"FULL, HIGH, LOW_1, LOW_2"
methodologie_1,u_p_div_u_r,$u_p/u_r$,22,22,4,"FULL, HIGH, LOW_1, LOW_2"
methodologie_1,tau_peak_MPa_csds,$\tau_p$ (MPa),12,12,2,"LOW_1, LOW_2"
methodologie_1,u_p_x_tau_r,$u_p \tau_r$,8,8,2,"FULL, HIGH"
methodologie_1,u_r_div_u_p,$u_r/u_p$,6,6,2,"HIGH, LOW_2"
methodologie_1,delta_peak_mm,$u_p$ (mm),6,6,1,FULL
methodologie_1,tau_p_div_u_r,$\tau_p/u_r$,6,6,1,FULL
methodologie_1,tau_r_div_sigma_n,$\tau_r/\sigma_n$,6,6,1,LOW_1
methodologie_1,u_p_div_tau_p,$u_p/\tau_p$,6,6,1,FULL
methodologie_1,u_r_div_tau_r,$u_r/\tau_r$,4,4,2,"HIGH, LOW_1"
methodologie_1,tau_r_MPa,$\tau_r$ (MPa),3,3,1,FULL
methodologie_1,u_p_div_tau_r,$u_p/\tau_r$,3,3,1,LOW_1
methodologie_1,tau_r_div_u_p,$\tau_r/u_p$,2,2,1,HIGH
methodologie_1,u_r_mm,$u_r$ (mm),1,1,1,HIGH
methodologie_1,u_r_x_tau_r,$u_r \tau_r$,1,1,1,HIGH
methodologie_2,tau_r_div_tau_p,$\tau_r/\tau_p$,24,24,4,"FULL, HIGH, LOW_1, LOW_2"
methodologie_2,u_p_div_u_r,$u_p/u_r$,24,24,4,"FULL, HIGH, LOW_1, LOW_2"
methodologie_2,delta_peak_mm,$u_p$ (mm),9,9,2,"HIGH, LOW_1"
methodologie_2,tau_p_div_u_p,$\tau_p/u_p$,6,6,1,LOW_2
methodologie_2,tau_p_div_u_r,$\tau_p/u_r$,6,6,1,LOW_1
methodologie_2,u_r_div_u_p,$u_r/u_p$,6,6,1,LOW_2
methodologie_2,u_r_mm,$u_r$ (mm),6,6,1,FULL
methodologie_2,u_r_x_u_p,$u_r u_p$,6,6,1,FULL
methodologie_2,u_r_x_tau_p,$u_r \tau_p$,5,5,2,"HIGH, LOW_2"
methodologie_2,tau_r_div_u_p,$\tau_r/u_p$,4,4,2,"HIGH, LOW_2"
methodologie_2,sigma_n_div_tau_r,$\sigma_n/\tau_r$,3,3,1,LOW_1
methodologie_2,tau_r_MPa,$\tau_r$ (MPa),3,3,1,LOW_1
methodologie_2,u_p_x_tau_p,$u_p \tau_p$,3,3,1,LOW_2
methodologie_2,u_r_div_tau_r,$u_r/\tau_r$,3,3,1,FULL
methodologie_2,sigma_n_x_u_r,$\sigma_n u_r$,2,2,1,FULL
methodologie_2,tau_r_div_u_r,$\tau_r/u_r$,1,1,1,FULL
