dataset,model_name,n_rows,rmse_d,r2_d,rmse_b,r2_b,rmse_e,r2_e,rmse_tau_u,mean_curve_rmse_tau_u,median_curve_rmse_tau_u,max_curve_rmse_tau_u,valid_curve_count,r2_tau_u,methodologie,constraint_ok_count,d_positive_count,b_positive_count,model_family,n_input_features,n_parameters_for_aicc,features,cv_std,negative_r2_tau_u,aicc_tau_u,rank_rmse_tau_u,rank_neg_r2_tau_u,rank_aicc_tau_u,rank_cv_std,score_balanced,rank_balanced,score_performance_only,rank_performance_only,score_stability_reinforced,rank_stability_reinforced,score_variant,rank_within_score_variant
FULL,FULL_poly_rank_2,285,43.27851545652241,0.7322379729908819,43.27851545652239,0.7212595032642446,4.294548434312884,0.7819225056433291,0.7267019941009809,0.3097372894636448,0.0892833811245962,5.23356829100102,285,0.9836198424192154,methodologie_1,,,,polynomial,5,21,u_r_div_tau_r + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_u_r + u_r_mm,0.0073748858715927,-0.9836198424192154,-18154.57900077211,1.0,1.0,1.0,2.0,1.25,1.0,1.0,1.0,1.4,1.0,balanced,1
FULL,FULL_poly_rank_1,284,43.363011658864906,0.7320653086089479,43.363011658864885,0.721101889676562,4.0461717272015605,0.8041685135127916,0.7424821955208244,0.3152528398831372,0.0913933948456012,5.233060072053841,284,0.9829264058611556,methodologie_1,,,,polynomial,5,21,u_p_div_tau_r + tau_p_div_u_r + u_r_mm + u_p_div_u_r + tau_r_div_tau_p,0.0096502514579501,-0.9829264058611556,-16870.53026031914,2.0,2.0,2.0,4.0,2.5,2.0,2.0,2.0,2.8000000000000003,2.0,balanced,2
HIGH,HIGH_poly_rank_1,61,149.94344475798067,0.1776155511200009,149.94344475798064,0.1796293661224994,0.8989180486186886,0.8756272441009849,1.538342266850078,1.0648086296987889,0.601076337711906,5.235767409072749,61,0.8681515669520566,methodologie_1,,,,polynomial,3,10,tau_p_div_u_p + tau_r_div_u_r + tau_p_div_u_r,0.0284679302929621,-0.8681515669520566,5274.641846511476,2.0,2.0,1.0,1.0,1.65,1.0,2.0,2.0,1.5500000000000005,1.0,balanced,1
HIGH,HIGH_poly_rank_2,65,138.12621844717287,0.2633777323861368,138.12621844717282,0.265093644037792,0.7882891224960444,0.9080334616367396,1.5022962557905333,1.0060183327209342,0.5592870732504471,5.23613546864312,65,0.8726950341304192,methodologie_1,,,,polynomial,4,15,tau_r_div_u_r + tau_p_div_u_p + u_p_div_tau_p + tau_p_div_u_r,0.0850195210084977,-0.8726950341304192,5321.006100323129,1.0,1.0,2.0,7.0,2.6,2.0,1.0,1.0,3.45,3.0,balanced,2
LOW_1,LOW_1_poly_rank_4,160,1.9968023136123256,0.9381998232725312,1.9968023136123256,0.9340841851211896,3.7704708808143863,0.909548763747293,0.0979609312838429,0.0450896933268495,0.0107373596989903,0.7514101880022376,160,0.9745939602821376,methodologie_1,,,,polynomial,5,21,tau_r_div_tau_p + tau_p_div_sigma_n + tau_peak_MPa_csds + u_p_div_u_r + u_p_div_tau_p,0.0158881815117509,-0.9745939602821376,-74299.91145581838,1.0,1.0,1.0,2.0,1.25,1.0,1.0,1.0,1.4,1.0,balanced,1
LOW_1,LOW_1_poly_rank_3,161,1.5484323296810445,0.962632975945488,1.5484323296810445,0.9601369050320606,3.90434082985495,0.902482538397962,0.1025792638073932,0.0467403899203653,0.0123961361822477,0.7515019248262064,161,0.9720905378624324,methodologie_1,,,,polynomial,5,21,u_p_div_tau_p + tau_peak_MPa_csds + u_p_div_u_r + tau_r_div_sigma_n + tau_r_div_tau_p,0.0125729001517384,-0.9720905378624324,-73281.18958692103,2.0,2.0,2.0,1.0,1.75,2.0,2.0,2.0,1.6,2.0,balanced,2
LOW_2,LOW_2_poly_rank_3,69,3.533205568755355,0.9781934564143756,3.5332055687553554,0.9779734637844262,0.5490930750421357,0.9836340124111638,0.3009472381985419,0.1715660413538136,0.0685427529284825,1.0477299962773916,69,0.8930107785626604,methodologie_1,,,,polynomial,4,15,tau_r_div_tau_p + u_r_div_u_p + u_p_div_u_r + tau_peak_MPa_csds,0.050494250874256,-0.8930107785626604,-16541.250661152062,1.0,1.0,1.0,2.0,1.25,1.0,1.0,1.0,1.4,1.0,balanced,1
LOW_2,LOW_2_poly_rank_5,69,3.32807397761596,0.980652049658938,3.3280739776159605,0.9804568602442127,0.5565938125833245,0.9831838321871544,0.3015220375583898,0.1727465657083478,0.0712894139025315,1.0476825645194583,69,0.8926016964570448,methodologie_1,,,,polynomial,4,15,tau_r_div_tau_p + u_r_div_u_p + u_p_div_u_r + tau_p_x_tau_r,0.056597124528107,-0.8926016964570448,-16514.918252540123,2.0,2.0,2.0,4.0,2.5,2.0,2.0,2.0,2.8000000000000003,2.0,balanced,2
FULL,FULL_direct_poly_rank_4,299,27.47902703403605,0.8869758996064219,27.479027034036037,0.882356651299184,4.273053278806218,0.8068322866305868,0.0652176899718785,0.0322245232757237,0.008244553309187,0.4042287427322675,299,0.9998682829613053,methodologie_2,299.0,299.0,299.0,polynomial,5,21,u_r_mm + sigma_n_x_u_r + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p,0.0103102433207574,-0.9998682829613053,-163213.43586434273,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,2.6,3.0,balanced,1
FULL,FULL_direct_poly_rank_3,299,28.156147582843214,0.8813371370726681,28.156147582843197,0.8764874348693298,4.327640347324965,0.8018654351633192,0.087046543883513,0.0348434379357687,0.0085221431874863,1.0321408734875137,299,0.9997653534358866,methodologie_2,299.0,299.0,299.0,polynomial,5,21,u_r_mm + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p + u_r_div_tau_r,0.0083836834574265,-0.9997653534358866,-145948.44558391327,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,balanced,2
