sample_id,u_peak,u_r,tau_peak,tau_r,true_a,true_b,true_c,true_d,true_e,estimated_a,estimated_b,estimated_c,estimated_d,estimated_e,error_b,abs_error_b,error_d,abs_error_d,error_e,abs_error_e,curve_rmse_tau_u,curve_mae_tau_u,curve_r2_tau_u,curve_valid,dataset,model_name
7,0.72,2.75,0.044,0.03175,0.03175,0.0801325410005739,1.818181818181818,0.1118825410005739,3.441242286799551,0.03175,0.6527050977099693,1.818181818181818,0.6844550977099694,2.0525433807066245,0.5725725567093954,0.5725725567093954,0.5725725567093954,0.5725725567093954,-1.3886989060929267,1.3886989060929267,0.004910997124133407,0.003985612726788844,0.4769722385696902,True,FULL,FULL_exp_d_rank_1
8,0.92,3.0,0.035,0.02825,0.02825,0.0557241852265918,1.6666666666666667,0.0839741852265918,3.007954906577982,0.02825,0.6172840852806305,1.6666666666666667,0.6455340852806305,1.7973712659990404,0.5615599000540387,0.5615599000540387,0.5615599000540387,0.5615599000540387,-1.2105836405789414,1.2105836405789414,0.002134984065962881,0.0018282817131956362,0.845193269415278,True,FULL,FULL_exp_d_rank_1
9,0.97,3.0,0.029,0.0255,0.0255,0.0288872445152351,1.6666666666666667,0.0543872445152351,3.290221199159674,0.0255,0.5547397646780449,1.6666666666666667,0.5802397646780448,1.78195026265942,0.5258525201628098,0.5258525201628098,0.5258525201628097,0.5258525201628097,-1.508270936500254,1.508270936500254,0.0021962135547533516,0.0018311733872511968,0.7688415182564073,True,FULL,FULL_exp_d_rank_1
11,0.78,3.5,0.05,0.0417499999999999,0.0417499999999999,0.0354980845491272,1.4285714285714286,0.0772480845491271,4.004659571873231,0.0417499999999999,0.5111226819840213,1.4285714285714286,0.5528726819840212,1.884024261799081,0.47562459743489416,0.47562459743489416,0.47562459743489405,0.47562459743489405,-2.1206353100741495,2.1206353100741495,0.01713966691784438,0.013173567143725418,-5.0660698681366565,True,FULL,FULL_exp_d_rank_1
12,1.25,3.5,0.04,0.034,0.034,0.0670624339164287,1.4285714285714286,0.1010624339164287,2.366794324621144,0.034,0.7272042863344172,1.4285714285714286,0.7612042863344173,1.5088822559497157,0.6601418524179885,0.6601418524179885,0.6601418524179886,0.6601418524179886,-0.8579120686714281,0.8579120686714281,0.0017242044714070753,0.0013381916401020268,0.9289258248965164,True,FULL,FULL_exp_d_rank_1
13,1.8,4.0,0.035,0.033,0.033,0.0334302203204883,1.25,0.0664302203204883,2.0972939397426664,0.033,0.794764004419992,1.25,0.827764004419992,1.2901771376635096,0.7613337840995037,0.7613337840995037,0.7613337840995037,0.7613337840995037,-0.8071168020791568,0.8071168020791568,0.001363440696646615,0.0009794969383741842,0.9516828036176609,True,FULL,FULL_exp_d_rank_1
27,0.87,3.25,2.35,1.9075,1.9075,2.7034029995062916,1.5384615384615383,4.610902999506291,3.276941309100947,1.9075,0.4107217993271412,1.5384615384615383,2.3182217993271412,4.8466808494835565,-2.2926812001791506,2.2926812001791506,-2.29268120017915,2.29268120017915,1.5697395403826095,1.5697395403826095,0.19069532641525067,0.1361374490055569,0.7013309271794512,True,FULL,FULL_exp_d_rank_1
28,0.13,1.325,1.02,0.6675,0.6675,0.6738254010838505,3.7735849056603774,1.3413254010838505,23.891608655167115,0.6675,0.8314472302476845,3.7735849056603774,1.4989472302476845,21.797634682532983,0.15762182916383405,0.15762182916383405,0.15762182916383405,0.15762182916383405,-2.0939739726341315,2.0939739726341315,0.027631547882215012,0.017373922052345257,0.9560810626389865,True,FULL,FULL_exp_d_rank_1
29,0.6,2.425,4.93,4.2975,4.2975,3.110870023650559,2.061855670103093,7.408370023650559,5.517814597970529,4.2975,1.8573164550021248,2.061855670103093,6.154816455002125,5.775345627417733,-1.2535535686484343,1.2535535686484343,-1.2535535686484343,1.2535535686484343,0.25753102944720396,0.25753102944720396,0.15889049920656756,0.10767923558894477,0.9498660412632745,True,FULL,FULL_exp_d_rank_1
30,2.17,3.85,16.37,14.955,14.955,60.674147880173095,1.2987012987012987,75.6291478801731,1.6284330431129306,14.955,85.4889844486902,1.2987012987012987,100.4439844486902,1.4113136797848322,24.81483656851711,24.81483656851711,24.81483656851711,24.81483656851711,-0.21711936332809834,0.21711936332809834,1.5926850156599655,1.1507072207372893,0.7192361367382119,True,FULL,FULL_exp_d_rank_1
31,0.24,1.275,0.66,0.475,0.475,0.6758571313827281,3.9215686274509807,1.150857131382728,11.17767536247715,0.475,1.0424930512372854,3.9215686274509807,1.5174930512372855,8.901415354820056,0.36663591985455735,0.36663591985455735,0.36663591985455746,0.36663591985455746,-2.2762600076570934,2.2762600076570934,0.023559985327438696,0.01707817909641826,0.9355177721643607,True,FULL,FULL_exp_d_rank_1
32,0.3,2.175,4.71,4.1925,4.1925,1.211168346774408,2.298850574712644,5.403668346774408,13.642584509493682,4.1925,0.2393450140539119,2.298850574712644,4.431845014053912,19.082228520388934,-0.9718233327204961,0.9718233327204961,-0.9718233327204961,0.9718233327204961,5.439644010895252,5.439644010895252,0.1603600311091675,0.10137135058987337,0.9164026683578055,True,FULL,FULL_exp_d_rank_1
33,2.26,4.125,16.14,11.3475,11.3475,422.7987490320256,1.2121212121212122,434.1462490320256,1.3091974223177918,11.3475,168.34900528688357,1.2121212121212122,179.69650528688356,1.2571093114470635,-254.44974374514206,254.44974374514206,-254.44974374514203,254.44974374514203,-0.05208811087072829,0.05208811087072829,5.236615359234994,4.035016134858615,-1.0634106060613662,True,FULL,FULL_exp_d_rank_1
34,0.47,1.525,1.07,0.6975,0.6975,4.0455139668571585,3.278688524590164,4.743013966857158,4.812842755740618,0.6975,2.2784127859904375,3.278688524590164,2.9759127859904373,4.538954280052906,-1.767101180866721,1.767101180866721,-1.767101180866721,1.767101180866721,-0.2738884756877127,0.2738884756877127,0.1510671466593017,0.10801536617602987,0.3301740481492905,True,FULL,FULL_exp_d_rank_1
35,0.47,2.2,4.91,4.25,4.25,2.5915991927768687,2.2727272727272725,6.841599192776869,7.213346651196478,4.25,2.2777296085928604,2.2727272727272725,6.5277296085928604,6.86489930319693,-0.31386958418400823,0.31386958418400823,-0.31386958418400823,0.31386958418400823,-0.3484473479995476,0.3484473479995476,0.08670668909027832,0.05040712118527818,0.9833264656629234,True,FULL,FULL_exp_d_rank_1
36,1.48,3.625,14.91,14.235,14.235,8.232456046268986,1.3793103448275863,22.467456046268985,2.7321098339023515,14.235,28.451682217399224,1.3793103448275863,42.68668221739922,1.85283125300651,20.219226171130238,20.219226171130238,20.219226171130238,20.219226171130238,-0.8792785808958414,0.8792785808958414,0.43311486123432424,0.30018326418481023,0.9717392350275947,True,FULL,FULL_exp_d_rank_1
37,0.11,1.325,0.89,0.5625,0.5625,0.5639971811696873,3.7735849056603774,1.1264971811696871,29.2958502513531,0.5625,0.7345338058219948,3.7735849056603774,1.2970338058219948,26.745904208964113,0.17053662465230746,0.17053662465230746,0.17053662465230768,0.17053662465230768,-2.5499460423889886,2.5499460423889886,0.03406484367358424,0.02094509054901298,0.9125005549908587,True,FULL,FULL_exp_d_rank_1
38,0.26,2.175,5.3,4.1,4.1,2.5910971306331803,2.298850574712644,6.69109713063318,13.042743993933716,4.1,2.964320614257298,2.298850574712644,7.064320614257298,11.992116870302148,0.37322348362411795,0.37322348362411795,0.37322348362411795,0.37322348362411795,-1.0506271236315676,1.0506271236315676,0.05303432097838898,0.03449590837878108,0.9928360549004611,True,FULL,FULL_exp_d_rank_1
39,0.54,3.35,15.9,14.4675,14.4675,3.852469877296928,1.4925373134328357,18.319969877296927,7.688914610134782,14.4675,20.87752225259399,1.4925373134328357,35.34502225259399,4.519024449547681,17.02505237529706,17.02505237529706,17.025052375297065,17.025052375297065,-3.1698901605871015,3.1698901605871015,2.1087986005022823,1.406135648697891,-0.14530901086726722,True,FULL,FULL_exp_d_rank_1
40,0.3,1.35,0.88,0.635,0.635,1.1651130574348498,3.7037037037037033,1.8001130574348498,8.547982610717572,0.635,1.3309880516085475,3.7037037037037033,1.9659880516085475,7.236740010510759,0.16587499417369767,0.16587499417369767,0.16587499417369767,0.16587499417369767,-1.3112426002068132,1.3112426002068132,0.024510548275238492,0.01264524270504714,0.964195821957584,True,FULL,FULL_exp_d_rank_1
41,0.38,2.175,5.2,4.3975,4.3975,2.452688320111813,2.298850574712644,6.850188320111813,9.031706106944794,4.3975,2.433368828642977,2.298850574712644,6.830868828642977,8.436602222240749,-0.019319491468835714,0.019319491468835714,-0.019319491468835714,0.019319491468835714,-0.5951038847040451,0.5951038847040451,0.05061543017311409,0.021606452477494743,0.9942119613423157,True,FULL,FULL_exp_d_rank_1
42,0.71,3.35,16.28,14.8375,14.8375,5.373344828404187,1.4925373134328357,20.210844828404188,5.457009220110153,14.8375,31.219392505287523,1.4925373134328357,46.05689250528752,3.043985151243745,25.846047676883337,25.846047676883337,25.846047676883334,25.846047676883334,-2.4130240688664086,2.4130240688664086,1.955551963569888,1.3904804698711382,0.22628552804712687,True,FULL,FULL_exp_d_rank_1
43,0.88,1.475,0.58,0.535,0.535,2.3643732180319175,3.389830508474576,2.8993732180319176,4.157276354583812,0.535,4.792736559611994,3.389830508474576,5.327736559611994,3.568435302690561,2.4283633415800763,2.4283633415800763,2.4283633415800763,2.4283633415800763,-0.5888410518932505,0.5888410518932505,0.05826729501415673,0.04233368183483719,0.7090461175657927,True,FULL,FULL_exp_d_rank_1
44,1.5,2.625,3.89,3.6325,3.6325,10.486129835864666,1.9047619047619049,14.118629835864668,2.474961892115721,3.6325,7.672301956337812,1.9047619047619049,11.304801956337812,2.284305991864511,-2.8138278795268548,2.8138278795268548,-2.8138278795268565,2.8138278795268565,-0.1906559002512096,0.1906559002512096,0.29828187358383124,0.21646434267209155,0.8299754168559899,True,FULL,FULL_exp_d_rank_1
45,2.87,4.1,13.67,13.42,13.42,16.705556614946417,1.2195121951219514,30.12555661494642,1.6634039681803665,13.42,48.78753481293819,1.2195121951219514,62.20753481293819,1.3359577754307144,32.08197819799177,32.08197819799177,32.08197819799177,32.08197819799177,-0.32744619274965214,0.32744619274965214,0.5933584225449103,0.37105026175481465,0.9483483484475359,True,FULL,FULL_exp_d_rank_1
46,0.79,1.5,0.8,0.665,0.665,6.166849946093346,3.3333333333333335,6.831849946093346,3.9230290740544778,0.665,4.233227977714388,3.3333333333333335,4.898227977714388,3.623781350309368,-1.933621968378958,1.933621968378958,-1.933621968378958,1.933621968378958,-0.2992477237451099,0.2992477237451099,0.13282521357118496,0.09965998985303821,0.17030455921928123,True,FULL,FULL_exp_d_rank_1
47,0.6,2.175,5.04,4.655,4.655,2.141531174694559,2.298850574712644,6.796531174694559,6.310564627174357,4.655,2.9175166571758577,2.298850574712644,7.572516657175858,5.271764968497511,0.7759854824812988,0.7759854824812988,0.7759854824812988,0.7759854824812988,-1.0387996586768464,1.0387996586768464,0.07463805283817805,0.04402358675977098,0.9903133892439837,True,FULL,FULL_exp_d_rank_1
48,2.37,4.125,16.38,14.3675,14.3675,112.7264689844744,1.2121212121212122,127.0939689844744,1.4228254925840296,14.3675,83.83621916489156,1.2121212121212122,98.20371916489157,1.312402404470815,-28.890249819582834,28.890249819582834,-28.890249819582834,28.890249819582834,-0.11042308811321466,0.11042308811321466,2.3709743059913015,1.7781650929441515,0.3811463075193351,True,FULL,FULL_exp_d_rank_1
49,1.46,2.566666666666667,4.68,4.1066666666666665,4.1066666666666665,30.593215473314466,1.948051948051948,34.69988213998113,2.300589855794831,4.1066666666666665,12.181571056760983,1.948051948051948,16.28823772342765,2.2438668652920586,-18.411644416553482,18.411644416553482,-18.41164441655348,18.41164441655348,-0.05672299050277241,0.05672299050277241,0.6590304690892002,0.49765578400486915,0.4106455000863469,True,FULL,FULL_exp_d_rank_1
50,4.16,4.75,15.04,14.775,14.775,58.5314735148253,1.0526315789473684,73.3064735148253,1.2144266984360343,14.775,89.07928855410036,1.0526315789473684,103.85428855410036,1.1001311129000084,30.547815039275058,30.547815039275058,30.547815039275065,30.547815039275065,-0.11429558553602592,0.11429558553602592,0.938539247127604,0.5963057157769631,0.8780582202841523,True,FULL,FULL_exp_d_rank_1
51,1.26,1.85,0.94,0.785,0.785,27.151829140946248,2.702702702702702,27.936829140946248,2.8751003676389564,0.785,7.553387426530923,2.702702702702702,8.338387426530923,2.8128876470607596,-19.598441714415323,19.598441714415323,-19.598441714415323,19.598441714415323,-0.06221272057819682,0.06221272057819682,0.2613393719112421,0.19459152876765615,-0.7344606412547408,True,FULL,FULL_exp_d_rank_1
52,3.13,4.466666666666667,15.58,14.793333333333337,14.793333333333337,75.02328336156236,1.1194029850746268,89.8166166948957,1.313812712287742,14.793333333333337,63.94143839253361,1.1194029850746268,78.73477172586695,1.211030187072082,-11.08184496902875,11.08184496902875,-11.08184496902875,11.08184496902875,-0.10278252521566,0.10278252521566,1.4554627027500744,1.0318709984836232,0.743485330380126,True,FULL,FULL_exp_d_rank_1
53,1.15,1.85,0.71,0.65,0.65,3.9933470021604136,2.702702702702702,4.6433470021604135,3.19021506632708,0.65,5.151896637683405,2.702702702702702,5.801896637683405,2.853121140272105,1.158549635522991,1.158549635522991,1.1585496355229914,1.1585496355229914,-0.33709392605497523,0.33709392605497523,0.08535600143619912,0.0634885751533822,0.587989884085121,True,FULL,FULL_exp_d_rank_1
54,0.35,2.175,4.68,4.205,4.205,1.283914851902833,2.298850574712644,5.488914851902833,11.46515887900422,4.205,0.4630035969930359,2.298850574712644,4.668003596993036,14.078909380751586,-0.820911254909797,0.820911254909797,-0.820911254909797,0.820911254909797,2.613750501747367,2.613750501747367,0.12281587103675823,0.07851517731625132,0.9550992491460399,True,FULL,FULL_exp_d_rank_1
55,0.63,3.85,16.18,14.365,14.365,5.024596391351091,1.2987012987012987,19.38959639135109,6.152370825583352,14.365,11.336349147370692,1.2987012987012987,25.701349147370692,4.608242528248459,6.311752756019601,6.311752756019601,6.311752756019601,6.311752756019601,-1.5441282973348933,1.5441282973348933,0.7676167832653347,0.5080047005519918,0.8549572044821098,True,FULL,FULL_exp_d_rank_1
56,0.45,1.5666666666666669,0.87,0.6366666666666667,0.6366666666666667,1.8543711063769357,3.191489361702127,2.4910377730436024,5.520751658815112,0.6366666666666667,1.601530539742162,3.191489361702127,2.2381972064088287,4.878117485865155,-0.2528405666347737,0.2528405666347737,-0.2528405666347737,0.2528405666347737,-0.6426341729499576,0.6426341729499576,0.06682810978600079,0.043777637493501206,0.7618106939666636,True,FULL,FULL_exp_d_rank_1
