sample_id,u_peak,u_r,tau_peak,tau_r,true_a,true_b,true_c,true_d,true_e,estimated_a,estimated_b,estimated_c,estimated_d,estimated_e,error_b,abs_error_b,error_d,abs_error_d,error_e,abs_error_e,curve_rmse_tau_u,curve_mae_tau_u,curve_r2_tau_u,curve_valid,dataset,model_name
7,0.72,2.75,0.044,0.03175,0.03175,0.0801325410005739,1.818181818181818,0.1118825410005739,3.441242286799551,0.03175,0.3829464775572799,1.818181818181818,0.4146964775572799,2.1824104516251204,0.30281393655670596,0.30281393655670596,0.30281393655670596,0.30281393655670596,-1.2588318351744308,1.2588318351744308,0.0033520483746326654,0.0027350999573835873,0.7563278269013829,True,FULL,FULL_exp_log_rank_2
8,0.92,3.0,0.035,0.02825,0.02825,0.0557241852265918,1.6666666666666667,0.0839741852265918,3.007954906577982,0.02825,0.23472807970599,1.6666666666666667,0.26297807970599,1.974320701024688,0.17900389447939818,0.17900389447939818,0.17900389447939824,0.17900389447939824,-1.0336342055532939,1.0336342055532939,0.0014228440468533892,0.0012036277255826565,0.9312432777744332,True,FULL,FULL_exp_log_rank_2
9,0.97,3.0,0.029,0.0255,0.0255,0.0288872445152351,1.6666666666666667,0.0543872445152351,3.290221199159674,0.0255,0.1529024184579086,1.6666666666666667,0.1784024184579086,2.027943331514386,0.12401517394267352,0.12401517394267352,0.1240151739426735,0.1240151739426735,-1.2622778676452877,1.2622778676452877,0.0013021478618211772,0.001102927126624181,0.9187391609292517,True,FULL,FULL_exp_log_rank_2
11,0.78,3.5,0.05,0.0417499999999999,0.0417499999999999,0.0354980845491272,1.4285714285714286,0.0772480845491271,4.004659571873231,0.0417499999999999,0.344851977368331,1.4285714285714286,0.3866019773683309,2.017852693749281,0.3093538928192038,0.3093538928192038,0.3093538928192038,0.3093538928192038,-1.9868068781239496,1.9868068781239496,0.013029206579151504,0.009925718452919495,-2.505408151797808,True,FULL,FULL_exp_log_rank_2
12,1.25,3.5,0.04,0.034,0.034,0.0670624339164287,1.4285714285714286,0.1010624339164287,2.366794324621144,0.034,0.2020635471954066,1.4285714285714286,0.2360635471954066,1.6851122600888917,0.1350011132789779,0.1350011132789779,0.1350011132789779,0.1350011132789779,-0.6816820645322521,0.6816820645322521,0.0018403500118529988,0.001142401372720897,0.9190279470385552,True,FULL,FULL_exp_log_rank_2
13,1.8,4.0,0.035,0.033,0.033,0.0334302203204883,1.25,0.0664302203204883,2.0972939397426664,0.033,0.0641392086123383,1.25,0.0971392086123383,1.6270704506740363,0.030708988291849995,0.030708988291849995,0.030708988291849995,0.030708988291849995,-0.4702234890686301,0.4702234890686301,0.0013295888297409873,0.0007683241859657733,0.9540522831427136,True,FULL,FULL_exp_log_rank_2
19,1.55,12.0,1.02,0.8525,0.8525,0.3782821788444106,0.4166666666666667,1.2307821788444109,2.3791759662313843,0.8525,0.1429024318179491,0.4166666666666667,0.9954024318179492,2.9265159294621896,-0.23537974702646153,0.23537974702646153,-0.2353797470264617,0.2353797470264617,0.5473399632308054,0.5473399632308054,0.04080746043055838,0.02553046058611444,0.882256696844146,True,FULL,FULL_exp_log_rank_2
27,0.87,3.25,2.35,1.9075,1.9075,2.7034029995062916,1.5384615384615383,4.610902999506291,3.276941309100947,1.9075,0.2727541385511667,1.5384615384615383,2.1802541385511667,5.363026436954846,-2.4306488609551247,2.4306488609551247,-2.4306488609551247,2.4306488609551247,2.086085127853899,2.086085127853899,0.19810000965344277,0.1404819906187298,0.6776860160419954,True,FULL,FULL_exp_log_rank_2
28,0.13,1.325,1.02,0.6675,0.6675,0.6738254010838505,3.7735849056603774,1.3413254010838505,23.891608655167115,0.6675,0.7449042086577573,3.7735849056603774,1.4124042086577573,22.392906348304052,0.07107880757390683,0.07107880757390683,0.07107880757390683,0.07107880757390683,-1.4987023068630627,1.4987023068630627,0.011486508854224467,0.0072427546267949516,0.9924104242731255,True,FULL,FULL_exp_log_rank_2
29,0.6,2.425,4.93,4.2975,4.2975,3.110870023650559,2.061855670103093,7.408370023650559,5.517814597970529,4.2975,1.4340387868515858,2.061855670103093,5.731538786851586,6.208079857491788,-1.6768312367989733,1.6768312367989733,-1.6768312367989733,1.6768312367989733,0.6902652595212597,0.6902652595212597,0.18524198110703743,0.12809479826863598,0.9318579846201042,True,FULL,FULL_exp_log_rank_2
30,2.17,3.85,16.37,14.955,14.955,60.674147880173095,1.2987012987012987,75.6291478801731,1.6284330431129306,14.955,84.44680888715772,1.2987012987012987,99.40180888715771,1.41256955570215,23.77266100698462,23.77266100698462,23.77266100698462,23.77266100698462,-0.21586348741078054,0.21586348741078054,1.5926355761044364,1.1509631863941996,0.7192535672094347,True,FULL,FULL_exp_log_rank_2
31,0.24,1.275,0.66,0.475,0.475,0.6758571313827281,3.9215686274509807,1.150857131382728,11.17767536247715,0.475,0.9164435200992168,3.9215686274509807,1.3914435200992168,9.226508101420617,0.24058638871648874,0.24058638871648874,0.24058638871648874,0.24058638871648874,-1.9511672610565327,1.9511672610565327,0.01447372538374223,0.01082690039815411,0.975663918054477,True,FULL,FULL_exp_log_rank_2
32,0.3,2.175,4.71,4.1925,4.1925,1.211168346774408,2.298850574712644,5.403668346774408,13.642584509493682,4.1925,0.0227790768458904,2.298850574712644,4.21527907684589,28.038133556983052,-1.1883892699285177,1.1883892699285177,-1.1883892699285177,1.1883892699285177,14.39554904748937,14.39554904748937,0.21365570651432284,0.1333746697142881,0.8516016249864717,True,FULL,FULL_exp_log_rank_2
33,2.26,4.125,16.14,11.3475,11.3475,422.7987490320256,1.2121212121212122,434.1462490320256,1.3091974223177918,11.3475,161.87246236246227,1.2121212121212122,173.21996236246227,1.2588316748683848,-260.92628666956335,260.92628666956335,-260.9262866695633,260.9262866695633,-0.05036574744940703,0.05036574744940703,5.236817653697217,4.035479814647008,-1.0635700314049594,True,FULL,FULL_exp_log_rank_2
34,0.47,1.525,1.07,0.6975,0.6975,4.0455139668571585,3.278688524590164,4.743013966857158,4.812842755740618,0.6975,1.9249895650790607,3.278688524590164,2.6224895650790607,4.705075399581959,-2.1205244017780975,2.1205244017780975,-2.1205244017780975,2.1205244017780975,-0.10776735615865896,0.10776735615865896,0.15639731768135706,0.11288173349041865,0.28207261790836724,True,FULL,FULL_exp_log_rank_2
35,0.47,2.2,4.91,4.25,4.25,2.5915991927768687,2.2727272727272725,6.841599192776869,7.213346651196478,4.25,1.8406190334857797,2.2727272727272725,6.09061903348578,7.302172126304165,-0.750980159291089,0.750980159291089,-0.750980159291089,0.750980159291089,0.08882547510768735,0.08882547510768735,0.11907452813943603,0.07748241469271966,0.9685543771896237,True,FULL,FULL_exp_log_rank_2
36,1.48,3.625,14.91,14.235,14.235,8.232456046268986,1.3793103448275863,22.467456046268985,2.7321098339023515,14.235,27.820390149646144,1.3793103448275863,42.05539014964614,1.8608387661167949,19.587934103377158,19.587934103377158,19.587934103377158,19.587934103377158,-0.8712710677855566,0.8712710677855566,0.43118227682007937,0.2969813376692019,0.9719908748034058,True,FULL,FULL_exp_log_rank_2
37,0.11,1.325,0.89,0.5625,0.5625,0.5639971811696873,3.7735849056603774,1.1264971811696871,29.2958502513531,0.5625,0.666994635673896,3.7735849056603774,1.229494635673896,27.334500305870655,0.10299745450420872,0.10299745450420872,0.10299745450420894,0.10299745450420894,-1.9613499454824463,1.9613499454824463,0.020102142858603542,0.012379542971374885,0.9695296664791975,True,FULL,FULL_exp_log_rank_2
38,0.26,2.175,5.3,4.1,4.1,2.5910971306331803,2.298850574712644,6.69109713063318,13.042743993933716,4.1,2.5386763431219155,2.298850574712644,6.638676343121915,12.512721142231248,-0.05242078751126478,0.05242078751126478,-0.05242078751126478,0.05242078751126478,-0.5300228517024674,0.5300228517024674,0.0324809865114214,0.014582443824315571,0.9973128206975141,True,FULL,FULL_exp_log_rank_2
39,0.54,3.35,15.9,14.4675,14.4675,3.852469877296928,1.4925373134328357,18.319969877296927,7.688914610134782,14.4675,20.15801312639202,1.4925373134328357,34.62551312639202,4.564376797606668,16.30554324909509,16.30554324909509,16.305543249095095,16.305543249095095,-3.1245378125281142,3.1245378125281142,2.0241924087306855,1.3481333870497678,-0.055251678968725626,True,FULL,FULL_exp_log_rank_2
40,0.3,1.35,0.88,0.635,0.635,1.1651130574348498,3.7037037037037033,1.8001130574348498,8.547982610717572,0.635,1.148080752673301,3.7037037037037033,1.783080752673301,7.541499301519404,-0.017032304761548822,0.017032304761548822,-0.017032304761548822,0.017032304761548822,-1.0064833091981678,1.0064833091981678,0.032340715510645913,0.01782925639977668,0.9376657262303255,True,FULL,FULL_exp_log_rank_2
41,0.38,2.175,5.2,4.3975,4.3975,2.452688320111813,2.298850574712644,6.850188320111813,9.031706106944794,4.3975,2.0113957273106964,2.298850574712644,6.408895727310696,8.915176722461819,-0.44129259280111643,0.44129259280111643,-0.44129259280111643,0.44129259280111643,-0.11652938448297512,0.11652938448297512,0.08972544872576549,0.05527057873746413,0.9818115020033984,True,FULL,FULL_exp_log_rank_2
42,0.71,3.35,16.28,14.8375,14.8375,5.373344828404187,1.4925373134328357,20.210844828404188,5.457009220110153,14.8375,30.15628935906303,1.4925373134328357,44.99378935906303,3.073465852405659,24.782944530658845,24.782944530658845,24.782944530658842,24.782944530658842,-2.3835433677044944,2.3835433677044944,1.8857853348236189,1.339352119645688,0.28050710941901835,True,FULL,FULL_exp_log_rank_2
43,0.88,1.475,0.58,0.535,0.535,2.3643732180319175,3.389830508474576,2.8993732180319176,4.157276354583812,0.535,3.637492044541985,3.389830508474576,4.172492044541985,3.62060282751052,1.2731188265100677,1.2731188265100677,1.2731188265100677,1.2731188265100677,-0.5366735270732916,0.5366735270732916,0.05818224239847996,0.042426503015096234,0.7098949068434619,True,FULL,FULL_exp_log_rank_2
44,1.5,2.625,3.89,3.6325,3.6325,10.486129835864666,1.9047619047619049,14.118629835864668,2.474961892115721,3.6325,6.350339774082295,1.9047619047619049,9.982839774082295,2.344935280250604,-4.135790061782371,4.135790061782371,-4.135790061782373,4.135790061782373,-0.13002661186511677,0.13002661186511677,0.29661692066268924,0.21701235925321355,0.8318682095043767,True,FULL,FULL_exp_log_rank_2
45,2.87,4.1,13.67,13.42,13.42,16.705556614946417,1.2195121951219514,30.12555661494642,1.6634039681803665,13.42,50.35750827804239,1.2195121951219514,63.77750827804239,1.3327754291395817,33.65195166309597,33.65195166309597,33.65195166309597,33.65195166309597,-0.3306285390407848,0.3306285390407848,0.5946005902132799,0.37146372102298886,0.94813186152461,True,FULL,FULL_exp_log_rank_2
46,0.79,1.5,0.8,0.665,0.665,6.166849946093346,3.3333333333333335,6.831849946093346,3.9230290740544778,0.665,3.3368618523730245,3.3333333333333335,4.0018618523730245,3.693112823959317,-2.8299880937203215,2.8299880937203215,-2.8299880937203215,2.8299880937203215,-0.2299162500951608,0.2299162500951608,0.13299159883831654,0.10005738363819645,0.16822459927258748,True,FULL,FULL_exp_log_rank_2
