sample_id,u_peak,u_r,tau_peak,tau_r,true_a,true_b,true_c,true_d,true_e,estimated_a,estimated_b,estimated_c,estimated_d,estimated_e,error_b,abs_error_b,error_d,abs_error_d,error_e,abs_error_e,curve_rmse_tau_u,curve_mae_tau_u,curve_r2_tau_u,curve_valid,dataset,model_name
16,1.61,10.5,13.41,12.8475,12.8475,1.3946189571869354,0.4761904761904761,14.242118957186936,3.178145408783804,12.8475,5.298014474807108,0.4761904761904761,18.145514474807108,2.1880027466443974,3.9033955176201722,3.9033955176201722,3.9033955176201722,3.9033955176201722,-0.9901426621394065,0.9901426621394065,0.555174759349215,0.3606991152206006,0.88397887458249,True,HIGH,HIGH_poly_rank_1
18,3.07,10.5,12.57,12.4375,12.4375,0.7124450836759753,0.4761904761904761,13.149945083675975,1.9539451798171723,12.4375,10.500950606242142,0.4761904761904761,22.938450606242142,0.9586036982495768,9.788505522566167,9.788505522566167,9.788505522566167,9.788505522566167,-0.9953414815675955,0.9953414815675955,0.6215843020742956,0.4580699908959653,0.8872747015595941,True,HIGH,HIGH_poly_rank_1
21,1.67,12.0,7.53,5.32,5.32,5.617172562155661,0.4166666666666667,10.93717256215566,1.7473164085592403,5.32,14.310821217137558,0.4166666666666667,19.63082121713756,1.2762223884309318,8.693648654981898,8.693648654981898,8.6936486549819,8.6936486549819,-0.4710940201283085,0.4710940201283085,1.152858653755944,0.7721155660881276,-0.3626802954889674,True,HIGH,HIGH_poly_rank_1
23,0.84,16.0,8.44,7.47,7.47,1.3255582927799532,0.3125,8.795558292779953,6.166176834932969,7.47,1.663055103117002,0.3125,9.133055103117002,5.822087665938451,0.3374968103370488,0.3374968103370488,0.3374968103370488,0.3374968103370488,-0.34408916899451825,0.34408916899451825,0.0797876474864841,0.046485667077736575,0.9904051808627486,True,HIGH,HIGH_poly_rank_1
24,1.81,16.0,7.62,7.29,7.29,0.6419185077225471,0.3125,7.931918507722547,3.0024433868829834,7.29,9.241291696706714,0.3125,16.531291696706713,1.5007121166565105,8.599373188984167,8.599373188984167,8.599373188984167,8.599373188984167,-1.501731270226473,1.501731270226473,1.5083019935607276,0.9453568040462834,-2.1748296938517724,True,HIGH,HIGH_poly_rank_1
30,2.17,3.85,16.37,14.955,14.955,60.674147880173095,1.2987012987012987,75.6291478801731,1.6284330431129306,14.955,52.823873859026776,1.2987012987012987,67.77887385902677,1.470984432901698,-7.850274021146319,7.850274021146319,-7.850274021146319,7.850274021146319,-0.1574486102112327,0.1574486102112327,1.5893038339520233,1.1613177499183716,0.7204269634985057,True,HIGH,HIGH_poly_rank_1
33,2.26,4.125,16.14,11.3475,11.3475,422.7987490320256,1.2121212121212122,434.1462490320256,1.3091974223177918,11.3475,416.77288198710784,1.2121212121212122,428.12038198710786,1.230759521893568,-6.0258670449177885,6.0258670449177885,-6.025867044917732,6.025867044917732,-0.07843790042422372,0.07843790042422372,5.23319203320427,4.0275281235786125,-1.0607136661967465,True,HIGH,HIGH_poly_rank_1
36,1.48,3.625,14.91,14.235,14.235,8.232456046268986,1.3793103448275863,22.467456046268985,2.7321098339023515,14.235,10.532893209970656,1.3793103448275863,24.767893209970655,2.3035865583761095,2.3004371637016696,2.3004371637016696,2.3004371637016696,2.3004371637016696,-0.42852327552624203,0.42852327552624203,0.3737721289856691,0.20171416743439083,0.9789529336350797,True,HIGH,HIGH_poly_rank_1
39,0.54,3.35,15.9,14.4675,14.4675,3.852469877296928,1.4925373134328357,18.319969877296927,7.688914610134782,14.4675,1.7773520024858112,1.4925373134328357,16.24485200248581,8.89577960420418,-2.075117874811117,2.075117874811117,-2.0751178748111165,2.0751178748111165,1.206864994069397,1.206864994069397,0.3150758468384863,0.2009759437637218,0.9744328280300532,True,HIGH,HIGH_poly_rank_1
42,0.71,3.35,16.28,14.8375,14.8375,5.373344828404187,1.4925373134328357,20.210844828404188,5.457009220110153,14.8375,3.314121131739695,1.4925373134328357,18.151621131739695,5.799347532707006,-2.0592236966644926,2.0592236966644926,-2.0592236966644926,2.0592236966644926,0.3423383125968522,0.3423383125968522,0.2860960551388658,0.18986748391876873,0.9834397938821168,True,HIGH,HIGH_poly_rank_1
45,2.87,4.1,13.67,13.42,13.42,16.705556614946417,1.2195121951219514,30.12555661494642,1.6634039681803665,13.42,23.90815485300579,1.2195121951219514,37.32815485300579,1.430300243908666,7.202598238059373,7.202598238059373,7.202598238059373,7.202598238059373,-0.23310372427170045,0.23310372427170045,0.5552823987330531,0.35862264437723573,0.9547646656502685,True,HIGH,HIGH_poly_rank_1
48,2.37,4.125,16.38,14.3675,14.3675,112.7264689844744,1.2121212121212122,127.0939689844744,1.4228254925840296,14.3675,103.88136947785004,1.2121212121212122,118.24886947785004,1.2945355535447567,-8.84509950662435,8.84509950662435,-8.845099506624365,8.845099506624365,-0.12828993903927288,0.12828993903927288,2.3716271659029933,1.7748266844695022,0.3808054515335525,True,HIGH,HIGH_poly_rank_1
50,4.16,4.75,15.04,14.775,14.775,58.5314735148253,1.0526315789473684,73.3064735148253,1.2144266984360343,14.775,44.6326450212999,1.0526315789473684,59.4076450212999,1.140682201899327,-13.8988284935254,13.8988284935254,-13.8988284935254,13.8988284935254,-0.07374449653670734,0.07374449653670734,0.9136846597954407,0.5847629789056003,0.8844312756983946,True,HIGH,HIGH_poly_rank_1
52,3.13,4.466666666666667,15.58,14.793333333333337,14.793333333333337,75.02328336156236,1.1194029850746268,89.8166166948957,1.313812712287742,14.793333333333337,61.63525148581198,1.1194029850746268,76.42858481914531,1.214069090563577,-13.388031875750386,13.388031875750386,-13.388031875750386,13.388031875750386,-0.09974362172416518,0.09974362172416518,1.4542542228148412,1.0315088634663865,0.7439111250586619,True,HIGH,HIGH_poly_rank_1
