dataset,model_name,n_rows,rmse_d,r2_d,rmse_b,r2_b,rmse_e,r2_e,rmse_tau_u,mean_curve_rmse_tau_u,median_curve_rmse_tau_u,max_curve_rmse_tau_u,valid_curve_count,r2_tau_u
HIGH,HIGH_poly_rank_3,67,78.75332449214191,0.7541763206177614,78.75332449214187,0.7548451493320684,0.9169305140355551,0.8732330917637864,1.4598157282527335,0.9387309882514817,0.48346114201764284,5.232676748940585,67,0.879582260205066
HIGH,HIGH_poly_rank_1,64,111.95126094357931,0.5226132868196078,111.95126094357927,0.5236286224609761,0.788282564348002,0.9009855571547538,1.5628656670204246,1.0698096663616132,0.598201569138348,5.23319203320427,64,0.8629767126036226
HIGH,HIGH_poly_rank_2,65,81.51455109152624,0.7435437460759744,81.51455109152622,0.7440921719903342,1.077928807578372,0.8141566819226167,1.550485845845946,1.0779866664676823,0.62784399370698,5.232577004497399,65,0.8634220071143061
HIGH,HIGH_exp_log_rank_3,61,142.91006999070717,0.25178381029013197,142.91006999070714,0.2544758965945162,1.073956745372858,0.728265517113629,1.7453296139938066,1.1750076143997856,0.6405843201506639,6.644166947057187,61,0.8278470174581766
HIGH,HIGH_poly_rank_5,64,111.88713641846715,0.5232748220892768,111.88713641846711,0.5242293205165474,0.7846812004303344,0.8950612375847445,2.1231323593589213,1.1991423109000694,0.5955336066476749,12.369987589275222,64,0.7464196127589005
HIGH,HIGH_exp_log_rank_5,64,140.29314362794884,0.24883651768376203,140.29314362794875,0.25164927092371225,0.8498475057932154,0.8938161531632587,1.9558418151012118,1.2020646374439696,0.5917076196746879,8.194364526072608,64,0.7765500888479455
HIGH,HIGH_exp_log_rank_1,63,141.77800395179872,0.24328245009905902,141.77800395179867,0.24582153042192934,1.589814902943928,0.6341960197192424,1.9769651242501078,1.224519839792237,0.5932764883008463,8.320354885646264,63,0.7693762089184969
HIGH,HIGH_exp_d_rank_1,61,141.52179362778722,0.26583082251780865,141.52179362778722,0.2686889253474254,0.7396592475354246,0.8887082032982223,2.0088138484715015,1.234133138117604,0.5996450140166554,8.61739488507837,61,0.7724222677458306
HIGH,HIGH_exp_d_rank_2,63,141.5796232027581,0.24539861995421874,141.57962320275809,0.24793059970800613,0.8852871929732563,0.8865711151967831,2.06485362556406,1.2361244714077344,0.5926144005412517,9.542241817131671,63,0.748415064791857
HIGH,HIGH_exp_log_rank_4,63,141.3866996963485,0.24728437846482576,141.38669969634847,0.25008439184577946,1.4629253262901796,0.5518073914366093,2.1406678044315233,1.2798139630927883,0.6200766964934527,10.19187648504219,63,0.7360531901686171
HIGH,HIGH_exp_d_rank_3,61,144.5045023774732,0.2349988316688637,144.50450237747316,0.23758787059418107,1.2758848726194003,0.669643128750985,2.101460239249645,1.2801876574112772,0.659007841607592,9.573910663572091,61,0.7462175701472966
HIGH,HIGH_exp_log_rank_2,63,141.8038288739861,0.24300675216134504,141.80382887398605,0.24554675755752564,1.3386030105056563,0.7406663372231742,2.232752019741918,1.2856086667068924,0.5920005712805155,11.39373394877151,63,0.7058376591695971
HIGH,HIGH_poly_rank_4,65,127.97667325537273,0.36672013502043777,127.9766732553727,0.3690503880608348,0.6912792590977225,0.9286464756084165,2.347089347079298,1.3086813099775187,0.5967408459473135,10.61551701831973,65,0.674496508263552
