sample_id,u_peak,u_r,tau_peak,tau_r,true_a,true_b,true_c,true_d,true_e,estimated_a,estimated_b,estimated_c,estimated_d,estimated_e,error_b,abs_error_b,error_d,abs_error_d,error_e,abs_error_e,curve_rmse_tau_u,curve_mae_tau_u,curve_r2_tau_u,curve_valid,dataset,model_name
15,1.64,10.5,4.17,3.725,3.725,1.1700588885069725,0.4761904761904761,4.895058888506973,2.4309486751406535,3.725,0.0988144305915823,0.4761904761904761,3.8238144305915824,4.00355667945733,-1.0712444579153901,1.0712444579153901,-1.0712444579153901,1.0712444579153901,1.5726080043166766,1.5726080043166766,0.1653461981064541,0.10695503570280379,0.8954202230806482,True,LOW_2,LOW_2_exp_d_rank_3
17,2.76,10.5,3.72,3.5425,3.5425,0.8694826394566157,0.4761904761904761,4.411982639456616,1.5814976920825412,3.5425,2.058921196536079,0.4761904761904761,5.601421196536079,1.162044178209787,1.1894385570794634,1.1894385570794634,1.1894385570794634,1.1894385570794634,-0.4194535138727542,0.4194535138727542,0.08291271767837033,0.06082183284122333,0.9772627035799246,True,LOW_2,LOW_2_exp_d_rank_3
29,0.6,2.425,4.93,4.2975,4.2975,3.110870023650559,2.061855670103093,7.408370023650559,5.517814597970529,4.2975,2.5714575495815346,2.061855670103093,6.868957549581535,5.2604330827618435,-0.5394124740690245,0.5394124740690245,-0.5394124740690245,0.5394124740690245,-0.25738151520868513,0.25738151520868513,0.11915816651369358,0.07315552932960459,0.9718042426501288,True,LOW_2,LOW_2_exp_d_rank_3
32,0.3,2.175,4.71,4.1925,4.1925,1.211168346774408,2.298850574712644,5.403668346774408,13.642584509493682,4.1925,0.7687703900486627,2.298850574712644,4.9612703900486625,14.698785143849362,-0.44239795672574544,0.44239795672574544,-0.44239795672574544,0.44239795672574544,1.0562006343556796,1.0562006343556796,0.07748338700063756,0.04862570715176545,0.980482807533453,True,LOW_2,LOW_2_exp_d_rank_3
35,0.47,2.2,4.91,4.25,4.25,2.5915991927768687,2.2727272727272725,6.841599192776869,7.213346651196478,4.25,2.093433417388887,2.2727272727272725,6.343433417388887,7.035804075296887,-0.49816577538798157,0.49816577538798157,-0.49816577538798157,0.49816577538798157,-0.177542575899591,0.177542575899591,0.0996823857241402,0.061805495468323084,0.977962653035426,True,LOW_2,LOW_2_exp_d_rank_3
38,0.26,2.175,5.3,4.1,4.1,2.5910971306331803,2.298850574712644,6.69109713063318,13.042743993933716,4.1,2.907153292418755,2.298850574712644,7.007153292418755,12.056291077698562,0.31605616178557483,0.31605616178557483,0.31605616178557483,0.31605616178557483,-0.9864529162351534,0.9864529162351534,0.044418585386540026,0.02912600450622274,0.9949746343128174,True,LOW_2,LOW_2_exp_d_rank_3
41,0.38,2.175,5.2,4.3975,4.3975,2.452688320111813,2.298850574712644,6.850188320111813,9.031706106944794,4.3975,1.836917704644259,2.298850574712644,6.234417704644259,9.149645473359072,-0.6157706154675537,0.6157706154675537,-0.6157706154675537,0.6157706154675537,0.11793936641427827,0.11793936641427827,0.10876578614452417,0.06921118966983854,0.9732730029890377,True,LOW_2,LOW_2_exp_d_rank_3
44,1.5,2.625,3.89,3.6325,3.6325,10.486129835864666,1.9047619047619049,14.118629835864668,2.474961892115721,3.6325,17.21316626021694,1.9047619047619049,20.84566626021694,2.09628165039873,6.727036424352274,6.727036424352274,6.7270364243522724,6.7270364243522724,-0.378680241716991,0.378680241716991,0.3023233271301618,0.2129524652562119,0.8253368408860731,True,LOW_2,LOW_2_exp_d_rank_3
47,0.6,2.175,5.04,4.655,4.655,2.141531174694559,2.298850574712644,6.796531174694559,6.310564627174357,4.655,2.136309173443678,2.298850574712644,6.791309173443678,5.756253273103621,-0.005222001250881014,0.005222001250881014,-0.005222001250881014,0.005222001250881014,-0.5543113540707365,0.5543113540707365,0.07745436228942226,0.0381745321373773,0.9895685900886737,True,LOW_2,LOW_2_exp_d_rank_3
49,1.46,2.566666666666667,4.68,4.1066666666666665,4.1066666666666665,30.593215473314466,1.948051948051948,34.69988213998113,2.300589855794831,4.1066666666666665,22.512555234083255,1.948051948051948,26.61922190074992,2.1211153888855465,-8.08066023923121,8.08066023923121,-8.080660239231207,8.080660239231207,-0.17947446690928448,0.17947446690928448,0.6602713052962735,0.49428896036986414,0.408424113116056,True,LOW_2,LOW_2_exp_d_rank_3
54,0.35,2.175,4.68,4.205,4.205,1.283914851902833,2.298850574712644,5.488914851902833,11.46515887900422,4.205,0.777514608467432,2.298850574712644,4.982514608467432,12.427732858812632,-0.5064002434354009,0.5064002434354009,-0.5064002434354009,0.5064002434354009,0.962573979808413,0.962573979808413,0.08090786562197903,0.05172668742152615,0.9805138470464516,True,LOW_2,LOW_2_exp_d_rank_3
