dataset,model_name,n_rows,rmse_d,r2_d,rmse_b,r2_b,rmse_e,r2_e,rmse_tau_u,mean_curve_rmse_tau_u,median_curve_rmse_tau_u,max_curve_rmse_tau_u,valid_curve_count,r2_tau_u
FULL,FULL_poly_rank_1,284,41.00685663015099,0.7605037926264148,41.00685663015098,0.7506235094995986,3.4168445001987466,0.8817954356150665,0.7030230762508142,0.30378218016094866,0.0747530028815806,5.232462462125928,284,0.9844760538439671
FULL,FULL_poly_rank_4,286,29.69394516345749,0.8735525818131906,29.69394516345747,0.8683507008158177,3.5059785874755383,0.8749438592092524,0.6955078399924117,0.3045329485707939,0.08509763735134818,5.232430324177234,286,0.9849887491530711
FULL,FULL_poly_rank_2,283,38.98115190163924,0.7842621761984753,38.981151901639215,0.7753961563305323,3.3932024635906775,0.881184912543421,0.7233941088444608,0.31141583912996773,0.0704013922384449,5.232528557944957,283,0.9838117357952411
FULL,FULL_poly_rank_5,286,41.26244331020563,0.7558835354980715,41.26244331020561,0.7457884596795101,3.370407920886903,0.8843192375386899,0.74564128817747,0.3240588882048998,0.08349874254576674,5.232727419690505,286,0.9822738578754221
FULL,FULL_poly_rank_3,283,45.64821153438952,0.7042969024429575,45.648211534389496,0.6920229262989073,3.3569684097707864,0.8865023877825996,0.7546058601247415,0.3253720383090414,0.08893689771113718,5.2328708261767,283,0.9817455235127962
FULL,FULL_exp_log_rank_5,277,74.97114057338746,0.21839887747659692,74.97114057338744,0.18636190044457934,3.9684528015250264,0.8432333984949155,1.0449836311425917,0.3896670560655091,0.0943997424586639,11.915258380756013,277,0.9666719473075959
FULL,FULL_exp_log_rank_3,280,74.53849291492946,0.21945445325289903,74.53849291492945,0.18741046083582313,3.977798862826334,0.8409269418005164,1.0887476767830715,0.4366857319046417,0.10208456450054224,11.525644487055947,280,0.9639378867022096
FULL,FULL_exp_log_rank_4,265,68.62088284427413,0.372231327001492,68.62088284427413,0.3463350576624743,4.677591907931264,0.7801549048127798,1.0253591910627677,0.449278773696186,0.16000787637368225,9.2016136173333,265,0.9690060741634874
FULL,FULL_exp_d_rank_2,264,71.13258677142936,0.32797799992430066,71.13258677142935,0.3003469366709566,4.1209728573301385,0.8366724652967881,1.731338991241873,0.4668716420156619,0.07447190143818413,23.086038643944352,264,0.9097451482126002
FULL,FULL_exp_d_rank_1,264,73.04118458514914,0.2913974807324202,73.04118458514911,0.2623654805033707,4.065687877978346,0.8409351836240115,1.867607082599594,0.49614134557425,0.07595203671364097,25.457248330033785,264,0.8961132003950529
FULL,FULL_exp_log_rank_2,270,77.08600515600969,0.19362358281343928,77.08600515600968,0.1605158465116655,4.057205503360409,0.839333021063463,3.1394238771430785,0.5778599295861011,0.09010196327220597,49.1514443369688,270,0.7039877751675916
FULL,FULL_exp_log_rank_1,272,112.12140197946037,-0.717920910998199,112.12140197946037,-0.7890510029186437,4.80150522712477,0.7681335443701427,10.294747535155036,1.0262690727822463,0.1370918920933068,169.21723751237255,272,-2.1936657763097003
HIGH,HIGH_poly_rank_3,67,78.75332449214191,0.7541763206177614,78.75332449214187,0.7548451493320684,0.9169305140355551,0.8732330917637864,1.4598157282527335,0.9387309882514817,0.48346114201764284,5.232676748940585,67,0.879582260205066
HIGH,HIGH_poly_rank_1,64,111.95126094357931,0.5226132868196078,111.95126094357927,0.5236286224609761,0.788282564348002,0.9009855571547538,1.5628656670204246,1.0698096663616132,0.598201569138348,5.23319203320427,64,0.8629767126036226
HIGH,HIGH_poly_rank_2,65,81.51455109152624,0.7435437460759744,81.51455109152622,0.7440921719903342,1.077928807578372,0.8141566819226167,1.550485845845946,1.0779866664676823,0.62784399370698,5.232577004497399,65,0.8634220071143061
HIGH,HIGH_exp_log_rank_3,61,142.91006999070717,0.25178381029013197,142.91006999070714,0.2544758965945162,1.073956745372858,0.728265517113629,1.7453296139938066,1.1750076143997856,0.6405843201506639,6.644166947057187,61,0.8278470174581766
HIGH,HIGH_poly_rank_5,64,111.88713641846715,0.5232748220892768,111.88713641846711,0.5242293205165474,0.7846812004303344,0.8950612375847445,2.1231323593589213,1.1991423109000694,0.5955336066476749,12.369987589275222,64,0.7464196127589005
HIGH,HIGH_exp_log_rank_5,64,140.29314362794884,0.24883651768376203,140.29314362794875,0.25164927092371225,0.8498475057932154,0.8938161531632587,1.9558418151012118,1.2020646374439696,0.5917076196746879,8.194364526072608,64,0.7765500888479455
HIGH,HIGH_exp_log_rank_1,63,141.77800395179872,0.24328245009905902,141.77800395179867,0.24582153042192934,1.589814902943928,0.6341960197192424,1.9769651242501078,1.224519839792237,0.5932764883008463,8.320354885646264,63,0.7693762089184969
HIGH,HIGH_exp_d_rank_1,61,141.52179362778722,0.26583082251780865,141.52179362778722,0.2686889253474254,0.7396592475354246,0.8887082032982223,2.0088138484715015,1.234133138117604,0.5996450140166554,8.61739488507837,61,0.7724222677458306
HIGH,HIGH_exp_d_rank_2,63,141.5796232027581,0.24539861995421874,141.57962320275809,0.24793059970800613,0.8852871929732563,0.8865711151967831,2.06485362556406,1.2361244714077344,0.5926144005412517,9.542241817131671,63,0.748415064791857
HIGH,HIGH_exp_log_rank_4,63,141.3866996963485,0.24728437846482576,141.38669969634847,0.25008439184577946,1.4629253262901796,0.5518073914366093,2.1406678044315233,1.2798139630927883,0.6200766964934527,10.19187648504219,63,0.7360531901686171
HIGH,HIGH_exp_d_rank_3,61,144.5045023774732,0.2349988316688637,144.50450237747316,0.23758787059418107,1.2758848726194003,0.669643128750985,2.101460239249645,1.2801876574112772,0.659007841607592,9.573910663572091,61,0.7462175701472966
HIGH,HIGH_exp_log_rank_2,63,141.8038288739861,0.24300675216134504,141.80382887398605,0.24554675755752564,1.3386030105056563,0.7406663372231742,2.232752019741918,1.2856086667068924,0.5920005712805155,11.39373394877151,63,0.7058376591695971
HIGH,HIGH_poly_rank_4,65,127.97667325537273,0.36672013502043777,127.9766732553727,0.3690503880608348,0.6912792590977225,0.9286464756084165,2.347089347079298,1.3086813099775187,0.5967408459473135,10.61551701831973,65,0.674496508263552
LOW_1,LOW_1_poly_rank_4,162,1.1101061362663804,0.9806890259289835,1.1101061362663807,0.9793952028384687,3.508399688942523,0.9208210955369681,0.10428135770984284,0.04694288626437452,0.010695643564154218,0.7515660771365967,162,0.9711027307715264
LOW_1,LOW_1_poly_rank_5,161,1.4807696459187751,0.9658273186083182,1.4807696459187751,0.9635446258273472,3.876541783359663,0.9038662503950674,0.10380352290372896,0.04703599699618384,0.015080703373768803,0.7515031785640828,161,0.9714203769048018
LOW_1,LOW_1_poly_rank_3,159,1.2366083866281898,0.9764332144077833,1.2366083866281898,0.9748653096459383,3.012066370683202,0.9424639946091592,0.10605523307098551,0.048173191093177845,0.013105557945381315,0.7515439114828848,159,0.9703836355637594
LOW_1,LOW_1_poly_rank_1,161,1.027428077424061,0.9835536268681615,1.0274280774240605,0.9824506127926091,2.9406232620961066,0.9435180697765949,0.1075208812278183,0.04989195647046842,0.017681306109240784,0.7517065182795134,161,0.9694637194434282
LOW_1,LOW_1_poly_rank_2,160,0.9524078754901343,0.9859450767443363,0.9524078754901343,0.9850052784285304,3.2095925436929535,0.9330895385885658,0.1070603556305917,0.05023968673860239,0.018268969845247576,0.7516757944977571,160,0.9697825133300687
LOW_1,LOW_1_exp_log_rank_1,157,4.284100053685653,0.7203892207751894,4.284100053685653,0.7018163087638578,1.0923829461366295,0.9904752074360645,0.13269856205169772,0.06176137371077671,0.016500795274746634,0.8507915142489003,157,0.9540492943229357
LOW_1,LOW_1_exp_log_rank_4,160,5.893599019952519,0.46195520284229796,5.89359901995252,0.4260298222822725,4.274027938409801,0.8836548685213721,0.12178433637577223,0.062008587561358075,0.028054239382158997,0.7498414429503806,160,0.9569823723211962
LOW_1,LOW_1_exp_log_rank_3,159,5.871520181087506,0.4689326144820154,5.871520181087506,0.4335714618054418,4.233742571873281,0.886358772286463,0.12358509136924549,0.06328416194706095,0.035231549302987476,0.7500319795839494,159,0.9557880311363207
LOW_1,LOW_1_exp_log_rank_2,157,4.466329467698097,0.6960084398623161,4.466329467698097,0.6758890930325943,1.6507335031209829,0.978808906219982,0.14253062847442288,0.06767986421107464,0.027157067529058478,0.9375944614442202,157,0.9468074127736446
LOW_1,LOW_1_exp_d_rank_2,153,20.643718208645293,-5.318850240524422,20.643718208645293,-5.747230296981042,5.132022371524844,0.8289155631822831,0.29262470563498866,0.09941182052687768,0.03133687640099815,2.6137973747259617,153,0.7710037771032183
LOW_1,LOW_1_exp_d_rank_4,152,19.24597704203071,-4.459433823864297,19.24597704203071,-4.825999577669972,5.391817588002423,0.8216825928851499,0.3412798823756998,0.10365846031001365,0.02881500815825426,3.2123759003328805,152,0.6869253543953902
LOW_1,LOW_1_exp_d_rank_5,153,10.919426746826689,-0.7690089438154117,10.91942674682669,-0.8875337603887299,5.658093140957362,0.803082882566079,0.36722627439285455,0.10885225919304468,0.03089895440995257,3.5242819493200037,153,0.6388973689832058
LOW_1,LOW_1_exp_d_rank_3,157,25.120688122844026,-8.599307648407152,25.120688122844026,-9.244717040406947,5.461986499848024,0.8132131861160584,0.35975858173681136,0.11069887722018773,0.03778232350729733,3.2266972751746796,157,0.6613422564617067
LOW_1,LOW_1_exp_d_rank_1,157,6.193417026295819,0.4168294996437475,6.193417026295819,0.37759172337626035,5.662233274861665,0.7927029012949506,0.4841973489867341,0.13157436584903812,0.04161436355633962,4.96416913629142,157,0.3364803506788715
LOW_2,LOW_2_poly_rank_2,69,4.101977932368429,0.9706075586298982,4.10197793236843,0.9703110366041929,0.5669147504851407,0.9825544045093778,0.301054920621094,0.1692550651894294,0.06610486975503398,1.0477551131129272,69,0.8929342008889865
LOW_2,LOW_2_poly_rank_1,69,3.5332055687553776,0.9781934564143753,3.533205568755378,0.977973463784426,0.5490930750421362,0.9836340124111638,0.3009472381985419,0.1715660413538135,0.06854275292848222,1.0477299962773918,69,0.8930107785626604
LOW_2,LOW_2_poly_rank_3,69,3.3280739776160004,0.9806520496589375,3.3280739776160027,0.9804568602442123,0.5565938125833235,0.9831838321871543,0.3015220375583896,0.17274656570834787,0.0712894139025315,1.047682564519454,69,0.892601696457045
LOW_2,LOW_2_poly_rank_4,69,2.9135383475891254,0.9851717295492942,2.913538347589126,0.9850221363686399,0.6215945543257367,0.9790268005743369,0.30784989561530307,0.18538264422596568,0.09035934134458623,1.0474227117954253,69,0.8880465905489285
LOW_2,LOW_2_exp_d_rank_5,68,9.388101599886783,0.8479151497108999,9.388101599886783,0.8463423368677081,0.9758064263810258,0.9459090142530934,0.30522311763146315,0.18953539806325176,0.10240859104640125,1.0467128126345702,68,0.890837960066131
LOW_2,LOW_2_exp_log_rank_1,69,8.965637256301186,0.8595856969959115,8.965637256301184,0.8581691445891042,1.6838070423305938,0.8461013084470064,0.3049992263943225,0.19248472042123024,0.1062788584114044,1.0467980675682764,69,0.8901103529585778
LOW_2,LOW_2_exp_log_rank_3,69,8.201826715245486,0.8824912516990149,8.201826715245486,0.8813057791604956,1.0030183531484624,0.9453905196545421,0.3063895345777157,0.19311122182894916,0.10324955579324209,1.0469892296359764,69,0.8891062278363644
LOW_2,LOW_2_exp_log_rank_4,68,9.061039105349263,0.8583272245387743,9.061039105349263,0.8568620900408118,0.8288642843309442,0.9609730689734641,0.3074362909787957,0.1944715143659522,0.10764488347740053,1.0467809621754611,68,0.8892491523746785
LOW_2,LOW_2_exp_d_rank_1,69,8.81779700005657,0.8641782836731964,8.817797000056569,0.8628080630116031,1.1822194284356844,0.9241341254165534,0.30686383292827213,0.194530957038414,0.10995035285400705,1.0467992656666059,69,0.8887626296530962
LOW_2,LOW_2_exp_log_rank_2,69,8.817797000056558,0.8641782836731968,8.817797000056556,0.8628080630116034,1.1822194284356842,0.9241341254165534,0.30686383292827235,0.19453095703841417,0.10995035285400705,1.0467992656666083,69,0.8887626296530959
LOW_2,LOW_2_exp_d_rank_4,69,9.196350804110784,0.8522661280698833,9.196350804110784,0.8507757330932157,1.5765981523502721,0.8650750359996862,0.3093884339795392,0.20143349877298755,0.11716344499225481,1.046684621098045,69,0.8869247774152655
LOW_2,LOW_2_exp_d_rank_2,68,11.763211468945281,0.7612286573268112,11.76321146894528,0.758759360525528,1.0456203720576633,0.9378922751368853,0.31287097456504265,0.20518080377314898,0.11532474071559026,1.0457650120921163,68,0.8852989629064932
LOW_2,LOW_2_exp_d_rank_3,69,10.021241191028375,0.8245747714622066,10.021241191028375,0.822805015644007,0.8143794318193472,0.9639998858966639,0.31387267315830336,0.20836820647434895,0.1239129496543366,1.0463359895547104,69,0.8836232257452812
