Dataset,Model_Label,Model_Family,Selection_Mode,Rank_in_saved_results,Model_Features,Saved_R2_val_log,Saved_R2_cv_mean_log,Saved_R2_val_d,Saved_RMSE_val_d,Saved_R2_test_log,Saved_RMSE_test_log,Saved_R2_test_d,Saved_RMSE_test_d,Saved_Selection_Score,N_rows,N_e_converged,N_c_lt_e,N_converged_and_c_lt_e,Pct_converged_and_c_lt_e,RMSE_d_pred_vs_d_csds,R2_d_pred_vs_d_csds,N_d_metric_rows,RMSE_e_pred_vs_e_csds,R2_e_pred_vs_e_csds,N_e_metric_rows,Mean_e_pred,Median_e_pred,Mean_residual_eq_515_abs,Mean_residual_eq_518_abs,Detailed_Output_File
FULL,FULL_exp_log_rank_1,exponential,log,1,u_p_div_tau_p + u_p_div_u_r + tau_r_div_u_r + tau_p_div_u_r + u_r_mm,0.8941299644033375,0.8693206712443999,0.2401299995766721,17.828326982986834,0.8599295305219794,0.8467819290846099,0.8396265844928341,15.110505919952798,1.2747512880999383,299,272,272,272,90.96989966555184,106.94849825407617,-0.7120550999209454,299,4.80150522712477,0.7681335443701427,272,7.0024443415564015,2.611572213909657,6.977305987878341e-12,1.8582842282517795,/Users/hariderarako/Desktop/python/results/methodologie_1/e_from_all_retained_d_models/full/FULL_exp_log_rank_1_e_predictions.csv
FULL,FULL_exp_log_rank_2,exponential,log,2,tau_r_div_u_r + u_r_x_u_p + u_p_div_u_r + u_p_div_tau_p + tau_p_div_u_r,0.8976159047676653,0.8558612496060791,0.1379408026285751,18.989323192501033,0.8459320054979848,0.8880849367902531,-0.9458296389881,52.63386027275779,1.2725493626604587,299,270,270,270,90.3010033444816,73.2744130890248,0.19633870405204878,299,4.057205503360409,0.839333021063463,270,6.47013962764128,2.725042727499135,4.705193436517742e-12,0.8702857165965465,/Users/hariderarako/Desktop/python/results/methodologie_1/e_from_all_retained_d_models/full/FULL_exp_log_rank_2_e_predictions.csv
FULL,FULL_exp_log_rank_3,exponential,log,3,u_p_div_u_r + tau_p_div_u_r + sigma_n_MPa + u_p_x_tau_r + u_r_x_u_p + u_p_div_tau_p,0.902319787284051,0.8524930211287641,0.455090405193137,15.097435010175248,0.8368383369762515,0.9139182519704708,0.0245051235205796,37.26707543108397,1.265104434477168,299,280,280,280,93.64548494983278,72.16168018361364,0.2205619025101001,299,3.977798862826334,0.8409269418005164,280,6.644883115287582,2.6984629436356165,3.729606306330473e-12,0.5834178374500647,/Users/hariderarako/Desktop/python/results/methodologie_1/e_from_all_retained_d_models/full/FULL_exp_log_rank_3_e_predictions.csv
FULL,FULL_exp_log_rank_4,exponential,log,4,u_r_mm + tau_p_div_u_r + u_p_div_tau_p + tau_r_div_tau_p + u_p_div_u_r,0.880127835448401,0.8779928251444881,0.1605164368619133,18.739027124803776,0.8414654341399926,0.9008661590314948,0.8501635438009342,14.60567264155604,1.2642637041220557,299,265,265,265,88.62876254180603,64.6204546926099,0.3749591881562748,299,4.677591907931264,0.7801549048127798,265,6.823474603430402,2.64277879242527,5.952501384879999e-12,0.5989221041927096,/Users/hariderarako/Desktop/python/results/methodologie_1/e_from_all_retained_d_models/full/FULL_exp_log_rank_4_e_predictions.csv
FULL,FULL_exp_log_rank_5,exponential,log,5,tau_p_div_u_r + u_p_div_tau_p + u_r_x_u_p + sigma_n_x_tau_r + u_p_div_u_r + tau_p_x_tau_r,0.902256624576051,0.850498745944644,0.3101450363468382,16.987123256719546,0.8420618052509619,0.8991701353427436,-0.9733215499979218,53.00437835730008,1.263658272349366,299,277,277,277,92.64214046822742,72.19316914079636,0.2198815123683624,299,3.968452801525026,0.8432333984949155,277,6.430802672879316,2.7530998151383703,6.486969806084107e-12,0.4660620039488843,/Users/hariderarako/Desktop/python/results/methodologie_1/e_from_all_retained_d_models/full/FULL_exp_log_rank_5_e_predictions.csv
FULL,FULL_exp_d_rank_1,exponential,d,1,tau_r_div_u_r + u_r_div_tau_p + u_p_div_u_r + tau_p_div_u_r,0.8541102905365829,0.7964881183198245,0.5188120745481021,14.18725261431028,0.6890162717942323,1.261732012424433,0.7251120535425901,19.78293228797814,0.873223831776779,299,264,264,264,88.29431438127091,68.67029732083685,0.29416008841349706,299,4.065687877978346,0.8409351836240115,264,6.412851724880269,2.7522704732112615,5.371359922502382e-12,0.6828846485983123,/Users/hariderarako/Desktop/python/results/methodologie_1/e_from_all_retained_d_models/full/FULL_exp_d_rank_1_e_predictions.csv
FULL,FULL_exp_d_rank_2,exponential,d,2,tau_p_div_u_r + u_p_div_tau_p + tau_r_div_u_r + u_p_div_u_r,0.8715830990441138,0.8222562190998326,0.5003078129845586,14.457467369416726,0.7729573666413838,1.0780825010216966,0.7485210997980247,18.92184986438096,0.8671791493384985,299,264,264,264,88.29431438127091,66.8758318092765,0.330567566090027,299,4.1209728573301385,0.8366724652967881,264,6.332662663082844,2.7419582003578613,6.9008889511869915e-12,0.613958409393732,/Users/hariderarako/Desktop/python/results/methodologie_1/e_from_all_retained_d_models/full/FULL_exp_d_rank_2_e_predictions.csv
FULL,FULL_poly_rank_1,polynomial,log,1,u_p_div_u_r + delta_peak_mm + tau_r_MPa + tau_p_div_u_r + u_p_div_tau_p + tau_r_div_tau_p,0.982138474062114,0.9656071716542504,0.9576702089734525,4.207886368907018,0.8952045751792485,0.7324356091445483,0.7448298153219883,19.06021433469091,1.4031043326475707,299,284,284,284,94.98327759197325,39.975658248659684,0.7608008656378441,299,3.4168445001987466,0.8817954356150665,284,6.522532974685258,2.8696023942983118,4.763567474747122e-12,0.2990922689000038,/Users/hariderarako/Desktop/python/results/methodologie_1/e_from_all_retained_d_models/full/FULL_poly_rank_1_e_predictions.csv
FULL,FULL_poly_rank_2,polynomial,log,2,delta_peak_mm + tau_p_div_u_r + u_r_div_tau_r + tau_r_MPa + u_p_div_u_r + tau_r_div_tau_p,0.9839123788236586,0.9563042060286728,0.9640006746233488,3.8805038830939713,0.9473590394244384,0.5191109524512104,0.6956215974189487,20.817076241542548,1.3990526627069528,299,283,283,283,94.64882943143813,37.9319173349822,0.7846336007001549,299,3.3932024635906775,0.881184912543421,283,6.429537477193009,2.8883767523401818,6.877976005776542e-12,0.31904984956515825,/Users/hariderarako/Desktop/python/results/methodologie_1/e_from_all_retained_d_models/full/FULL_poly_rank_2_e_predictions.csv
FULL,FULL_poly_rank_3,polynomial,log,3,delta_peak_mm + u_p_div_u_r + u_p_div_tau_p + tau_r_div_tau_p + tau_p_div_u_r + tau_p_div_u_p,0.9763807744668984,0.9671084058233038,0.9117354640534658,6.076228010050828,0.8590836214672706,0.8493350093035491,0.815483601945255,16.208032547860604,1.39841813835339,299,283,283,283,94.64882943143813,44.422569368464565,0.704623660091711,299,3.3569684097707864,0.8865023877825996,283,6.3235780162944755,2.975987770989292,4.7858678151233395e-12,0.34055512956100414,/Users/hariderarako/Desktop/python/results/methodologie_1/e_from_all_retained_d_models/full/FULL_poly_rank_3_e_predictions.csv
