Dataset,Model_Label,Model_Family,Selection_Mode,Rank_in_saved_results,Model_Features,Saved_R2_val_log,Saved_R2_cv_mean_log,Saved_R2_val_d,Saved_RMSE_val_d,Saved_R2_test_log,Saved_RMSE_test_log,Saved_R2_test_d,Saved_RMSE_test_d,Saved_Selection_Score,N_rows,N_e_converged,N_c_lt_e,N_converged_and_c_lt_e,Pct_converged_and_c_lt_e,RMSE_d_pred_vs_d_csds,R2_d_pred_vs_d_csds,N_d_metric_rows,RMSE_e_pred_vs_e_csds,R2_e_pred_vs_e_csds,N_e_metric_rows,Mean_e_pred,Median_e_pred,Mean_residual_eq_515_abs,Mean_residual_eq_518_abs,Detailed_Output_File
LOW_1,LOW_1_exp_log_rank_1,exponential,log,1,tau_p_x_tau_r + u_p_div_tau_r + tau_r_MPa + u_p_div_u_r + tau_r_div_tau_p,0.9675974829060804,0.8917405769974408,0.944072975553588,0.7517668624331468,0.9285528295068294,0.5044174517372993,0.0513876570299322,5.160412804046307,1.357515068526702,163,157,157,157,96.31901840490798,4.204604546417812,0.7214169133493576,163,1.0923829461366295,0.9904752074360645,157,7.84179409509916,3.222880324037419,6.557336414835225e-12,0.09820190587160955,/Users/hariderarako/Desktop/python/results/methodologie_1/e_from_all_retained_d_models/low/LOW_1_exp_log_rank_1_e_predictions.csv
LOW_1,LOW_1_exp_log_rank_2,exponential,log,2,tau_p_x_tau_r + tau_r_div_tau_p + u_p_div_u_r + u_p_div_tau_p + tau_r_MPa,0.971396588994712,0.8798744478639744,0.95016999566003,0.7096068251118167,0.9285750881422132,0.5043388725671053,-0.0082810087981437,5.3202354435749974,1.3543711882985667,163,157,157,157,96.31901840490798,4.383397469480996,0.6972207283036993,163,1.6507335031209829,0.978808906219982,157,8.135238761114516,3.190545239692532,4.597106842401196e-12,0.11176062632972748,/Users/hariderarako/Desktop/python/results/methodologie_1/e_from_all_retained_d_models/low/LOW_1_exp_log_rank_2_e_predictions.csv
LOW_1,LOW_1_exp_log_rank_3,exponential,log,3,u_r_div_tau_r + u_p_div_u_r + u_p_div_tau_p + tau_p_x_tau_r + tau_r_MPa + tau_peak_MPa_csds,0.9622088005437304,0.908965446738238,0.9406499985107618,0.7744309275350749,0.955650237270139,0.3974140684422492,0.2469322016391976,4.597874333204246,1.3519822725417967,163,159,159,159,97.54601226993866,5.80015630092793,0.469868233489818,163,4.2337425718732815,0.886358772286463,159,8.210671902519982,2.9781872617068315,2.8788753351865932e-12,0.10399287351277155,/Users/hariderarako/Desktop/python/results/methodologie_1/e_from_all_retained_d_models/low/LOW_1_exp_log_rank_3_e_predictions.csv
LOW_1,LOW_1_exp_log_rank_4,exponential,log,4,u_p_div_tau_p + u_p_div_tau_r + tau_r_MPa + tau_peak_MPa_csds + u_p_div_u_r + tau_p_x_tau_r,0.964684108114752,0.9006035218862645,0.9366808860915832,0.7999074392459694,0.9535088397177552,0.4068953991393665,0.295982998660326,4.4456127778972165,1.349913168469573,163,160,160,160,98.15950920245399,5.840107108821021,0.46254010949561497,163,4.274027938409801,0.8836548685213721,160,8.11628347028174,2.9110627216231895,3.9832068199352476e-12,0.10141873436169868,/Users/hariderarako/Desktop/python/results/methodologie_1/e_from_all_retained_d_models/low/LOW_1_exp_log_rank_4_e_predictions.csv
LOW_1,LOW_1_exp_d_rank_1,exponential,d,1,u_p_div_tau_p + tau_p_div_u_r + u_r_x_u_p + u_r_mm + u_p_div_u_r,0.9221773186260818,0.8560382172256643,0.9262397538508688,0.8633432545444594,0.8700911817128063,0.6801691073911368,-3.8980399405773447,11.726035904379543,1.2953340410698118,163,157,157,157,96.31901840490798,6.081793565807678,0.4171352590758951,163,5.662233274861665,0.7927029012949506,157,8.329345001398755,2.877348987973574,5.839483178674759e-12,0.24854732647765845,/Users/hariderarako/Desktop/python/results/methodologie_1/e_from_all_retained_d_models/low/LOW_1_exp_d_rank_1_e_predictions.csv
LOW_1,LOW_1_exp_d_rank_2,exponential,d,2,u_p_div_u_r + u_p_div_tau_p + tau_p_div_u_r + tau_r_div_tau_p + sigma_n_div_u_p + u_r_x_u_p,0.9414595012255956,0.8232689420764027,0.9504934719366588,0.7072998344482481,0.8896573345455864,0.626858215481186,-0.5577797174936994,6.612917139858215,1.292420353543508,163,153,153,153,93.86503067484662,20.003479183542602,-5.3054416634298995,163,5.132022371524844,0.8289155631822831,153,7.876374426948089,2.9635987008791527,6.892846496915945e-12,0.1816680048631947,/Users/hariderarako/Desktop/python/results/methodologie_1/e_from_all_retained_d_models/low/LOW_1_exp_d_rank_2_e_predictions.csv
LOW_1,LOW_1_exp_d_rank_3,exponential,d,3,u_r_div_tau_p + tau_peak_MPa_csds + tau_p_div_u_r + u_p_div_u_r + u_r_x_u_p + u_p_div_tau_p,0.9179460918014368,0.8415435544305637,0.9357671372046608,0.8056584393292149,0.8614755414577601,0.702361693547039,-0.8934311233655878,7.2906259038343055,1.2895279314043273,163,157,157,157,96.31901840490798,24.654264567528934,-8.578302287757335,163,5.461986499848024,0.8132131861160584,157,8.586695876077428,2.8290486634730567,7.190562370582321e-12,0.2034008809551838,/Users/hariderarako/Desktop/python/results/methodologie_1/e_from_all_retained_d_models/low/LOW_1_exp_d_rank_3_e_predictions.csv
LOW_1,LOW_1_exp_d_rank_4,exponential,d,4,u_p_div_tau_p + tau_p_div_u_r + u_r_x_u_p + sigma_n_div_u_p + u_p_div_u_r + u_r_div_tau_r,0.9304956840996454,0.8203173319839235,0.9394097557860924,0.7824807694113322,0.8913466313994327,0.6220412485217571,-1.2815039161986357,8.002960397729524,1.2811669789954034,163,152,152,152,93.25153374233129,18.58944124858649,-4.445491784840709,163,5.391817588002422,0.82168259288515,152,8.41312987484591,2.9943903077718304,4.684837313406158e-12,0.18799393879775358,/Users/hariderarako/Desktop/python/results/methodologie_1/e_from_all_retained_d_models/low/LOW_1_exp_d_rank_4_e_predictions.csv
LOW_1,LOW_1_exp_d_rank_5,exponential,d,5,delta_peak_mm + u_r_div_tau_r + u_p_div_u_r + u_p_div_tau_p + sigma_n_x_u_r + tau_p_div_u_r,0.9264147804068996,0.8254433561286136,0.9331340033924216,0.8220059903004905,0.8678891536121714,0.6859095097827209,-1.7024129170433029,8.709955026797587,1.276444567294226,163,153,153,153,93.86503067484662,10.585560960770495,-0.765762095732945,163,5.658093140957362,0.803082882566079,153,8.577688293502327,2.9055916096611534,3.81243765678219e-12,0.19829066080903401,/Users/hariderarako/Desktop/python/results/methodologie_1/e_from_all_retained_d_models/low/LOW_1_exp_d_rank_5_e_predictions.csv
LOW_1,LOW_1_poly_rank_1,polynomial,log,1,tau_r_div_tau_p + tau_peak_MPa_csds + u_p_div_u_r + delta_peak_mm + u_r_div_tau_r,0.9884044282741145,0.9551266476878038,0.9854779680371334,0.3830769452669314,0.9799366617472156,0.2673001387838811,0.888174501930519,1.771782790897649,1.4143426650728073,163,161,161,161,98.77300613496932,1.0212629521973413,0.9835646260511688,163,2.9406232620961066,0.9435180697765949,161,7.84669670244333,3.1087601652275785,6.6475189742021885e-12,0.07311016695026103,/Users/hariderarako/Desktop/python/results/methodologie_1/e_from_all_retained_d_models/low/LOW_1_poly_rank_1_e_predictions.csv
LOW_1,LOW_1_poly_rank_2,polynomial,log,2,u_p_div_u_r + tau_r_div_tau_p + delta_peak_mm + u_p_div_tau_r + tau_peak_MPa_csds,0.989814318468699,0.9519482693873929,0.9833017218379372,0.410778937374716,0.9805155370862562,0.2634157910819466,0.825130756467557,2.215627639227017,1.4116975476523068,163,160,160,160,98.15950920245399,0.9437939741789307,0.9859634998317568,163,3.2095925436929535,0.9330895385885658,160,7.865911311745544,3.079230992784854,7.1679814861447255e-12,0.07350083261784261,/Users/hariderarako/Desktop/python/results/methodologie_1/e_from_all_retained_d_models/low/LOW_1_poly_rank_2_e_predictions.csv
