Dataset,Features,Feature_List,Branch_Signature,Degree,N_Features,R2_train,RMSE_train,R2_val,RMSE_val,R2_test,RMSE_test,R2_cv_mean,R2_cv_std,Selection_Score
FULL,tau_peak_MPa_csds + tau_r_MPa + sigma_n_x_u_r,"['tau_peak_MPa_csds', 'tau_r_MPa', 'sigma_n_x_u_r']",base_taup | base_taur | core_sigma_combo | product,2,3,0.1581267508143981,91.09920938113403,-0.05114721289949631,20.968758254384213,0.26111149414656076,32.434131369778136,-0.15799971029715357,0.6980350966293946,-0.22995057771101252
FULL,sigma_n_MPa + tau_peak_MPa_csds + tau_r_MPa + sigma_n_x_u_r,"['sigma_n_MPa', 'tau_peak_MPa_csds', 'tau_r_MPa', 'sigma_n_x_u_r']",base_sigma | base_taup | base_taur | core_sigma_combo | product,2,4,0.15829818003379448,91.08993372029848,-0.044620122059877865,20.903554201138146,0.2665474981599707,32.31460213950106,-0.22393990855496093,0.6615849301039094,-0.26274856934774926
FULL,tau_peak_MPa_csds + tau_r_MPa + sigma_n_x_u_r + sigma_n_div_tau_p,"['tau_peak_MPa_csds', 'tau_r_MPa', 'sigma_n_x_u_r', 'sigma_n_div_tau_p']",base_taup | base_taur | core_sigma_combo | product | ratio,2,4,0.15839756736303146,91.08455565630855,-0.06112045273406341,21.06799875380914,0.2678024791924367,32.28694419629254,-0.17775807216886144,0.7364897586206774,-0.26364846468056186
FULL,tau_peak_MPa_csds + tau_r_MPa + sigma_n_x_u_r + u_p_div_tau_p,"['tau_peak_MPa_csds', 'tau_r_MPa', 'sigma_n_x_u_r', 'u_p_div_tau_p']",base_taup | base_taur | core_sigma_combo | product | ratio,2,4,0.16012175985332766,90.99120526957621,-0.05525788910846163,21.009719058198165,0.2559033594924116,32.54823837082611,-0.18760887641787377,0.7581636334451951,-0.26487869066191805
FULL,tau_peak_MPa_csds + tau_r_MPa + sigma_n_x_u_r + u_p_div_tau_r,"['tau_peak_MPa_csds', 'tau_r_MPa', 'sigma_n_x_u_r', 'u_p_div_tau_r']",base_taup | base_taur | core_sigma_combo | product | ratio,2,4,0.15898415820236,91.05280748336087,-0.06645146130396973,21.120854662145426,0.2535754421483114,32.599112434379165,-0.1932025720580957,0.7687636921252078,-0.27992911654553837
FULL,sigma_n_MPa + tau_peak_MPa_csds + tau_r_MPa + sigma_n_x_u_r + u_r_div_tau_p + u_p_div_tau_r,"['sigma_n_MPa', 'tau_peak_MPa_csds', 'tau_r_MPa', 'sigma_n_x_u_r', 'u_r_div_tau_p', 'u_p_div_tau_r']",base_sigma | base_taup | base_taur | core_sigma_combo | product | ratio,2,6,0.1592339885326043,91.03928250473797,-0.06269728572870914,21.083646545293814,0.25252051067968817,32.62214067405586,-0.23743010244588353,0.7523476743197266,-0.31664710438362353
FULL,sigma_n_MPa + tau_peak_MPa_csds + tau_r_MPa + sigma_n_x_u_r + u_p_div_tau_p + sigma_n_div_tau_p,"['sigma_n_MPa', 'tau_peak_MPa_csds', 'tau_r_MPa', 'sigma_n_x_u_r', 'u_p_div_tau_p', 'sigma_n_div_tau_p']",base_sigma | base_taup | base_taur | core_sigma_combo | product | ratio,2,6,0.16086940135786754,90.95069704794332,-0.06582286454928843,21.114629129084673,0.24662915508017047,32.75044615203826,-0.21568210587017694,0.8385912005924944,-0.3175230375436263
FULL,sigma_n_MPa + tau_peak_MPa_csds + tau_r_MPa + sigma_n_x_u_r + u_p_div_tau_r + sigma_n_div_tau_p,"['sigma_n_MPa', 'tau_peak_MPa_csds', 'tau_r_MPa', 'sigma_n_x_u_r', 'u_p_div_tau_r', 'sigma_n_div_tau_p']",base_sigma | base_taup | base_taur | core_sigma_combo | product | ratio,2,6,0.1596572299990775,91.01636504058656,-0.07580392572511552,21.21326433249897,0.24393866134729048,32.80887444156676,-0.22260098618899984,0.8464979714854024,-0.3317542159681557
FULL,tau_peak_MPa_csds + u_r_mm + tau_r_MPa + sigma_n_x_u_r,"['tau_peak_MPa_csds', 'u_r_mm', 'tau_r_MPa', 'sigma_n_x_u_r']",base_taup | base_taur | base_ur | core_sigma_combo | product,2,4,0.16121777761116096,90.93181539088948,-0.0711154703615604,21.166989152345344,0.23933450300241665,32.90862030277312,-0.3442577606384579,0.7167670954219488,-0.35492106022298425
FULL,sigma_n_MPa + tau_r_MPa + sigma_n_x_u_r + tau_r_div_tau_p,"['sigma_n_MPa', 'tau_r_MPa', 'sigma_n_x_u_r', 'tau_r_div_tau_p']",base_sigma | base_taur | core_sigma_combo | product | ratio,2,4,0.14951421856230518,91.56400526218951,-0.1104485905500967,21.55212860307778,0.18501822095489562,34.06330362129877,-0.2667275091970812,0.8600931079354804,-0.36982165594218536
FULL,sigma_n_MPa + tau_r_MPa + tau_r_div_tau_p,"['sigma_n_MPa', 'tau_r_MPa', 'tau_r_div_tau_p']",base_sigma | base_taur | ratio,2,3,0.14855494298592908,91.61562891196975,-0.14674969563772966,21.901570501328013,0.22768805162505934,33.15959312070608,-0.2543998095193863,0.8577208513791794,-0.38972168553534076
FULL,sigma_n_MPa + tau_peak_MPa_csds + tau_r_MPa + u_p_div_tau_r + sigma_n_div_tau_p + sigma_n_div_u_p,"['sigma_n_MPa', 'tau_peak_MPa_csds', 'tau_r_MPa', 'u_p_div_tau_r', 'sigma_n_div_tau_p', 'sigma_n_div_u_p']",base_sigma | base_taup | base_taur | core_sigma_combo | ratio,2,6,0.18281444056972684,89.75354165200417,-0.1916555612193962,22.32627723696986,0.32982388635606485,30.88924464944587,-0.16557790011906004,0.6546173489559756,-0.39990624617452375
FULL,sigma_n_MPa + tau_peak_MPa_csds + tau_r_MPa + u_p_div_tau_p + u_p_div_tau_r + sigma_n_div_tau_p,"['sigma_n_MPa', 'tau_peak_MPa_csds', 'tau_r_MPa', 'u_p_div_tau_p', 'u_p_div_tau_r', 'sigma_n_div_tau_p']",base_sigma | base_taup | base_taur | core_sigma_combo | ratio,2,6,0.15987349239226045,91.00465274640669,-0.07529686689560866,21.208264517721048,0.24989127414212586,32.67946400751723,-0.38723466658081906,0.7704828736439856,-0.40596248755041675
FULL,tau_r_MPa + sigma_n_x_u_r + tau_r_div_tau_p + u_p_div_tau_p,"['tau_r_MPa', 'sigma_n_x_u_r', 'tau_r_div_tau_p', 'u_p_div_tau_p']",base_taur | core_sigma_combo | product | ratio,2,4,0.1508363038150995,91.49280918482206,-0.1050665774351145,21.499836795829534,0.1949856198772656,33.85436211506492,-0.33869685337455446,0.9201085841823291,-0.4064258625406246
FULL,tau_r_MPa + tau_r_div_tau_p,"['tau_r_MPa', 'tau_r_div_tau_p']",base_taur | ratio,2,2,0.14710654244782562,91.69351986948878,-0.19424370781281453,22.350509212764415,0.20947831500035785,33.54823757832661,-0.22818223685605168,0.8394754530784624,-0.41228237154868663
FULL,sigma_n_MPa + tau_peak_MPa_csds + u_r_mm + tau_r_MPa + sigma_n_x_u_r + sigma_n_div_tau_p,"['sigma_n_MPa', 'tau_peak_MPa_csds', 'u_r_mm', 'tau_r_MPa', 'sigma_n_x_u_r', 'sigma_n_div_tau_p']",base_sigma | base_taup | base_taur | base_ur | core_sigma_combo | product | ratio,2,6,0.16178494595764226,90.90106702306173,-0.08577612914297994,21.31135610122066,0.23428214079207543,33.017729429599385,-0.37742759432675294,0.8147071471451971,-0.4159606410208761
FULL,sigma_n_MPa + tau_peak_MPa_csds + tau_r_MPa + u_r_div_tau_r + u_p_div_tau_p + sigma_n_div_tau_p,"['sigma_n_MPa', 'tau_peak_MPa_csds', 'tau_r_MPa', 'u_r_div_tau_r', 'u_p_div_tau_p', 'sigma_n_div_tau_p']",base_sigma | base_taup | base_taur | core_sigma_combo | ratio,2,6,0.15952635619544575,91.0234521451412,-0.07384927225979432,21.193984131307452,0.2467068511984407,32.74875731037103,-0.4071282885094824,0.7892732815982184,-0.4163407446743574
FULL,tau_peak_MPa_csds + tau_r_div_tau_p,"['tau_peak_MPa_csds', 'tau_r_div_tau_p']",base_taup | ratio,2,2,0.13986852260934457,92.08177316534554,-0.18640774362995738,22.277062719328093,0.26022472501907346,32.4535882714925,-0.2634086057159965,0.9559319432111433,-0.43370524080907
FULL,sigma_n_MPa + tau_peak_MPa_csds + tau_r_MPa + u_p_div_tau_p,"['sigma_n_MPa', 'tau_peak_MPa_csds', 'tau_r_MPa', 'u_p_div_tau_p']",base_sigma | base_taup | base_taur | ratio,2,4,0.15842371575928949,91.08314065709868,-0.06710720258480163,21.127347075746137,0.23271803257767731,33.051434374284604,-0.4973787965493918,0.822834936781103,-0.4380800945376079
FULL,sigma_n_MPa + tau_peak_MPa_csds + sigma_n_x_u_r,"['sigma_n_MPa', 'tau_peak_MPa_csds', 'sigma_n_x_u_r']",base_sigma | base_taup | core_sigma_combo | product,2,3,0.13694522531843945,92.23811790906211,-0.1597603287105862,22.02546397412049,0.31725763459088296,31.17749672559987,-0.31663083742055553,0.9549617406181179,-0.44357192148267577
FULL,tau_peak_MPa_csds,['tau_peak_MPa_csds'],base_taup,2,1,0.13516354222453786,92.33327662463743,-0.18742460634835179,22.2866074407276,0.3233362757966072,31.03839554760399,-0.31578712090708744,0.9618760644461999,-0.45150577324651553
FULL,tau_peak_MPa_csds + tau_r_div_tau_p + sigma_n_div_tau_p,"['tau_peak_MPa_csds', 'tau_r_div_tau_p', 'sigma_n_div_tau_p']",base_taup | core_sigma_combo | ratio,2,3,0.14151982625956516,91.99334016289586,-0.18351476914495035,22.249885591668402,0.24523467504264684,32.78074247266548,-0.27838847698276153,0.9952971105903943,-0.4522387186953706
FULL,tau_peak_MPa_csds + sigma_n_div_u_p,"['tau_peak_MPa_csds', 'sigma_n_div_u_p']",base_taup | core_sigma_combo | ratio,2,2,0.13555959749984925,92.31213200899194,-0.15341248962040233,21.9651041144444,0.33900028241396785,30.677040029076647,-0.3736385418706905,0.9359135091521358,-0.45382311147096116
FULL,tau_peak_MPa_csds + u_p_div_tau_p + u_p_div_tau_r,"['tau_peak_MPa_csds', 'u_p_div_tau_p', 'u_p_div_tau_r']",base_taup | ratio,2,3,0.1364786213834106,92.26304845488549,-0.16935800494960773,22.11641281824102,0.32025806264885526,31.108913872868605,-0.31042589070924587,0.9931990797108533,-0.45389085827531606
FULL,tau_peak_MPa_csds + u_p_div_tau_r,"['tau_peak_MPa_csds', 'u_p_div_tau_r']",base_taup | ratio,2,2,0.13594586213802662,92.29150543006827,-0.17759234259302592,22.19414544286574,0.3224927327069014,31.057736077027418,-0.31376135640221026,0.9955762428786673,-0.4540306450819978
FULL,sigma_n_MPa + tau_peak_MPa_csds + sigma_n_div_u_p,"['sigma_n_MPa', 'tau_peak_MPa_csds', 'sigma_n_div_u_p']",base_sigma | base_taup | core_sigma_combo | ratio,2,3,0.1443073645908981,91.84386468665,-0.16809145257330793,22.1044322339521,0.3621772253598199,30.134419328153278,-0.35663251742969054,0.8860277123914411,-0.4650104825272973
FULL,tau_peak_MPa_csds + tau_r_MPa + sigma_n_x_u_r + tau_p_x_tau_r,"['tau_peak_MPa_csds', 'tau_r_MPa', 'sigma_n_x_u_r', 'tau_p_x_tau_r']",base_taup | base_taur | core_sigma_combo | product,2,4,0.17121175753194662,90.38847176037383,-0.24497203704115988,22.820267963001967,0.12254270788624377,35.344822892957275,-0.22910381997799387,0.6823513455923652,-0.46775908158939333
FULL,sigma_n_MPa + tau_peak_MPa_csds + tau_r_MPa,"['sigma_n_MPa', 'tau_peak_MPa_csds', 'tau_r_MPa']",base_sigma | base_taup | base_taur,2,3,0.1557891902148948,91.2255955725276,-0.06375482716697256,21.094134614561426,0.24623227229822997,32.75907163631239,-0.5841744771131588,0.8777610637799125,-0.4736181721015432
FULL,tau_peak_MPa_csds + sigma_n_div_tau_p,"['tau_peak_MPa_csds', 'sigma_n_div_tau_p']",base_taup | core_sigma_combo | ratio,2,2,0.13539440516889212,92.3209518927944,-0.19105405814513565,22.320641791663896,0.32578415802672,30.982202808796384,-0.3323880845212395,0.9972036008492786,-0.47696846049068325
FULL,sigma_n_MPa + tau_peak_MPa_csds + sigma_n_x_u_r + u_p_div_tau_p + sigma_n_div_tau_p + sigma_n_div_tau_r,"['sigma_n_MPa', 'tau_peak_MPa_csds', 'sigma_n_x_u_r', 'u_p_div_tau_p', 'sigma_n_div_tau_p', 'sigma_n_div_tau_r']",base_sigma | base_taup | core_sigma_combo | product | ratio,2,6,0.13830049867274508,92.16566771162275,-0.1747028972003417,22.16689995420015,0.30069589155652676,31.55337769034094,-0.29077904702891494,1.01307120991832,-0.48139954170663113
