Dataset,Features,Feature_List,Branch_Signature,Degree,N_Features,R2_train,RMSE_train,R2_val,RMSE_val,R2_test,RMSE_test,R2_cv_mean,R2_cv_std,Selection_Score
HIGH,u_p_div_u_r + tau_r_div_tau_p,"['u_p_div_u_r', 'tau_r_div_tau_p']",ratio,2,2,0.6552531259310292,110.31776970901913,0.5641372418632173,76.39269756599248,-0.27120252185656124,65.38849635834568,-1.0094949854046422,1.1060289241571322,-0.071213143254817
HIGH,u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p,"['u_p_div_u_r', 'u_r_div_u_p', 'tau_r_div_tau_p']",ratio,2,3,0.6635978570953784,108.9744489140644,0.529041040744008,79.40877495937247,-0.7054352608909611,75.73761009120797,-1.373293782450088,1.4075405561906174,-0.3283599061000977
HIGH,tau_p_x_tau_r,['tau_p_x_tau_r'],product,2,1,0.019458501781664417,186.0494086159302,-0.0141796908338232,116.52910728512195,-0.6281982369264296,74.00270894891099,-0.6529084742755686,0.438609783938101,-0.3944949063654176
HIGH,u_r_x_tau_p + u_p_x_tau_p + tau_p_x_tau_r + u_p_div_u_r + tau_r_div_tau_p,"['u_r_x_tau_p', 'u_p_x_tau_p', 'tau_p_x_tau_r', 'u_p_div_u_r', 'tau_r_div_tau_p']",core_up_xtaup | product | ratio,2,5,0.741607350287824,95.50703933483585,0.2913305227041252,97.40894251665065,-37.32355559976231,359.0268059967896,-1.0948967383674129,1.9339712016651125,-0.4995149666460925
HIGH,delta_peak_mm + u_p_div_u_r + tau_r_div_tau_p,"['delta_peak_mm', 'u_p_div_u_r', 'tau_r_div_tau_p']",base_up | ratio,2,3,0.7203694772647401,99.35451139583884,0.17977551369115752,104.79566786412614,-2.4032175039789956,106.98892674163913,-1.207868974473944,2.0514684520813593,-0.6593058187539504
HIGH,tau_p_div_u_r + tau_r_div_u_p,"['tau_p_div_u_r', 'tau_r_div_u_p']",core_taup_over_ur | ratio,2,2,0.16497179966044173,171.6903460425548,0.10376022095870086,109.5441204318718,0.296922067438532,48.62904169606521,-1.3496562121139422,1.073937996770626,-0.6984616847753329
HIGH,tau_p_x_tau_r + tau_r_div_u_p,"['tau_p_x_tau_r', 'tau_r_div_u_p']",product | ratio,2,2,0.13433612674475803,174.81148069072506,0.04155520313158967,113.28189795535289,0.4109142212553999,44.51262917504933,-1.3384368749288686,1.6863701358989727,-0.8163002479227419
HIGH,u_r_div_tau_r,['u_r_div_tau_r'],ratio,2,1,0.0013651434372264903,187.75809272951346,-0.019424588174365987,116.83003770874923,-0.2377057957791442,64.52123774169596,-1.3636821068843819,1.143827076810831,-0.8256483492976401
HIGH,u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p,"['u_r_x_u_p', 'u_p_div_u_r', 'tau_r_div_tau_p']",product | ratio,2,3,0.6892864284428728,104.73104000053928,0.2939836681433792,97.22642976328373,-0.8753085947537844,79.42008541327584,-1.6979436998701145,2.8029211004467225,-0.8652802918363504
HIGH,delta_peak_mm + u_p_div_u_r + tau_r_div_tau_p + tau_r_div_u_p,"['delta_peak_mm', 'u_p_div_u_r', 'tau_r_div_tau_p', 'tau_r_div_u_p']",base_up | ratio,2,4,0.7331731699531929,97.05324328067107,-0.06243454787957314,119.26913153015747,-3.4083015903161007,121.76700582883907,-1.3898585021113765,2.280798515211152,-1.0254436504563766
HIGH,u_p_x_tau_p,['u_p_x_tau_p'],core_up_xtaup | product,2,1,0.13464244861659302,174.78054875535076,-0.06982095644924646,119.68301332387756,0.792329492338929,26.429040109915384,-1.691285527676781,2.393585109513334,-1.1648222312389704
HIGH,tau_p_div_u_r,['tau_p_div_u_r'],core_taup_over_ur | ratio,2,1,0.06615798422839503,181.56494801287076,-0.10367596814740976,121.56197789931603,0.16145707499174233,53.10759409980913,-1.946654874905575,1.7333052298778127,-1.2603339285879787
HIGH,u_p_div_tau_r + tau_p_div_u_r,"['u_p_div_tau_r', 'tau_p_div_u_r']",core_taup_over_ur | ratio,2,2,0.20241940175087247,167.79638304027688,0.05582008094390667,112.43573013059195,-0.5293388203754716,71.72091707396325,-2.6002895725527133,1.8563080069218392,-1.4499555060246339
HIGH,u_p_x_tau_r + tau_r_div_tau_p,"['u_p_x_tau_r', 'tau_r_div_tau_p']",product | ratio,2,2,0.41615055199241247,143.5640632774445,0.9387489867275409,28.63740117338698,0.016523215831511506,57.514325903294804,-4.378650865455774,3.88049687163517,-1.6586261331638632
HIGH,delta_peak_mm + tau_r_div_u_p,"['delta_peak_mm', 'tau_r_div_u_p']",base_up | ratio,2,2,0.18738595898209676,169.37038148705778,-0.22223116609788063,127.92447447781647,0.5012817957789892,40.95638231400017,-2.6024831326622464,3.3971069222994283,-1.8831834246589467
HIGH,delta_peak_mm + tau_p_div_u_r,"['delta_peak_mm', 'tau_p_div_u_r']",base_up | core_taup_over_ur | ratio,2,2,0.2152180364004891,166.44463888422504,-0.44471129876493465,139.08090222857598,0.23106200747417127,50.85570012034708,-2.5343212173868506,2.8037875887235377,-2.0122506663307136
HIGH,delta_peak_mm,['delta_peak_mm'],base_up,2,1,0.12851218965365718,175.39853559617222,-0.041882979049407076,118.10993655824728,0.40362780051094505,44.78707219798507,-3.50283847598554,4.599679653405729,-2.26327018238275
HIGH,u_p_x_tau_p + tau_r_div_u_p,"['u_p_x_tau_p', 'tau_r_div_u_p']",core_up_xtaup | product | ratio,2,2,0.1461282002784745,173.6167570880499,-0.0923149963762786,120.93469474293553,0.809199335043901,25.332842308006594,-4.223468013326804,5.076491140733637,-2.7316981171130448
HIGH,u_r_mm + u_p_div_u_r,"['u_r_mm', 'u_p_div_u_r']",base_ur | ratio,2,2,0.3325130512382535,153.50293860600215,-1.4011587941885622,179.30293791137694,-2.31543747705278,105.60011689472097,-2.10171438665028,2.7387329322234164,-2.7458892807360438
HIGH,tau_r_MPa + u_p_x_tau_r + u_p_div_u_r + tau_r_div_tau_p,"['tau_r_MPa', 'u_p_x_tau_r', 'u_p_div_u_r', 'tau_r_div_tau_p']",base_taur | product | ratio,2,4,0.7453242417120303,94.81763280295331,0.567361761432956,76.10959580451193,-1.4815738902080762,91.36031394995194,-5.13503715760525,7.5825190693887565,-2.798408724308545
HIGH,tau_r_MPa + u_p_div_u_r + tau_r_div_tau_p,"['tau_r_MPa', 'u_p_div_u_r', 'tau_r_div_tau_p']",base_taur | ratio,2,3,0.6625608581793723,109.14228290814496,0.5255962159375889,79.69866319176954,-0.6346139429458562,74.14836469022815,-7.838871357979632,6.565021474014804,-4.080341610453708
HIGH,u_r_x_tau_p + u_p_div_u_r + tau_r_div_tau_p + tau_r_div_u_r + tau_r_div_sigma_n,"['u_r_x_tau_p', 'u_p_div_u_r', 'tau_r_div_tau_p', 'tau_r_div_u_r', 'tau_r_div_sigma_n']",core_sigma_combo | product | ratio,2,5,0.7053325909571575,101.99088419927261,0.4310409726988128,87.28054730663139,-5.78868564019139,151.10778064038357,-6.944035040764429,10.290424263422981,-4.120018974025699
HIGH,delta_peak_mm + tau_p_x_tau_r,"['delta_peak_mm', 'tau_p_x_tau_r']",base_up | product,2,2,0.14615735110013328,173.61379346147214,-0.2574175372577261,129.75279485362952,0.2795356778344126,49.22664268050835,-6.161182597869296,8.122895024717339,-4.170298338664108
HIGH,u_p_x_tau_r + tau_p_x_tau_r,"['u_p_x_tau_r', 'tau_p_x_tau_r']",product,2,2,0.11482646630658622,176.77038783448035,-0.3981077665484438,136.81927625965406,0.1889166661694025,52.230804660418045,-6.838037482479005,8.450224672905208,-4.6821489750784675
HIGH,tau_r_MPa + u_p_div_u_r + tau_r_div_tau_p + tau_r_div_u_p,"['tau_r_MPa', 'u_p_div_u_r', 'tau_r_div_tau_p', 'tau_r_div_u_p']",base_taur | ratio,2,4,0.6821316222054714,105.92999881473344,-0.0891039665341049,120.75681074396334,-1.0961386232155106,83.96609924300071,-8.286050818645426,6.080423540799842,-4.880171729936802
HIGH,tau_p_x_tau_r + u_p_div_tau_r + tau_p_div_u_r,"['tau_p_x_tau_r', 'u_p_div_tau_r', 'tau_p_div_u_r']",core_taup_over_ur | product | ratio,2,3,0.2267484361120199,165.21737135658495,0.26570515963644503,99.15444841639835,-1.7756530079775859,96.62212044750548,-8.469720633091704,9.823784335833995,-4.981533590492806
HIGH,u_p_x_tau_p + tau_p_x_tau_r,"['u_p_x_tau_p', 'tau_p_x_tau_r']",core_up_xtaup | product,2,2,0.14928643071318026,173.29537998671142,-0.1781825946311706,125.59815678303927,0.3620804883414275,46.320892715023454,-7.768114586003708,9.901686381213569,-5.072408525754382
HIGH,u_r_x_tau_p + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_sigma_n,"['u_r_x_tau_p', 'u_p_div_u_r', 'tau_r_div_tau_p', 'tau_p_div_sigma_n']",core_sigma_combo | core_taup_over_sigma | product | ratio,2,4,0.6642440393300177,108.86973614330464,0.5445889911280877,78.0869980123038,-3.087861893175556,117.25789276124726,-9.430553030192057,9.658048324320212,-5.176492356399962
HIGH,u_p_x_tau_p + u_r_div_tau_r,"['u_p_x_tau_p', 'u_r_div_tau_r']",core_up_xtaup | product | ratio,2,2,0.17998007721133158,170.14042237299995,-0.48717711870981306,141.11016903576046,-0.3429138051349714,67.20754739264798,-8.26075551942354,7.109364387999782,-5.34849131722156
