Features,Feature_List,Branch_Signature,N_Features,R2_train_log,RMSE_train_log,R2_val_log,RMSE_val_log,R2_test_log,RMSE_test_log,R2_cv_mean_log,R2_cv_std_log,R2_train_d,RMSE_train_d,R2_val_d,RMSE_val_d,R2_test_d,RMSE_test_d,Selection_Mode,Selection_Score
u_r_x_u_p + u_p_x_tau_p + tau_r_div_tau_p + u_p_div_tau_p + tau_p_div_u_r + tau_r_div_u_p,"['u_r_x_u_p', 'u_p_x_tau_p', 'tau_r_div_tau_p', 'u_p_div_tau_p', 'tau_p_div_u_r', 'tau_r_div_u_p']",core_taup_over_ur | core_up_xtaup | product | ratio,6,0.8441985527152862,0.9469633856843473,0.8315838180069443,0.9720335454473005,0.8020933334459056,1.006534119197953,0.8164071931905352,0.05622117860673451,0.031480929099935495,97.71142372824572,0.34356310815033664,16.57056938217398,0.748570980454091,18.91997320377182,d,0.6861445868849307
u_r_x_u_p + u_p_x_tau_p + tau_r_div_tau_p + u_r_div_tau_p + tau_p_div_u_r + tau_r_div_u_p,"['u_r_x_u_p', 'u_p_x_tau_p', 'tau_r_div_tau_p', 'u_r_div_tau_p', 'tau_p_div_u_r', 'tau_r_div_u_p']",core_taup_over_ur | core_up_xtaup | product | ratio,6,0.8303995285236603,0.9880091602535584,0.8346879325556591,0.9630340057463839,0.7787628039431551,1.0642100648048327,0.802842407489053,0.05822352041534819,-0.14807057637888632,106.38381154843154,0.3502190770013376,16.486346357788154,0.7191104981573659,19.9977239936762,d,0.6858179287043293
tau_r_MPa + u_r_x_u_p + u_p_x_tau_p + u_p_div_tau_p + tau_p_div_u_r + tau_r_div_u_p,"['tau_r_MPa', 'u_r_x_u_p', 'u_p_x_tau_p', 'u_p_div_tau_p', 'tau_p_div_u_r', 'tau_r_div_u_p']",base_taur | core_taup_over_ur | core_up_xtaup | product | ratio,6,0.8417997359870079,0.9542255601026757,0.8356198238249999,0.9603157791470635,0.8095478592249752,0.9873956702743708,0.8074844702394766,0.052285150527760414,0.09349003190550198,94.53171674149716,0.34422037905168446,16.562271493319525,0.7569734523627286,18.60114485476112,d,0.6827340991186468
u_r_x_u_p + u_p_x_tau_p + tau_r_div_tau_p + u_r_div_tau_p + tau_p_div_u_r + tau_p_div_u_p,"['u_r_x_u_p', 'u_p_x_tau_p', 'tau_r_div_tau_p', 'u_r_div_tau_p', 'tau_p_div_u_r', 'tau_p_div_u_p']",core_taup_over_ur | core_up_xtaup | product | ratio,6,0.8318618312269679,0.9837406102730386,0.8313193670458594,0.9727964008122301,0.77333416909582,1.077187530746792,0.803598020691959,0.06548307945452839,0.14199410584553884,91.9679251373856,0.347167032591167,16.52501948019055,0.7499587538919215,18.867686145176982,d,0.6824177349916937
tau_r_MPa + u_r_x_u_p + u_p_x_tau_p + u_r_div_tau_p + tau_p_div_u_r + tau_r_div_u_p,"['tau_r_MPa', 'u_r_x_u_p', 'u_p_x_tau_p', 'u_r_div_tau_p', 'tau_p_div_u_r', 'tau_r_div_u_p']",base_taur | core_taup_over_ur | core_up_xtaup | product | ratio,6,0.8237369224248129,1.0072287598159038,0.8338669543960417,0.9654223695085047,0.7748008000762748,1.0736969286019074,0.7890736544685477,0.052498956603089945,0.07436130588476109,95.52389079350276,0.3519330455231029,16.46458845740524,0.7376145696381153,19.327811174974133,d,0.6812199770970678
u_r_x_u_p + u_p_x_tau_p + u_p_div_tau_p + tau_p_div_u_r + tau_r_div_u_p + sigma_n_div_u_r,"['u_r_x_u_p', 'u_p_x_tau_p', 'u_p_div_tau_p', 'tau_p_div_u_r', 'tau_r_div_u_p', 'sigma_n_div_u_r']",core_sigma_combo | core_taup_over_ur | core_up_xtaup | product | ratio,6,0.848540765008329,0.9336741242391664,0.8476253410043391,0.9245826030099329,0.8114984594092773,0.9823262309968216,0.8215762992512469,0.047326396105911744,-0.07929674893722116,103.14820801054307,0.3323739185158672,16.711198137909363,0.7156656189516739,20.11997813529745,d,0.6784294285308993
u_r_x_u_p + u_p_x_tau_r + tau_r_div_tau_p + u_r_div_tau_p + tau_p_div_u_r + tau_r_div_u_p,"['u_r_x_u_p', 'u_p_x_tau_r', 'tau_r_div_tau_p', 'u_r_div_tau_p', 'tau_p_div_u_r', 'tau_r_div_u_p']",core_taup_over_ur | product | ratio,6,0.8311578706288385,0.9857978209948676,0.8304487078510244,0.9753037544896048,0.776729730387206,1.0690886960037969,0.7979437499340005,0.0693470413750015,0.18258847158298275,89.76595016483039,0.34578995386255185,16.54243914658606,0.7418144037053825,19.172503296468026,d,0.6778271246920519
sigma_n_x_u_p + u_r_x_u_p + u_p_x_tau_p + u_p_div_tau_p + tau_p_div_u_r + tau_r_div_u_p,"['sigma_n_x_u_p', 'u_r_x_u_p', 'u_p_x_tau_p', 'u_p_div_tau_p', 'tau_p_div_u_r', 'tau_r_div_u_p']",core_sigma_combo | core_taup_over_ur | core_up_xtaup | product | ratio,6,0.844501123454933,0.9460434242161814,0.8380995579193942,0.9530448994829724,0.8110332373401898,0.9835376752604126,0.8167129673920932,0.05369482860538704,0.013772430768411614,98.60066007905361,0.33475890846694345,16.681322359141532,0.7294055658513272,19.62782809791031,d,0.6777459093024513
sigma_n_x_tau_r + u_r_x_u_p + u_p_x_tau_p + u_p_div_tau_p + tau_p_div_u_r + tau_r_div_u_p,"['sigma_n_x_tau_r', 'u_r_x_u_p', 'u_p_x_tau_p', 'u_p_div_tau_p', 'tau_p_div_u_r', 'tau_r_div_u_p']",core_sigma_combo | core_taup_over_ur | core_up_xtaup | product | ratio,6,0.8434759954509892,0.9491567022531244,0.8370163309224568,0.956227852212973,0.8108459211971164,0.9840250277665219,0.8144617077716688,0.052893015217275866,-0.0230423716364212,100.42412667748908,0.335429154479317,16.672916829529107,0.7322161156130018,19.52562906272452,d,0.6773707068434237
u_r_x_u_p + u_p_x_tau_r + tau_r_div_tau_p + u_p_div_tau_p + tau_p_div_u_r + tau_r_div_u_p,"['u_r_x_u_p', 'u_p_x_tau_r', 'tau_r_div_tau_p', 'u_p_div_tau_p', 'tau_p_div_u_r', 'tau_r_div_u_p']",core_taup_over_ur | product | ratio,6,0.8437119035683632,0.9484411627932956,0.8291556769251112,0.9790156185549703,0.7978068834443821,1.017375962519909,0.812282738746499,0.06221287229596262,0.1824125140046703,89.77561124051432,0.33715643369786685,16.651235529515215,0.7472038583260442,18.971341276683404,d,0.6770765158415201
