Features,Feature_List,Branch_Signature,N_Features,R2_train_log,RMSE_train_log,R2_val_log,RMSE_val_log,R2_test_log,RMSE_test_log,R2_cv_mean_log,R2_cv_std_log,R2_train_d,RMSE_train_d,R2_val_d,RMSE_val_d,R2_test_d,RMSE_test_d,Selection_Mode,Selection_Score
u_r_x_tau_r + u_p_x_tau_r + u_p_div_u_r + tau_p_div_tau_r + tau_r_div_tau_p + u_r_div_tau_r,"['u_r_x_tau_r', 'u_p_x_tau_r', 'u_p_div_u_r', 'tau_p_div_tau_r', 'tau_r_div_tau_p', 'u_r_div_tau_r']",product | ratio,6,0.7797586901147863,0.47625064072140144,0.6350108391563931,0.5380136102540745,0.6347584791402681,0.5837334666484646,0.6012943068652582,0.22409509099822084,0.27091228563668124,160.42985638139413,0.7833195453510633,53.8625405123554,0.5002171278218026,41.000076027479345,d,1.0015571896838704
u_r_x_tau_r + u_p_x_tau_r + u_p_div_u_r + tau_r_div_tau_p + u_r_div_tau_r + tau_p_div_u_p,"['u_r_x_tau_r', 'u_p_x_tau_r', 'u_p_div_u_r', 'tau_r_div_tau_p', 'u_r_div_tau_r', 'tau_p_div_u_p']",product | ratio,6,0.7692993554074382,0.48742812673729785,0.6472636209969005,0.5289058916361367,0.6936052853807793,0.5346445651721232,0.6175078006495773,0.2036784882407799,0.256101764182466,162.05113196657882,0.7092809620681733,62.3898154590714,0.536049794145565,39.50296224144671,d,0.937667013568884
u_r_x_tau_r + u_p_x_tau_r + u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p + u_r_div_tau_r,"['u_r_x_tau_r', 'u_p_x_tau_r', 'u_p_div_u_r', 'u_r_div_u_p', 'tau_r_div_tau_p', 'u_r_div_tau_r']",product | ratio,6,0.768262173723832,0.4885225852862411,0.6526063568131586,0.5248850608948262,0.6663495444107919,0.5579180124336851,0.6068010811773684,0.19319715265970538,0.25298270083212215,162.39050569528987,0.7131888165415059,61.96907383670991,0.5441741063815415,39.15556308348805,d,0.9372696418642195
u_r_mm + u_r_x_tau_r + u_r_div_u_p + tau_r_div_tau_p + u_r_div_tau_r + tau_p_div_u_p,"['u_r_mm', 'u_r_x_tau_r', 'u_r_div_u_p', 'tau_r_div_tau_p', 'u_r_div_tau_r', 'tau_p_div_u_p']",base_ur | product | ratio,6,0.5830484503391017,0.6552831165163518,0.6413235001574331,0.5333407166050284,-0.5363408529071212,1.1972044192832754,0.4140016010222089,0.06707690649941232,0.09229432982583263,179.00609922714972,0.7744208935704086,54.95742813267325,0.5554793197907177,38.66695410125283,d,0.9147140034315717
tau_peak_MPa_csds + u_r_x_tau_r + u_p_div_u_r + tau_p_div_tau_r + tau_r_div_tau_p + u_r_div_tau_r,"['tau_peak_MPa_csds', 'u_r_x_tau_r', 'u_p_div_u_r', 'tau_p_div_tau_r', 'tau_r_div_tau_p', 'u_r_div_tau_r']",base_taup | product | ratio,6,0.7842823728425331,0.4713342501747093,0.5927789905988429,0.5682878443909812,0.4863027284986082,0.6922742077140722,0.6440512156603283,0.19434012507484824,0.2578321265293393,161.8625507767073,0.6660692013144873,66.86597825646062,0.3623756572749057,46.31017500675397,d,0.9086607966371667
u_r_x_tau_r + u_p_x_tau_p + u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p + u_r_div_tau_r,"['u_r_x_tau_r', 'u_p_x_tau_p', 'u_p_div_u_r', 'u_r_div_u_p', 'tau_r_div_tau_p', 'u_r_div_tau_r']",core_up_xtaup | product | ratio,6,0.7656390447853231,0.4912796918916061,0.626516339609718,0.5442382755406313,0.6273704410605807,0.5896077358795296,0.5309979520808252,0.178044493504382,0.2522335476232942,162.4719127008852,0.717408732249336,61.511502239753646,0.5470411671210964,39.03222820671618,d,0.9051032589393103
u_r_mm + u_r_x_tau_r + u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p + u_r_div_tau_r,"['u_r_mm', 'u_r_x_tau_r', 'u_p_div_u_r', 'u_r_div_u_p', 'tau_r_div_tau_p', 'u_r_div_tau_r']",base_ur | product | ratio,6,0.7663750180673874,0.49050769248630455,0.6150049111427696,0.5525618198679192,0.5810806289513332,0.6251579281293547,0.6163207540754357,0.19500725870405908,0.2488602557316687,162.83796848756867,0.6741375794029449,66.05323681920888,0.5935689888251596,36.97323035940132,d,0.902797230570257
sigma_n_x_u_r + u_r_x_tau_r + u_r_div_u_p + tau_r_div_tau_p + u_r_div_tau_r,"['sigma_n_x_u_r', 'u_r_x_tau_r', 'u_r_div_u_p', 'tau_r_div_tau_p', 'u_r_div_tau_r']",core_sigma_combo | product | ratio,5,0.5767812754452427,0.6601895098736434,0.6430830287041274,0.5320309263905879,-0.6627802383283052,1.2454948868817293,0.42920625279350116,0.12110306673655423,0.08915893902315564,179.31499354213713,0.7356293861907967,59.49542268936035,0.5479203918821524,38.99432766403191,d,0.8881222059138918
delta_peak_mm + u_r_x_tau_p + u_r_x_tau_r + tau_r_div_tau_p + u_r_div_tau_r + tau_r_div_u_p,"['delta_peak_mm', 'u_r_x_tau_p', 'u_r_x_tau_r', 'tau_r_div_tau_p', 'u_r_div_tau_r', 'tau_r_div_u_p']",base_up | product | ratio,6,0.6444588896365742,0.6051054917577049,0.6294600458342883,0.5420892566315979,0.5639335995739838,0.6378239668262945,0.24722631467623837,0.23689768339136455,0.15759805657746562,172.44673840690197,0.8342612365683073,47.10738665018475,0.4096023339901522,44.56216616784293,d,0.8741846255672899
delta_peak_mm + u_r_x_tau_r + u_r_div_u_p + tau_r_div_tau_p + u_r_div_tau_r,"['delta_peak_mm', 'u_r_x_tau_r', 'u_r_div_u_p', 'tau_r_div_tau_p', 'u_r_div_tau_r']",base_up | product | ratio,5,0.6425864526243188,0.6066967762146525,0.6953449949715553,0.49153838390549304,-0.09947901513321211,1.0127867107908133,0.37797533972316005,0.3264657733195761,0.143346975230642,173.89927884061674,0.7626848343822862,56.368919605924454,0.5430810018915816,39.202483950712875,d,0.8690259269119085
u_r_mm + u_r_x_tau_r + u_r_div_u_p + tau_r_div_tau_p + u_r_div_tau_r + tau_p_div_u_r,"['u_r_mm', 'u_r_x_tau_r', 'u_r_div_u_p', 'tau_r_div_tau_p', 'u_r_div_tau_r', 'tau_p_div_u_r']",base_ur | core_taup_over_ur | product | ratio,6,0.5775105733118622,0.6596204395873881,0.6386914897660263,0.5352939982927297,-0.7763378847416624,1.2873223545776193,0.4257438959183791,0.12168580272204672,0.08773976274641604,179.45463400585095,0.7265497587617638,60.50846281923553,0.5822860027635632,37.48292655384376,d,0.8672531264487486
u_r_x_tau_r + u_r_div_u_p + tau_r_div_tau_p + u_r_div_tau_r + tau_p_div_u_r + tau_p_div_u_p,"['u_r_x_tau_r', 'u_r_div_u_p', 'tau_r_div_tau_p', 'u_r_div_tau_r', 'tau_p_div_u_r', 'tau_p_div_u_p']",core_taup_over_ur | product | ratio,6,0.5752457465066555,0.6613860805662016,0.6322854787222509,0.5400185383023075,-0.2507229885787654,1.0802022758466319,0.3788992561354239,0.08977897317232149,0.08726854994166688,179.50097517095753,0.7462416596626896,58.289070140812434,0.543730023455203,39.174631859803384,d,0.8667133904131693
u_r_x_tau_r + u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p + u_r_div_tau_r + tau_r_div_sigma_n,"['u_r_x_tau_r', 'u_p_div_u_r', 'u_r_div_u_p', 'tau_r_div_tau_p', 'u_r_div_tau_r', 'tau_r_div_sigma_n']",core_sigma_combo | product | ratio,6,0.7815664885112442,0.4742920181760562,0.596286124941916,0.5658354026080143,0.536419301291422,0.6576384463008843,0.5397900194439075,0.3298953097961654,0.25761411585211824,161.88632246942112,0.6889680423634749,64.53264584268797,0.4363387828524734,43.54146676080907,d,0.8658735211058121
u_r_x_tau_r + u_r_div_u_p + tau_r_div_tau_p + u_r_div_tau_r + tau_p_div_u_r + tau_r_div_u_r,"['u_r_x_tau_r', 'u_r_div_u_p', 'tau_r_div_tau_p', 'u_r_div_tau_r', 'tau_p_div_u_r', 'tau_r_div_u_r']",core_taup_over_ur | product | ratio,6,0.5719107093033987,0.6639775018083635,0.6413640552570243,0.5333105636714902,-0.6080080052277579,1.224809722208766,0.410855251349907,0.13958676535253187,0.08655247596652171,179.57137417841918,0.7238487490027756,60.80656522417422,0.5557172470605265,38.65660457803324,d,0.855317698142476
delta_peak_mm + u_r_x_tau_r + u_p_div_u_r + tau_p_div_tau_r + tau_r_div_tau_p + u_r_div_tau_r,"['delta_peak_mm', 'u_r_x_tau_r', 'u_p_div_u_r', 'tau_p_div_tau_r', 'tau_r_div_tau_p', 'u_r_div_tau_r']",base_up | product | ratio,6,0.8111715183659568,0.440981055658582,0.5995023160141577,0.5635770287624593,0.71754011869018,0.5133374015335112,0.5217299795109803,0.13484888544275,0.2652881644124172,161.04743887485043,0.6644073190896951,67.03215859449422,0.5518063101744513,38.82637516456347,d,0.8517874203009103
u_p_x_tau_r + u_r_div_u_p + tau_r_div_tau_p + u_r_div_tau_r + tau_r_div_u_p + sigma_n_div_u_p,"['u_p_x_tau_r', 'u_r_div_u_p', 'tau_r_div_tau_p', 'u_r_div_tau_r', 'tau_r_div_u_p', 'sigma_n_div_u_p']",core_sigma_combo | product | ratio,6,0.7111043135142329,0.5454522166242458,0.5635351949451922,0.5883393459381662,0.1873548501736757,0.8707129337469747,0.45005668585461045,0.10147571472659246,0.1866583621706488,169.44618978628532,0.6947855910520024,63.92628709708455,0.5930442672402598,36.99708975220073,d,0.8496663625066484
u_r_x_tau_r + u_p_x_tau_p + u_p_x_tau_r + u_p_div_u_r + tau_r_div_tau_p + u_r_div_tau_r,"['u_r_x_tau_r', 'u_p_x_tau_p', 'u_p_x_tau_r', 'u_p_div_u_r', 'tau_r_div_tau_p', 'u_r_div_tau_r']",core_up_xtaup | product | ratio,6,0.7688938480517742,0.48785631997330253,0.6439343718632944,0.5313960289981632,0.6950003820264756,0.5334259869936422,0.4186108746736645,0.14554362315368846,0.2564299303877332,162.01538408552048,0.6999039778764277,63.38800507613915,0.536209355764573,39.496168733685025,d,0.834655052897891
u_r_x_tau_r + u_p_div_u_r + tau_p_div_tau_r + tau_r_div_tau_p + u_r_div_tau_r + tau_p_div_u_r,"['u_r_x_tau_r', 'u_p_div_u_r', 'tau_p_div_tau_r', 'tau_r_div_tau_p', 'u_r_div_tau_r', 'tau_p_div_u_r']",core_taup_over_ur | product | ratio,6,0.7828074924623826,0.47294278229056197,0.5697944561348196,0.5841054788763826,0.556403010775127,0.6433077992837829,0.5029566808674012,0.15193066390975793,0.2554593519650874,162.12108855228536,0.6573138156369421,67.73689149413495,0.5829081860141341,37.45500082004284,d,0.8335990896796668
