Features,Feature_List,Branch_Signature,N_Features,R2_train_log,RMSE_train_log,R2_val_log,RMSE_val_log,R2_test_log,RMSE_test_log,R2_cv_mean_log,R2_cv_std_log,R2_train_d,RMSE_train_d,R2_val_d,RMSE_val_d,R2_test_d,RMSE_test_d,Selection_Mode,Selection_Score
u_p_x_tau_p + u_p_div_u_r + tau_p_div_tau_r + tau_r_div_tau_p + u_r_div_tau_p + tau_r_div_u_p,"['u_p_x_tau_p', 'u_p_div_u_r', 'tau_p_div_tau_r', 'tau_r_div_tau_p', 'u_r_div_tau_p', 'tau_r_div_u_p']",core_up_xtaup | product | ratio,6,0.9079376037186367,0.21323693424327472,0.7254154007123199,0.3062460474232472,0.8905674155448842,0.303884949131264,0.7189734280908174,0.1248783047317096,0.8172916296259121,9.15125416306706,0.7096625108052295,6.901482752209646,0.8306300811075618,14.35115998810004,d,0.9966613943774673
u_p_x_tau_p + u_p_div_u_r + tau_p_div_tau_r + tau_r_div_tau_p + u_r_div_tau_p + u_r_div_tau_r,"['u_p_x_tau_p', 'u_p_div_u_r', 'tau_p_div_tau_r', 'tau_r_div_tau_p', 'u_r_div_tau_p', 'u_r_div_tau_r']",core_up_xtaup | product | ratio,6,0.8843450792325843,0.23900299884025678,0.7291379610762161,0.30416306526734294,0.8605196795745732,0.3430775744679071,0.6832273123575584,0.1405948676132338,0.7849076959818916,9.929190229102272,0.7277517758698921,6.68302947174085,0.7297207905635589,18.129055821746164,d,0.995305945287348
u_p_x_tau_p + u_p_div_u_r + tau_r_div_tau_p + u_r_div_tau_p + u_p_div_tau_p + tau_r_div_u_p,"['u_p_x_tau_p', 'u_p_div_u_r', 'tau_r_div_tau_p', 'u_r_div_tau_p', 'u_p_div_tau_p', 'tau_r_div_u_p']",core_up_xtaup | product | ratio,6,0.9252445265364909,0.19215106270797871,0.7529186327687325,0.2905041912185135,0.8760785811006198,0.3233769432490361,0.7682057321920199,0.09584079899733937,0.8367326590900657,8.65069609464222,0.6806809497790001,7.237744749946714,0.8806118603123246,12.048957118956595,d,0.995199735975276
tau_r_MPa + u_p_x_tau_p + u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p + u_r_div_tau_p,"['tau_r_MPa', 'u_p_x_tau_p', 'u_p_div_u_r', 'u_r_div_u_p', 'tau_r_div_tau_p', 'u_r_div_tau_p']",base_taur | core_up_xtaup | product | ratio,6,0.923417552558688,0.19448491134716328,0.7700100634779462,0.2802765876006502,0.9348108149472875,0.2345436280148635,0.7768695084063127,0.07769671470204736,0.8326499534765,8.758189023777872,0.6642907839784011,7.421171712345303,0.9190635281607737,9.92066993382359,d,0.9849558667113527
tau_peak_MPa_csds + u_p_x_tau_p + u_p_div_u_r + tau_p_div_tau_r + tau_r_div_tau_p + tau_r_div_u_p,"['tau_peak_MPa_csds', 'u_p_x_tau_p', 'u_p_div_u_r', 'tau_p_div_tau_r', 'tau_r_div_tau_p', 'tau_r_div_u_p']",base_taup | core_up_xtaup | product | ratio,6,0.9183152520958948,0.20085922331502615,0.7403578811332875,0.29779676585452014,0.9495217165473039,0.20638976274108806,0.7800080277247332,0.11237043515226543,0.8191600062771046,9.10434354387629,0.66122915380321,7.454935032021505,0.884879403249609,11.831651861188288,d,0.97999612415035
u_r_mm + u_p_x_tau_p + u_p_div_u_r + tau_p_div_tau_r + tau_r_div_tau_p + u_r_div_tau_p,"['u_r_mm', 'u_p_x_tau_p', 'u_p_div_u_r', 'tau_p_div_tau_r', 'tau_r_div_tau_p', 'u_r_div_tau_p']",base_ur | core_up_xtaup | product | ratio,6,0.878289791645272,0.2451798615332042,0.7233836388290961,0.30737697806214875,0.8656480140143574,0.33671146788649164,0.6699624642938354,0.1458550198222825,0.7795993075272817,10.050967594031992,0.7188943611583469,6.7908732928689295,0.7292637156416154,18.144378562350077,d,0.9792900913230362
tau_peak_MPa_csds + u_p_x_tau_p + u_p_div_u_r + tau_p_div_tau_r + tau_r_div_tau_p + u_r_div_tau_p,"['tau_peak_MPa_csds', 'u_p_x_tau_p', 'u_p_div_u_r', 'tau_p_div_tau_r', 'tau_r_div_tau_p', 'u_r_div_tau_p']",base_taup | core_up_xtaup | product | ratio,6,0.9072750892606044,0.21400282404134988,0.7480553851449228,0.2933492246039564,0.9157183551969743,0.2666873181381018,0.7481187526312155,0.1358104850361836,0.8069547042956438,9.406563829915138,0.6753585504291799,7.297814718177831,0.8528480546000234,13.376788799945833,d,0.9758368782411692
tau_r_MPa + u_p_x_tau_p + u_p_div_u_r + tau_p_div_tau_r + tau_r_div_tau_p + u_r_div_tau_r,"['tau_r_MPa', 'u_p_x_tau_p', 'u_p_div_u_r', 'tau_p_div_tau_r', 'tau_r_div_tau_p', 'u_r_div_tau_r']",base_taur | core_up_xtaup | product | ratio,6,0.91149448180832,0.20907709975342081,0.7602328847107843,0.2861720493914735,0.9266739916904827,0.2487510282459318,0.7440843421425519,0.1516807880787917,0.8113169748506115,9.299675843918282,0.6750274376871455,7.301535413143953,0.8738527821955681,12.385333476603856,d,0.9719015299505422
u_r_mm + u_p_x_tau_p + u_p_div_u_r + tau_p_div_tau_r + tau_r_div_tau_p + tau_r_div_u_p,"['u_r_mm', 'u_p_x_tau_p', 'u_p_div_u_r', 'tau_p_div_tau_r', 'tau_r_div_tau_p', 'tau_r_div_u_p']",base_ur | core_up_xtaup | product | ratio,6,0.9036599957525887,0.21813463276740386,0.705428382562572,0.31719611120996083,0.9198052694828733,0.2601409841797526,0.682803526542132,0.1649393775370757,0.8143617005971105,9.224337532051127,0.7036357825557867,6.972744178858166,0.8350167292445311,14.164094669431986,d,0.9685436080731452
delta_peak_mm + u_p_x_tau_p + u_p_div_u_r + tau_p_div_tau_r + tau_r_div_tau_p + u_r_div_tau_p,"['delta_peak_mm', 'u_p_x_tau_p', 'u_p_div_u_r', 'tau_p_div_tau_r', 'tau_r_div_tau_p', 'u_r_div_tau_p']",base_up | core_up_xtaup | product | ratio,6,0.8856530440589555,0.23764768951789508,0.7301563832328716,0.30359071092455303,0.8696312967969765,0.3316824827264985,0.6735242704985707,0.15144879281756463,0.7830546812319072,9.971868369585845,0.7057038403859951,6.948373351336631,0.7536815352517003,17.30682294705762,d,0.967321096353524
