Features,Feature_List,Branch_Signature,N_Features,R2_train_log,RMSE_train_log,R2_val_log,RMSE_val_log,R2_test_log,RMSE_test_log,R2_cv_mean_log,R2_cv_std_log,R2_train_d,RMSE_train_d,R2_val_d,RMSE_val_d,R2_test_d,RMSE_test_d,Selection_Mode,Selection_Score
u_r_mm + tau_p_x_tau_r + u_p_div_u_r + u_p_div_tau_p + tau_p_div_u_r + tau_p_div_sigma_n,"['u_r_mm', 'tau_p_x_tau_r', 'u_p_div_u_r', 'u_p_div_tau_p', 'tau_p_div_u_r', 'tau_p_div_sigma_n']",base_ur | core_sigma_combo | core_taup_over_sigma | core_taup_over_ur | product | ratio,6,0.8915300026239971,0.7901367438827333,0.9246848980281636,0.6500254765373239,0.8759153773752782,0.7969980728530005,0.8649639397500375,0.0495197540919071,0.2794790674044534,84.27806469253709,0.47036804215885963,14.884286894886928,0.7869485524319303,17.41626646649584,log,1.2922148924939916
u_r_mm + u_p_x_tau_r + u_p_div_u_r + u_p_div_tau_p + tau_p_div_u_r + tau_p_div_sigma_n,"['u_r_mm', 'u_p_x_tau_r', 'u_p_div_u_r', 'u_p_div_tau_p', 'tau_p_div_u_r', 'tau_p_div_sigma_n']",base_ur | core_sigma_combo | core_taup_over_sigma | core_taup_over_ur | product | ratio,6,0.8831506053331457,0.8200884151874835,0.9235241000249255,0.6550155984933117,0.8548682057386551,0.861945033052256,0.8624801396034038,0.04274702459575614,0.22606398324204102,87.34615297736437,0.645136143783152,12.183493194738787,0.7558591379504092,18.643740650541844,log,1.2904894673670517
u_r_mm + u_p_div_u_r + u_p_div_tau_p + tau_p_div_u_r + tau_r_div_u_r + tau_p_div_sigma_n,"['u_r_mm', 'u_p_div_u_r', 'u_p_div_tau_p', 'tau_p_div_u_r', 'tau_r_div_u_r', 'tau_p_div_sigma_n']",base_ur | core_sigma_combo | core_taup_over_sigma | core_taup_over_ur | ratio,6,0.8968598483715772,0.7704799227158079,0.9121076537988716,0.7022065448833079,0.8684345287489417,0.8206713116539319,0.8724165305160814,0.03978770968211928,0.21949665914280259,87.71596308880538,0.24847670487245577,17.730139996021506,0.8597681981296679,14.12980190626921,log,1.2843371480887003
u_r_mm + tau_r_MPa + u_p_div_u_r + u_p_div_tau_p + tau_p_div_u_r + tau_p_div_sigma_n,"['u_r_mm', 'tau_r_MPa', 'u_p_div_u_r', 'u_p_div_tau_p', 'tau_p_div_u_r', 'tau_p_div_sigma_n']",base_taur | base_ur | core_sigma_combo | core_taup_over_sigma | core_taup_over_ur | ratio,6,0.8871736608776264,0.8058471827029038,0.9186504187821628,0.6755647877590635,0.8604528049507314,0.8451987476380165,0.8609489606744658,0.04847962614795636,0.2864239960508491,83.8709131708247,0.5229304002007249,14.126410189798285,0.8260812648459288,15.735697572744119,log,1.2842769365045998
sigma_n_MPa + u_r_mm + u_p_div_u_r + u_p_div_tau_p + tau_p_div_u_r + tau_p_div_sigma_n,"['sigma_n_MPa', 'u_r_mm', 'u_p_div_u_r', 'u_p_div_tau_p', 'tau_p_div_u_r', 'tau_p_div_sigma_n']",base_sigma | base_ur | core_sigma_combo | core_taup_over_sigma | core_taup_over_ur | ratio,6,0.885831876447232,0.8106247791069308,0.9135828048401391,0.6962888285349093,0.8505449262627496,0.8746889110172684,0.8640133607743014,0.04612396331461766,0.2578292413728491,85.53486466632349,0.3053176475649374,17.046454923307273,0.8173749464629037,16.124750155246346,log,1.280977088895828
u_r_mm + u_p_div_u_r + u_p_div_tau_p + tau_p_div_u_r + tau_p_div_sigma_n + sigma_n_div_u_r,"['u_r_mm', 'u_p_div_u_r', 'u_p_div_tau_p', 'tau_p_div_u_r', 'tau_p_div_sigma_n', 'sigma_n_div_u_r']",base_ur | core_sigma_combo | core_taup_over_sigma | core_taup_over_ur | ratio,6,0.8854914980831302,0.8118322693362534,0.9142127546411157,0.6937463409392002,0.8511363845154833,0.8729564344484728,0.8628622266573348,0.05093723267492412,0.24716947201926065,86.14694163748982,0.36685777406106757,16.273897662100737,0.8042903144713012,16.692407396910433,log,1.2805501447022907
u_r_mm + sigma_n_x_u_r + u_p_div_u_r + u_p_div_tau_p + tau_p_div_u_r + tau_p_div_sigma_n,"['u_r_mm', 'sigma_n_x_u_r', 'u_p_div_u_r', 'u_p_div_tau_p', 'tau_p_div_u_r', 'tau_p_div_sigma_n']",base_ur | core_sigma_combo | core_taup_over_sigma | core_taup_over_ur | product | ratio,6,0.8849936717083646,0.81359507820329,0.9109756711604187,0.7067140056000137,0.8492908608988118,0.8783509668051931,0.862198057447521,0.04687174818560914,0.2596942337955316,85.42732727421433,0.275631093884267,17.4068762220883,0.8212040476549993,15.954810763129636,log,1.2773875250656184
u_r_mm + u_p_div_u_r + u_p_div_tau_p + tau_p_div_u_r + tau_p_div_u_p + tau_p_div_sigma_n,"['u_r_mm', 'u_p_div_u_r', 'u_p_div_tau_p', 'tau_p_div_u_r', 'tau_p_div_u_p', 'tau_p_div_sigma_n']",base_ur | core_sigma_combo | core_taup_over_sigma | core_taup_over_ur | ratio,6,0.8825147348667518,0.8223167643161158,0.9096856156317265,0.7118161005326741,0.8619479152968441,0.8406588198464621,0.8579347312706996,0.04936558080609332,0.2652105808949031,85.1084536655937,-0.36970606378162363,23.936168335912278,0.8221927312466771,15.910637149192226,log,1.2737164231864668
u_r_mm + u_p_div_u_r + u_p_div_tau_p + tau_p_div_u_r + tau_p_div_u_p + tau_r_div_u_r,"['u_r_mm', 'u_p_div_u_r', 'u_p_div_tau_p', 'tau_p_div_u_r', 'tau_p_div_u_p', 'tau_r_div_u_r']",base_ur | core_taup_over_ur | ratio,6,0.8964692840381374,0.7719373456152384,0.8972214650395005,0.759347479143189,0.8651125117354437,0.8309676619230912,0.8685013696979518,0.03829592000549014,0.13094605172149543,92.5581405914928,-0.2740612170722001,23.08533011040204,0.8186362614500293,16.06897021808577,log,1.2676425578879273
u_r_mm + u_r_x_tau_p + u_p_div_u_r + u_p_div_tau_p + tau_p_div_u_r + tau_r_div_u_r,"['u_r_mm', 'u_r_x_tau_p', 'u_p_div_u_r', 'u_p_div_tau_p', 'tau_p_div_u_r', 'tau_r_div_u_r']",base_ur | core_taup_over_ur | product | ratio,6,0.8959673012408539,0.7738065043910163,0.8963051257606817,0.762725012556817,0.8632459945504709,0.8366972024058165,0.8668441570167508,0.03862033740330044,0.2953710505996908,83.3434538126269,0.27073470980013015,17.46560817898595,0.8445610745545208,14.876223984685558,log,1.265865170528727
