Features,Feature_List,Branch_Signature,N_Features,R2_train_log,RMSE_train_log,R2_val_log,RMSE_val_log,R2_test_log,RMSE_test_log,R2_cv_mean_log,R2_cv_std_log,R2_train_d,RMSE_train_d,R2_val_d,RMSE_val_d,R2_test_d,RMSE_test_d,Selection_Mode,Selection_Score
u_r_x_tau_r + u_p_x_tau_r + u_p_div_u_r + tau_r_div_tau_p + u_r_div_tau_r,"['u_r_x_tau_r', 'u_p_x_tau_r', 'u_p_div_u_r', 'tau_r_div_tau_p', 'u_r_div_tau_r']",product | ratio,5,0.7689920042230467,0.4877527069933738,0.6438478443886155,0.5314605923254394,0.6945993430688632,0.5337765682958773,0.6241733311138521,0.1909641809885914,0.2565433975146044,162.00302202156504,0.7006230517767753,63.31201606941362,0.5361996880243141,39.496580381392285,log,0.8868380918466825
u_r_x_tau_r + u_p_div_u_r + tau_r_div_tau_p + u_r_div_tau_r + tau_p_div_u_p,"['u_r_x_tau_r', 'u_p_div_u_r', 'tau_r_div_tau_p', 'u_r_div_tau_r', 'tau_p_div_u_p']",product | ratio,5,0.7609973158949551,0.49612095546866675,0.6194425256196032,0.549368060678606,0.6715230501483364,0.5535756407752963,0.6241006321761893,0.1970053718097175,0.24951328081862834,162.76716914480755,0.6809521852708565,65.3589176805426,0.5398867826277257,39.33927323169188,log,0.8617923045267261
u_r_x_tau_r + u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p + u_r_div_tau_r,"['u_r_x_tau_r', 'u_p_div_u_r', 'u_r_div_u_p', 'tau_r_div_tau_p', 'u_r_div_tau_r']",product | ratio,5,0.7598259352874149,0.49733524337726415,0.6238910892642817,0.5461476760497295,0.6412428477324814,0.5785285630867468,0.6124931482412049,0.18674039514969124,0.2464895689153771,163.09473409767818,0.6817602603706933,65.27609561449118,0.5482627295450038,38.97956062423089,log,0.8614636238699149
u_r_mm + u_r_x_tau_r + u_p_div_u_r + tau_r_div_tau_p + u_r_div_tau_r,"['u_r_mm', 'u_r_x_tau_r', 'u_p_div_u_r', 'tau_r_div_tau_p', 'u_r_div_tau_r']",base_ur | product | ratio,5,0.7668861804553512,0.4899707927550643,0.6064941311036687,0.5586359565433411,0.612680297173041,0.6011174241897672,0.6317710759742836,0.19291504447825264,0.2518127133283581,162.5176249251554,0.6626894630238414,67.20350412907791,0.5870661226953346,37.26784107446788,log,0.8530881646429852
delta_peak_mm + u_r_x_tau_r + u_p_div_u_r + tau_r_div_tau_p + u_r_div_tau_r,"['delta_peak_mm', 'u_r_x_tau_r', 'u_p_div_u_r', 'tau_r_div_tau_p', 'u_r_div_tau_r']",base_up | product | ratio,5,0.8081154403006117,0.44453524245748205,0.5967703804250764,0.5654959405148522,0.7370099548698706,0.4953294804311093,0.6476807086181849,0.18313477458527247,0.2602379627810264,161.59998828651132,0.6291243536595568,70.46786647586697,0.5660943387833364,38.20248694638678,log,0.8522972572756414
tau_peak_MPa_csds + u_r_x_tau_r + u_p_div_u_r + tau_p_div_tau_r + tau_r_div_tau_p + u_r_div_tau_r,"['tau_peak_MPa_csds', 'u_r_x_tau_r', 'u_p_div_u_r', 'tau_p_div_tau_r', 'tau_r_div_tau_p', 'u_r_div_tau_r']",base_taup | product | ratio,6,0.7842823728425331,0.4713342501747093,0.5927789905988429,0.5682878443909812,0.4863027284986082,0.6922742077140722,0.6440512156603283,0.19434012507484824,0.2578321265293393,161.8625507767073,0.6660692013144873,66.86597825646062,0.3623756572749057,46.31017500675397,log,0.8353705859215221
u_r_mm + u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p + u_r_div_tau_r + tau_p_div_u_p,"['u_r_mm', 'u_p_div_u_r', 'u_r_div_u_p', 'tau_r_div_tau_p', 'u_r_div_tau_r', 'tau_p_div_u_p']",base_ur | ratio,6,0.7313970057266377,0.5259465457248227,0.6276525367567635,0.543409814958042,0.7505714841306671,0.48238919674401537,0.5691704881725809,0.21902314604847353,0.23275495365509868,164.57442682264676,0.614560617881917,71.83812819563445,0.5012353859310099,40.958287934491004,log,0.8303354662382065
u_r_x_tau_r + u_p_x_tau_p + u_p_div_u_r + tau_r_div_tau_p + u_r_div_tau_r,"['u_r_x_tau_r', 'u_p_x_tau_p', 'u_p_div_u_r', 'tau_r_div_tau_p', 'u_r_div_tau_r']",core_up_xtaup | product | ratio,5,0.7660949993560149,0.4908015613156745,0.6164786128959341,0.5515032452187961,0.6606570339366719,0.5626572866390437,0.5363694060097317,0.16637579976659983,0.25577557733203093,162.08665641913908,0.7031616996704635,63.04300888396836,0.5388329703709035,39.38429747437874,log,0.81802573592414
u_r_mm + u_p_div_u_r + tau_p_div_tau_r + tau_r_div_tau_p + u_r_div_tau_r,"['u_r_mm', 'u_p_div_u_r', 'tau_p_div_tau_r', 'tau_r_div_tau_p', 'u_r_div_tau_r']",base_ur | ratio,5,0.7431624863135865,0.5142986813724989,0.6223858866992886,0.5472394369987015,0.7217498736996217,0.5094976753727017,0.49837320207324326,0.23271966646595454,0.24976738314806357,162.7396116829084,0.6929634507601583,64.11682418459353,0.45704549522281346,42.73421179967032,log,0.7983005210893147
tau_r_MPa + u_r_x_tau_r + u_p_div_u_r + tau_r_div_tau_p + u_r_div_tau_r,"['tau_r_MPa', 'u_r_x_tau_r', 'u_p_div_u_r', 'tau_r_div_tau_p', 'u_r_div_tau_r']",base_taur | product | ratio,5,0.7703910885596571,0.4862734431497029,0.5459787156549416,0.6000554506406842,0.6536936635905739,0.5684008788494105,0.6374667849980545,0.17724753171846505,0.23329788509350768,164.51618699195552,0.4559742106024981,85.34669511420125,0.6892898126709779,32.32747050763039,log,0.7969873549821223
sigma_n_x_u_r + u_r_x_tau_r + u_r_div_u_p + tau_r_div_tau_p + u_r_div_tau_r,"['sigma_n_x_u_r', 'u_r_x_tau_r', 'u_r_div_u_p', 'tau_r_div_tau_p', 'u_r_div_tau_r']",core_sigma_combo | product | ratio,5,0.5767812754452427,0.6601895098736434,0.6430830287041274,0.5320309263905879,-0.6627802383283052,1.2454948868817293,0.42920625279350116,0.12110306673655423,0.08915893902315564,179.31499354213713,0.7356293861907967,59.49542268936035,0.5479203918821524,38.99432766403191,log,0.7955758484272225
