Features,Feature_List,Branch_Signature,N_Features,R2_train_log,RMSE_train_log,R2_val_log,RMSE_val_log,R2_test_log,RMSE_test_log,R2_cv_mean_log,R2_cv_std_log,R2_train_d,RMSE_train_d,R2_val_d,RMSE_val_d,R2_test_d,RMSE_test_d,Selection_Mode,Selection_Score
delta_peak_mm + tau_peak_MPa_csds + tau_p_x_tau_r + u_p_div_tau_p + tau_r_div_u_r + sigma_n_div_u_p,"['delta_peak_mm', 'tau_peak_MPa_csds', 'tau_p_x_tau_r', 'u_p_div_tau_p', 'tau_r_div_u_r', 'sigma_n_div_u_p']",base_taup | base_up | core_sigma_combo | product | ratio,6,0.935065259055298,0.49636543743720074,0.9272427417647936,0.4903922218680335,0.8473606175214192,0.7372773411684823,0.9104312149004518,0.042815531411783465,0.8771477889189189,3.2846931233742778,0.039122542757007106,3.116063676104296,-0.15746995357211802,5.700263365825436,log,1.318176796073841
delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa + tau_p_x_tau_r + u_p_div_tau_p + tau_r_div_u_r,"['delta_peak_mm', 'tau_peak_MPa_csds', 'tau_r_MPa', 'tau_p_x_tau_r', 'u_p_div_tau_p', 'tau_r_div_u_r']",base_taup | base_taur | base_up | product | ratio,6,0.9415952196558227,0.4707465812989682,0.9125249540896632,0.5377092410564029,0.8721959400026141,0.6746366206990698,0.9197773821440398,0.038296749029504334,0.9427836273747513,2.2416276413094707,-1.0125652996684038,4.509696464274815,0.17733531615208442,4.80564278453013,log,1.3085839702587325
delta_peak_mm + tau_peak_MPa_csds + tau_p_x_tau_r + u_p_div_u_r + u_p_div_tau_p + tau_r_div_u_r,"['delta_peak_mm', 'tau_peak_MPa_csds', 'tau_p_x_tau_r', 'u_p_div_u_r', 'u_p_div_tau_p', 'tau_r_div_u_r']",base_taup | base_up | product | ratio,6,0.9380198829427957,0.48494130108124867,0.9148182669208914,0.5306139294250886,0.9026280493800062,0.5888633452291173,0.907490524452394,0.06107542837151415,0.8929005115941167,3.0668816060060085,0.1617799688632393,2.9103910017739643,0.15278135793929992,4.8768321705198865,log,1.302455986309937
delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa + tau_p_x_tau_r + u_p_div_tau_p + tau_p_div_u_r,"['delta_peak_mm', 'tau_peak_MPa_csds', 'tau_r_MPa', 'tau_p_x_tau_r', 'u_p_div_tau_p', 'tau_p_div_u_r']",base_taup | base_taur | base_up | core_taup_over_ur | product | ratio,6,0.9326726093329339,0.5054275011675154,0.9136700535745871,0.5341781829417667,0.8586258701751365,0.7095492724937947,0.9065514341735152,0.04503571494276852,0.8824663466954115,3.2128054691014394,-1.1837876225127135,4.697616091071222,0.15830712370062283,4.86090221129603,log,1.3024421991670678
delta_peak_mm + tau_r_MPa + tau_p_x_tau_r + tau_r_div_tau_p + u_p_div_tau_p + tau_p_div_u_r,"['delta_peak_mm', 'tau_r_MPa', 'tau_p_x_tau_r', 'tau_r_div_tau_p', 'u_p_div_tau_p', 'tau_p_div_u_r']",base_taur | base_up | core_taup_over_ur | product | ratio,6,0.9292025242684459,0.5182888476013109,0.916200000132668,0.5262927892037713,0.8586915484190897,0.7093844355324522,0.8941220306114414,0.04386775677910859,0.5933533770255675,5.976018010059936,-0.8801693940587876,4.35883882791916,0.1684950016990483,4.831394389172468,log,1.2988742397604778
tau_peak_MPa_csds + tau_r_MPa + tau_p_x_tau_r + u_p_div_u_r + u_p_div_tau_p + tau_p_div_u_r,"['tau_peak_MPa_csds', 'tau_r_MPa', 'tau_p_x_tau_r', 'u_p_div_u_r', 'u_p_div_tau_p', 'tau_p_div_u_r']",base_taup | base_taur | core_taup_over_ur | product | ratio,6,0.9063270591531506,0.5961699132003178,0.9354643682979858,0.4618545149427891,0.9332942238221357,0.4873930226198892,0.8600801700903971,0.0681389072924483,0.4318298074568283,7.063867357104744,0.9102942346769064,0.9520998556712119,0.3651190092164345,4.221688840373687,log,1.2986905626139396
delta_peak_mm + tau_r_MPa + tau_p_x_tau_r + tau_p_div_tau_r + u_p_div_tau_p + tau_p_div_u_r,"['delta_peak_mm', 'tau_r_MPa', 'tau_p_x_tau_r', 'tau_p_div_tau_r', 'u_p_div_tau_p', 'tau_p_div_u_r']",base_taur | base_up | core_taup_over_ur | product | ratio,6,0.9388431009386472,0.48171004819213953,0.90781714304695,0.5519890882368947,0.8697359443385173,0.6810984381984593,0.9078571780509185,0.035589166466387386,0.6773731168573224,5.32296473422677,-1.1096990175225998,4.617241301278342,0.20058139452392776,4.737259598136243,log,1.2981868154257705
delta_peak_mm + tau_peak_MPa_csds + tau_p_x_tau_r + u_p_div_tau_p + tau_p_div_u_r + tau_r_div_u_r,"['delta_peak_mm', 'tau_peak_MPa_csds', 'tau_p_x_tau_r', 'u_p_div_tau_p', 'tau_p_div_u_r', 'tau_r_div_u_r']",base_taup | base_up | core_taup_over_ur | product | ratio,6,0.9392083040354581,0.4802696103667006,0.907155356827974,0.553966926097128,0.8662767652820806,0.6900825147622697,0.9108833444073305,0.04540952420273557,0.9157801456765141,2.7196345863471905,-0.22372417233003272,3.516528089547624,0.09573644599917952,5.0383411675272685,log,1.2980560766113658
delta_peak_mm + tau_r_MPa + u_r_x_tau_p + tau_p_x_tau_r + u_p_div_tau_p + tau_p_div_u_r,"['delta_peak_mm', 'tau_r_MPa', 'u_r_x_tau_p', 'tau_p_x_tau_r', 'u_p_div_tau_p', 'tau_p_div_u_r']",base_taur | base_up | core_taup_over_ur | product | ratio,6,0.9127032775400373,0.5755220222872136,0.9289719612630752,0.4845296099084281,0.8480777579780925,0.7355433394516349,0.866053427587528,0.04814417284750841,-0.2826703579891572,10.613554195838512,-0.7495067265602249,4.204652704149305,0.10963581064112404,4.999469239937732,log,1.2971842577720882
delta_peak_mm + tau_r_MPa + tau_p_x_tau_r + u_p_div_tau_p + tau_p_div_u_r + sigma_n_div_u_p,"['delta_peak_mm', 'tau_r_MPa', 'tau_p_x_tau_r', 'u_p_div_tau_p', 'tau_p_div_u_r', 'sigma_n_div_u_p']",base_taur | base_up | core_sigma_combo | core_taup_over_ur | product | ratio,6,0.9012238200047524,0.6121940305711325,0.9324183971983369,0.4726282257859305,0.8606130042049815,0.7045449650668341,0.862003458910331,0.06492314462619464,0.5394928456120522,6.359478501506344,-0.3168317378435701,3.647854134915683,0.10651204268116099,5.008231670019041,log,1.296927812190883
delta_peak_mm + tau_r_MPa + sigma_n_x_tau_p + tau_p_x_tau_r + u_p_div_tau_p + tau_p_div_u_r,"['delta_peak_mm', 'tau_r_MPa', 'sigma_n_x_tau_p', 'tau_p_x_tau_r', 'u_p_div_tau_p', 'tau_p_div_u_r']",base_taur | base_up | core_sigma_combo | core_taup_over_ur | product | ratio,6,0.899506706796197,0.6174922574692042,0.934496623292219,0.46530450253931827,0.859484250303176,0.7073919105910973,0.8580979354557432,0.06706167213554834,0.7004278659154619,5.12925179685001,-0.2257400638534337,3.519423358863279,0.14660629238017042,4.894572622688378,log,1.2968394238065357
tau_peak_MPa_csds + tau_r_MPa + tau_p_x_tau_r + u_p_div_u_r + u_p_div_tau_p + tau_r_div_u_r,"['tau_peak_MPa_csds', 'tau_r_MPa', 'tau_p_x_tau_r', 'u_p_div_u_r', 'u_p_div_tau_p', 'tau_r_div_u_r']",base_taup | base_taur | product | ratio,6,0.9061720107981179,0.5966631022966328,0.9343890833698075,0.4656863018579127,0.9331350538001076,0.48797417270396626,0.8574304022178231,0.06919880211821204,0.42867304930296435,7.083463627438788,0.9085927125905542,0.9610870644470353,0.365411541435791,4.220716120827714,log,1.296184404266898
tau_r_MPa + u_r_x_u_p + tau_p_x_tau_r + tau_r_div_tau_p + u_p_div_tau_p + tau_p_div_u_r,"['tau_r_MPa', 'u_r_x_u_p', 'tau_p_x_tau_r', 'tau_r_div_tau_p', 'u_p_div_tau_p', 'tau_p_div_u_r']",base_taur | core_taup_over_ur | product | ratio,6,0.9148331826571658,0.5684577428698486,0.9186570070728691,0.5185199669147939,0.837858477947332,0.7598794670396967,0.8775542206481092,0.047334579141223146,0.7257135282894731,4.908010765092364,0.45659943042711393,2.3433241379912726,0.11733929435424717,4.977794403074105,log,1.2927006594828014
tau_r_MPa + sigma_n_x_tau_r + u_r_x_u_p + tau_p_x_tau_r + u_p_div_tau_p + tau_p_div_u_r,"['tau_r_MPa', 'sigma_n_x_tau_r', 'u_r_x_u_p', 'tau_p_x_tau_r', 'u_p_div_tau_p', 'tau_p_div_u_r']",base_taur | core_sigma_combo | core_taup_over_ur | product | ratio,6,0.8887563541351233,0.6496816256599104,0.9301120246707941,0.4806253133524433,0.8405211443842862,0.7536143196117866,0.8490312187396853,0.06342908901249257,0.6242852992730503,5.74423774982371,0.6303821413415273,1.9326303472423638,0.12965356788039073,4.942949064128469,log,1.2882847251393874
delta_peak_mm + tau_r_MPa + u_p_div_u_r + tau_r_div_tau_p + u_p_div_tau_p + tau_p_div_u_r,"['delta_peak_mm', 'tau_r_MPa', 'u_p_div_u_r', 'tau_r_div_tau_p', 'u_p_div_tau_p', 'tau_p_div_u_r']",base_taur | base_up | core_taup_over_ur | ratio,6,0.898239764542092,0.6213725000447436,0.9411287003580282,0.44112048115140856,0.8596755899247186,0.7069101204386716,0.8329624445887305,0.10019026604645133,-4.717498789617768,22.408168075440695,0.9263517321201166,0.862687668316734,-0.4610869515052878,6.404394702831267,log,1.2875908960477482
delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa + u_r_x_tau_p + tau_p_x_tau_r + u_p_div_tau_p,"['delta_peak_mm', 'tau_peak_MPa_csds', 'tau_r_MPa', 'u_r_x_tau_p', 'tau_p_x_tau_r', 'u_p_div_tau_p']",base_taup | base_taur | base_up | product | ratio,6,0.9330342563525057,0.5040682292065001,0.8982429039085152,0.5799462747817724,0.8640823689027235,0.6957215967112651,0.9032483502328814,0.04738616550480954,0.9260276361484967,2.548813514633645,-1.2826205785720846,4.802741207336243,0.20313104662807602,4.729699097392232,log,1.285128462474475
delta_peak_mm + tau_peak_MPa_csds + u_p_x_tau_r + tau_p_x_tau_r + u_p_div_tau_p + tau_r_div_u_r,"['delta_peak_mm', 'tau_peak_MPa_csds', 'u_p_x_tau_r', 'tau_p_x_tau_r', 'u_p_div_tau_p', 'tau_r_div_u_r']",base_taup | base_up | product | ratio,6,0.9285759947516907,0.5205771213096416,0.8991719679233082,0.5772926872775385,0.840270056938864,0.754207340776915,0.90055474678658,0.050264419120247705,0.8885763344673017,3.128182148838155,-0.11644681996628337,3.3588556650493238,-0.1737809273255484,5.740286684837584,log,1.2844228994045734
delta_peak_mm + tau_peak_MPa_csds + tau_p_x_tau_r + tau_r_div_tau_p + u_p_div_tau_p + tau_r_div_u_r,"['delta_peak_mm', 'tau_peak_MPa_csds', 'tau_p_x_tau_r', 'tau_r_div_tau_p', 'u_p_div_tau_p', 'tau_r_div_u_r']",base_taup | base_up | product | ratio,6,0.9307135247736629,0.5127282084361735,0.8955043039787526,0.5876985406542823,0.8329254040468372,0.7713523313074597,0.9034915995185292,0.049694421137194245,0.7748262190684598,4.4469497575556804,0.042174687329397664,3.1111107857825844,-0.2457347626783457,5.913612325769169,log,1.2822806616242977
u_r_mm + tau_r_MPa + u_r_x_u_p + tau_p_x_tau_r + u_p_div_tau_p + tau_p_div_u_r,"['u_r_mm', 'tau_r_MPa', 'u_r_x_u_p', 'tau_p_x_tau_r', 'u_p_div_tau_p', 'tau_p_div_u_r']",base_taur | base_ur | core_taup_over_ur | product | ratio,6,0.8924001236538943,0.63895292616138,0.9177981098908891,0.521250293562611,0.8365758832674735,0.7628789996278664,0.8569044874531343,0.06216031172114931,0.8953042593249279,3.032269652746476,0.5985516674869624,2.014128387950594,0.06782591918859371,5.115505666898091,log,1.2800343224453412
tau_r_MPa + sigma_n_x_tau_r + tau_p_x_tau_r + tau_r_div_tau_p + u_p_div_tau_p,"['tau_r_MPa', 'sigma_n_x_tau_r', 'tau_p_x_tau_r', 'tau_r_div_tau_p', 'u_p_div_tau_p']",base_taur | core_sigma_combo | product | ratio,5,0.8663701937575959,0.7120568137628319,0.928712874153965,0.4854125084681509,0.845388025270245,0.7420260467502235,0.815418375527778,0.07204515042722082,0.2876828026364159,7.909336037155479,0.7775138036007287,1.4994219258137034,0.1768560350921966,4.807042454555841,log,1.279217546875132
delta_peak_mm + tau_r_MPa + tau_p_x_tau_r + tau_r_div_tau_p + u_p_div_tau_p + sigma_n_div_tau_r,"['delta_peak_mm', 'tau_r_MPa', 'tau_p_x_tau_r', 'tau_r_div_tau_p', 'u_p_div_tau_p', 'sigma_n_div_tau_r']",base_taur | base_up | core_sigma_combo | product | ratio,6,0.9051131392952814,0.6000204004451558,0.9151689384276074,0.529520601803621,0.84003900128684,0.7547526389570752,0.8575750106191192,0.054528283921092345,0.5883116802067027,6.012949901763967,-0.9934587425950461,4.488238712413193,0.1652512747539805,4.840808926645057,log,1.2785036153450577
delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa + tau_p_x_tau_r + u_p_div_tau_p + sigma_n_div_tau_r,"['delta_peak_mm', 'tau_peak_MPa_csds', 'tau_r_MPa', 'tau_p_x_tau_r', 'u_p_div_tau_p', 'sigma_n_div_tau_r']",base_taup | base_taur | base_up | core_sigma_combo | product | ratio,6,0.9168030190095727,0.5618453111371013,0.906296239899666,0.5565240282204568,0.8466998052482099,0.7388715422944432,0.8747867042243076,0.05712559568386459,0.8886757555937155,3.126786229942566,-1.3246079913254376,4.846711673263436,0.1625686551168789,4.848581105359546,log,1.2779770324434334
tau_peak_MPa_csds + tau_r_MPa + tau_p_x_tau_r + u_p_div_tau_p + tau_p_div_u_r + tau_r_div_u_p,"['tau_peak_MPa_csds', 'tau_r_MPa', 'tau_p_x_tau_r', 'u_p_div_tau_p', 'tau_p_div_u_r', 'tau_r_div_u_p']",base_taup | base_taur | core_taup_over_ur | product | ratio,6,0.8748731297729544,0.6890302171738533,0.9301547595099614,0.4804783453928242,0.8838833592986051,0.6430501120144565,0.830033134404119,0.07898650768415487,0.18965529574435547,8.436031870238752,0.639288705990313,1.9092033673885405,0.24759311784011384,4.595856270106283,log,1.2772726759436053
tau_r_MPa + u_r_x_u_p + tau_p_x_tau_r + u_p_div_tau_p + tau_p_div_u_r + tau_r_div_u_p,"['tau_r_MPa', 'u_r_x_u_p', 'tau_p_x_tau_r', 'u_p_div_tau_p', 'tau_p_div_u_r', 'tau_r_div_u_p']",base_taur | core_taup_over_ur | product | ratio,6,0.8990187968160565,0.6189894510624157,0.9167428622774548,0.5245853390795548,0.8850300208630367,0.6398671476172989,0.8545212081942992,0.06732373219705327,0.4675371817770726,6.838296949388834,0.4534036530691812,2.3502046644785906,0.1780723170111127,4.803489685870679,log,1.2772710931548992
delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa + tau_p_x_tau_r + u_p_div_tau_p + sigma_n_div_u_p,"['delta_peak_mm', 'tau_peak_MPa_csds', 'tau_r_MPa', 'tau_p_x_tau_r', 'u_p_div_tau_p', 'sigma_n_div_u_p']",base_taup | base_taur | base_up | core_sigma_combo | product | ratio,6,0.9169435652266271,0.5613705426438839,0.9048875818276254,0.5606915648078544,0.8476404562061621,0.7366011940052835,0.8747722137581336,0.057098063450575866,0.8884711010008036,3.129658997410572,-1.2732274773385357,4.792849256671539,0.16415133657777037,4.843997214029581,log,1.2765638823616345
tau_r_MPa + u_r_x_u_p + tau_p_x_tau_r + tau_r_div_tau_p + u_p_div_tau_p + sigma_n_div_tau_r,"['tau_r_MPa', 'u_r_x_u_p', 'tau_p_x_tau_r', 'tau_r_div_tau_p', 'u_p_div_tau_p', 'sigma_n_div_tau_r']",base_taur | core_sigma_combo | product | ratio,6,0.899022896784271,0.6189768850463903,0.9127032680750816,0.5371609133078268,0.8308145270762509,0.7762097998999145,0.8547850662485631,0.04917916869655108,0.6775581970055273,5.3214377126356585,0.08802205159878917,3.0357394197367227,0.12767978735637553,4.948550725225725,log,1.275177884329708
tau_r_MPa + tau_p_x_tau_r + tau_r_div_tau_p + u_r_div_tau_p + tau_p_div_u_r + tau_r_div_sigma_n,"['tau_r_MPa', 'tau_p_x_tau_r', 'tau_r_div_tau_p', 'u_r_div_tau_p', 'tau_p_div_u_r', 'tau_r_div_sigma_n']",base_taur | core_sigma_combo | core_taup_over_ur | product | ratio,6,0.8696020707984499,0.7033934576271658,0.9410860608918462,0.44128020021147,0.841020076704329,0.7524345485287738,0.7985292635656618,0.06698558389920249,0.2682341125952751,8.01658483346138,0.7388946300663048,1.6243522835138395,0.1962012498328648,4.750219977681082,log,1.2736521342847569
tau_r_MPa + tau_p_x_tau_r + tau_r_div_tau_p + u_p_div_tau_p + tau_p_div_u_r + tau_r_div_sigma_n,"['tau_r_MPa', 'tau_p_x_tau_r', 'tau_r_div_tau_p', 'u_p_div_tau_p', 'tau_p_div_u_r', 'tau_r_div_sigma_n']",base_taur | core_sigma_combo | core_taup_over_ur | product | ratio,6,0.8667445068101696,0.7110588363054069,0.9373891338254906,0.45491501006713986,0.8421906583387454,0.7496593132471777,0.8055824977974613,0.06900937566601141,0.2596350816057956,8.06354898500326,0.7242378016670772,1.6693203500383107,0.20175975946805758,4.733766885302501,log,1.2732794451576201
delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa + sigma_n_x_tau_r + tau_p_x_tau_r + u_p_div_tau_p,"['delta_peak_mm', 'tau_peak_MPa_csds', 'tau_r_MPa', 'sigma_n_x_tau_r', 'tau_p_x_tau_r', 'u_p_div_tau_p']",base_taup | base_taur | base_up | core_sigma_combo | product | ratio,6,0.9189063096602741,0.5546978843296891,0.8991704177744609,0.5772971249628515,0.8476671325191594,0.7365367062032654,0.8777331166722769,0.052527067759725495,0.8528306682694049,3.595108248983218,-1.5883116731580325,5.11423413912119,0.14880129789679142,4.888273928957166,log,1.272784269334627
tau_peak_MPa_csds + tau_r_MPa + u_r_x_u_p + u_p_x_tau_r + tau_p_x_tau_r + u_p_div_tau_p,"['tau_peak_MPa_csds', 'tau_r_MPa', 'u_r_x_u_p', 'u_p_x_tau_r', 'tau_p_x_tau_r', 'u_p_div_tau_p']",base_taup | base_taur | product | ratio,6,0.9123077413789977,0.5768243764414888,0.8993878335906625,0.5766743848098397,0.8296750685678886,0.7788192871068756,0.8776636046652037,0.05567306284973072,0.9038004404916549,2.906630687121036,-0.10165616732922023,3.336532476792725,0.11013611767207998,4.998064409692821,log,1.2726523296382912
