Dataset,Model_ID,Features,R2_train,RMSE_train,R2_val,RMSE_val,Log_Equation,Exponential_Equation
FULL,4,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa,-1.979887343759934,154.3648434207547,0.7725324320413942,17.99585802336812,log(d_csds) = -0.235579 - 0.116646*u_r_mm + 0.426615*delta_peak_mm + 0.151086*tau_peak_MPa_csds + 0.118531*tau_r_MPa,d_csds = exp(-0.235579 - 0.116646*u_r_mm + 0.426615*delta_peak_mm + 0.151086*tau_peak_MPa_csds + 0.118531*tau_r_MPa)
FULL,3,u_r_mm + delta_peak_mm + tau_peak_MPa_csds,-3591.135990690736,5359.507201279717,0.738934360290772,19.27914074695712,log(d_csds) = -0.105996 - 0.140223*u_r_mm + 0.512010*delta_peak_mm + 0.225582*tau_peak_MPa_csds,d_csds = exp(-0.105996 - 0.140223*u_r_mm + 0.512010*delta_peak_mm + 0.225582*tau_peak_MPa_csds)
FULL,1,u_r_mm,-0.05060868946414043,91.65770274609574,-0.1704102041478197,40.820833283916016,log(d_csds) = 1.255227 - 0.053990*u_r_mm,d_csds = exp(1.255227 - 0.053990*u_r_mm)
FULL,2,u_r_mm + delta_peak_mm,-0.24590175745010368,99.81375018362534,-395.8073799105469,751.6275433035067,log(d_csds) = 0.811144 - 0.180811*u_r_mm + 0.872420*delta_peak_mm,d_csds = exp(0.811144 - 0.180811*u_r_mm + 0.872420*delta_peak_mm)
HIGH,2,u_r_mm + delta_peak_mm,-0.25222010651020477,75.60753655223067,0.041531658650691305,257.70605609051984,log(d_csds) = 2.618039 - 0.072719*u_r_mm + 0.559480*delta_peak_mm,d_csds = exp(2.618039 - 0.072719*u_r_mm + 0.559480*delta_peak_mm)
HIGH,1,u_r_mm,-0.10283397729400234,70.954479834973,-0.08664291525376266,274.3968773328882,log(d_csds) = 3.068321 + 0.020087*u_r_mm,d_csds = exp(3.068321 + 0.020087*u_r_mm)
HIGH,3,u_r_mm + delta_peak_mm + tau_peak_MPa_csds,0.2018441478198928,60.3626924195703,-0.595015996980091,332.44381685495284,log(d_csds) = 1.648199 - 0.082291*u_r_mm + 0.423402*delta_peak_mm + 0.104015*tau_peak_MPa_csds,d_csds = exp(1.648199 - 0.082291*u_r_mm + 0.423402*delta_peak_mm + 0.104015*tau_peak_MPa_csds)
HIGH,4,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa,0.1556497581454389,62.08491169256978,-51.951034869736226,1915.4594589897977,log(d_csds) = 1.715101 - 0.093685*u_r_mm + 0.470676*delta_peak_mm + 0.144605*tau_peak_MPa_csds - 0.056511*tau_r_MPa,d_csds = exp(1.715101 - 0.093685*u_r_mm + 0.470676*delta_peak_mm + 0.144605*tau_peak_MPa_csds - 0.056511*tau_r_MPa)
LOW,2,u_r_mm + delta_peak_mm,-0.003149090233416585,12.700429272861417,0.7054789340476447,7.287158682927394,log(d_csds) = -0.016011 - 0.151091*u_r_mm + 0.593900*delta_peak_mm,d_csds = exp(-0.016011 - 0.151091*u_r_mm + 0.593900*delta_peak_mm)
LOW,1,u_r_mm,-0.10126417250075415,13.307038511229742,-0.11554007472073002,14.182168243922586,log(d_csds) = 0.136530 - 0.049927*u_r_mm,d_csds = exp(0.136530 - 0.049927*u_r_mm)
