Dataset,Features,Feature_List,Branch_Signature,Degree,N_Features,R2_train_log,RMSE_train_log,R2_val_log,RMSE_val_log,R2_test_log,RMSE_test_log,R2_cv_mean_log,R2_cv_std_log,R2_train_d,RMSE_train_d,R2_val_d,RMSE_val_d,R2_test_d,RMSE_test_d,Selection_Score
FULL,delta_peak_mm + tau_r_MPa + u_p_div_u_r + tau_r_div_tau_p + u_p_div_tau_p + tau_p_div_u_r,"['delta_peak_mm', 'tau_r_MPa', 'u_p_div_u_r', 'tau_r_div_tau_p', 'u_p_div_tau_p', 'tau_p_div_u_r']",base_taur | base_up | core_taup_over_ur | ratio,2,6,0.9842865712513782,0.3007342721651812,0.9821384740621142,0.3165545960492105,0.8952045751792489,0.7324356091445466,0.9656071716542499,0.018377272416683788,0.7660068959328004,48.02780982337697,0.95767020897346,4.207886368906642,0.74482981532199,19.06021433469085,1.4031043326475707
FULL,delta_peak_mm + u_p_div_u_r + tau_r_div_tau_p + u_p_div_tau_p + tau_p_div_u_r + tau_p_div_u_p,"['delta_peak_mm', 'u_p_div_u_r', 'tau_r_div_tau_p', 'u_p_div_tau_p', 'tau_p_div_u_r', 'tau_p_div_u_p']",base_up | core_taup_over_ur | ratio,2,6,0.9817797922463709,0.3238352389556784,0.9763807744668985,0.3640174228853176,0.8590836214672724,0.8493350093035437,0.9671084058233038,0.0151683902516037,0.7751283371645316,47.08240281452223,0.9117354640534677,6.076228010050761,0.8154836019452563,16.20803254786055,1.39841813835339
FULL,delta_peak_mm + u_p_div_u_r + tau_r_div_tau_p + u_p_div_tau_p + tau_p_div_u_r + tau_r_div_u_p,"['delta_peak_mm', 'u_p_div_u_r', 'tau_r_div_tau_p', 'u_p_div_tau_p', 'tau_p_div_u_r', 'tau_r_div_u_p']",base_up | core_taup_over_ur | ratio,2,6,0.9814684954942017,0.32658992520676267,0.9772598466211909,0.35717910024692284,0.8647464250640507,0.8320945272234922,0.9649175978853165,0.013780182614144442,0.7541765553559846,49.22694709152497,0.915822980448272,5.9338657107605055,0.8142195045000273,16.2634573268629,1.3983406273024346
FULL,delta_peak_mm + u_p_x_tau_p + u_p_div_u_r + tau_r_div_tau_p + u_p_div_tau_p + tau_p_div_u_r,"['delta_peak_mm', 'u_p_x_tau_p', 'u_p_div_u_r', 'tau_r_div_tau_p', 'u_p_div_tau_p', 'tau_p_div_u_r']",base_up | core_taup_over_ur | core_up_xtaup | product | ratio,2,6,0.9809453560386207,0.331167616762759,0.9773212749728681,0.3566963471096065,0.81138289106925,0.9826273118699098,0.9628312591379302,0.012733946196210346,0.6744422807152566,56.65069622602835,0.7741273789042479,9.720144854249448,0.7896462538110025,17.305651012669127,1.3974635099222121
FULL,delta_peak_mm + tau_p_x_tau_r + u_p_div_u_r + tau_r_div_tau_p + u_p_div_tau_p + tau_p_div_u_r,"['delta_peak_mm', 'tau_p_x_tau_r', 'u_p_div_u_r', 'tau_r_div_tau_p', 'u_p_div_tau_p', 'tau_p_div_u_r']",base_up | core_taup_over_ur | product | ratio,2,6,0.980491278817201,0.3350902908514937,0.9774752210827026,0.3554836351944504,0.8791151849233443,0.7866547409675141,0.9620183031719295,0.012260162898647805,0.805807964560173,43.75291168225485,0.9382580296605749,5.081959312361686,0.7347313744617423,19.433711877570534,1.3972583563788026
FULL,delta_peak_mm + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p + u_p_div_tau_p + tau_p_div_u_r,"['delta_peak_mm', 'u_r_x_u_p', 'u_p_div_u_r', 'tau_r_div_tau_p', 'u_p_div_tau_p', 'tau_p_div_u_r']",base_up | core_taup_over_ur | product | ratio,2,6,0.981808736558828,0.32357791714164086,0.9757546567962,0.368810699825427,0.894977974419165,0.7332270599296162,0.9638926804307214,0.014474883823811511,0.7280592039734103,51.77599279938397,0.8203615113754081,8.668433812600359,0.8292400824258043,15.59214210755791,1.3962535086291794
FULL,delta_peak_mm + u_p_x_tau_r + u_p_div_u_r + tau_r_div_tau_p + u_p_div_tau_p + tau_p_div_u_r,"['delta_peak_mm', 'u_p_x_tau_r', 'u_p_div_u_r', 'tau_r_div_tau_p', 'u_p_div_tau_p', 'tau_p_div_u_r']",base_up | core_taup_over_ur | product | ratio,2,6,0.9818506899623799,0.32320457773802963,0.9750970201428163,0.3737790903518515,0.8373008100060613,0.9126221065893394,0.9641290629783118,0.013051944009459403,0.7866796596184706,45.85718451859758,0.7602374388910375,10.014554301867461,0.8365698275541799,15.253831178735311,1.3958563572310263
FULL,u_r_mm + u_p_x_tau_p + u_p_div_u_r + tau_r_div_tau_p + u_p_div_tau_p + tau_p_div_u_r,"['u_r_mm', 'u_p_x_tau_p', 'u_p_div_u_r', 'tau_r_div_tau_p', 'u_p_div_tau_p', 'tau_p_div_u_r']",base_ur | core_taup_over_ur | core_up_xtaup | product | ratio,2,6,0.983604760959366,0.3071894667356973,0.976717349618452,0.3614144833172186,0.891162639736933,0.7464269117076578,0.9575226553965676,0.015203288739930876,0.6880152280172289,55.457201622374654,0.9567176401059351,4.254969067158142,0.8724104013744763,13.477844818363014,1.3939583484427427
FULL,delta_peak_mm + u_p_div_u_r + tau_r_div_tau_p + u_r_div_tau_p + tau_p_div_u_r,"['delta_peak_mm', 'u_p_div_u_r', 'tau_r_div_tau_p', 'u_r_div_tau_p', 'tau_p_div_u_r']",base_up | core_taup_over_ur | ratio,2,5,0.9742201588922781,0.38520113815189766,0.9664080146882942,0.4341173867069269,0.772253851019735,1.0797514854882693,0.9556514317622671,0.025842458064438745,0.7872424301641577,45.796655560331104,0.8875864916845345,6.8572533008649525,0.797348961670944,16.985847971768774,1.391649484762984
FULL,delta_peak_mm + u_p_div_u_r + tau_r_div_tau_p + u_p_div_tau_p + tau_p_div_u_r + sigma_n_div_u_p,"['delta_peak_mm', 'u_p_div_u_r', 'tau_r_div_tau_p', 'u_p_div_tau_p', 'tau_p_div_u_r', 'sigma_n_div_u_p']",base_up | core_sigma_combo | core_taup_over_ur | ratio,2,6,0.9777362067744739,0.35797032287548713,0.9725978534350253,0.3920862718416842,0.8531413480237778,0.8670578168041182,0.9583562298252859,0.01609848230891314,0.8403039121058373,39.67696017777385,0.7782814860459966,9.63034666588056,0.8040088307633549,16.70440719254979,1.390166120116777
FULL,delta_peak_mm + u_p_div_u_r + tau_r_div_tau_p + u_p_div_tau_p + tau_p_div_u_r + sigma_n_div_u_r,"['delta_peak_mm', 'u_p_div_u_r', 'tau_r_div_tau_p', 'u_p_div_tau_p', 'tau_p_div_u_r', 'sigma_n_div_u_r']",base_up | core_sigma_combo | core_taup_over_ur | ratio,2,6,0.9773728707898691,0.360879466410591,0.9727384448723092,0.3910791452631945,0.8562487556757498,0.8578356594206371,0.9578679143680233,0.016678700335648874,0.8333422072868288,40.53256293731847,0.7979567254474019,9.193124475760149,0.807143453704124,16.570286163204702,1.390004532022756
FULL,delta_peak_mm + tau_r_MPa + u_p_div_u_r + tau_r_div_tau_p + u_p_div_tau_p + tau_r_div_u_p,"['delta_peak_mm', 'tau_r_MPa', 'u_p_div_u_r', 'tau_r_div_tau_p', 'u_p_div_tau_p', 'tau_r_div_u_p']",base_taur | base_up | ratio,2,6,0.979541656582361,0.34314895113006255,0.9744001790069361,0.37897259745911793,0.8483647773768193,0.8810454967874228,0.9572570002091656,0.031384952231460164,0.7722067273181961,47.38727114251117,0.9285738573232301,5.465998897149309,0.7946058353452942,17.10042351933039,1.3898901838883728
FULL,sigma_n_MPa + delta_peak_mm + u_p_div_u_r + tau_r_div_tau_p + u_p_div_tau_p + tau_p_div_u_r,"['sigma_n_MPa', 'delta_peak_mm', 'u_p_div_u_r', 'tau_r_div_tau_p', 'u_p_div_tau_p', 'tau_p_div_u_r']",base_sigma | base_up | core_taup_over_ur | ratio,2,6,0.9773141700522577,0.3613472714360073,0.9732794059216264,0.38717953945716205,0.855178496924606,0.8610231225405838,0.9550196348763282,0.015347153767095225,0.8340391296497465,40.447725491062805,0.7953625439505626,9.251954863701954,0.8056044471781301,16.636270711310157,1.389254507983081
FULL,delta_peak_mm + tau_r_MPa + tau_p_x_tau_r + u_p_div_u_r + tau_r_div_tau_p + u_p_div_tau_p,"['delta_peak_mm', 'tau_r_MPa', 'tau_p_x_tau_r', 'u_p_div_u_r', 'tau_r_div_tau_p', 'u_p_div_tau_p']",base_taur | base_up | product | ratio,2,6,0.9805901446851857,0.33424013077605486,0.9781530146953323,0.3500943503544256,0.8662606384310123,0.8274236156107896,0.946081450151586,0.03805435570441401,0.7563629116658922,49.007545668951046,0.9273778824474546,5.5115708598630535,0.9140714059462037,11.060675957403909,1.3873883042006838
FULL,delta_peak_mm + sigma_n_x_u_p + u_p_div_u_r + tau_r_div_tau_p + u_p_div_tau_p + tau_p_div_u_r,"['delta_peak_mm', 'sigma_n_x_u_p', 'u_p_div_u_r', 'tau_r_div_tau_p', 'u_p_div_tau_p', 'tau_p_div_u_r']",base_up | core_sigma_combo | core_taup_over_ur | product | ratio,2,6,0.9774320943337773,0.3604068796315338,0.9732717380349889,0.38723508904280224,0.8535098982467217,0.8659691676699149,0.950552736764528,0.021125864742174656,0.8392288853144034,39.810282957230385,0.8290217873796072,8.456902577719422,0.8083283040270006,16.51930641295627,1.3864355199430354
FULL,u_r_mm + tau_r_MPa + u_p_div_u_r + tau_r_div_tau_p + u_p_div_tau_p + tau_p_div_u_r,"['u_r_mm', 'tau_r_MPa', 'u_p_div_u_r', 'tau_r_div_tau_p', 'u_p_div_tau_p', 'tau_p_div_u_r']",base_taur | base_ur | core_taup_over_ur | ratio,2,6,0.9843441289793016,0.3001829774132892,0.9658031514202134,0.4380083469966991,0.9075609980018534,0.6879009562757425,0.964286592600461,0.019909440497803015,0.758330182476528,48.80928660121652,0.4092397974026136,15.719783361944875,0.824211665313554,15.820049644651693,1.3859555036706637
FULL,delta_peak_mm + tau_r_MPa + u_p_x_tau_p + u_p_div_u_r + tau_r_div_tau_p + u_p_div_tau_p,"['delta_peak_mm', 'tau_r_MPa', 'u_p_x_tau_p', 'u_p_div_u_r', 'tau_r_div_tau_p', 'u_p_div_tau_p']",base_taur | base_up | core_up_xtaup | product | ratio,2,6,0.9788824603870365,0.34863348907090447,0.9757022573430388,0.36920902474203243,0.8625986668672501,0.8386751255876198,0.9459294496865503,0.041328626727053785,0.7415448393483408,50.47587510611545,0.9764165045338941,3.140834327335605,0.8279934082006588,15.648955709752984,1.3845341195136087
FULL,tau_r_MPa + u_p_x_tau_p + u_p_div_u_r + tau_r_div_tau_p + u_p_div_tau_p + tau_p_div_u_r,"['tau_r_MPa', 'u_p_x_tau_p', 'u_p_div_u_r', 'tau_r_div_tau_p', 'u_p_div_tau_p', 'tau_p_div_u_r']",base_taur | core_taup_over_ur | core_up_xtaup | product | ratio,2,6,0.9769596284917804,0.364159951264207,0.9626868390481124,0.45753083128105315,0.8966330983539779,0.7274263664700414,0.9565945743024507,0.011039319514215839,0.7527895544763534,49.36562747530363,0.43827600170379477,15.328597848010306,0.8039703318809198,16.70604774970576,1.379880194247916
FULL,delta_peak_mm + u_p_div_u_r + tau_r_div_tau_p + u_p_div_tau_p + tau_p_div_u_r + sigma_n_div_tau_r,"['delta_peak_mm', 'u_p_div_u_r', 'tau_r_div_tau_p', 'u_p_div_tau_p', 'tau_p_div_u_r', 'sigma_n_div_tau_r']",base_up | core_sigma_combo | core_taup_over_ur | ratio,2,6,0.9780783071263006,0.35520943097811275,0.9608123054740317,0.4688826912667465,0.8551195759110085,0.8611982595020669,0.9594600794640391,0.016280889339741204,0.8544564786646963,37.87805689572711,0.8056795603141685,9.015715185104899,0.8110311475078732,16.402420027990857,1.378914256272077
FULL,delta_peak_mm + tau_r_MPa + u_r_x_u_p + tau_r_div_tau_p + u_p_div_tau_p + tau_p_div_u_r,"['delta_peak_mm', 'tau_r_MPa', 'u_r_x_u_p', 'tau_r_div_tau_p', 'u_p_div_tau_p', 'tau_p_div_u_r']",base_taur | base_up | core_taup_over_ur | product | ratio,2,6,0.9725385718082771,0.3975657868918751,0.9660376843133455,0.43650376236446276,0.8513965781548861,0.8721931953944576,0.9501197064818625,0.022826648883850845,0.6124651357727189,61.80827779320423,0.8301034745229399,8.430108997478573,0.7041060571330962,20.52489072231334,1.3788148726658915
FULL,delta_peak_mm + tau_peak_MPa_csds + u_p_div_u_r + tau_r_div_tau_p + u_p_div_tau_p + tau_p_div_u_r,"['delta_peak_mm', 'tau_peak_MPa_csds', 'u_p_div_u_r', 'tau_r_div_tau_p', 'u_p_div_tau_p', 'tau_p_div_u_r']",base_taup | base_up | core_taup_over_ur | ratio,2,6,0.9828770754611514,0.3139325985508016,0.9828255007924847,0.310406913358384,0.8911913313686204,0.7463285189425355,0.9256764415508686,0.07141293233627008,0.7136197110647783,53.132813627626696,0.9564045934386083,4.270328720335878,0.7527375996989276,18.76254973584277,1.3785224283342918
FULL,tau_r_MPa + u_p_div_u_r + tau_r_div_tau_p + u_p_div_tau_p + tau_p_div_u_r + tau_r_div_u_r,"['tau_r_MPa', 'u_p_div_u_r', 'tau_r_div_tau_p', 'u_p_div_tau_p', 'tau_p_div_u_r', 'tau_r_div_u_r']",base_taur | core_taup_over_ur | ratio,2,6,0.9756288748185572,0.3745288126227195,0.9563732117014407,0.4947274015065014,0.8965131271668974,0.7278483821046042,0.9564654996511939,0.02037575462479088,0.8403734286037705,39.668323449138825,0.08496494086530626,19.56409704157824,0.7436604379259901,19.103838370369168,1.3725683860645586
FULL,delta_peak_mm + tau_r_MPa + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p + u_p_div_tau_p,"['delta_peak_mm', 'tau_r_MPa', 'u_r_x_u_p', 'u_p_div_u_r', 'tau_r_div_tau_p', 'u_p_div_tau_p']",base_taur | base_up | product | ratio,2,6,0.9799190053111089,0.33996957643125586,0.9709848558474932,0.4034611391550106,0.9373446673480693,0.5663400948446811,0.9326005038464655,0.04936713302193661,0.767455219548131,47.87894265335819,0.7702888975992968,9.802389025189994,0.7631738514292499,18.362323831241323,1.3723483944685322
FULL,delta_peak_mm + tau_r_MPa + u_p_div_u_r + tau_r_div_tau_p + u_p_div_tau_p + u_p_div_tau_r,"['delta_peak_mm', 'tau_r_MPa', 'u_p_div_u_r', 'tau_r_div_tau_p', 'u_p_div_tau_p', 'u_p_div_tau_r']",base_taur | base_up | ratio,2,6,0.9780164719398313,0.3557100532245594,0.9641647603863527,0.44837821167614034,0.8947525433671709,0.7340135784776426,0.9423128702614282,0.05077864413145118,0.807207302878509,43.594985994862746,0.5609620618904684,13.551643438850263,0.7846077777833246,17.511680483118443,1.3702433311039217
FULL,delta_peak_mm + tau_r_MPa + u_p_div_u_r + tau_r_div_tau_p + u_p_div_tau_p + tau_p_div_sigma_n,"['delta_peak_mm', 'tau_r_MPa', 'u_p_div_u_r', 'tau_r_div_tau_p', 'u_p_div_tau_p', 'tau_p_div_sigma_n']",base_taur | base_up | core_sigma_combo | core_taup_over_sigma | ratio,2,6,0.9786251363530074,0.3507511632462849,0.9587214064486689,0.48122899869368035,0.8919457109666639,0.7437368400334204,0.9452240544491046,0.038283318906368755,0.7986752692876578,44.5491904460927,0.6176876963740052,12.64590976667893,0.8032155219980892,16.738180066261574,1.3675051017825843
FULL,delta_peak_mm + tau_r_MPa + u_p_div_u_r + tau_r_div_tau_p + u_p_div_tau_p + tau_r_div_sigma_n,"['delta_peak_mm', 'tau_r_MPa', 'u_p_div_u_r', 'tau_r_div_tau_p', 'u_p_div_tau_p', 'tau_r_div_sigma_n']",base_taur | base_up | core_sigma_combo | ratio,2,6,0.9777842657622173,0.35758375385597224,0.9583643743512256,0.483305671645988,0.8714044091490643,0.8113557685907475,0.9439088099306006,0.041537379141362206,0.8104093977631055,43.23143544922381,0.3089810686552906,17.00144810061456,0.8272298094227677,15.683652899652445,1.3661650414023894
FULL,tau_r_MPa + u_p_div_u_r + tau_r_div_tau_p + u_p_div_tau_p + tau_p_div_u_r + sigma_n_div_u_r,"['tau_r_MPa', 'u_p_div_u_r', 'tau_r_div_tau_p', 'u_p_div_tau_p', 'tau_p_div_u_r', 'sigma_n_div_u_r']",base_taur | core_sigma_combo | core_taup_over_ur | ratio,2,6,0.9742198152094946,0.3852037057890983,0.9524970847276171,0.516237413012857,0.8861448796242305,0.763439405370704,0.9501032794847409,0.02325961146406103,0.8059052125485539,43.7419549623681,-0.003987771063334478,20.49298172376701,0.7393670793015823,19.263156432600017,1.3652227633235814
FULL,u_r_mm + u_r_x_u_p + u_p_div_u_r + u_p_div_tau_p + tau_p_div_u_r,"['u_r_mm', 'u_r_x_u_p', 'u_p_div_u_r', 'u_p_div_tau_p', 'tau_p_div_u_r']",base_ur | core_taup_over_ur | product | ratio,2,5,0.9541320793316702,0.5138093107585537,0.9501817889523233,0.5286684681850722,0.8099643426162898,0.9863154540982425,0.9318071451994878,0.025400063884953094,0.26349652289353276,85.20766294004764,0.725327545045679,10.718857463332023,-18413.67533058233,5120.293421111794,1.363545355163572
