Dataset,Features,Feature_List,Branch_Signature,Degree,N_Features,R2_train_log,RMSE_train_log,R2_val_log,RMSE_val_log,R2_test_log,RMSE_test_log,R2_cv_mean_log,R2_cv_std_log,R2_train_d,RMSE_train_d,R2_val_d,RMSE_val_d,R2_test_d,RMSE_test_d,Selection_Score
HIGH,u_p_x_tau_r + u_p_div_u_r + tau_r_div_tau_p,"['u_p_x_tau_r', 'u_p_div_u_r', 'tau_r_div_tau_p']",product | ratio,2,3,0.9246021577532326,0.2786542305490614,0.9170882401681472,0.2564255792552734,0.8276392202547437,0.40099942219270024,0.5320893717398675,0.3746655894120665,0.7730184340332508,89.5139246193595,0.9874139585088467,12.981400359830745,0.9174581839226208,16.66214800061133,1.1156663670968743
HIGH,u_p_x_tau_r + u_p_div_u_r + tau_r_div_tau_p + tau_r_div_u_p,"['u_p_x_tau_r', 'u_p_div_u_r', 'tau_r_div_tau_p', 'tau_r_div_u_p']",product | ratio,2,4,0.9339493102430991,0.260810373393424,0.8851292873992131,0.3018268951414976,0.9533828630089172,0.20854381814209952,0.4721962071248278,0.35172989418383704,0.7430567220430526,95.2388044125076,0.9886030303639838,12.352977781206802,0.9480491926343773,13.218742067015565,1.0460544015432434
HIGH,u_p_x_tau_r + u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p,"['u_p_x_tau_r', 'u_p_div_u_r', 'u_r_div_u_p', 'tau_r_div_tau_p']",product | ratio,2,4,0.9335142385496272,0.26166793420934475,0.8765194469688952,0.3129338631795703,0.6393615183685544,0.5800434870326936,0.4070217973120472,0.40401289136232843,0.7623056281893457,91.60195737886248,0.7306434557212512,60.053832797763135,0.5657085028304623,38.21946830776136,0.9996290564886858
HIGH,u_p_div_u_r + tau_r_div_tau_p,"['u_p_div_u_r', 'tau_r_div_tau_p']",ratio,2,2,0.8687833583217862,0.3676043496130552,0.8463649552148332,0.3490586657295928,0.8794718668595013,0.33532716457310635,0.3519458826046584,0.17376530739869106,0.5948064738708287,119.59872604463762,0.05170538419955284,112.68045890442171,0.49811969982990456,41.08601802119573,0.9849613657772934
HIGH,delta_peak_mm + u_p_x_tau_r + tau_r_div_tau_p + tau_r_div_u_p,"['delta_peak_mm', 'u_p_x_tau_r', 'tau_r_div_tau_p', 'tau_r_div_u_p']",base_up | product | ratio,2,4,0.7637099864654232,0.4932974447700931,0.8657935866921718,0.32624203207755587,0.9475530389581498,0.22119977768050292,0.25728702367454265,0.5718918738460567,0.35512760298489565,150.88018176647753,0.6478982202670216,68.66115026532836,0.9214331408711892,16.255999363950707,0.8972479111448374
HIGH,tau_r_MPa + u_p_x_tau_r + u_p_div_u_r + tau_r_div_tau_p,"['tau_r_MPa', 'u_p_x_tau_r', 'u_p_div_u_r', 'tau_r_div_tau_p']",base_taur | product | ratio,2,4,0.9559422909791796,0.21300859973133482,0.6497127936583356,0.5270665034403882,0.9235686407230407,0.26703015841910455,0.5915001487937875,0.29073833928980714,0.7387200516366156,96.0391583539937,0.6635576538849177,67.11696212488549,0.8589088160588182,21.7843154219374,0.8763890341262486
HIGH,u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p,"['u_p_div_u_r', 'u_r_div_u_p', 'tau_r_div_tau_p']",ratio,2,3,0.8823013739574567,0.34815439250692914,0.7965017635702021,0.401729388346912,0.6885400416703837,0.5390457575353157,0.21340809287408743,0.30290039196638546,0.5766655532468514,122.24669001874707,-1.4032733508315474,179.38187121293146,-2.0818236116016844,101.81174166876652,0.8429157708106072
HIGH,delta_peak_mm + tau_p_x_tau_r + u_p_div_u_r + tau_r_div_tau_p,"['delta_peak_mm', 'tau_p_x_tau_r', 'u_p_div_u_r', 'tau_r_div_tau_p']",base_up | product | ratio,2,4,0.9608425815675878,0.20081363995289736,0.5095633592939517,0.6236554660813862,0.9654375912466479,0.179566998263975,0.7611593749268688,0.1459618548076895,0.7648396365742063,91.11237470237792,0.6356144659147779,69.8485714572536,0.9554315678399254,12.243558371479802,0.8355468612766171
HIGH,delta_peak_mm + tau_p_x_tau_r + tau_r_div_tau_p + tau_r_div_u_r,"['delta_peak_mm', 'tau_p_x_tau_r', 'tau_r_div_tau_p', 'tau_r_div_u_r']",base_up | product | ratio,2,4,0.9021210087155247,0.3174906388795147,0.6727574782792052,0.5094342547752796,0.7550888539591054,0.47800099105476895,0.4783518771149307,0.3794083691697977,0.41231111094743944,144.0353341958663,0.6514887525886842,68.3101696516,0.9470128534239394,13.349937860000317,0.8339925799196907
HIGH,delta_peak_mm + u_p_div_u_r + tau_r_div_tau_p + tau_r_div_u_p,"['delta_peak_mm', 'u_p_div_u_r', 'tau_r_div_tau_p', 'tau_r_div_u_p']",base_up | ratio,2,4,0.9443841874381493,0.23932348902326409,0.6926508737750232,0.4937069830628318,0.8658051860246148,0.35382815518839805,0.4336872115307217,0.3591769649153566,0.8001853277888006,83.98640504378794,0.8734131226241012,41.1690938518581,-0.04586733756778827,59.31059459022426,0.8335767830488484
HIGH,delta_peak_mm + u_p_div_u_r + tau_r_div_tau_p + tau_r_div_u_r,"['delta_peak_mm', 'u_p_div_u_r', 'tau_r_div_tau_p', 'tau_r_div_u_r']",base_up | ratio,2,4,0.9565992143757063,0.21141460097563167,0.5825329523044518,0.5753927413364391,0.9225007883951518,0.2688890792549823,0.5503406566382113,0.39629085287402754,0.7764473778080214,88.83522135318327,0.7469440083064088,58.20834842672439,0.5926599453568056,37.014555332190476,0.7780741953361546
HIGH,delta_peak_mm + u_p_div_u_r + tau_r_div_tau_p,"['delta_peak_mm', 'u_p_div_u_r', 'tau_r_div_tau_p']",base_up | ratio,2,3,0.929491168409141,0.26946846054774304,0.586081250308885,0.5729422224386684,0.6521448099307959,0.5696705460797825,0.500297214685664,0.29671794027109305,0.8367205298784101,75.92085595452082,0.886209982624295,39.03274070118782,-0.22875334816728055,64.28747003278697,0.7765580636246078
HIGH,delta_peak_mm + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_u_r,"['delta_peak_mm', 'u_p_div_u_r', 'tau_r_div_tau_p', 'tau_p_div_u_r']",base_up | core_taup_over_ur | ratio,2,4,0.9612472356330546,0.1997733379245693,0.5319944738601241,0.6092264765285936,0.9392083620252281,0.23814772899074746,0.5923401726870287,0.2590377765603844,0.7669784348614311,90.6970919021887,0.7417296482917041,58.80499828435259,0.9236334941218609,16.026749090353267,0.7622607825476
HIGH,u_p_div_u_r + tau_r_div_tau_p + tau_r_div_u_p,"['u_p_div_u_r', 'tau_r_div_tau_p', 'tau_r_div_u_p']",ratio,2,3,0.8776549831769754,0.35495992568408175,0.8370386691008657,0.35949723962463465,0.9219094834601733,0.26991291750526236,-0.01883527097625093,0.3698032265801941,0.5834773508818323,121.259176800447,-0.16843449220044793,125.07748760052506,0.3046502628168122,48.36103926922148,0.7606407109547207
HIGH,tau_p_div_u_r + tau_r_div_u_p,"['tau_p_div_u_r', 'tau_r_div_u_p']",core_taup_over_ur | ratio,2,2,0.6437247595357878,0.6057298880185775,0.4323134882782108,0.670976896201778,0.8238196701893181,0.40541819065779106,0.5386894555668422,0.06850924058950968,0.09352171538601994,178.88503364895476,0.20205694017906684,103.36247872452833,0.5533864934218784,38.75787022802032,0.674807292002681
HIGH,u_p_x_tau_p + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_u_r + tau_r_div_sigma_n,"['u_p_x_tau_p', 'u_p_div_u_r', 'tau_r_div_tau_p', 'tau_p_div_u_r', 'tau_r_div_sigma_n']",core_sigma_combo | core_taup_over_ur | core_up_xtaup | product | ratio,2,5,0.9588743314222514,0.20579871937073976,0.5637644501912198,0.5881848116020996,-2.656067973444437,1.846850122409355,0.37134946041052097,0.46593018149912474,0.7194123195809603,99.52440825382462,0.6425083275085209,69.18467887936929,0.07771643585821741,55.69628296516933,0.6528461622465678
HIGH,delta_peak_mm + tau_r_MPa + u_p_x_tau_r + u_p_div_u_r + tau_r_div_tau_p + tau_r_div_u_p,"['delta_peak_mm', 'tau_r_MPa', 'u_p_x_tau_r', 'u_p_div_u_r', 'tau_r_div_tau_p', 'tau_r_div_u_p']",base_taur | base_up | product | ratio,2,6,0.9639606104680466,0.19265260917763635,0.5641990403442072,0.5878917554505575,0.9357107583350391,0.2449027564555161,0.40133137013302195,0.5925965530350314,0.8067560428695822,82.59395556440883,0.775633462365174,54.80952113457463,0.9586086228252936,11.79910092729872,0.6456050701072149
HIGH,u_p_x_tau_r + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_u_r,"['u_p_x_tau_r', 'u_p_div_u_r', 'tau_r_div_tau_p', 'tau_p_div_u_r']",core_taup_over_ur | product | ratio,2,4,0.9532634772087248,0.21938876384539466,0.616684882000486,0.5513549179232383,0.9184585349866072,0.275812393272215,0.14507632426940018,1.011658787160986,0.7186986343747943,99.65089988877226,0.7666287111698769,55.89856731177096,0.9236141730674092,16.028776380359833,0.5480571654190874
