u_r_mm,tau_r_MPa,delta_peak_mm,tau_peak_MPa_csds,e_csds,e_pred,d_from_e_pred
2.75,0.03175,0.72,0.044,3.441242286799551,6.147546290255618,0.08068226924503277
3.0,0.02825,0.92,0.035,3.007954906577982,5.532362832466435,0.06127559573601285
3.0,0.0255,0.97,0.029,3.290221199159674,5.403014796479423,0.04430862318372776
3.5,0.0417499999999999,0.78,0.05,4.004659571873231,5.786840363230717,0.06920173242466317
3.5,0.034,1.25,0.04,2.366794324621144,4.630676417420772,0.07108151206088587
4.0,0.033,1.8,0.035,2.0972939397426664,3.4921573161140653,0.05291040205180776
10.5,3.725,1.64,4.17,2.4309486751406535,2.732390181861126,4.815721809684249
10.5,12.8475,1.61,13.41,3.178145408783804,2.509308321242579,14.611828560730837
10.5,3.5425,2.76,3.72,1.5814976920825412,1.6138697211501014,4.3933277449563555
10.5,12.4375,3.07,12.57,1.9539451798171723,1.2666151975434605,14.269656394731836
12.0,0.8525,1.55,1.02,2.3791759662313843,2.7673616319927614,1.2035008828442446
12.0,1.7327500000000002,1.71,2.57,1.6207235717983703,2.522644552212126,3.5364837792578383
12.0,5.32,1.67,7.53,1.7473164085592403,2.4373868741923617,10.097545032052626
12.0,18.994999999999997,1.67,19.67,3.2739688179792332,2.138972342644073,21.56364868960535
16.0,7.47,0.84,8.44,6.166176834932969,3.018044276481622,9.73415976299113
16.0,7.29,1.81,7.62,3.0024433868829834,1.921709041850361,8.323184038106017
3.25,1.9075,0.87,2.35,3.276941309100947,5.467316233494935,3.7166399922313906
1.325,0.6675,0.13,1.02,23.891608655167115,8.551912498155339,2.686925628247471
2.425,4.2975,0.6,4.93,5.517814597970529,6.26051414362367,7.044097112923696
3.85,14.955,2.17,16.37,1.6284330431129306,2.473490004054454,41.927185445334956
1.275,0.475,0.24,0.66,11.17767536247715,8.16590367979785,1.4855729728003386
2.175,4.1925,0.3,4.71,13.642584509493682,7.312672536882619,6.716299896796772
4.125,11.3475,2.26,16.14,1.3091974223177918,2.3483066116383777,92.6290878887007
1.525,0.6975,0.47,1.07,4.812842755740618,7.2123031328888985,2.8920548281209637
2.2,4.25,0.47,4.91,7.213346651196478,6.724357486010621,7.039362934322241
3.625,14.235,1.48,14.91,2.7321098339023515,3.519387771952235,20.28777749167543
1.325,0.5625,0.11,0.89,29.2958502513531,8.64553023467321,2.551435459047611
2.175,4.1,0.26,5.3,13.042743993933716,7.4056232019654065,8.547103570787403
3.35,14.4675,0.54,15.9,7.688914610134782,5.503192507350359,19.963795721648566
1.35,0.635,0.3,0.88,8.547982610717572,7.89271516983442,1.927909230452405
2.175,4.3975,0.38,5.2,9.031706106944794,7.003300276311871,7.589988838272062
3.35,14.8375,0.71,16.28,5.457009220110153,5.056042345481491,20.644198446457747
1.475,0.535,0.88,0.58,4.157276354583812,5.981459479275729,1.585753611431383
2.625,3.6325,1.5,3.89,2.474961892115721,4.0956701209631925,8.43125623927439
4.1,13.42,2.87,13.67,1.6634039681803665,1.8074501250480797,26.624478104523387
1.5,0.665,0.79,0.8,3.9230290740544778,6.221019323077422,2.8336853881596897
2.175,4.655,0.6,5.04,6.310564627174357,6.32003012957879,6.792722753219547
4.125,14.3675,2.37,16.38,1.4228254925840296,2.223145714815986,54.96454980491088
2.566666666666667,4.1066666666666665,1.46,4.68,2.300589855794831,4.149108132978952,14.545503639049995
4.75,14.775,4.16,15.04,1.2144266984360343,0.9393777035033034,-59.66939745438939
1.85,0.785,1.26,0.94,2.8751003676389564,4.896563122398955,5.821493363116922
4.466666666666667,14.793333333333337,3.13,15.58,1.313812712287742,1.5409513770944196,55.87635263579551
1.85,0.65,1.15,0.71,3.19021506632708,5.17167837099304,2.116459392617006
2.175,4.205,0.35,4.68,11.46515887900422,7.143544564084876,6.450560247581568
3.85,14.365,0.63,16.18,6.152370825583352,5.146545353722352,20.27379914818168
1.5666666666666669,0.6366666666666667,0.45,0.87,5.520751658815112,7.283814737479242,1.9226021145308136
2.175,4.42,0.58,5.35,5.059116621676996,6.359043705135252,8.781490930179507
3.875,13.935,0.94,16.28,3.405427164282276,4.433131317222054,23.02163249068532
1.5666666666666669,0.8033333333333333,0.13,0.97,31.910981063129015,8.468917018543255,2.1265157650850863
2.85,4.84,2.38,5.22,1.8523237169572588,2.634060617202319,33.721844654467226
4.125,15.5375,2.68,16.95,1.3981039630569712,1.9073445011735348,61.44613813832655
1.6,0.9133333333333334,0.71,1.14,3.976020028848459,6.4107354272132735,3.3197969604565043
2.2,4.68,0.76,5.03,4.87933520201715,5.852419700779221,7.117446573417103
4.125,13.97,2.73,15.88,1.3339956390040135,1.884194615474492,78.81025612158449
1.5666666666666669,0.9733333333333332,0.63,1.42,3.927118476960182,6.648139522945266,4.859694970263961
2.175,4.24,0.34,5.0,10.49368724913285,7.152851229950095,7.302535075000813
4.533333333333333,14.596666666666666,3.13,14.91,1.4882877719989878,1.5476987134031646,32.58866087365421
1.5666666666666669,0.63,0.49,0.79,5.5461514668738845,7.153039685310144,1.6280139168440788
2.566666666666667,4.426666666666667,1.69,5.04,2.1459242646578933,3.705792995238684,22.057649735984842
4.466666666666667,15.163333333333334,3.12,16.37,1.2614658876838951,1.5351770951579302,75.44369362255364
1.5666666666666669,0.6,0.18,0.87,16.988625203858206,8.279279741665825,1.7998697301619615
2.175,3.8825,0.42,5.1,6.759501195047857,6.879041559140683,8.29086593097973
3.85,13.3025,1.09,15.19,2.9737453064844868,4.181748417937971,22.027940339193687
1.5666666666666669,0.5066666666666667,0.47,0.66,5.540134014051035,7.231343969258987,1.4041409531295002
2.175,4.0125,0.57,4.24,7.4273022742503985,6.466039412675434,5.3537758428101565
4.7,13.285,4.13,14.9,1.0940505167399543,0.9563139170883498,-257.5900084068006
1.5666666666666669,0.4966666666666666,0.18,0.88,14.732448429095294,8.278389112213308,1.963412442299649
2.566666666666667,3.77,1.25,4.37,2.4976694597033373,4.599109327674997,11.020839841753205
4.5,13.843333333333334,3.62,14.62,1.2115644521301927,1.2322332979029682,161.14141116386585
1.5633333333333332,0.5006666666666667,0.11,1.04,27.24084861115649,8.544437626427886,2.850632241118192
2.1775,3.54875,0.23,4.79,14.649101403235154,7.5523076012175885,8.059596750697747
3.9275,12.93,0.39,14.13,12.268593789286898,5.876416955208413,17.86921770667221
1.5566666666666666,0.4896666666666667,0.21,0.75,13.109251845364824,8.176296153142037,1.5456879952606282
2.19,3.98,1.52,4.53,2.4678705594788535,4.104478359858381,23.11124809074575
3.86,13.9425,0.46,15.2,10.00333623780827,5.635573833236319,18.774007237732114
1.85,0.4455,1.14,0.47,3.448989911906233,5.209707234627252,1.0387663139538708
2.29,3.5879999999999996,1.53,3.84,2.5522940611621228,4.098000262840477,11.307775718699208
1.5733333333333333,0.434,0.31,0.64,8.046929532076042,7.80112574045461,1.2945325137904922
2.0033333333333334,3.8813333333333335,0.44,4.09,10.177837650659969,6.939053827339135,5.2503022551882355
4.125,13.695,2.56,14.35,1.5724619149710894,2.0763601077881795,31.753651281901377
1.5666666666666669,0.5786666666666667,0.1,0.84,37.39184550372476,8.602343274629645,2.245240520015215
2.175,4.314,0.29,4.72,15.255568277966066,7.346659489608407,6.641146158900749
4.125,15.185,2.24,16.29,1.6343524111032697,2.366873232117914,34.47297992009694
1.5666666666666669,0.515,0.15,1.04,17.824332391452327,8.382620752586346,2.518294846760923
2.225,4.01075,0.32,5.75,8.90252129065327,7.147785540297985,9.576709915528827
3.925,13.655,0.98,16.9,2.9328424113361327,4.311687268984586,26.303103700127416
1.5666666666666669,0.569,0.12,1.33,23.13000566043724,8.47630211374547,3.588194323420642
2.1775,3.8055,0.38,5.29,7.231167894086396,6.995778137469195,8.840048211132943
3.865,14.2025,1.12,15.69,3.133851414322128,4.097915018992118,21.46528109084227
1.5599999999999998,0.5136666666666666,0.11,1.19,26.190812099681132,8.531871577880187,3.328443104724623
2.175,4.15275,0.33,5.38,9.464816530487427,7.157548514012557,8.479567242771287
4.6125,14.2325,0.94,15.17,4.61254903129243,4.347689749183724,17.650822492243197
1.61,0.4153333333333333,0.46,0.57,5.380408458094788,7.259365805207948,1.244930121043743
2.1725,2.8175,0.38,3.22,9.674876431868377,7.15483688671674,4.4931868671240505
7.0,11.03,6.69,11.06,0.9707346090728766,0.2682374707650173,-0.7778162890457472
1.5566666666666666,0.5103333333333334,0.15,0.88,19.26598627033951,8.400638133682644,2.0502806004542427
2.175,3.69825,0.24,5.1,13.53664985652516,7.492332520398397,8.606693882681167
3.8575,13.285,0.47,14.84,9.133208341560495,5.631263179625457,18.564583834625154
2.1675,0.6225,0.15,1.23,20.507804388385548,8.154199261222258,2.5361620798946203
2.165,4.547499999999999,0.25,6.22,12.896286747191096,7.370699546071543,10.485228064314063
4.1075,16.2525,0.46,18.37,9.296747223836368,5.389528064628505,23.391337572062703
1.5599999999999998,0.5333333333333333,0.21,0.72,14.758619332850811,8.177774589758462,1.387629889971461
2.215,3.755,0.46,4.54,6.812602552841997,6.77895252272117,6.8250292145828935
4.84,13.226666666666668,3.02,14.29,1.2379494369579531,1.6202339006332078,44.931687370192165
1.5533333333333337,0.5640000000000001,0.1,1.16,31.1344826944979,8.577648807498287,3.3417868147772984
2.16,3.80875,0.28,4.98,11.627647012732409,7.365683541750206,7.990820886620801
3.88,12.9825,0.84,14.83,4.123242699657944,4.720605863429554,19.529450508107185
1.5533333333333337,0.4603333333333333,0.05,1.06,76.69251608229672,8.793018801916451,4.788365752640506
2.1675,3.634,0.24,5.34,12.76758648025316,7.475399927528463,9.288350957938693
3.8475,12.52,0.58,15.72,5.626700720273117,5.296801916473045,21.429017584180333
1.7866666666666664,0.5153333333333333,0.16,1.46,15.27471027903135,8.227894617279949,3.434173544187316
2.19,3.70375,0.34,5.86,7.4904783908875965,7.08245463290062,10.429855295716562
3.9025,13.1975,0.72,15.23,4.922489465268678,4.970944312323089,19.692478310289292
1.5766666666666669,0.5316666666666667,0.13,0.83,25.070549134255213,8.478070983552144,1.970873159490755
2.195,4.2615,0.33,4.91,11.444353107108954,7.187706603722689,7.027037046878544
4.513333333333333,14.923333333333332,2.99,16.39,1.2549920885699382,1.6292534347096022,69.88395327794494
1.5666666666666669,0.6789999999999999,0.22,1.38,10.298464829923804,8.07918887338103,3.1779588350717374
2.18,4.593,0.39,6.11,7.34235077378404,6.900779785875829,9.95445549691482
4.13,15.5675,2.78,17.18,1.354578535378103,1.8140825072665203,76.55462740075384
1.57,0.4403333333333333,0.3,0.69,7.9675990689291964,7.835123027861855,1.448294550298117
2.2025,3.49275,0.38,4.61,7.697329513236288,7.0396448300618735,7.3380214014791205
3.89,12.71,0.58,14.25,6.937928600833182,5.371502673518145,17.600944330916022
1.5933333333333335,0.6846666666666668,0.29,0.81,11.679447292728767,7.854421199418926,1.3364065655228354
2.1925,4.255,0.42,4.74,9.079561652406012,6.900590784482403,6.444614234698238
4.18,14.19,2.48,15.4,1.469660738779334,2.1274724397895466,41.848480120642996
1.85,0.575,1.18,0.63,3.1309195303367727,5.102978724831202,2.029254744469011
2.6033333333333335,4.496666666666667,0.99,4.93,3.460965956174455,5.16359849324908,7.708903994267537
