Dataset,Model_Label,Model_Family,Selection_Mode,Rank_in_saved_results,Model_Features,Saved_R2_val_log,Saved_R2_cv_mean_log,Saved_R2_val_d,Saved_RMSE_val_d,Saved_R2_test_log,Saved_RMSE_test_log,Saved_R2_test_d,Saved_RMSE_test_d,Saved_Selection_Score,N_rows,N_e_converged,N_c_lt_e,N_converged_and_c_lt_e,Pct_converged_and_c_lt_e,RMSE_d_pred_vs_d_csds,R2_d_pred_vs_d_csds,N_d_metric_rows,RMSE_e_pred_vs_e_csds,R2_e_pred_vs_e_csds,N_e_metric_rows,Mean_e_pred,Median_e_pred,Mean_residual_eq_515_abs,Mean_residual_eq_518_abs,Detailed_Output_File
FULL,FULL_exp_log_rank_1,exponential,log,1,u_r_mm + tau_p_x_tau_r + u_p_div_u_r + u_p_div_tau_p + tau_p_div_u_r + tau_p_div_sigma_n,0.9246848980281636,0.8649639397500375,0.4703680421588596,14.884286894886928,0.8759153773752782,0.7969980728530005,0.7869485524319303,17.41626646649584,1.2922148924939916,299,277,277,277,92.64214046822742,67.30640213476765,0.321919729598257,299,5.487985167556714,0.6940209086812266,277,7.170940433411637,2.8068125016255543,7.198826372557103e-12,0.6269908116624383,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/e_from_d/full/FULL_exp_log_rank_1_e_predictions.csv
FULL,FULL_exp_log_rank_2,exponential,log,2,u_r_mm + u_p_x_tau_r + u_p_div_u_r + u_p_div_tau_p + tau_p_div_u_r + tau_p_div_sigma_n,0.9235241000249256,0.8624801396034038,0.645136143783152,12.183493194738787,0.8548682057386551,0.861945033052256,0.7558591379504092,18.643740650541844,1.2904894673670515,299,270,270,270,90.3010033444816,70.0382282502822,0.2657589544150829,299,4.883417422647609,0.7345731352760723,270,7.061529009776399,2.6229278141832735,5.918835791855296e-12,0.7873386494469397,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/e_from_d/full/FULL_exp_log_rank_2_e_predictions.csv
FULL,FULL_exp_log_rank_3,exponential,log,3,u_r_mm + u_p_div_u_r + u_p_div_tau_p + tau_p_div_u_r + tau_r_div_u_r + tau_p_div_sigma_n,0.9121076537988716,0.8724165305160814,0.2484767048724557,17.730139996021506,0.8684345287489417,0.8206713116539319,0.8597681981296679,14.12980190626921,1.2843371480887005,299,265,265,265,88.62876254180603,87.02780946536139,-0.13366427448315443,299,4.60905873651948,0.7960100177744391,265,6.973833992825087,2.606579884446641,5.102173610229981e-12,1.4724939382060638,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/e_from_d/full/FULL_exp_log_rank_3_e_predictions.csv
FULL,FULL_exp_log_rank_4,exponential,log,4,u_r_mm + tau_r_MPa + u_p_div_u_r + u_p_div_tau_p + tau_p_div_u_r + tau_p_div_sigma_n,0.9186504187821628,0.8609489606744658,0.5229304002007249,14.126410189798284,0.8604528049507314,0.8451987476380165,0.8260812648459288,15.73569757274412,1.2842769365045998,299,274,274,274,91.63879598662207,66.71763687153025,0.3337309082129968,299,4.813762759746951,0.7712336739739387,274,7.27663881355224,2.794471501942068,6.848777830341998e-12,0.5307610294939328,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/e_from_d/full/FULL_exp_log_rank_4_e_predictions.csv
FULL,FULL_exp_log_rank_5,exponential,log,5,sigma_n_MPa + u_r_mm + u_p_div_u_r + u_p_div_tau_p + tau_p_div_u_r + tau_p_div_sigma_n,0.9135828048401392,0.8640133607743014,0.3053176475649374,17.046454923307273,0.8505449262627496,0.8746889110172684,0.8173749464629037,16.124750155246346,1.280977088895828,299,269,269,269,89.96655518394648,68.62979952998742,0.29499237047272486,299,4.414125308279997,0.8100005701143433,269,6.989046533627719,2.664048397431567,5.1850527176242275e-12,0.6331472725606319,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/e_from_d/full/FULL_exp_log_rank_5_e_predictions.csv
FULL,FULL_exp_d_rank_1,exponential,d,1,u_r_x_u_p + u_p_x_tau_p + tau_r_div_tau_p + u_p_div_tau_p + tau_p_div_u_r + tau_r_div_u_p,0.8315838180069443,0.8164071931905352,0.3435631081503366,16.57056938217398,0.8020933334459056,1.006534119197953,0.748570980454091,18.91997320377182,0.6861445868849307,299,276,276,276,92.3076923076923,74.90327836237694,0.1602113342048883,299,4.164931177786309,0.8276667681057504,276,6.244104629134156,3.021796170654823,5.177652187830643e-12,0.8814160733415478,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/e_from_d/full/FULL_exp_d_rank_1_e_predictions.csv
FULL,FULL_exp_d_rank_2,exponential,d,2,u_r_x_u_p + u_p_x_tau_p + tau_r_div_tau_p + u_r_div_tau_p + tau_p_div_u_r + tau_r_div_u_p,0.8346879325556591,0.802842407489053,0.3502190770013376,16.486346357788154,0.7787628039431551,1.0642100648048327,0.7191104981573659,19.9977239936762,0.6858179287043293,299,272,272,272,90.96989966555184,81.36376333445997,0.009098668275271726,299,4.0529990931403885,0.8384131685389075,272,6.1914182463022485,2.979663826773479,5.310780410210511e-12,1.1557542159555516,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/e_from_d/full/FULL_exp_d_rank_2_e_predictions.csv
FULL,FULL_exp_d_rank_3,exponential,d,3,tau_r_MPa + u_r_x_u_p + u_p_x_tau_p + u_p_div_tau_p + tau_p_div_u_r + tau_r_div_u_p,0.8356198238249999,0.8074844702394766,0.3442203790516844,16.562271493319525,0.8095478592249752,0.9873956702743708,0.7569734523627286,18.60114485476112,0.6827340991186468,299,275,275,275,91.97324414715719,76.65709864728703,0.12042452400982429,299,4.133279788181994,0.8310047314103699,275,6.203171470072685,2.9304305867171343,5.349067451602836e-12,0.9585403391529558,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/e_from_d/full/FULL_exp_d_rank_3_e_predictions.csv
FULL,FULL_exp_d_rank_4,exponential,d,4,u_r_x_u_p + u_p_x_tau_p + tau_r_div_tau_p + u_r_div_tau_p + tau_p_div_u_r + tau_p_div_u_p,0.8313193670458594,0.803598020691959,0.347167032591167,16.52501948019055,0.77333416909582,1.077187530746792,0.7499587538919215,18.867686145176982,0.6824177349916937,299,277,277,277,92.64214046822742,72.99196748991659,0.20252239367896008,299,4.200912002228442,0.8240577484867583,277,6.463371235159119,3.083862483588217,4.69823458116309e-12,0.7887905332156471,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/e_from_d/full/FULL_exp_d_rank_4_e_predictions.csv
FULL,FULL_exp_d_rank_5,exponential,d,5,tau_r_MPa + u_r_x_u_p + u_p_x_tau_p + u_r_div_tau_p + tau_p_div_u_r + tau_r_div_u_p,0.8338669543960417,0.7890736544685477,0.3519330455231029,16.46458845740524,0.7748008000762748,1.0736969286019074,0.7376145696381153,19.327811174974133,0.6812199770970678,299,273,273,273,91.30434782608695,77.85649176968045,0.092685153923316,299,4.08989512908028,0.8352972682742352,273,6.32337893212264,2.801178792814387,6.380532244190692e-12,0.9883586910472972,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/e_from_d/full/FULL_exp_d_rank_5_e_predictions.csv
