Dataset,Model_Label,Model_Family,Selection_Mode,Rank_in_saved_results,Model_Features,Saved_R2_val_log,Saved_R2_cv_mean_log,Saved_R2_val_d,Saved_RMSE_val_d,Saved_R2_test_log,Saved_RMSE_test_log,Saved_R2_test_d,Saved_RMSE_test_d,Saved_Selection_Score,N_rows,N_e_converged,N_c_lt_e,N_converged_and_c_lt_e,Pct_converged_and_c_lt_e,RMSE_d_pred_vs_d_csds,R2_d_pred_vs_d_csds,N_d_metric_rows,RMSE_e_pred_vs_e_csds,R2_e_pred_vs_e_csds,N_e_metric_rows,Mean_e_pred,Median_e_pred,Mean_residual_eq_515_abs,Mean_residual_eq_518_abs,Detailed_Output_File
LOW_2,LOW_2_exp_log_rank_1,exponential,log,1,tau_r_MPa + u_p_x_tau_p + u_p_div_u_r + tau_r_div_tau_p + u_p_div_tau_p + tau_r_div_u_p,0.7746929324811129,0.8141592527963751,0.6718286832184022,7.337382480165486,0.9133743355545184,0.270370405375238,0.9225166488351296,9.706732560350387,1.1124973402150689,69,69,69,69,100.0,8.79666460542699,0.8648285138287093,69,0.9981227210518366,0.9459223054881782,69,6.4844037327084,6.287532741318255,7.63269318924088e-12,0.2039802753984627,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/e_from_d/low/LOW_2_exp_log_rank_1_e_predictions.csv
LOW_2,LOW_2_exp_log_rank_2,exponential,log,2,u_p_x_tau_p + tau_p_x_tau_r + u_p_div_u_r + tau_r_div_tau_p + u_p_div_tau_p + tau_r_div_u_p,0.7698055378515468,0.8065406605139941,0.6671044210058337,7.390007214080422,0.9134229981124832,0.2702944534972715,0.9233679291167484,9.653263192619692,1.102821542724339,69,69,69,69,100.0,8.897789472866485,0.8617028364142522,69,1.1152167113640792,0.9324898890686911,69,6.511745595401709,6.288957578228016,4.897882421700609e-12,0.21084562345137434,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/e_from_d/low/LOW_2_exp_log_rank_2_e_predictions.csv
LOW_2,LOW_2_exp_log_rank_3,exponential,log,3,tau_r_MPa + u_p_x_tau_p + u_p_div_u_r + tau_r_div_tau_p + u_p_div_tau_r + tau_r_div_u_p,0.7640167170554564,0.8065032517182148,0.6639408277056946,7.425038763046593,0.936907308711124,0.2307413288081669,0.9160445456567554,10.103999693421155,1.098123694653376,69,69,69,69,100.0,8.816239660750558,0.8642262552513102,69,1.1332360295437236,0.9302906502020019,69,6.514448112239431,6.277136067380603,6.1819824621708274e-12,0.20689547365477998,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/e_from_d/low/LOW_2_exp_log_rank_3_e_predictions.csv
LOW_2,LOW_2_exp_log_rank_4,exponential,log,4,delta_peak_mm + tau_r_MPa + u_p_x_tau_p + u_p_div_u_r + tau_r_div_tau_p + tau_r_div_u_p,0.7599136000267925,0.8024317901913026,0.6673110331035006,7.387713549077217,0.9419047194014418,0.2214146178005594,0.9147684353065836,10.18049973457252,1.0914649056019627,69,69,69,69,100.0,8.819622974237697,0.8641220263958577,69,1.1163795639644398,0.9323490281292242,69,6.515772057662513,6.287453009564795,6.1984942138790924e-12,0.20829498492619306,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/e_from_d/low/LOW_2_exp_log_rank_4_e_predictions.csv
LOW_2,LOW_2_exp_log_rank_5,exponential,log,5,u_p_x_tau_p + tau_p_x_tau_r + u_p_div_u_r + tau_r_div_tau_p + u_p_div_tau_r + tau_r_div_u_p,0.7581122116632468,0.7973242593308297,0.6585164433077917,7.484723247107282,0.9366303038158224,0.2312473024359255,0.9166170258259012,10.069491906483988,1.0864073694225689,69,69,69,69,100.0,8.92445472501243,0.8608726853939352,69,1.3415691202652376,0.9023040881189913,69,6.555991294389998,6.288705722006536,7.210773041468043e-12,0.21434971352000853,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/e_from_d/low/LOW_2_exp_log_rank_5_e_predictions.csv
LOW_2,LOW_2_exp_d_rank_1,exponential,d,1,u_p_x_tau_p + u_p_div_u_r + tau_p_div_tau_r + tau_r_div_tau_p + u_r_div_tau_p + tau_r_div_u_p,0.7254154007123199,0.7189734280908174,0.7096625108052295,6.901482752209646,0.8905674155448842,0.303884949131264,0.8306300811075618,14.35115998810004,0.9966613943774671,69,69,69,69,100.0,10.021241191028379,0.8245747714622065,69,0.8143794318193438,0.9639998858966642,69,6.422057678507594,6.296915183358187,7.669134248750606e-12,0.24691946532935752,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/e_from_d/low/LOW_2_exp_d_rank_1_e_predictions.csv
LOW_2,LOW_2_exp_d_rank_2,exponential,d,2,u_p_x_tau_p + u_p_div_u_r + tau_p_div_tau_r + tau_r_div_tau_p + u_r_div_tau_p + u_r_div_tau_r,0.7291379610762161,0.6832273123575584,0.7277517758698921,6.68302947174085,0.8605196795745732,0.3430775744679071,0.7297207905635589,18.129055821746164,0.995305945287348,69,68,68,68,98.55072463768116,11.678465325434546,0.761756767759046,69,1.046761039429357,0.9377566945778633,68,6.436926246247232,5.68188112366596,6.141835406272295e-12,0.2303741203793505,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/e_from_d/low/LOW_2_exp_d_rank_2_e_predictions.csv
LOW_2,LOW_2_exp_d_rank_3,exponential,d,3,u_p_x_tau_p + u_p_div_u_r + tau_r_div_tau_p + u_r_div_tau_p + u_p_div_tau_p + tau_r_div_u_p,0.7529186327687325,0.7682057321920199,0.6806809497790001,7.237744749946714,0.8760785811006198,0.3233769432490361,0.8806118603123246,12.048957118956595,0.995199735975276,69,69,69,69,100.0,8.803335115954228,0.8646234350340994,69,0.6596039107695866,0.9763834351173235,69,6.3468546595528,6.090145608693847,6.016057217612283e-12,0.21950791326266925,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/e_from_d/low/LOW_2_exp_d_rank_3_e_predictions.csv
LOW_2,LOW_2_exp_d_rank_4,exponential,d,4,tau_r_MPa + u_p_x_tau_p + u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p + u_r_div_tau_p,0.7700100634779462,0.7768695084063127,0.6642907839784011,7.421171712345303,0.9348108149472876,0.2345436280148635,0.9190635281607736,9.92066993382359,0.9849558667113528,69,69,69,69,100.0,8.29501949125191,0.8798057081733368,69,1.1269223122165466,0.9310652444797746,69,6.533139758021165,6.07300402431467,7.044207407396744e-12,0.20809895853707003,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/e_from_d/low/LOW_2_exp_d_rank_4_e_predictions.csv
LOW_2,LOW_2_exp_d_rank_5,exponential,d,5,tau_peak_MPa_csds + u_p_x_tau_p + u_p_div_u_r + tau_p_div_tau_r + tau_r_div_tau_p + tau_r_div_u_p,0.7403578811332875,0.7800080277247332,0.66122915380321,7.454935032021505,0.949521716547304,0.206389762741088,0.884879403249609,11.831651861188288,0.97999612415035,69,68,68,68,98.55072463768116,9.250004373434662,0.850537274517219,69,0.8631921194561862,0.9576734879308817,68,6.328154747874154,5.769912101112371,7.337307232379477e-12,0.22193013056938987,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/e_from_d/low/LOW_2_exp_d_rank_5_e_predictions.csv
LOW_2,LOW_2_poly_rank_1,polynomial,log,1,tau_peak_MPa_csds + u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p,0.932465869327424,0.8567454978168106,0.8093479638200375,5.592571852285102,0.977504018147594,0.1377806849027849,0.7279589974432095,18.188046237331857,1.316996998096976,69,69,69,69,100.0,3.533205568755404,0.9781934564143749,69,0.5490930750421362,0.9836340124111638,69,6.246375549636076,5.994210373273679,4.778406334062179e-12,0.15336523580183853,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/e_from_d/low/LOW_2_poly_rank_1_e_predictions.csv
LOW_2,LOW_2_poly_rank_2,polynomial,log,2,tau_peak_MPa_csds + u_p_div_u_r + tau_r_div_tau_p,0.8977687401531711,0.871273307629196,0.7206747797155686,6.769333699989074,0.9607467404582803,0.1820009796752472,0.5776332332836871,22.662808852559017,1.3013551157538197,69,69,69,69,100.0,4.101977932368465,0.9706075586298977,69,0.5669147504851444,0.9825544045093776,69,6.2188284704067955,6.044967987428966,2.9701716126853e-12,0.14529708516832215,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/e_from_d/low/LOW_2_poly_rank_2_e_predictions.csv
LOW_2,LOW_2_poly_rank_3,polynomial,log,3,tau_p_x_tau_r + u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p,0.9240878346438064,0.8412485692741983,0.7938513303311856,5.815420416639322,0.97632203997379,0.1413539680216816,0.7360223084744619,17.916471356060143,1.300199293661967,69,69,69,69,100.0,3.328073977615978,0.9806520496589378,69,0.556593812583324,0.9831838321871543,69,6.246906893147562,5.98616968915014,6.11778260900772e-12,0.15531561872972316,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/e_from_d/low/LOW_2_poly_rank_3_e_predictions.csv
LOW_2,LOW_2_poly_rank_4,polynomial,log,4,u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p + tau_p_div_u_p,0.940318176208309,0.808126286636136,0.9017024904978151,4.015707815438585,0.9850488740307408,0.1123240652417047,0.9949779147042336,2.471217145784025,1.2999322725177087,69,69,69,69,100.0,2.913538347589117,0.9851717295492943,69,0.6215945543257377,0.9790268005743369,69,6.246304556859301,5.866697212467346,7.602958520407441e-12,0.1866534943891836,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/e_from_d/low/LOW_2_poly_rank_4_e_predictions.csv
