sample_id,u_peak,u_r,tau_peak,tau_r,true_a,true_b,true_c,true_d,true_e,estimated_a,estimated_b,estimated_c,estimated_d,estimated_e,error_b,abs_error_b,error_d,abs_error_d,error_e,abs_error_e,curve_rmse_tau_u,curve_mae_tau_u,curve_r2_tau_u,curve_valid,dataset,model_name
7,0.72,2.75,0.044,0.03175,0.03175,0.0801325410005739,1.818181818181818,0.1118825410005739,3.441242286799551,0.03175,0.4571776441305907,1.818181818181818,0.4889276441305907,2.133660005773309,0.3770451031300168,0.3770451031300168,0.3770451031300168,0.3770451031300168,-1.3075822810262423,1.3075822810262423,0.0038802316397432697,0.0031522649720134655,0.6734868425083447,True,FULL,FULL_exp_d_rank_2
8,0.92,3.0,0.035,0.02825,0.02825,0.0557241852265918,1.6666666666666667,0.0839741852265918,3.007954906577982,0.02825,0.3220119759663641,1.6666666666666667,0.3502619759663641,1.9011533394688271,0.2662877907397723,0.2662877907397723,0.2662877907397723,0.2662877907397723,-1.1068015671091547,1.1068015671091547,0.001643223682223449,0.0014168498075688262,0.9082948061424085,True,FULL,FULL_exp_d_rank_2
9,0.97,3.0,0.029,0.0255,0.0255,0.0288872445152351,1.6666666666666667,0.0543872445152351,3.290221199159674,0.0255,0.2415747673191053,1.6666666666666667,0.2670747673191053,1.9113297842883827,0.21268752280387018,0.21268752280387018,0.21268752280387018,0.21268752280387018,-1.3788914148712912,1.3788914148712912,0.0016594335141089731,0.0013966709635646183,0.8680284213134805,True,FULL,FULL_exp_d_rank_2
11,0.78,3.5,0.05,0.0417499999999999,0.0417499999999999,0.0354980845491272,1.4285714285714286,0.0772480845491271,4.004659571873231,0.0417499999999999,0.3644201020333695,1.4285714285714286,0.4061701020333694,1.9972203499208931,0.3289220174842423,0.3289220174842423,0.3289220174842423,0.3289220174842423,-2.0074392219523376,2.0074392219523376,0.013575081013298327,0.01035543512625296,-2.805287833430001,True,FULL,FULL_exp_d_rank_2
12,1.25,3.5,0.04,0.034,0.034,0.0670624339164287,1.4285714285714286,0.1010624339164287,2.366794324621144,0.034,0.3073479663812217,1.4285714285714286,0.3413479663812217,1.6063312035847543,0.240285532464793,0.240285532464793,0.240285532464793,0.240285532464793,-0.7604631210363895,0.7604631210363895,0.0017507843903438003,0.0011906844493075914,0.9267176098597416,True,FULL,FULL_exp_d_rank_2
13,1.8,4.0,0.035,0.033,0.033,0.0334302203204883,1.25,0.0664302203204883,2.0972939397426664,0.033,0.2121623524034199,1.25,0.2451623524034199,1.3888234941580553,0.1787321320829316,0.1787321320829316,0.1787321320829316,0.1787321320829316,-0.7084704455846111,0.7084704455846111,0.0013355196457383461,0.0008727592916910145,0.9536414565371036,True,FULL,FULL_exp_d_rank_2
19,1.55,12.0,1.02,0.8525,0.8525,0.3782821788444106,0.4166666666666667,1.2307821788444109,2.3791759662313843,0.8525,0.352227903772671,0.4166666666666667,1.204727903772671,2.316960578259125,-0.02605427507173963,0.02605427507173963,-0.026054275071739852,0.026054275071739852,-0.06221538797225934,0.06221538797225934,0.007775925229430045,0.004278070787070508,0.9957247528045711,True,FULL,FULL_exp_d_rank_2
20,1.71,12.0,2.57,1.7327500000000002,1.7327500000000002,2.210315622373947,0.4166666666666667,3.9430656223739473,1.6207235717983703,1.7327500000000002,0.1352101604614393,0.4166666666666667,1.8679601604614395,3.131778885028317,-2.075105461912508,2.075105461912508,-2.075105461912508,2.075105461912508,1.5110553132299467,1.5110553132299467,0.32229736695364664,0.20691517964241157,0.16226298757930768,True,FULL,FULL_exp_d_rank_2
28,0.13,1.325,1.02,0.6675,0.6675,0.6738254010838505,3.7735849056603774,1.3413254010838505,23.891608655167115,0.6675,1.0486581458417583,3.7735849056603774,1.7161581458417583,20.629554471548747,0.37483274475790784,0.37483274475790784,0.37483274475790784,0.37483274475790784,-3.2620541836183676,3.2620541836183676,0.06858660560339608,0.0430681038400865,0.7294048458298688,True,FULL,FULL_exp_d_rank_2
29,0.6,2.425,4.93,4.2975,4.2975,3.110870023650559,2.061855670103093,7.408370023650559,5.517814597970529,4.2975,1.7123396885184556,2.061855670103093,6.009839688518456,5.90928095280002,-1.3985303351321035,1.3985303351321035,-1.3985303351321035,1.3985303351321035,0.39146635482949144,0.39146635482949144,0.16773132577764002,0.11470591934202334,0.944131823094441,True,FULL,FULL_exp_d_rank_2
30,2.17,3.85,16.37,14.955,14.955,60.674147880173095,1.2987012987012987,75.6291478801731,1.6284330431129306,14.955,128.46481905035964,1.2987012987012987,143.41981905035965,1.3761377650317934,67.79067117018654,67.79067117018654,67.79067117018656,67.79067117018656,-0.25229527808113716,0.25229527808113716,1.5936663078318285,1.1429235387810188,0.7188900591985861,True,FULL,FULL_exp_d_rank_2
31,0.24,1.275,0.66,0.475,0.475,0.6758571313827281,3.9215686274509807,1.150857131382728,11.17767536247715,0.475,1.0165307405309338,3.9215686274509807,1.4915307405309337,8.963600068805615,0.34067360914820577,0.34067360914820577,0.34067360914820566,0.34067360914820566,-2.2140752936715344,2.2140752936715344,0.02158960496781108,0.015732015031087357,0.9458523772595306,True,FULL,FULL_exp_d_rank_2
33,2.26,4.125,16.14,11.3475,11.3475,422.7987490320256,1.2121212121212122,434.1462490320256,1.3091974223177918,11.3475,127.75529166188012,1.2121212121212122,139.1027916618801,1.270635163076144,-295.0434573701455,295.0434573701455,-295.04345737014546,295.04345737014546,-0.03856225924164769,0.03856225924164769,5.238135376776036,4.038575338898944,-1.0646086606444598,True,FULL,FULL_exp_d_rank_2
