sample_id,u_peak,u_r,tau_peak,tau_r,true_a,true_b,true_c,true_d,true_e,estimated_a,estimated_b,estimated_c,estimated_d,estimated_e,error_b,abs_error_b,error_d,abs_error_d,error_e,abs_error_e,curve_rmse_tau_u,curve_mae_tau_u,curve_r2_tau_u,curve_valid,dataset,model_name
18,3.07,10.5,12.57,12.4375,12.4375,0.7124450836759753,0.4761904761904761,13.149945083675975,1.9539451798171723,12.4375,2.1148047124818294,0.4761904761904761,14.55230471248183,1.4720882738154948,1.4023596288058542,1.4023596288058542,1.4023596288058542,1.4023596288058542,-0.4818569060016775,0.4818569060016775,0.23930601998631168,0.12854545791117747,0.9832918423036348,True,HIGH,HIGH_exp_log_rank_3
21,1.67,12.0,7.53,5.32,5.32,5.617172562155661,0.4166666666666667,10.93717256215566,1.7473164085592403,5.32,11.020860661588465,0.4166666666666667,16.340860661588465,1.361567301974149,5.403688099432804,5.403688099432804,5.403688099432806,5.403688099432806,-0.3857491065850913,0.3857491065850913,0.7110837429180165,0.475252260101456,0.48157809005854324,True,HIGH,HIGH_exp_log_rank_3
30,2.17,3.85,16.37,14.955,14.955,60.674147880173095,1.2987012987012987,75.6291478801731,1.6284330431129306,14.955,43.65930324991358,1.2987012987012987,58.614303249913576,1.5012267306227034,-17.014844630259518,17.014844630259518,-17.014844630259518,17.014844630259518,-0.12720631249022718,0.12720631249022718,1.5868303918931854,1.1655648357725132,0.7212964883730664,True,HIGH,HIGH_exp_log_rank_3
33,2.26,4.125,16.14,11.3475,11.3475,422.7987490320256,1.2121212121212122,434.1462490320256,1.3091974223177918,11.3475,171.50838145142353,1.2121212121212122,182.85588145142353,1.2563144209100297,-251.2903675806021,251.2903675806021,-251.29036758060207,251.29036758060207,-0.05288300140776214,0.05288300140776214,5.236521127953396,4.034801098994063,-1.0633363458520098,True,HIGH,HIGH_exp_log_rank_3
36,1.48,3.625,14.91,14.235,14.235,8.232456046268986,1.3793103448275863,22.467456046268985,2.7321098339023515,14.235,12.88419248854585,1.3793103448275863,27.11919248854585,2.1965794215388685,4.651736442276864,4.651736442276864,4.651736442276864,4.651736442276864,-0.535530412363483,0.535530412363483,0.3826281021636842,0.20940825234994873,0.9779437604847294,True,HIGH,HIGH_exp_log_rank_3
39,0.54,3.35,15.9,14.4675,14.4675,3.852469877296928,1.4925373134328357,18.319969877296927,7.688914610134782,14.4675,2.424598767137459,1.4925373134328357,16.89209876713746,8.254502432888358,-1.4278711101594692,1.4278711101594692,-1.4278711101594688,1.4278711101594688,0.5655878227535762,0.5655878227535762,0.22959925485129112,0.14628307127610563,0.9864233251630681,True,HIGH,HIGH_exp_log_rank_3
42,0.71,3.35,16.28,14.8375,14.8375,5.373344828404187,1.4925373134328357,20.210844828404188,5.457009220110153,14.8375,4.702989214239141,1.4925373134328357,19.54048921423914,5.277388187427334,-0.6703556141650466,0.6703556141650466,-0.6703556141650466,0.6703556141650466,-0.17962103268281915,0.17962103268281915,0.18332745888144622,0.1055402045865128,0.9932001859538796,True,HIGH,HIGH_exp_log_rank_3
45,2.87,4.1,13.67,13.42,13.42,16.705556614946417,1.2195121951219514,30.12555661494642,1.6634039681803665,13.42,43.62775007343407,1.2195121951219514,57.047750073434074,1.347814997299428,26.922193458487655,26.922193458487655,26.922193458487655,26.922193458487655,-0.3155889708809385,0.3155889708809385,0.5887041047726065,0.3695187222053129,0.9491554839880235,True,HIGH,HIGH_exp_log_rank_3
48,2.37,4.125,16.38,14.3675,14.3675,112.7264689844744,1.2121212121212122,127.0939689844744,1.4228254925840296,14.3675,60.74597844115352,1.2121212121212122,75.11347844115352,1.3458597101339085,-51.980490543320876,51.980490543320876,-51.98049054332088,51.98049054332088,-0.07696578245012109,0.07696578245012109,2.3691289291426236,1.7835856644851307,0.38210926510691823,True,HIGH,HIGH_exp_log_rank_3
50,4.16,4.75,15.04,14.775,14.775,58.5314735148253,1.0526315789473684,73.3064735148253,1.2144266984360343,14.775,90.51139076227088,1.0526315789473684,105.2863907622709,1.0994378753735472,31.979917247445577,31.979917247445577,31.9799172474456,31.9799172474456,-0.11498882306248714,0.11498882306248714,0.9389580974021821,0.5964974386939216,0.8779493559079459,True,HIGH,HIGH_exp_log_rank_3
52,3.13,4.466666666666667,15.58,14.793333333333337,14.793333333333337,75.02328336156236,1.1194029850746268,89.8166166948957,1.313812712287742,14.793333333333337,58.46861518544428,1.1194029850746268,73.26194851877761,1.2185877649338408,-16.554668176118085,16.554668176118085,-16.554668176118085,16.554668176118085,-0.0952249473539013,0.0952249473539013,1.4524493803842962,1.0309599695943183,0.7445463829759482,True,HIGH,HIGH_exp_log_rank_3
55,0.63,3.85,16.18,14.365,14.365,5.024596391351091,1.2987012987012987,19.38959639135109,6.152370825583352,14.365,5.2341162327853095,1.2987012987012987,19.59911623278531,5.75833683724421,0.20951984143421853,0.20951984143421853,0.20951984143421853,0.20951984143421853,-0.3940339883391424,0.3940339883391424,0.0905599687725609,0.03769247995427747,0.9979812628903606,True,HIGH,HIGH_exp_log_rank_3
58,0.94,3.875,16.28,13.935,13.935,11.349260923481204,1.2903225806451613,25.28426092348121,3.405427164282276,13.935,15.772321682680056,1.2903225806451613,29.707321682680057,2.78068724254449,4.423060759198853,4.423060759198853,4.423060759198847,4.423060759198847,-0.624739921737786,0.624739921737786,0.27469057902963917,0.1897535995399834,0.9860678921489416,True,HIGH,HIGH_exp_log_rank_3
61,2.68,4.125,16.95,15.5375,15.5375,116.71406105996982,1.2121212121212122,132.25156105996982,1.3981039630569712,15.5375,61.84292343792098,1.2121212121212122,77.38042343792098,1.3305331419463935,-54.87113762204884,54.87113762204884,-54.871137622048835,54.871137622048835,-0.06757082111057766,0.06757082111057766,2.1793135793054046,1.6195835699248233,0.5218892591646155,True,HIGH,HIGH_exp_log_rank_3
64,2.73,4.125,15.88,13.97,13.97,220.02903798852773,1.2121212121212122,233.99903798852773,1.3339956390040135,13.97,82.5367135768204,1.2121212121212122,96.5067135768204,1.293083554640774,-137.49232441170733,137.49232441170733,-137.49232441170733,137.49232441170733,-0.040912084363239565,0.040912084363239565,3.0447394978650064,2.2763689929517374,-0.01843079500201883,True,HIGH,HIGH_exp_log_rank_3
67,3.13,4.533333333333333,14.91,14.596666666666666,14.596666666666666,20.35467702287054,1.1029411764705883,34.951343689537204,1.4882877719989878,14.596666666666666,44.1795051143694,1.1029411764705883,58.77617178103606,1.2286251798282732,23.82482809149886,23.82482809149886,23.82482809149886,23.82482809149886,-0.2596625921707145,0.2596625921707145,0.6778786699211573,0.4354523542011428,0.943397946880159,True,HIGH,HIGH_exp_log_rank_3
70,3.12,4.466666666666667,16.37,15.163333333333334,15.163333333333334,137.96164146287623,1.1194029850746268,153.12497479620956,1.2614658876838951,15.163333333333334,69.7858433258638,1.1194029850746268,84.94917665919712,1.2064159408846609,-68.17579813701244,68.17579813701244,-68.17579813701244,68.17579813701244,-0.05504994679923425,0.05504994679923425,2.1670672707068395,1.5675882939832766,0.4777151589873958,True,HIGH,HIGH_exp_log_rank_3
73,1.09,3.85,15.19,13.3025,13.3025,11.821633061680007,1.2987012987012987,25.12413306168001,2.9737453064844868,13.3025,15.88848338046361,1.2987012987012987,29.19098338046361,2.432469846252441,4.066850318783603,4.066850318783603,4.066850318783601,4.066850318783601,-0.541275460232046,0.541275460232046,0.33120748256279364,0.18756608097150884,0.9790836782629188,True,HIGH,HIGH_exp_log_rank_3
76,4.13,4.7,14.9,13.285,13.285,1213.8760619263403,1.0638297872340423,1227.1610619263406,1.0940505167399543,13.285,163.32737367292893,1.0638297872340423,176.61237367292892,1.088262692472625,-1050.5486882534115,1050.5486882534115,-1050.5486882534117,1050.5486882534117,-0.005787824267329267,0.005787824267329267,5.059381762596365,3.3656875769422823,-0.9749378081616391,True,HIGH,HIGH_exp_log_rank_3
79,3.62,4.5,14.62,13.843333333333334,13.843333333333334,173.78668847200146,1.1111111111111112,187.6300218053348,1.2115644521301927,13.843333333333334,86.82654709249387,1.1111111111111112,100.6698804258272,1.1650785866345716,-86.96014137950759,86.96014137950759,-86.96014137950759,86.96014137950759,-0.04648586549562106,0.04648586549562106,1.9596932322874918,1.3372139971229697,0.42957916927030804,True,HIGH,HIGH_exp_log_rank_3
82,0.39,3.9275,14.13,12.93,12.93,2.178980729198466,1.273074474856779,15.108980729198466,12.268593789286898,12.93,0.6000615035379795,1.273074474856779,13.53006150353798,15.704174036194994,-1.5789192256604867,1.5789192256604867,-1.5789192256604867,1.5789192256604867,3.4355802469080956,3.4355802469080956,0.31340515309598543,0.19146304108917847,0.957235779543123,True,HIGH,HIGH_exp_log_rank_3
85,0.46,3.86,15.2,13.9425,13.9425,2.582793456166362,1.2953367875647668,16.525293456166363,10.00333623780827,13.9425,0.4307914025166504,1.2953367875647668,14.373291402516651,14.112238228979098,-2.1520020536497118,2.1520020536497118,-2.1520020536497118,2.1520020536497118,4.108901991170828,4.108901991170828,0.39910162027678414,0.2484326933422001,0.9456547405398779,True,HIGH,HIGH_exp_log_rank_3
91,2.56,4.125,14.35,13.695,13.695,33.24347166872315,1.2121212121212122,46.93847166872315,1.5724619149710894,13.695,39.186097673086984,1.2121212121212122,52.881097673086984,1.3798179222130766,5.942626004363831,5.942626004363831,5.942626004363831,5.942626004363831,-0.1926439927580128,0.1926439927580128,0.9597488459660181,0.6830668746565429,0.8777400135594854,True,HIGH,HIGH_exp_log_rank_3
