sample_id,u_peak,u_r,tau_peak,tau_r,true_a,true_b,true_c,true_d,true_e,estimated_a,estimated_b,estimated_c,estimated_d,estimated_e,error_b,abs_error_b,error_d,abs_error_d,error_e,abs_error_e,curve_rmse_tau_u,curve_mae_tau_u,curve_r2_tau_u,curve_valid,dataset,model_name
16,1.61,10.5,13.41,12.8475,12.8475,1.3946189571869354,0.4761904761904761,14.242118957186936,3.178145408783804,12.8475,2.788091881606128,0.4761904761904761,15.635591881606128,2.601883157463572,1.3934729244191928,1.3934729244191928,1.3934729244191928,1.3934729244191928,-0.576262251320232,0.576262251320232,0.2094264750323571,0.13626700371302344,0.9834902379568291,True,HIGH,HIGH_poly_rank_2
18,3.07,10.5,12.57,12.4375,12.4375,0.7124450836759753,0.4761904761904761,13.149945083675975,1.9539451798171723,12.4375,2.6902251450545727,0.4761904761904761,15.127725145054573,1.386914654383431,1.9777800613785974,1.9777800613785974,1.9777800613785974,1.9777800613785974,-0.5670305254337413,0.5670305254337413,0.28235260963282877,0.1611331928331709,0.9767402560301774,True,HIGH,HIGH_poly_rank_2
21,1.67,12.0,7.53,5.32,5.32,5.617172562155661,0.4166666666666667,10.93717256215566,1.7473164085592403,5.32,6.028820975479663,0.4166666666666667,11.348820975479663,1.601787053786911,0.41164841332400215,0.41164841332400215,0.4116484133240039,0.4116484133240039,-0.1455293547723293,0.1455293547723293,0.054845875413200386,0.03437613029738161,0.9969158904662881,True,HIGH,HIGH_poly_rank_2
22,1.67,12.0,19.67,18.994999999999997,18.994999999999997,1.5273740416856256,0.4166666666666667,20.522374041685623,3.2739688179792332,18.994999999999997,4.383823514304591,0.4166666666666667,23.37882351430459,2.4893646224063217,2.8564494726189658,2.8564494726189658,2.8564494726189658,2.8564494726189658,-0.7846041955729115,0.7846041955729115,0.45957809947834527,0.29469793321259674,0.9605265869345185,True,HIGH,HIGH_poly_rank_2
23,0.84,16.0,8.44,7.47,7.47,1.3255582927799532,0.3125,8.795558292779953,6.166176834932969,7.47,1.239832990164598,0.3125,8.709832990164598,6.18773271189092,-0.08572530261535527,0.08572530261535527,-0.08572530261535505,0.08572530261535505,0.021555876957950915,0.021555876957950915,0.021759624941811467,0.01256877450606214,0.9992863779133198,True,HIGH,HIGH_poly_rank_2
24,1.81,16.0,7.62,7.29,7.29,0.6419185077225471,0.3125,7.931918507722547,3.0024433868829834,7.29,0.7500562791239611,0.3125,8.040056279123961,2.8428962881692277,0.108137771401414,0.108137771401414,0.108137771401414,0.108137771401414,-0.15954709871375572,0.15954709871375572,0.023748262729792732,0.01365239636955823,0.9992129405942957,True,HIGH,HIGH_poly_rank_2
30,2.17,3.85,16.37,14.955,14.955,60.674147880173095,1.2987012987012987,75.6291478801731,1.6284330431129306,14.955,54.88542465357189,1.2987012987012987,69.84042465357189,1.4653949343751016,-5.788723226601206,5.788723226601206,-5.788723226601206,5.788723226601206,-0.16303810873782898,0.16303810873782898,1.5897070210033588,1.1604529567746416,0.7202850969482752,True,HIGH,HIGH_poly_rank_2
33,2.26,4.125,16.14,11.3475,11.3475,422.7987490320256,1.2121212121212122,434.1462490320256,1.3091974223177918,11.3475,517.9496194402722,1.2121212121212122,529.2971194402721,1.2271703536507723,95.15087040824653,95.15087040824653,95.15087040824653,95.15087040824653,-0.08202706866701948,0.08202706866701948,5.232676748940585,4.026449207719015,-1.0603078714007883,True,HIGH,HIGH_poly_rank_2
36,1.48,3.625,14.91,14.235,14.235,8.232456046268986,1.3793103448275863,22.467456046268985,2.7321098339023515,14.235,9.658159660162744,1.3793103448275863,23.893159660162745,2.351896483659416,1.4257036138937575,1.4257036138937575,1.4257036138937593,1.4257036138937593,-0.38021335024293546,0.38021335024293546,0.3701340226237801,0.20230781047519336,0.9793606623362144,True,HIGH,HIGH_poly_rank_2
39,0.54,3.35,15.9,14.4675,14.4675,3.852469877296928,1.4925373134328357,18.319969877296927,7.688914610134782,14.4675,4.51670085199145,1.4925373134328357,18.98420085199145,7.018191520705251,0.6642309746945219,0.6642309746945219,0.6642309746945223,0.6642309746945223,-0.6707230894295311,0.6707230894295311,0.09823511193575747,0.061999461364798,0.9975146591568737,True,HIGH,HIGH_poly_rank_2
42,0.71,3.35,16.28,14.8375,14.8375,5.373344828404187,1.4925373134328357,20.210844828404188,5.457009220110153,14.8375,5.339888657034985,1.4925373134328357,20.177388657034985,5.093815265954632,-0.033456171369202536,0.033456171369202536,-0.033456171369202536,0.033456171369202536,-0.3631939541555216,0.3631939541555216,0.15233148192554044,0.06590617535232964,0.9953051541962453,True,HIGH,HIGH_poly_rank_2
45,2.87,4.1,13.67,13.42,13.42,16.705556614946417,1.2195121951219514,30.12555661494642,1.6634039681803665,13.42,41.55020816227522,1.2195121951219514,54.97020816227522,1.353306078111992,24.8446515473288,24.8446515473288,24.8446515473288,24.8446515473288,-0.3100978900683744,0.3100978900683744,0.5865349975545717,0.36881333525412496,0.9495294716217304,True,HIGH,HIGH_poly_rank_2
48,2.37,4.125,16.38,14.3675,14.3675,112.7264689844744,1.2121212121212122,127.0939689844744,1.4228254925840296,14.3675,101.55589664384468,1.2121212121212122,115.92339664384468,1.2962741513056462,-11.170572340629718,11.170572340629718,-11.170572340629718,11.170572340629718,-0.1265513412783834,0.1265513412783834,2.3715741917476736,1.7751656830813858,0.38083311266201314,True,HIGH,HIGH_poly_rank_2
50,4.16,4.75,15.04,14.775,14.775,58.5314735148253,1.0526315789473684,73.3064735148253,1.2144266984360343,14.775,55.99638100123823,1.0526315789473684,70.77138100123823,1.124879165246696,-2.535092513587074,2.535092513587074,-2.535092513587074,2.535092513587074,-0.08954753318933828,0.08954753318933828,0.9234511526751189,0.5893361940513943,0.8819474131828126,True,HIGH,HIGH_poly_rank_2
52,3.13,4.466666666666667,15.58,14.793333333333337,14.793333333333337,75.02328336156236,1.1194029850746268,89.8166166948957,1.313812712287742,14.793333333333337,65.43927879720314,1.1194029850746268,80.23261213053648,1.209159282949036,-9.584004564359219,9.584004564359219,-9.584004564359219,9.584004564359219,-0.10465342933870603,0.10465342933870603,1.456204560917991,1.0320911216416464,0.7432237695714786,True,HIGH,HIGH_poly_rank_2
55,0.63,3.85,16.18,14.365,14.365,5.024596391351091,1.2987012987012987,19.38959639135109,6.152370825583352,14.365,5.602525942404961,1.2987012987012987,19.96752594240496,5.649696013909914,0.5779295510538702,0.5779295510538702,0.5779295510538702,0.5779295510538702,-0.5026748116734385,0.5026748116734385,0.09583441568358182,0.05590376466215712,0.9977392619865902,True,HIGH,HIGH_poly_rank_2
58,0.94,3.875,16.28,13.935,13.935,11.349260923481204,1.2903225806451613,25.28426092348121,3.405427164282276,13.935,10.063996690019527,1.2903225806451613,23.998996690019528,3.171585308844433,-1.2852642334616764,1.2852642334616764,-1.2852642334616817,1.2852642334616817,-0.2338418554378432,0.2338418554378432,0.395989752035432,0.23192567298920552,0.9710467585738576,True,HIGH,HIGH_poly_rank_2
61,2.68,4.125,16.95,15.5375,15.5375,116.71406105996982,1.2121212121212122,132.25156105996982,1.3981039630569712,15.5375,89.72660389110176,1.2121212121212122,105.26410389110175,1.2969539103578016,-26.987457168868062,26.987457168868062,-26.987457168868062,26.987457168868062,-0.10115005269916955,0.10115005269916955,2.188623783931218,1.6204025446906725,0.5177954774805307,True,HIGH,HIGH_poly_rank_2
64,2.73,4.125,15.88,13.97,13.97,220.02903798852773,1.2121212121212122,233.99903798852773,1.3339956390040135,13.97,175.64486656023536,1.2121212121212122,189.61486656023536,1.2520166382129572,-44.384171428292376,44.384171428292376,-44.384171428292376,44.384171428292376,-0.08197900079105636,0.08197900079105636,3.0545940877522146,2.277121042533522,-0.025033960500123076,True,HIGH,HIGH_poly_rank_2
67,3.13,4.533333333333333,14.91,14.596666666666666,14.596666666666666,20.35467702287054,1.1029411764705883,34.951343689537204,1.4882877719989878,14.596666666666666,34.19197796559754,1.1029411764705883,48.7886446322642,1.258734448551522,13.837300942726998,13.837300942726998,13.837300942726998,13.837300942726998,-0.22955332344746582,0.22955332344746582,0.6639266985638398,0.4314435325576359,0.9457039152632465,True,HIGH,HIGH_poly_rank_2
70,3.12,4.466666666666667,16.37,15.163333333333334,15.163333333333334,137.96164146287623,1.1194029850746268,153.12497479620956,1.2614658876838951,15.163333333333334,97.62402770698104,1.1194029850746268,112.7873610403144,1.1835345511134563,-40.33761375589519,40.33761375589519,-40.33761375589516,40.33761375589516,-0.07793133657043883,0.07793133657043883,2.1757765048884457,1.5700396854209975,0.47350869853589417,True,HIGH,HIGH_poly_rank_2
73,1.09,3.85,15.19,13.3025,13.3025,11.821633061680007,1.2987012987012987,25.12413306168001,2.9737453064844868,13.3025,10.5915718638802,1.2987012987012987,23.8940718638802,2.725013679817393,-1.2300611977998077,1.2300611977998077,-1.2300611977998095,1.2300611977998095,-0.24873162666709359,0.24873162666709359,0.43743662876176886,0.259932780729388,0.9635149180623995,True,HIGH,HIGH_poly_rank_2
76,4.13,4.7,14.9,13.285,13.285,1213.8760619263403,1.0638297872340423,1227.1610619263406,1.0940505167399543,13.285,587.5828323925422,1.0638297872340423,600.8678323925421,1.0708317322209189,-626.2932295337981,626.2932295337981,-626.2932295337985,626.2932295337985,-0.023218784519035474,0.023218784519035474,5.0681780471596305,3.369794075301324,-0.9818110655773884,True,HIGH,HIGH_poly_rank_2
79,3.62,4.5,14.62,13.843333333333334,13.843333333333334,173.78668847200146,1.1111111111111112,187.6300218053348,1.2115644521301927,13.843333333333334,126.38845960165928,1.1111111111111112,140.23179293499263,1.1491128281266665,-47.39822887034218,47.39822887034218,-47.398228870342166,47.398228870342166,-0.06245162400352622,0.06245162400352622,1.9671448260704734,1.340415168885941,0.42523295278945694,True,HIGH,HIGH_poly_rank_2
82,0.39,3.9275,14.13,12.93,12.93,2.178980729198466,1.273074474856779,15.108980729198466,12.268593789286898,12.93,4.698639702088883,1.273074474856779,17.628639702088883,9.930610081747018,2.519658972890417,2.519658972890417,2.519658972890417,2.519658972890417,-2.3379837075398804,2.3379837075398804,0.4795851812090863,0.29297763981044056,0.8998617945279654,True,HIGH,HIGH_poly_rank_2
85,0.46,3.86,15.2,13.9425,13.9425,2.582793456166362,1.2953367875647668,16.525293456166363,10.00333623780827,13.9425,4.748430545717378,1.2953367875647668,18.69093054571738,8.316382101380048,2.1656370895510157,2.1656370895510157,2.1656370895510157,2.1656370895510157,-1.6869541364282217,1.6869541364282217,0.36676820842675695,0.229684174907513,0.9541036601857634,True,HIGH,HIGH_poly_rank_2
91,2.56,4.125,14.35,13.695,13.695,33.24347166872315,1.2121212121212122,46.93847166872315,1.5724619149710894,13.695,41.97717459026374,1.2121212121212122,55.672174590263744,1.3703407374857692,8.73370292154059,8.73370292154059,8.73370292154059,8.73370292154059,-0.2021211774853202,0.2021211774853202,0.962169743721681,0.683080741172277,0.8771224515361421,True,HIGH,HIGH_poly_rank_2
94,2.24,4.125,16.29,15.185,15.185,36.934910613682646,1.2121212121212122,52.11991061368265,1.6343524111032697,15.185,37.54216114284938,1.2121212121212122,52.72716114284938,1.4409631671981142,0.607250529166734,0.607250529166734,0.607250529166734,0.607250529166734,-0.19338924390515544,0.19338924390515544,1.1406096782993533,0.803491221297783,0.8552462435968542,True,HIGH,HIGH_poly_rank_2
97,0.98,3.925,16.9,13.655,13.655,17.423005323734152,1.2738853503184715,31.07800532373415,2.9328424113361327,13.655,15.156247496994864,1.2738853503184715,28.811247496994863,2.6933366605353197,-2.2667578267392887,2.2667578267392887,-2.266757826739287,2.266757826739287,-0.23950575080081293,0.23950575080081293,0.6211512675939784,0.3782568727518882,0.936064329014771,True,HIGH,HIGH_poly_rank_2
100,1.12,3.865,15.69,14.2025,14.2025,9.330787016774106,1.2936610608020698,23.533287016774107,3.133851414322128,14.2025,8.829714093261032,1.2936610608020698,23.032214093261032,2.857165579007346,-0.5010729235130746,0.5010729235130746,-0.5010729235130746,0.5010729235130746,-0.2766858353147823,0.2766858353147823,0.344636790967577,0.19200251301270854,0.9792964698408267,True,HIGH,HIGH_poly_rank_2
103,0.94,4.6125,15.17,14.2325,14.2325,3.230539541690666,1.0840108401084012,17.463039541690666,4.61254903129243,14.2325,4.35657801824159,1.0840108401084012,18.58907801824159,4.0224178480010675,1.1260384765509244,1.1260384765509244,1.1260384765509244,1.1260384765509244,-0.5901311832913629,0.5901311832913629,0.13959814329926715,0.09017848845014427,0.9953318248416952,True,HIGH,HIGH_poly_rank_2
106,6.69,7.0,11.06,11.03,11.03,6.769176332863529,0.7142857142857143,17.799176332863528,0.9707346090728766,11.03,31.7118276475968,0.7142857142857143,42.7418276475968,0.7701608456618608,24.94265131473327,24.94265131473327,24.942651314733272,24.942651314733272,-0.20057376341101574,0.20057376341101574,0.3101924515284127,0.16645314578937254,0.9759331743223937,True,HIGH,HIGH_poly_rank_2
