dataset,model_name,n_rows,rmse_d,r2_d,rmse_b,r2_b,rmse_e,r2_e,rmse_tau_u,mean_curve_rmse_tau_u,median_curve_rmse_tau_u,max_curve_rmse_tau_u,valid_curve_count,r2_tau_u
HIGH,HIGH_poly_rank_2,67,78.75332449214186,0.7541763206177616,78.75332449214181,0.7548451493320687,0.9169305140355687,0.8732330917637827,1.4598157282527324,0.9387309882514827,0.48346114201765045,5.232676748940585,67,0.8795822602050662
HIGH,HIGH_poly_rank_3,65,81.02501298205945,0.7466148082494968,81.02501298205941,0.7471566667666696,0.5822998892263226,0.9457674271056458,1.5570334403255528,1.0647319745191672,0.6149932501846003,5.232537467621636,65,0.8622660526655223
HIGH,HIGH_poly_rank_1,65,81.51455109152647,0.7435437460759731,81.51455109152643,0.7440921719903328,1.0779288075783813,0.8141566819226134,1.550485845845949,1.077986666467684,0.6278439937069829,5.232577004497404,65,0.8634220071143055
HIGH,HIGH_poly_rank_5,65,116.7409995856431,0.4735342619414312,116.74099958564305,0.4751120308239227,0.5761510549671823,0.9456263446243994,1.9413602123365814,1.1492940106366014,0.5976805020303624,10.005526987353896,65,0.7841905626829789
HIGH,HIGH_exp_log_rank_5,61,143.0226027685999,0.25017683428977144,143.02260276859988,0.2530958777164899,0.7587811055346206,0.8828795352820185,1.814007217180773,1.1891279356051818,0.596349010882384,6.606078776015498,61,0.8144211841014672
HIGH,HIGH_poly_rank_4,64,111.88713641846715,0.5232748220892768,111.88713641846711,0.5242293205165474,0.7846812004303314,0.8950612375847453,2.1231323593589218,1.1991423109000694,0.5955336066476742,12.36998758927523,64,0.7464196127589002
HIGH,HIGH_exp_d_rank_2,60,142.15688096342643,0.2700223223698234,142.1568809634264,0.2725603252886185,0.692500574567,0.8717872842549741,1.8591219656741418,1.2096314870797285,0.630415298542675,6.8324402368914345,60,0.806882657259604
HIGH,HIGH_exp_log_rank_1,61,140.95463438581262,0.271703507773163,140.9546343858126,0.2745387483812912,0.7690372378404358,0.8796919992284178,1.8898501140661939,1.2130484827913983,0.5995849039095071,6.739176337417781,61,0.7985788363994681
HIGH,HIGH_exp_d_rank_3,61,140.73725467858955,0.27394812783966827,140.73725467858952,0.2767746301962323,0.7275583933124434,0.8923198922458079,1.9106608392630888,1.2176359273875617,0.5994859519684151,6.797397284088745,61,0.7941183770977274
HIGH,HIGH_exp_log_rank_4,63,141.79806151363067,0.24306832686068724,141.7980615136306,0.2456081256499144,1.5602926166577844,0.647655573557465,1.9613527235931,1.2202346018358805,0.5933408837770977,8.109820558011585,63,0.7730043698507353
HIGH,HIGH_exp_log_rank_3,63,141.39688576405558,0.2473452974515682,141.39688576405555,0.24987074534874787,0.9105672710723015,0.8800005179246232,2.0217137370832194,1.2295113975476852,0.5925368223590491,8.876368516795463,63,0.7588177096305848
HIGH,HIGH_exp_d_rank_1,61,141.52179362778722,0.26583082251780865,141.52179362778722,0.2686889253474254,0.7396592475354234,0.8887082032982225,2.008813848471506,1.2341331381176053,0.5996450140166554,8.617394885078436,61,0.7724222677458294
HIGH,HIGH_exp_log_rank_2,60,145.01604646035926,0.24073891041469975,145.01604646035923,0.24301262090439868,0.716455090359244,0.8626995944562621,1.9275084288781865,1.2453946162415357,0.6294294409831359,6.83721452286625,60,0.7876075464171253
HIGH,HIGH_exp_d_rank_5,63,143.06755855095625,0.22914538347940605,143.0675585509562,0.2320780883061745,1.2787999560521748,0.7061905851436588,2.413133854848652,1.2996706275386916,0.5951692747629755,13.4927268330958,63,0.6641158881206246
HIGH,HIGH_exp_d_rank_4,60,155.88627477061445,0.12237737779171598,155.88627477061442,0.12539628433667793,0.8946727519033926,0.7367358657461449,2.06961574682672,1.4345524444997126,0.8650263295118674,7.4949882333146345,60,0.7609306980737462
