sample_id,u_peak,u_r,tau_peak,tau_r,true_a,true_b,true_c,true_d,true_e,estimated_a,estimated_b,estimated_c,estimated_d,estimated_e,error_b,abs_error_b,error_d,abs_error_d,error_e,abs_error_e,curve_rmse_tau_u,curve_mae_tau_u,curve_r2_tau_u,curve_valid,dataset,model_name
7,0.72,2.75,0.044,0.03175,0.03175,0.0801325410005739,1.818181818181818,0.1118825410005739,3.441242286799551,0.03175,0.1021931473185165,1.818181818181818,0.1339431473185166,2.787361195834187,0.0220606063179426,0.0220606063179426,0.022060606317942683,0.022060606317942683,-0.6538810909653643,0.6538810909653643,0.0020284047887548424,0.0011161218802891947,0.9107733401258942,True,LOW_1,LOW_1_exp_log_rank_3
8,0.92,3.0,0.035,0.02825,0.02825,0.0557241852265918,1.6666666666666667,0.0839741852265918,3.007954906577982,0.02825,0.0890121221436708,1.6666666666666667,0.1172621221436708,2.3308458089274655,0.03328793691707899,0.03328793691707899,0.033287936917079,0.033287936917079,-0.6771090976505163,0.6771090976505163,0.001493713987061081,0.0008543186431849946,0.9242233401802876,True,LOW_1,LOW_1_exp_log_rank_3
9,0.97,3.0,0.029,0.0255,0.0255,0.0288872445152351,1.6666666666666667,0.0543872445152351,3.290221199159674,0.0255,0.0744211059702896,1.6666666666666667,0.0999211059702896,2.304464792180139,0.0455338614550545,0.0455338614550545,0.045533861455054496,0.045533861455054496,-0.9857564069795348,0.9857564069795348,0.0008658438837212657,0.0006661571713231671,0.9640714338965746,True,LOW_1,LOW_1_exp_log_rank_3
11,0.78,3.5,0.05,0.0417499999999999,0.0417499999999999,0.0354980845491272,1.4285714285714286,0.0772480845491271,4.004659571873231,0.0417499999999999,0.0877283697051985,1.4285714285714286,0.1294783697051984,2.7822124996165747,0.052230285156071296,0.052230285156071296,0.05223028515607131,0.05223028515607131,-1.222447072256656,1.222447072256656,0.0029450841187736486,0.0021572052986625918,0.820898979646335,True,LOW_1,LOW_1_exp_log_rank_3
12,1.25,3.5,0.04,0.034,0.034,0.0670624339164287,1.4285714285714286,0.1010624339164287,2.366794324621144,0.034,0.0949790583902674,1.4285714285714286,0.1289790583902674,1.9026059875211592,0.027916624473838705,0.027916624473838705,0.027916624473838705,0.027916624473838705,-0.46418833709998464,0.46418833709998464,0.002177864983181051,0.001288444050461693,0.8866044013381646,True,LOW_1,LOW_1_exp_log_rank_3
13,1.8,4.0,0.035,0.033,0.033,0.0334302203204883,1.25,0.0664302203204883,2.0972939397426664,0.033,0.0741681721958834,1.25,0.1071681721958834,1.5871419612130782,0.0407379518753951,0.0407379518753951,0.0407379518753951,0.0407379518753951,-0.5101519785295883,0.5101519785295883,0.0013288500103374155,0.0007718350285540063,0.9541033329593721,True,LOW_1,LOW_1_exp_log_rank_3
19,1.55,12.0,1.02,0.8525,0.8525,0.3782821788444106,0.4166666666666667,1.2307821788444109,2.3791759662313843,0.8525,0.1148174351940995,0.4166666666666667,0.9673174351940996,3.0827867074228927,-0.26346474365031114,0.26346474365031114,-0.26346474365031125,0.26346474365031125,0.7036107411915085,0.7036107411915085,0.045343929864998245,0.028333399685344395,0.8546231037436147,True,LOW_1,LOW_1_exp_log_rank_3
20,1.71,12.0,2.57,1.7327500000000002,1.7327500000000002,2.210315622373947,0.4166666666666667,3.9430656223739473,1.6207235717983703,1.7327500000000002,1.0179697784651125,0.4166666666666667,2.7507197784651125,1.878720522857059,-1.1923458439088346,1.1923458439088346,-1.1923458439088348,1.1923458439088348,0.2579969510586886,0.2579969510586886,0.19224432035340802,0.12448452506535163,0.7019416970231306,True,LOW_1,LOW_1_exp_log_rank_3
27,0.87,3.25,2.35,1.9075,1.9075,2.7034029995062916,1.5384615384615383,4.610902999506291,3.276941309100947,1.9075,3.044361250490941,1.5384615384615383,4.951861250490941,2.7760825303964967,0.3409582509846496,0.3409582509846496,0.3409582509846496,0.3409582509846496,-0.5008587787044503,0.5008587787044503,0.07698363046646321,0.040409462367353294,0.951324891182701,True,LOW_1,LOW_1_exp_log_rank_3
28,0.13,1.325,1.02,0.6675,0.6675,0.6738254010838505,3.7735849056603774,1.3413254010838505,23.891608655167115,0.6675,1.2158467230743617,3.7735849056603774,1.8833467230743617,19.94848970645722,0.5420213219905112,0.5420213219905112,0.5420213219905112,0.5420213219905112,-3.9431189487098948,3.9431189487098948,0.10000729080666557,0.06277252328375488,0.4246862946759653,True,LOW_1,LOW_1_exp_log_rank_3
