Model_ID,Features,Degree,R2_train,RMSE_train,R2_val,RMSE_val,Equation
148,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_p_div_u_r,2,0.28072803920816014,75.83942633029542,0.816511255156663,16.16283468695486,d_csds = 7.502004 + 0.338269*u_r_mm - 10.878646*delta_peak_mm + 0.841113*tau_peak_MPa_csds - 20.125026*tau_p_div_u_r - 0.078326*u_r_mm^2 + 0.609786*u_r_mm delta_peak_mm + 0.374776*u_r_mm tau_peak_MPa_csds + 0.841113*u_r_mm tau_p_div_u_r + 0.603482*delta_peak_mm^2 - 3.636501*delta_peak_mm tau_peak_MPa_csds + 36.364015*delta_peak_mm tau_p_div_u_r + 0.202916*tau_peak_MPa_csds^2 - 3.449983*tau_peak_MPa_csds tau_p_div_u_r + 8.676992*tau_p_div_u_r^2
147,u_r_mm + delta_peak_mm + tau_p_div_u_r,2,0.27027827234815127,76.38834708764686,0.7901613366847575,17.284450278117006,d_csds = 2.986284 + 0.770221*u_r_mm - 7.387731*delta_peak_mm - 2.765124*tau_p_div_u_r - 0.087059*u_r_mm^2 + 0.487539*u_r_mm delta_peak_mm + 1.608518*u_r_mm tau_p_div_u_r - 0.029043*delta_peak_mm^2 + 16.942915*delta_peak_mm tau_p_div_u_r - 2.794696*tau_p_div_u_r^2
36,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + u_p_x_tau_p,1,0.2400604221501521,77.95392834357527,0.7388534909729241,19.282126529082454,d_csds = 11.338964 - 2.408087*u_r_mm + 3.701623*delta_peak_mm - 0.826176*tau_peak_MPa_csds + 2.655651*u_p_x_tau_p
37,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa + u_p_x_tau_p,1,0.24096000987989252,77.90777522495615,0.7343863464836168,19.44634623153619,d_csds = 12.095801 - 2.609892*u_r_mm + 4.657414*delta_peak_mm - 0.139884*tau_peak_MPa_csds - 0.958890*tau_r_MPa + 2.608661*u_p_x_tau_p
35,u_r_mm + delta_peak_mm + u_p_x_tau_p,1,0.23896237457735903,78.0102263878495,0.7285255293648616,19.65971933690511,d_csds = 8.320327 - 2.442349*u_r_mm + 5.173313*delta_peak_mm + 2.326542*u_p_x_tau_p
103,u_r_mm + delta_peak_mm + tau_peak_MPa_csds,2,0.2571196330598132,77.07400277985771,0.7217819848085182,19.902399523421884,d_csds = -0.593566 - 2.094429*u_r_mm + 16.184999*delta_peak_mm - 0.073430*tau_peak_MPa_csds + 0.160204*u_r_mm^2 - 1.110881*u_r_mm delta_peak_mm - 0.329041*u_r_mm tau_peak_MPa_csds - 0.294887*delta_peak_mm^2 + 2.594651*delta_peak_mm tau_peak_MPa_csds + 0.059796*tau_peak_MPa_csds^2
8,u_p_x_tau_p,1,0.2267045030138215,78.63596388009627,0.7183174394564671,20.025934714285913,d_csds = 0.972158 + 2.435553*u_p_x_tau_p
40,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa + u_p_x_tau_r,1,0.2310546560720681,78.41446968649748,0.7164899357404404,20.09079194654094,d_csds = 8.831867 - 2.663208*u_r_mm + 6.866971*delta_peak_mm + 5.353129*tau_peak_MPa_csds - 6.407176*tau_r_MPa + 2.476622*u_p_x_tau_r
9,u_p_x_tau_r,1,0.17444670527617523,81.24956254872396,0.6926209103575142,20.91943621899803,d_csds = 3.856650 + 2.516765*u_p_x_tau_r
136,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + u_r_div_tau_p,2,0.25752151401929857,77.0531523402504,0.6867356821197032,21.118753491907853,d_csds = -0.035147 - 0.664823*u_r_mm + 14.799843*delta_peak_mm - 0.371454*tau_peak_MPa_csds - 0.055129*u_r_div_tau_p + 0.126176*u_r_mm^2 - 0.985823*u_r_mm delta_peak_mm - 0.352587*u_r_mm tau_peak_MPa_csds - 0.009495*u_r_mm u_r_div_tau_p - 0.482497*delta_peak_mm^2 + 2.727310*delta_peak_mm tau_peak_MPa_csds + 0.065629*delta_peak_mm u_r_div_tau_p + 0.065457*tau_peak_MPa_csds^2 - 0.664823*tau_peak_MPa_csds u_r_div_tau_p + 0.000062*u_r_div_tau_p^2
