Dataset,Features,Feature_List,Branch_Signature,Degree,N_Features,R2_train,RMSE_train,R2_val,RMSE_val,R2_test,RMSE_test,R2_cv_mean,R2_cv_std,Selection_Score
HIGH,tau_p_x_tau_r,['tau_p_x_tau_r'],product,2,1,0.019458501781664417,186.0494086159302,-0.0141796908338232,116.52910728512195,-0.6281982369264296,74.00270894891099,-0.6529084742755686,0.438609783938101,-0.3944949063654176
HIGH,u_r_x_tau_p,['u_r_x_tau_p'],product,2,1,0.010939186630143483,186.8558944326342,-0.013156826928115928,116.47032899979418,-0.5075797490715153,71.20887511713397,-0.8275910459055273,0.5182301838662225,-0.4887753682675019
HIGH,tau_r_div_u_r,['tau_r_div_u_r'],ratio,2,1,0.04871728097930117,183.2525844768416,0.104838479781443,109.47820477801393,-0.7252209465639781,76.17567986813754,-1.4333507569743624,0.9606312605539338,-0.7179000247611316
HIGH,tau_r_MPa,['tau_r_MPa'],base_taur,2,1,0.01051970373212363,186.89551512219612,0.07150713524296093,111.49778760534275,-0.984603070143915,81.70164620341305,-1.452770278959883,1.2712951575405018,-0.7920075199910308
HIGH,u_r_div_tau_r,['u_r_div_tau_r'],ratio,2,1,0.0013651434372264903,187.75809272951346,-0.019424588174365987,116.83003770874923,-0.2377057957791444,64.52123774169597,-1.3636821068843819,1.143827076810831,-0.8256483492976401
HIGH,u_r_div_u_p + u_r_x_tau_p,"['u_r_div_u_p', 'u_r_x_tau_p']",product | ratio,2,2,0.14764824570006407,173.4621537206476,-0.022970341516819648,117.03303992981073,-31.008947860844614,328.11771410715494,-1.547747672215732,1.6139214261468713,-0.9782363202393728
HIGH,u_r_div_tau_r + u_r_x_tau_p,"['u_r_div_tau_r', 'u_r_x_tau_p']",product | ratio,2,2,0.01558491201606338,186.41653674635427,-0.027304611368894838,117.2807091880119,-0.42068799591111894,69.12630341045049,-1.6565858529767492,1.1093338998227702,-0.9865309278395464
HIGH,u_p_div_tau_p + tau_peak_MPa_csds,"['u_p_div_tau_p', 'tau_peak_MPa_csds']",base_taup | ratio,2,2,0.17142804976116777,171.0253225390174,-0.17669578138035025,125.51888216273962,0.6606062200940663,33.786711008442744,-1.5427346392595147,1.9067589763956303,-1.1587389986496706
HIGH,u_p_x_tau_p,['u_p_x_tau_p'],core_up_xtaup | product,2,1,0.13464244861659302,174.78054875535076,-0.06982095644924646,119.68301332387756,0.7923294923389289,26.429040109915384,-1.691285527676781,2.393585109513334,-1.1648222312389704
HIGH,u_r_div_u_p,['u_r_div_u_p'],ratio,2,1,0.11931078033412712,176.32205742063903,-0.0020416559048166416,115.82967896513145,-25.911941623354952,300.86141504772235,-1.9564616340981644,1.775641923812762,-1.167836665335175
HIGH,tau_p_div_u_r,['tau_p_div_u_r'],core_taup_over_ur | ratio,2,1,0.06615798422839503,181.56494801287076,-0.10367596814740976,121.56197789931603,0.16145707499174267,53.10759409980911,-1.946654874905576,1.7333052298778144,-1.2603339285879793
HIGH,tau_r_MPa + tau_r_div_u_p,"['tau_r_MPa', 'tau_r_div_u_p']",base_taur | ratio,2,2,0.10717423084050182,177.53282462478157,0.15914211128488043,106.10559037866706,0.10427568043346713,54.88847449234556,-2.2801071505837722,2.7394737468077683,-1.2748588386877824
HIGH,tau_r_div_sigma_n,['tau_r_div_sigma_n'],core_sigma_combo | ratio,2,1,0.0094287450610675,186.99851824059013,0.0660658775231664,111.82401625501379,-0.2296954305996135,64.31210984031473,-2.4164156373071237,2.3375565197812915,-1.3858975931085247
HIGH,tau_r_MPa + tau_r_div_u_r,"['tau_r_MPa', 'tau_r_div_u_r']",base_taur | ratio,2,2,0.07297146169168611,180.90137032258212,0.07734596372965752,111.14665772947238,-0.42288797592037053,69.17980483292664,-2.609750404921305,2.2849890016853216,-1.4760281388995273
HIGH,tau_p_div_sigma_n,['tau_p_div_sigma_n'],core_sigma_combo | core_taup_over_sigma | ratio,2,1,0.0060144228603090655,187.32051625917407,-0.014332942619183386,116.53791125709681,-0.21533973102797765,63.935611853808915,-2.388038331821162,2.908207632783423,-1.5091728718081068
HIGH,tau_p_div_u_r + u_r_div_u_p,"['tau_p_div_u_r', 'u_r_div_u_p']",core_taup_over_ur | ratio,2,2,0.12597826485221764,175.65334357879811,-0.010320710757911966,116.3071978505974,-33.00448803874694,338.1910406423027,-2.7314287705415174,2.4630775912304754,-1.6423428551517183
HIGH,u_p_x_tau_p + u_r_x_tau_p,"['u_p_x_tau_p', 'u_r_x_tau_p']",core_up_xtaup | product,2,2,0.18112596485945576,170.02150455157022,-0.3051045284796299,132.19030753718891,0.3622067692636999,46.31630770511265,-2.2095466879234773,2.53719660913129,-1.6835975333544977
HIGH,u_p_x_tau_r,['u_p_x_tau_r'],product,2,1,0.09363305670149302,178.87404722658638,-0.11909162824921782,122.40799604018567,-0.02948005681970911,58.844102959142056,-2.7030025408943494,3.024254904047152,-1.7830183891011078
HIGH,u_r_div_u_p + tau_r_div_u_p + u_r_x_tau_r,"['u_r_div_u_p', 'tau_r_div_u_p', 'u_r_x_tau_r']",product | ratio,2,3,0.15454259863860365,172.75919426256894,0.13820860794993117,107.41824203088093,-30.588977911006282,325.9580903920431,-3.166741057756095,3.131449408865634,-1.7883068618146798
HIGH,tau_r_div_u_r + tau_r_div_u_p + tau_r_MPa,"['tau_r_div_u_r', 'tau_r_div_u_p', 'tau_r_MPa']",base_taur | ratio,2,3,0.1529746657947697,172.91931430157626,0.31891527002047915,95.49431908934648,0.12036254508399036,54.39335341723905,-3.6536380029713382,3.6321074817738164,-1.9011144796425716
HIGH,delta_peak_mm + tau_r_div_u_r,"['delta_peak_mm', 'tau_r_div_u_r']",base_up | ratio,2,2,0.16735847073467536,171.44480846619373,-0.4026856770855811,137.04309109638453,-0.005878508329637322,58.16567097674812,-2.679134266608974,2.517019743745033,-2.0139547847645716
HIGH,u_r_div_u_p + delta_peak_mm,"['u_r_div_u_p', 'delta_peak_mm']",base_up | ratio,2,2,0.19679109609295764,168.38738856253576,-0.3691736152340519,135.39612195861477,-0.027113940890205246,58.77644158881412,-2.787365886280513,3.2874522593180764,-2.111601784306116
HIGH,tau_r_div_u_r + u_p_x_tau_p,"['tau_r_div_u_r', 'u_p_x_tau_p']",core_up_xtaup | product | ratio,2,2,0.21968380597677162,165.97039005285458,-0.929721622058524,160.74012294882326,-1.1871865886360236,85.7702932394025,-2.0088289599055926,2.606379148742289,-2.214774016885549
HIGH,tau_r_div_u_r + u_p_x_tau_r + u_r_x_tau_p + tau_p_div_u_r,"['tau_r_div_u_r', 'u_p_x_tau_r', 'u_r_x_tau_p', 'tau_p_div_u_r']",core_taup_over_ur | product | ratio,2,4,0.2715732437415155,160.35712064958213,-0.3470642346754118,134.29848621659232,0.662749943823387,33.67983794086238,-3.036553150558643,3.1071856307779284,-2.216059373032526
HIGH,delta_peak_mm,['delta_peak_mm'],base_up,2,1,0.12851218965365718,175.39853559617222,-0.041882979049407076,118.10993655824728,0.40362780051094505,44.78707219798507,-3.5028384759855418,4.599679653405731,-2.263270182382751
HIGH,u_p_x_tau_p + tau_peak_MPa_csds,"['u_p_x_tau_p', 'tau_peak_MPa_csds']",base_taup | core_up_xtaup | product,2,2,0.17883086801677472,170.25960147794578,-0.378427208276654,135.85289047287398,0.5977827235844817,36.78106822535616,-3.644145238201283,3.607188230322993,-2.5812186504095944
HIGH,u_p_x_tau_p + u_r_div_u_p,"['u_p_x_tau_p', 'u_r_div_u_p']",core_up_xtaup | product | ratio,2,2,0.17680289136995686,170.46971019114915,-0.3903713353549738,136.44020631223097,-1.235777942695274,86.71781197344859,-5.120759922225273,3.786810253049039,-3.3494323217725137
HIGH,tau_r_MPa + tau_p_x_tau_r,"['tau_r_MPa', 'tau_p_x_tau_r']",base_taur | product,2,2,0.036466263114931285,184.4288114289912,0.07558593231790467,111.25261749304512,-0.36386083645961853,67.7296774125713,-5.40652140031012,7.053614513528829,-3.3530362191900385
HIGH,tau_p_div_u_r + u_p_div_u_r,"['tau_p_div_u_r', 'u_p_div_u_r']",core_taup_over_ur | ratio,2,2,0.39579903350401835,146.0447711356112,-2.71058627099792,222.89392471975356,-1.347079265947284,88.85008676140082,-1.0846543945407807,1.2369173388246928,-3.3966052021507798
HIGH,tau_p_div_u_p + u_p_x_tau_p,"['tau_p_div_u_p', 'u_p_x_tau_p']",core_up_xtaup | product | ratio,2,2,0.14257223042351996,173.9778970860984,-0.12598214340028813,122.78426540658074,0.8208054624732012,24.550274993998066,-5.779944455402053,4.49707742057441,-3.4856621131587557
