Dataset,Features,Feature_List,Branch_Signature,Degree,N_Features,R2_train,RMSE_train,R2_val,RMSE_val,R2_cv_mean,R2_cv_std,Selection_Score
LOW_1,u_r_div_tau_p + u_p_div_u_r + tau_r_div_tau_p + tau_r_div_u_r + u_p_x_tau_p,"['u_r_div_tau_p', 'u_p_div_u_r', 'tau_r_div_tau_p', 'tau_r_div_u_r', 'u_p_x_tau_p']",core_up_xtaup | product | ratio,2,5,0.9790768378339569,1.2310764371520309,0.7442026568695794,2.679711704531691,0.6279566197155988,0.22870461177313398,0.9853105055500653
LOW_1,tau_r_div_u_r + tau_peak_MPa_csds + u_p_x_tau_r + u_p_div_u_r + tau_r_div_tau_p + tau_r_div_u_p,"['tau_r_div_u_r', 'tau_peak_MPa_csds', 'u_p_x_tau_r', 'u_p_div_u_r', 'tau_r_div_tau_p', 'tau_r_div_u_p']",base_taup | product | ratio,2,6,0.9891202275181451,0.8877307531807337,0.643234859816821,3.164690656120457,0.81826379532502,0.12692750083054663,0.9796740073962762
LOW_1,tau_p_div_tau_r + tau_r_div_u_r + u_p_div_u_r + u_p_x_tau_p + tau_r_div_tau_p,"['tau_p_div_tau_r', 'tau_r_div_u_r', 'u_p_div_u_r', 'u_p_x_tau_p', 'tau_r_div_tau_p']",core_up_xtaup | product | ratio,2,5,0.9800471698467402,1.202191384491588,0.7280076976329595,2.7632384612141494,0.6386211049924357,0.18029357781006208,0.9792888923481711
LOW_1,u_p_div_u_r + tau_p_div_u_r + u_r_div_tau_p + tau_r_div_tau_p + u_p_x_tau_r,"['u_p_div_u_r', 'tau_p_div_u_r', 'u_r_div_tau_p', 'tau_r_div_tau_p', 'u_p_x_tau_r']",core_taup_over_ur | product | ratio,2,5,0.9809717745782943,1.174006502350543,0.7420235937257219,2.691101341903745,0.6234852509817099,0.24490986587750735,0.9792752326288261
LOW_1,u_p_x_tau_p + tau_r_div_tau_p + u_p_div_u_r + tau_p_div_tau_r + tau_p_div_u_r,"['u_p_x_tau_p', 'tau_r_div_tau_p', 'u_p_div_u_r', 'tau_p_div_tau_r', 'tau_p_div_u_r']",core_taup_over_ur | core_up_xtaup | product | ratio,2,5,0.9802053102652198,1.1974177948109752,0.7248316430561696,2.779324807537272,0.6450030347434321,0.19725859515970467,0.9776073009119152
LOW_1,u_p_x_tau_p + u_p_div_u_r + tau_r_div_u_r + tau_r_div_tau_p + u_r_div_tau_r,"['u_p_x_tau_p', 'u_p_div_u_r', 'tau_r_div_u_r', 'tau_r_div_tau_p', 'u_r_div_tau_r']",core_up_xtaup | product | ratio,2,5,0.9781667943379219,1.2575640430448347,0.7331524015236874,2.7369805292114626,0.6246334630850593,0.22237423414484017,0.9732317096517331
LOW_1,u_p_div_u_r + tau_peak_estimated + u_p_x_tau_r + u_r_div_tau_r + tau_r_div_tau_p + tau_p_div_u_r,"['u_p_div_u_r', 'tau_peak_estimated', 'u_p_x_tau_r', 'u_r_div_tau_r', 'tau_r_div_tau_p', 'tau_p_div_u_r']",core_taup_over_ur | product | ratio,2,6,0.9808130465788721,1.1788929459622204,0.7356130049781,2.7243324469745,0.624291503156039,0.2433617733727,0.9634225792188494
LOW_1,tau_r_div_tau_p + u_p_div_u_r + u_r_estimated + tau_r_div_u_r + u_p_x_tau_p + tau_r_MPa,"['tau_r_div_tau_p', 'u_p_div_u_r', 'u_r_estimated', 'tau_r_div_u_r', 'u_p_x_tau_p', 'tau_r_MPa']",base_taur | core_up_xtaup | product | ratio,2,6,0.9884298196229769,0.9154643216366819,0.6676664900709651,3.054408542737297,0.7473228690363077,0.18014795144689918,0.9633131294444289
LOW_1,tau_p_div_u_r + u_p_x_tau_p + tau_p_div_sigma_n + tau_r_div_tau_p + u_p_div_u_r,"['tau_p_div_u_r', 'u_p_x_tau_p', 'tau_p_div_sigma_n', 'tau_r_div_tau_p', 'u_p_div_u_r']",core_sigma_combo | core_taup_over_sigma | core_taup_over_ur | core_up_xtaup | product | ratio,2,5,0.9830777316057432,1.1071351720061582,0.7125778379233259,2.840535259301218,0.6399439996532583,0.21289574984118648,0.9612602627658364
LOW_1,tau_peak_MPa_csds + tau_r_div_tau_p + u_p_div_u_r + u_p_x_tau_p + tau_p_div_sigma_n + tau_p_div_tau_r,"['tau_peak_MPa_csds', 'tau_r_div_tau_p', 'u_p_div_u_r', 'u_p_x_tau_p', 'tau_p_div_sigma_n', 'tau_p_div_tau_r']",base_taup | core_sigma_combo | core_taup_over_sigma | core_up_xtaup | product | ratio,2,6,0.9882478952474729,0.9226334277126443,0.6677525722390943,3.0540129354176524,0.7320816063724133,0.141291420751118,0.9596642333501891
LOW_1,u_p_div_u_r + u_p_x_tau_r + tau_peak_MPa_csds + tau_r_div_u_r + tau_p_div_u_r + tau_r_div_tau_p,"['u_p_div_u_r', 'u_p_x_tau_r', 'tau_peak_MPa_csds', 'tau_r_div_u_r', 'tau_p_div_u_r', 'tau_r_div_tau_p']",base_taup | core_taup_over_ur | product | ratio,2,6,0.9878414681759284,0.9384517021405537,0.6654966827689872,3.064363445301457,0.7314833804246428,0.13772159745012152,0.9574662132362964
