Features,Feature_List,Branch_Signature,N_Features,R2_train_log,RMSE_train_log,R2_val_log,RMSE_val_log,R2_test_log,RMSE_test_log,R2_cv_mean_log,R2_cv_std_log,R2_train_d,RMSE_train_d,R2_val_d,RMSE_val_d,R2_test_d,RMSE_test_d,Selection_Mode,Selection_Score
u_p_div_tau_p + tau_p_div_u_r + u_r_x_u_p + u_r_mm + u_p_div_u_r,"['u_p_div_tau_p', 'tau_p_div_u_r', 'u_r_x_u_p', 'u_r_mm', 'u_p_div_u_r']",base_ur | core_taup_over_ur | product | ratio,5,0.886940491406529,0.6549626340976363,0.9221773186260818,0.5071757801549212,0.8700911817128063,0.6801691073911368,0.8560382172256643,0.0892482139388909,0.768753854117133,4.506512336134588,0.9262397538508687,0.8633432545444594,-3.8980399405773447,11.726035904379545,d,1.2953340410698118
u_p_div_u_r + u_p_div_tau_p + tau_p_div_u_r + tau_r_div_tau_p + sigma_n_div_u_p + u_r_x_u_p,"['u_p_div_u_r', 'u_p_div_tau_p', 'tau_p_div_u_r', 'tau_r_div_tau_p', 'sigma_n_div_u_p', 'u_r_x_u_p']",core_sigma_combo | core_taup_over_ur | product | ratio,6,0.8856298167702309,0.6587481153196352,0.9414595012255956,0.4398793959029855,0.8896573345455864,0.626858215481186,0.8232689420764027,0.09707589431352044,-3.4786013573279133,19.832365439826898,0.9504934719366588,0.7072998344482481,-0.5577797174936994,6.612917139858215,d,1.292420353543508
u_r_div_tau_p + tau_peak_MPa_csds + tau_p_div_u_r + u_p_div_u_r + u_r_x_u_p + u_p_div_tau_p,"['u_r_div_tau_p', 'tau_peak_MPa_csds', 'tau_p_div_u_r', 'u_p_div_u_r', 'u_r_x_u_p', 'u_p_div_tau_p']",base_taup | core_taup_over_ur | product | ratio,6,0.8963041466949822,0.6272543359966211,0.9179460918014368,0.5207808982672968,0.8614755414577601,0.702361693547039,0.8415435544305637,0.07010983015615325,-6.74256798841239,26.07629145202359,0.9357671372046608,0.8056584393292149,-0.8934311233655878,7.2906259038343055,d,1.2895279314043273
u_p_div_tau_p + tau_p_div_u_r + u_r_x_u_p + sigma_n_div_u_p + u_p_div_u_r + u_r_div_tau_r,"['u_p_div_tau_p', 'tau_p_div_u_r', 'u_r_x_u_p', 'sigma_n_div_u_p', 'u_p_div_u_r', 'u_r_div_tau_r']",core_sigma_combo | core_taup_over_ur | product | ratio,6,0.8745528534097253,0.6899114789613539,0.9304956840996454,0.47930426923429625,0.8913466313994327,0.6220412485217571,0.8203173319839235,0.08401442782650825,-3.1937468149512602,19.191300974916402,0.9394097557860925,0.7824807694113322,-1.2815039161986355,8.002960397729524,d,1.2811669789954034
delta_peak_mm + u_r_div_tau_r + u_p_div_u_r + u_p_div_tau_p + sigma_n_x_u_r + tau_p_div_u_r,"['delta_peak_mm', 'u_r_div_tau_r', 'u_p_div_u_r', 'u_p_div_tau_p', 'sigma_n_x_u_r', 'tau_p_div_u_r']",base_up | core_sigma_combo | core_taup_over_ur | product | ratio,6,0.883402272591124,0.6651322719331602,0.9264147804068996,0.49317460554424375,0.8678891536121714,0.6859095097827209,0.8254433561286136,0.09411114162502104,-0.750322307898615,12.398305306866314,0.9331340033924215,0.8220059903004905,-1.7024129170433029,8.709955026797587,d,1.276444567294226
u_p_div_tau_p + u_p_div_u_r + sigma_n_div_u_p + u_r_x_u_p + tau_p_div_u_r + u_r_div_tau_p,"['u_p_div_tau_p', 'u_p_div_u_r', 'sigma_n_div_u_p', 'u_r_x_u_p', 'tau_p_div_u_r', 'u_r_div_tau_p']",core_sigma_combo | core_taup_over_ur | product | ratio,6,0.865744409563909,0.7137221362456729,0.9188822119334212,0.517801686526937,0.8772726969084929,0.6611015601918955,0.8109473367293434,0.0896530461831464,-3.3937129527134315,19.64351274048284,0.9395014993098786,0.7818881431633216,-1.1734572266768564,7.811161324328549,d,1.2760098630562355
u_r_div_tau_p + tau_p_div_u_r + u_p_div_tau_p + u_p_x_tau_p + u_p_div_u_r + u_r_mm,"['u_r_div_tau_p', 'tau_p_div_u_r', 'u_p_div_tau_p', 'u_p_x_tau_p', 'u_p_div_u_r', 'u_r_mm']",base_ur | core_taup_over_ur | core_up_xtaup | product | ratio,6,0.8923994436137148,0.638954945276043,0.9235775997436945,0.5025922039380523,0.8699288121216167,0.6805940373315558,0.8333008657497123,0.0765428165125064,-0.3515386181319946,10.894756858061138,0.9213216646740016,0.8916612691851785,-3.760529135281815,11.560261874273412,d,1.270317815897607
u_p_div_tau_p + u_r_div_tau_r + sigma_n_div_u_p + tau_p_div_u_r + delta_peak_mm + u_p_div_u_r,"['u_p_div_tau_p', 'u_r_div_tau_r', 'sigma_n_div_u_p', 'tau_p_div_u_r', 'delta_peak_mm', 'u_p_div_u_r']",base_up | core_sigma_combo | core_taup_over_ur | ratio,6,0.8777144820430006,0.681162123900704,0.9270004139947141,0.49120820141017196,0.8681095465350377,0.6853371392872306,0.8201539506973052,0.09369866407735059,-1.5041206603534518,14.829651268047863,0.9217371245450509,0.8893039505651273,-2.0112348058182454,9.194166607657527,d,1.2624442334859685
sigma_n_x_u_r + u_p_div_u_r + delta_peak_mm + u_p_div_tau_p + tau_p_div_u_r + tau_p_div_tau_r,"['sigma_n_x_u_r', 'u_p_div_u_r', 'delta_peak_mm', 'u_p_div_tau_p', 'tau_p_div_u_r', 'tau_p_div_tau_r']",base_up | core_sigma_combo | core_taup_over_ur | product | ratio,6,0.8844467511613971,0.6621464537734066,0.9143384587227499,0.5321062411873698,0.8530037058443238,0.7235203983236067,0.8193708713784134,0.10836999306541115,-0.944514998774761,13.067995050901088,0.9212945389948533,0.8918149635474472,-1.2461381483558425,7.940690891552996,d,1.2601429753775186
u_p_div_u_r + tau_p_div_u_r + u_r_x_u_p + u_p_div_tau_p + u_r_x_tau_r,"['u_p_div_u_r', 'tau_p_div_u_r', 'u_r_x_u_p', 'u_p_div_tau_p', 'u_r_x_tau_r']",core_taup_over_ur | product | ratio,5,0.8523430087096495,0.7484968632742427,0.9151963767188402,0.5294349591436336,0.8356009941211937,0.7651510529154261,0.7707011741235033,0.10892594246941169,-21.13284169574507,44.088152630376314,0.9316958854504689,0.8307985968126956,-0.9817427067506377,7.45870950214421,d,1.2561538782652792
