Features,Feature_List,Branch_Signature,N_Features,R2_train_log,RMSE_train_log,R2_val_log,RMSE_val_log,R2_cv_mean_log,R2_cv_std_log,R2_train_d,RMSE_train_d,R2_val_d,RMSE_val_d,Selection_Mode,Selection_Score
u_r_div_u_p + u_p_x_tau_p + tau_r_MPa + u_p_div_u_r + u_p_div_tau_r + tau_r_div_tau_p,"['u_r_div_u_p', 'u_p_x_tau_p', 'tau_r_MPa', 'u_p_div_u_r', 'u_p_div_tau_r', 'tau_r_div_tau_p']",base_taur | core_up_xtaup | product | ratio,6,0.9047877166266135,0.21010569874998183,0.9357939070493247,0.23276838017968043,0.8096195392597787,0.13751865570277924,0.8252838850182144,8.363883393208376,0.9434776529367562,8.290466332124057,d,1.2745355569963677
tau_r_div_tau_p + tau_r_MPa + u_p_x_tau_p + u_p_div_u_r + u_r_x_tau_p + u_r_div_u_p,"['tau_r_div_tau_p', 'tau_r_MPa', 'u_p_x_tau_p', 'u_p_div_u_r', 'u_r_x_tau_p', 'u_r_div_u_p']",base_taur | core_up_xtaup | product | ratio,6,0.9045828398908744,0.21033162883338916,0.9376884300679855,0.22930852958838688,0.8065758704586831,0.125130207924484,0.825676833828525,8.354472618345211,0.9410782831340802,8.464602389665941,d,1.2718531975709733
u_p_x_tau_r + u_p_div_u_r + tau_r_div_tau_p + tau_r_MPa + u_r_div_u_p + u_r_x_tau_r,"['u_p_x_tau_r', 'u_p_div_u_r', 'tau_r_div_tau_p', 'tau_r_MPa', 'u_r_div_u_p', 'u_r_x_tau_r']",base_taur | product | ratio,6,0.9001744713106619,0.21513553519502696,0.9552727040007083,0.19427735610086333,0.8049573020885564,0.1390266596723678,0.8178457938336909,8.540063292945776,0.9403685669873834,8.515428157838508,d,1.2689445520644247
u_p_div_u_r + tau_r_MPa + tau_r_div_tau_p + u_r_div_u_p + u_p_x_tau_r + tau_r_div_u_r,"['u_p_div_u_r', 'tau_r_MPa', 'tau_r_div_tau_p', 'u_r_div_u_p', 'u_p_x_tau_r', 'tau_r_div_u_r']",base_taur | product | ratio,6,0.9036490387675218,0.21135832943471933,0.9577633166861628,0.18879077377877435,0.797044397532806,0.11455111331490257,0.823330620108201,8.410506091006638,0.9403328959547603,8.517974706596872,d,1.267399983389673
u_p_div_u_r + u_p_div_tau_r + tau_r_div_tau_p + u_p_x_tau_r + u_r_div_u_p + tau_r_MPa,"['u_p_div_u_r', 'u_p_div_tau_r', 'tau_r_div_tau_p', 'u_p_x_tau_r', 'u_r_div_u_p', 'tau_r_MPa']",base_taur | product | ratio,6,0.9007401107225943,0.21452516022122878,0.9588813754196317,0.18627524887701005,0.801726199370333,0.13919645865236033,0.815325924736673,8.5989307975093,0.939034338906806,8.610165712052561,d,1.2659777927267364
u_r_mm + u_p_x_tau_r + u_r_div_u_p + tau_r_MPa + u_p_div_u_r + tau_r_div_tau_p,"['u_r_mm', 'u_p_x_tau_r', 'u_r_div_u_p', 'tau_r_MPa', 'u_p_div_u_r', 'tau_r_div_tau_p']",base_taur | base_ur | product | ratio,6,0.8999306752923779,0.2153980792730592,0.9526884010413756,0.1998111299169595,0.8046519945080489,0.13940425499336992,0.8171185508427992,8.557094232431872,0.936218846144511,8.80673750960221,d,1.2646044178991984
u_r_div_u_p + u_p_x_tau_r + u_p_div_tau_r + tau_p_x_tau_r + tau_r_div_tau_p + u_p_div_u_r,"['u_r_div_u_p', 'u_p_x_tau_r', 'u_p_div_tau_r', 'tau_p_x_tau_r', 'tau_r_div_tau_p', 'u_p_div_u_r']",product | ratio,6,0.8957810445320513,0.21981873276452976,0.9573925363930461,0.18961762543662417,0.7948792218376476,0.13720809055146557,0.8106563991235018,8.706965094407781,0.9392829676135458,8.592590889093326,d,1.2630017694772229
u_p_div_u_r + tau_r_div_tau_p + u_p_x_tau_r + tau_r_MPa + delta_peak_mm + u_r_div_u_p,"['u_p_div_u_r', 'tau_r_div_tau_p', 'u_p_x_tau_r', 'tau_r_MPa', 'delta_peak_mm', 'u_r_div_u_p']",base_taur | base_up | product | ratio,6,0.9009112678246064,0.21434012401495184,0.9606251893909825,0.1822825526460859,0.7985298256500237,0.13480776428328703,0.8136103415880609,8.638779590069868,0.9353515772073671,8.866410473605248,d,1.2611357136040502
tau_r_MPa + u_p_x_tau_r + tau_r_div_sigma_n + u_r_div_u_p + u_p_div_u_r + tau_r_div_tau_p,"['tau_r_MPa', 'u_p_x_tau_r', 'tau_r_div_sigma_n', 'u_r_div_u_p', 'u_p_div_u_r', 'tau_r_div_tau_p']",base_taur | core_sigma_combo | product | ratio,6,0.9008161552548225,0.21444296895909956,0.9628509025668669,0.17705573402576075,0.8020589573408214,0.13622327147818425,0.8129675441217479,8.653662943325633,0.9320745325735008,9.08835293709646,d,1.2594816840960932
u_r_div_u_p + u_p_div_u_r + u_p_x_tau_r + sigma_n_div_u_p + tau_r_MPa + tau_r_div_tau_p,"['u_r_div_u_p', 'u_p_div_u_r', 'u_p_x_tau_r', 'sigma_n_div_u_p', 'tau_r_MPa', 'tau_r_div_tau_p']",base_taur | core_sigma_combo | product | ratio,6,0.9012165908916027,0.21400964509494957,0.9620016829578092,0.17906802505165176,0.8005992824896975,0.1338914591834537,0.8127880620060772,8.657814108655307,0.9300579351429956,9.22227548167385,d,1.256968430469499
