Dataset,Features,Degree,R2_train,RMSE_train,R2_val,RMSE_val
FULL,u_r_mm + delta_peak_mm + tau_peak_MPa_csds,2,0.2571196330598129,77.07400277985771,0.7217819848085203,19.90239952342181
FULL,u_r_mm,4,0.03161620686790023,87.99788418847383,0.09725893637691674,35.850433794073794
FULL,u_r_mm,3,0.02101623221819804,88.47818790319424,0.01234642685842302,37.498607074110176
FULL,u_r_mm,2,0.003513665505630592,89.26560392759117,0.008568456565980265,37.570258414343236
FULL,u_r_mm + delta_peak_mm,2,0.19287933667128065,80.33738789298746,0.003615705062723573,37.66398366712085
FULL,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa,2,0.5564904189760604,59.552497152673325,-0.23393637369688114,41.91400870805262
FULL,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa,3,0.8826137199128876,30.63776946912468,-1.8077480478330044,63.225443299083544
FULL,u_r_mm + delta_peak_mm + tau_peak_MPa_csds,3,0.2984436859432755,74.89964214553338,-2.047899566111936,65.87386449582961
FULL,u_r_mm + delta_peak_mm,3,0.20576274433089814,79.69362856771626,-4.480963049837344,88.33671666593375
FULL,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa,4,0.9946157519704831,6.561618898763614,-8.707413607481483,117.56135502222196
FULL,u_r_mm + delta_peak_mm,4,0.2773432864026706,76.01765962814153,-172.64860402366918,497.2198568856872
FULL,u_r_mm + delta_peak_mm + tau_peak_MPa_csds,4,0.3851412011092147,70.119073671319,-274.3611391495571,626.1294637958639
