Dataset,Model_ID,Features,Degree,R2_train,RMSE_train,R2_val,RMSE_val,Equation
LOW_2,8,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa,2,0.9175511380259346,6.076627446994202,0.5225342168388524,16.35211393378885,d_csds = -4.573825 + 0.496081*u_r_mm + 3.525003*delta_peak_mm + 18.628485*tau_peak_MPa_csds - 33.705641*tau_r_MPa + 0.317545*u_r_mm^2 - 2.394183*u_r_mm delta_peak_mm - 2.402004*u_r_mm tau_peak_MPa_csds + 1.390889*u_r_mm tau_r_MPa + 1.627397*delta_peak_mm^2 + 12.629608*delta_peak_mm tau_peak_MPa_csds - 5.565938*delta_peak_mm tau_r_MPa - 4.884678*tau_peak_MPa_csds^2 + 13.484305*tau_peak_MPa_csds tau_r_MPa - 5.802974*tau_r_MPa^2
LOW_2,7,u_r_mm + delta_peak_mm + tau_peak_MPa_csds,2,0.8644122391300519,7.792566596819818,0.4284500852133336,17.890804070086677,d_csds = 55.862027 + 1.059732*u_r_mm - 10.778434*delta_peak_mm - 32.645811*tau_peak_MPa_csds + 0.179859*u_r_mm^2 - 1.567014*u_r_mm delta_peak_mm - 0.944523*u_r_mm tau_peak_MPa_csds + 1.327206*delta_peak_mm^2 + 9.297686*delta_peak_mm tau_peak_MPa_csds + 4.341667*tau_peak_MPa_csds^2
LOW_2,6,u_r_mm + delta_peak_mm,2,0.7783396920332628,9.963553206018604,0.39514535690427954,18.404680678306477,d_csds = 2.034711 - 5.503459*u_r_mm + 33.044312*delta_peak_mm + 0.501287*u_r_mm^2 - 3.447180*u_r_mm delta_peak_mm + 2.326064*delta_peak_mm^2
LOW_2,10,u_r_mm + delta_peak_mm,3,0.9488407791353428,4.786656238284595,0.26459826700336175,20.29388064909544,d_csds = 1.505392 + 4.486215*u_r_mm - 11.100593*delta_peak_mm - 0.182952*u_r_mm^2 - 4.262373*u_r_mm delta_peak_mm + 21.932577*delta_peak_mm^2 - 0.010539*u_r_mm^3 + 0.428251*u_r_mm^2 delta_peak_mm - 2.119058*u_r_mm delta_peak_mm^2 + 0.973191*delta_peak_mm^3
LOW_2,3,u_r_mm + delta_peak_mm + tau_peak_MPa_csds,1,0.5045670723549565,14.895761561550374,0.2354214706818163,20.69254110022948,d_csds = -9.417906 - 1.473990*u_r_mm + 8.655472*delta_peak_mm + 4.708516*tau_peak_MPa_csds
LOW_2,4,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa,1,0.5215389492379239,14.638398744788564,0.19988766300709804,21.16792367254322,d_csds = -20.886041 - 1.578005*u_r_mm + 9.336694*delta_peak_mm + 12.258582*tau_peak_MPa_csds - 5.863979*tau_r_MPa
LOW_2,2,u_r_mm + delta_peak_mm,1,0.476761654918354,15.308056618936384,0.19835621074686427,21.188172183691425,d_csds = 10.760510 - 1.649695*u_r_mm + 8.369608*delta_peak_mm
LOW_2,11,u_r_mm + delta_peak_mm + tau_peak_MPa_csds,3,0.9729689584965608,3.4793784384079287,0.07801432586016965,22.722957904995948,d_csds = 38.596098 + 59.658551*u_r_mm - 640.861909*delta_peak_mm + 1.509669*tau_peak_MPa_csds - 4.544938*u_r_mm^2 + 19.026406*u_r_mm delta_peak_mm - 13.965535*u_r_mm tau_peak_MPa_csds + 69.164372*delta_peak_mm^2 + 243.727611*delta_peak_mm tau_peak_MPa_csds - 8.705466*tau_peak_MPa_csds^2 + 0.014161*u_r_mm^3 + 0.670958*u_r_mm^2 delta_peak_mm + 0.909911*u_r_mm^2 tau_peak_MPa_csds - 5.122532*u_r_mm delta_peak_mm^2 - 4.812384*u_r_mm delta_peak_mm tau_peak_MPa_csds + 0.192314*u_r_mm tau_peak_MPa_csds^2 + 2.807261*delta_peak_mm^3 - 9.319790*delta_peak_mm^2 tau_peak_MPa_csds - 22.975644*delta_peak_mm tau_peak_MPa_csds^2 + 1.520704*tau_peak_MPa_csds^3
LOW_2,1,u_r_mm,1,0.002471848948947253,21.136489513715002,-0.013580973876211377,23.824950241566373,d_csds = 12.771451 + 0.176043*u_r_mm
LOW_2,9,u_r_mm,3,0.008846120730142792,21.06884949174951,-0.022220941382111503,23.92627909003572,d_csds = 16.792843 - 2.098079*u_r_mm + 0.236954*u_r_mm^2 - 0.006077*u_r_mm^3
