u_r_mm,tau_r_MPa,delta_peak_mm,tau_peak_MPa_csds,e_csds,e_pred,d_from_e_pred
10.5,12.8475,1.61,13.41,3.178145408783804,1.4927574330923319,17.45566023369903
10.5,12.4375,3.07,12.57,1.9539451798171723,1.2235373154359062,14.467871153390726
12.0,5.32,1.67,7.53,1.7473164085592403,1.5640819101150774,11.4347066707554
12.0,18.994999999999997,1.67,19.67,3.2739688179792332,1.5640819101150774,23.86005773212573
16.0,7.47,0.84,8.44,6.166176834932969,11.720045618633158,8.731773103842178
16.0,7.29,1.81,7.62,3.0024433868829834,3.823788092232845,7.884678705740435
3.85,14.955,2.17,16.37,1.6284330431129306,0.9739537251441668,-37.77311691739262
4.125,11.3475,2.26,16.14,1.3091974223177918,0.9869949365339066,-128.9428764505588
3.625,14.235,1.48,14.91,2.7321098339023515,2.3513916728784188,25.47766302292194
2.175,4.1,0.26,5.3,13.042743993933716,10.119011741607967,7.227703612084876
3.35,14.4675,0.54,15.9,7.688914610134782,7.402114454382839,18.432697656504377
2.175,4.3975,0.38,5.2,9.031706106944794,8.99127485250046,6.859100200926873
3.35,14.8375,0.71,16.28,5.457009220110153,6.167229581804244,19.71322702069046
4.1,13.42,2.87,13.67,1.6634039681803665,0.9075847591526509,-14.98640650155115
2.175,4.655,0.6,5.04,6.310564627174357,7.135083997037727,6.543712231520075
4.125,14.3675,2.37,16.38,1.4228254925840296,0.925014915378374,-51.25306260023068
4.75,14.775,4.16,15.04,1.2144266984360343,2.3846063895616814,36.0512324554986
4.466666666666667,14.793333333333337,3.13,15.58,1.313812712287742,1.2831497042423434,102.09349124366437
3.85,14.365,0.63,16.18,6.152370825583352,6.628337788636761,19.14502953663483
2.175,4.42,0.58,5.35,5.059116621676996,7.292943627045139,8.412587374949112
3.875,13.935,0.94,16.28,3.405427164282276,4.678385067057553,22.763925151280137
2.85,4.84,2.38,5.22,1.8523237169572588,0.2526370528451798,-0.8529123517973088
4.125,15.5375,2.68,16.95,1.3981039630569712,0.8777099332898493,-35.79271198495445
2.2,4.68,0.76,5.03,4.87933520201715,5.946071874363006,7.083150481112041
4.125,13.97,2.73,15.88,1.3339956390040135,0.8849394340794197,-45.89768787923118
2.175,4.24,0.34,5.0,10.49368724913285,9.35787609375856,6.489239041485376
4.533333333333333,14.596666666666666,3.13,14.91,1.4882877719989878,1.3251784029299598,48.857357715431334
2.566666666666667,4.426666666666667,1.69,5.04,2.1459242646578933,1.469105733966285,-16.786968670135078
4.466666666666667,15.163333333333334,3.12,16.37,1.2614658876838951,1.2756063261011645,142.12689701409337
2.175,3.8825,0.42,5.1,6.759501195047857,8.633818304825734,7.611906279274967
3.85,13.3025,1.09,15.19,2.9737453064844868,3.9100929716104718,22.375873527971176
4.7,13.285,4.13,14.9,1.0940505167399543,2.31165724710172,144.8281492900533
4.5,13.843333333333334,3.62,14.62,1.2115644521301927,1.7239598276799901,64.18188325468789
3.9275,12.93,0.39,14.13,12.268593789286898,8.470908108781021,15.859066225644353
3.86,13.9425,0.46,15.2,10.00333623780827,7.911772575733168,17.03637301365916
4.125,13.695,2.56,14.35,1.5724619149710894,0.8759403041339278,-20.722619242754302
4.125,15.185,2.24,16.29,1.6343524111032697,1.001179152126812,-52.77698945342145
2.225,4.01075,0.32,5.75,8.90252129065327,9.533123117794428,8.396426028813957
3.925,13.655,0.98,16.9,2.9328424113361327,4.456704867334266,26.11737691280428
2.1775,3.8055,0.38,5.29,7.231167894086396,8.990764625208243,7.985250431794764
3.865,14.2025,1.12,15.69,3.133851414322128,3.76721810597845,21.909265156859473
2.175,4.15275,0.33,5.38,9.464816530487427,9.450969884064136,7.479398050726049
4.6125,14.2325,0.94,15.17,4.61254903129243,4.568543689489378,17.49083805455445
7.0,11.03,6.69,11.06,0.9707346090728766,1e-06,-0.12378184619569951
2.175,3.69825,0.24,5.1,13.53664985652516,10.315206041975191,7.18063717800371
3.8575,13.285,0.47,14.84,9.133208341560495,7.832251845440536,16.92891491983023
2.165,4.547499999999999,0.25,6.22,12.896286747191096,10.219377592980656,8.736017072789354
4.1075,16.2525,0.46,18.37,9.296747223836368,7.848791544833548,20.951101296112768
4.84,13.226666666666668,3.02,14.29,1.2379494369579531,1.4033839566807442,55.41256221017327
3.88,12.9825,0.84,14.83,4.123242699657944,5.251271395792159,19.121659375153815
2.1675,3.634,0.24,5.34,12.76758648025316,10.31716191838509,7.7325191770812145
3.8475,12.52,0.58,15.72,5.626700720273117,6.990364342831922,20.059101744378935
2.19,3.70375,0.34,5.86,7.4904783908875965,9.354560001003996,9.223083721328624
3.9025,13.1975,0.72,15.23,4.922489465268678,6.001904863228171,18.943227462551967
4.513333333333333,14.923333333333332,2.99,16.39,1.2549920885699382,1.2106573219281733,208.49231460936028
2.18,4.593,0.39,6.11,7.34235077378404,8.900058176735193,8.98709250888714
4.13,15.5675,2.78,17.18,1.354578535378103,0.8984286078543269,-45.04103135477617
3.89,12.71,0.58,14.25,6.937928600833182,6.980820353746716,16.56443706771107
4.18,14.19,2.48,15.4,1.469660738779334,0.9108013856876864,-36.61793909879378
4.2125,16.56,1.92,17.14,2.22655990128023,1.3808856983619382,71.48415841040801
4.84,14.9025,1.79,15.01,3.4546415460563873,1.6514562683825433,23.28196240356758
4.496666666666667,14.159999999999998,3.33,14.77,1.2931877819034847,1.467226239506302,56.07873311661573
4.3774999999999995,14.875,2.23,15.49,1.8301286904573817,1.0790305240858045,-150.23850156364938
2.175,4.25,0.4,5.29,7.755705088302538,8.811411290161786,7.405757885936845
