u_r_mm,tau_r_MPa,delta_peak_mm,tau_peak_MPa_csds,e_csds,e_pred,d_from_e_pred
2.75,0.03175,0.72,0.044,3.441242286799551,5.7088032694462205,0.08209537466293836
3.0,0.02825,0.92,0.035,3.007954906577982,5.185307497508021,0.06196030972843389
3.0,0.0255,0.97,0.029,3.290221199159674,5.081960056057359,0.04475667803705163
3.5,0.0417499999999999,0.78,0.05,4.004659571873231,5.295885232448997,0.07033544695323102
3.5,0.034,1.25,0.04,2.366794324621144,4.404361929811791,0.07151661513861164
4.0,0.033,1.8,0.035,2.0972939397426664,3.4305190889699624,0.05302231416861059
10.5,3.725,1.64,4.17,2.4309486751406535,2.464119053441754,4.884136261578223
10.5,3.5425,2.76,3.72,1.5814976920825412,1.5175270305264705,4.454718315953821
12.0,0.8525,1.55,1.02,2.3791759662313843,2.2507270780923987,1.244528542566896
12.0,1.7327500000000002,1.71,2.57,1.6207235717983703,2.3649232540136684,3.567468909932554
3.25,1.9075,0.87,2.35,3.276941309100947,5.52816410218485,3.7101578104997452
1.325,0.6675,0.13,1.02,23.891608655167115,8.371015816894626,2.7632825223173882
2.425,4.2975,0.6,4.93,5.517814597970529,6.581566856435376,6.937641503005991
1.275,0.475,0.24,0.66,11.17767536247715,7.820972693128123,1.5617497259544184
2.175,4.1925,0.3,4.71,13.642584509493682,7.3815677799310455,6.677276704648021
1.525,0.6975,0.47,1.07,4.812842755740618,7.253189905571261,2.8818066135776412
2.2,4.25,0.47,4.91,7.213346651196478,7.069198615287282,6.894144831240409
1.325,0.5625,0.11,0.89,29.2958502513531,8.406948420507131,2.650855817618434
1.35,0.635,0.3,0.88,8.547982610717572,7.671924834685726,1.9818989962790583
1.475,0.535,0.88,0.58,4.157276354583812,5.853922376871535,1.607492145570667
2.625,3.6325,1.5,3.89,2.474961892115721,4.293621062447153,8.347955876679862
1.5,0.665,0.79,0.8,3.9230290740544778,6.144869065437954,2.8538183656988148
2.566666666666667,4.1066666666666665,1.46,4.68,2.300589855794831,4.613995346376648,14.251281469107058
1.85,0.785,1.26,0.94,2.8751003676389564,5.004990726717805,5.771917759835414
1.85,0.65,1.15,0.71,3.19021506632708,5.143245386051136,2.120836718925398
2.175,4.205,0.35,4.68,11.46515887900422,7.182809358075796,6.430836766780775
1.5666666666666669,0.6366666666666667,0.45,0.87,5.520751658815112,7.1140301141893945,1.951806875686753
1.5666666666666669,0.8033333333333333,0.13,0.97,31.910981063129015,7.956043944253502,2.2864123290912555
1.6,0.9133333333333334,0.71,1.14,3.976020028848459,6.387735098985845,3.3256798472352553
1.5666666666666669,0.9733333333333332,0.63,1.42,3.927118476960182,6.867627494701675,4.780802126142718
1.5666666666666669,0.63,0.49,0.79,5.5461514668738845,6.912538810302651,1.6628691973219853
1.5666666666666669,0.6,0.18,0.87,16.988625203858206,7.961853352831399,1.8733662449821304
1.5666666666666669,0.5066666666666667,0.47,0.66,5.540134014051035,6.966169730936535,1.4377539520019336
2.175,4.0125,0.57,4.24,7.4273022742503985,6.31513753898233,5.40353427945222
1.5666666666666669,0.4966666666666666,0.18,0.88,14.732448429095294,8.132521907876095,1.9989031178853827
2.566666666666667,3.77,1.25,4.37,2.4976694597033373,5.048365028282638,10.844927230977262
