Dataset,Selection_Mode,Rank_in_saved_results,Feature,Coefficient_in_log_d_equation
FULL,log,1,u_p_div_tau_p,-0.06658022659434769
FULL,log,1,u_p_div_u_r,4.143316132572164
FULL,log,1,tau_r_div_u_r,-1.1385023591493926
FULL,log,1,tau_p_div_u_r,1.8283264729327557
FULL,log,1,u_r_mm,0.12109619481968083
FULL,log,2,tau_r_div_u_r,-1.0397784882690408
FULL,log,2,u_r_x_u_p,0.020329968421408377
FULL,log,2,u_p_div_u_r,3.319794302636637
FULL,log,2,u_p_div_tau_p,-0.06197255412801918
FULL,log,2,tau_p_div_u_r,1.739600374205108
FULL,log,3,u_p_div_u_r,3.2347378016907
FULL,log,3,tau_p_div_u_r,0.904397734384345
FULL,log,3,sigma_n_MPa,0.00033612056214175657
FULL,log,3,u_p_x_tau_r,-0.010384521709689879
FULL,log,3,u_r_x_u_p,0.021114079644980795
FULL,log,3,u_p_div_tau_p,-0.061659509355182336
FULL,log,4,u_r_mm,0.11562323502662059
FULL,log,4,tau_p_div_u_r,0.8976635607305548
FULL,log,4,u_p_div_tau_p,-0.06918493192011109
FULL,log,4,tau_r_div_tau_p,-1.9263239864932205
FULL,log,4,u_p_div_u_r,4.373487401675813
FULL,log,5,tau_p_div_u_r,1.0480667629604037
FULL,log,5,u_p_div_tau_p,-0.060432163794902606
FULL,log,5,u_r_x_u_p,0.02117984879250111
FULL,log,5,sigma_n_x_tau_r,9.491776729335407e-05
FULL,log,5,u_p_div_u_r,3.0633778933938047
FULL,log,5,tau_p_x_tau_r,-0.003803175759920273
FULL,d,1,tau_r_div_u_r,-1.098964341677171
FULL,d,1,u_r_div_tau_p,-0.009258840010276798
FULL,d,1,u_p_div_u_r,3.607849470892624
FULL,d,1,tau_p_div_u_r,1.789319416219357
FULL,d,2,tau_p_div_u_r,1.7444977101365349
FULL,d,2,u_p_div_tau_p,-0.059322726071855895
FULL,d,2,tau_r_div_u_r,-1.1218822242221582
FULL,d,2,u_p_div_u_r,3.967918558980903
