Dataset,Rank_in_saved_results,Polynomial_Term,Coefficient_in_scaled_space
FULL,1,u_p_div_u_r,0.7620574973656121
FULL,1,delta_peak_mm,0.5892959608701752
FULL,1,tau_r_MPa,1.2160116296707708
FULL,1,tau_p_div_u_r,1.2942726249017584
FULL,1,u_p_div_tau_p,-1.106911939952991
FULL,1,tau_r_div_tau_p,-1.0899557057104932
FULL,1,u_p_div_u_r^2,0.3447968200068068
FULL,1,u_p_div_u_r delta_peak_mm,-0.2550394198640451
FULL,1,u_p_div_u_r tau_r_MPa,-0.359728563283476
FULL,1,u_p_div_u_r tau_p_div_u_r,0.30400400039725073
FULL,1,u_p_div_u_r u_p_div_tau_p,0.265562327510265
FULL,1,u_p_div_u_r tau_r_div_tau_p,-0.3321574020736334
FULL,1,delta_peak_mm^2,0.03394825607838693
FULL,1,delta_peak_mm tau_r_MPa,-0.16939445345031226
FULL,1,delta_peak_mm tau_p_div_u_r,0.04315843858904218
FULL,1,delta_peak_mm u_p_div_tau_p,-0.4421208398021731
FULL,1,delta_peak_mm tau_r_div_tau_p,-0.35573167188813243
FULL,1,tau_r_MPa^2,-0.3070727186169033
FULL,1,tau_r_MPa tau_p_div_u_r,0.2206161012933949
FULL,1,tau_r_MPa u_p_div_tau_p,0.29837654074104764
FULL,1,tau_r_MPa tau_r_div_tau_p,0.10736289659374504
FULL,1,tau_p_div_u_r^2,-0.6093166743330738
FULL,1,tau_p_div_u_r u_p_div_tau_p,0.4462956950904539
FULL,1,tau_p_div_u_r tau_r_div_tau_p,-0.20526243670012762
FULL,1,u_p_div_tau_p^2,0.2965692904396028
FULL,1,u_p_div_tau_p tau_r_div_tau_p,0.018869797950746007
FULL,1,tau_r_div_tau_p^2,-0.18900041296109535
FULL,2,delta_peak_mm,0.5709328710740257
FULL,2,tau_p_div_u_r,1.487249261793221
FULL,2,u_r_div_tau_r,-1.491163257585739
FULL,2,tau_r_MPa,1.359577418472105
FULL,2,u_p_div_u_r,0.28472776146871087
