Dataset,Selection_Mode,Rank_in_saved_results,Feature,Coefficient_in_log_d_equation
HIGH,log,1,tau_r_div_tau_p,-6.101784028781195
HIGH,log,1,u_r_x_tau_r,0.004157090310355897
HIGH,log,1,u_r_div_tau_r,-0.6240356716084667
HIGH,log,1,u_p_div_u_r,3.112287728717596
HIGH,log,2,u_r_div_tau_r,-0.7512038701691287
HIGH,log,2,u_r_mm,0.05841778329991313
HIGH,log,2,u_p_div_u_r,3.1287214555439165
HIGH,log,2,tau_r_div_tau_p,-6.006896513977912
HIGH,log,3,tau_r_div_u_p,0.018288399845670555
HIGH,log,3,tau_p_div_u_p,-0.02325684002985202
HIGH,log,3,u_r_x_tau_r,0.004213923989122987
HIGH,log,3,u_p_div_u_r,2.9344263413787353
HIGH,log,3,u_r_div_tau_r,-0.689180762268527
HIGH,log,3,tau_r_div_tau_p,-6.6780927141472395
HIGH,log,4,u_p_div_u_r,3.068427901565241
HIGH,log,4,u_r_div_u_p,0.023046247912238364
HIGH,log,4,tau_r_div_tau_p,-6.296452561707758
HIGH,log,4,u_r_div_tau_r,-0.7072764820181984
HIGH,log,4,tau_r_div_u_p,-0.00986894461012111
HIGH,log,4,u_r_x_tau_r,0.003968054954799252
HIGH,log,5,u_r_mm,-0.009709638745123176
HIGH,log,5,tau_r_div_tau_p,-6.166613372476137
HIGH,log,5,u_p_div_u_r,3.237084999934335
HIGH,log,5,u_r_div_tau_r,-0.6147738370444732
HIGH,log,5,u_r_div_u_p,0.014003390959409084
HIGH,log,5,u_r_x_tau_r,0.004752024434166704
HIGH,d,1,u_p_div_u_r,4.837039584404821
HIGH,d,1,tau_r_div_tau_p,-5.768937361259118
HIGH,d,1,u_r_div_tau_r,-0.6023824753320438
HIGH,d,1,u_r_x_tau_r,0.008165710147422045
HIGH,d,1,u_p_x_tau_r,-0.025802473230522996
HIGH,d,1,tau_p_div_tau_r,0.017244395979629228
HIGH,d,2,u_r_x_tau_r,0.004182094498050003
HIGH,d,2,u_p_div_u_r,3.2198756179286576
HIGH,d,2,tau_r_div_tau_p,-6.125123699933481
HIGH,d,2,u_r_div_tau_r,-0.6405190801001446
HIGH,d,2,u_r_div_u_p,0.011940432204379476
HIGH,d,2,tau_p_div_tau_r,0.005050377699038785
HIGH,d,3,u_p_div_u_r,2.9444212974665898
HIGH,d,3,tau_r_div_u_p,-0.006100008985691701
HIGH,d,3,u_r_x_tau_r,0.0039688353555133995
HIGH,d,3,tau_r_div_tau_p,-6.061508662083314
HIGH,d,3,u_r_div_tau_r,-0.6567822349053843
HIGH,d,3,tau_p_div_tau_r,0.005966805928557994
