Dataset,Rank_in_saved_results,Polynomial_Term,Coefficient_in_scaled_space
HIGH,1,u_p_x_tau_r,0.9128622251023513
HIGH,1,u_r_div_u_p,-0.5633295714047496
HIGH,1,tau_r_div_tau_p,-1.540153435961996
HIGH,1,u_p_x_tau_r^2,-0.15145469171863207
HIGH,1,u_p_x_tau_r u_r_div_u_p,-0.5259667320101176
HIGH,1,u_p_x_tau_r tau_r_div_tau_p,-1.1348058579402958
HIGH,1,u_r_div_u_p^2,-0.02850740691161513
HIGH,1,u_r_div_u_p tau_r_div_tau_p,0.38806682275084914
HIGH,1,tau_r_div_tau_p^2,0.10384695740640737
HIGH,2,tau_r_div_tau_p,-1.4368064138207526
HIGH,2,u_p_div_u_r,0.9060438390855663
HIGH,2,u_p_x_tau_r,0.36481893867121445
HIGH,2,tau_r_div_tau_p^2,0.10785063891288052
HIGH,2,tau_r_div_tau_p u_p_div_u_r,-0.5607715719065324
HIGH,2,tau_r_div_tau_p u_p_x_tau_r,-0.8324534015814198
HIGH,2,u_p_div_u_r^2,0.3155529296124649
HIGH,2,u_p_div_u_r u_p_x_tau_r,-0.08038746732462532
HIGH,2,u_p_x_tau_r^2,-0.13281289634213245
HIGH,3,u_p_x_tau_r,0.5314780090538793
HIGH,3,tau_r_div_u_p,0.05438525363739412
HIGH,3,tau_r_div_tau_p,-1.4357556748134401
HIGH,3,u_p_div_u_r,0.7615201674841467
HIGH,3,u_p_x_tau_r^2,-0.29580002483540435
HIGH,3,u_p_x_tau_r tau_r_div_u_p,-0.22368732946684516
HIGH,3,u_p_x_tau_r tau_r_div_tau_p,-0.6267209971502732
HIGH,3,u_p_x_tau_r u_p_div_u_r,-0.15057991764024609
HIGH,3,tau_r_div_u_p^2,-0.1640623572654996
HIGH,3,tau_r_div_u_p tau_r_div_tau_p,0.15016103483286367
HIGH,3,tau_r_div_u_p u_p_div_u_r,-0.26665999690832237
HIGH,3,tau_r_div_tau_p^2,0.07305050129570044
HIGH,3,tau_r_div_tau_p u_p_div_u_r,-0.5351844469349809
HIGH,3,u_p_div_u_r^2,0.31485184977453357
HIGH,4,tau_r_div_tau_p,-1.4850407751268238
HIGH,4,tau_r_div_u_p,-0.41103183473382954
HIGH,4,u_p_x_tau_r,0.9259413073328971
HIGH,4,tau_r_MPa,0.1434102704892412
HIGH,4,tau_r_div_tau_p^2,-0.06980230578178481
HIGH,4,tau_r_div_tau_p tau_r_div_u_p,0.482257420641693
HIGH,4,tau_r_div_tau_p u_p_x_tau_r,-0.5653784491123202
HIGH,4,tau_r_div_tau_p tau_r_MPa,-0.027945364368693958
HIGH,4,tau_r_div_u_p^2,-0.015519425211899933
HIGH,4,tau_r_div_u_p u_p_x_tau_r,-0.519492314137962
HIGH,4,tau_r_div_u_p tau_r_MPa,0.056278990249194846
HIGH,4,u_p_x_tau_r^2,-0.370697968573784
HIGH,4,u_p_x_tau_r tau_r_MPa,0.19939042967096895
HIGH,4,tau_r_MPa^2,-0.21047898368259646
HIGH,5,u_p_div_u_r,1.181385595692073
HIGH,5,tau_r_div_tau_p,-1.199178862948307
HIGH,5,u_p_div_u_r^2,0.06435249589643907
HIGH,5,u_p_div_u_r tau_r_div_tau_p,-1.2079441662059838
HIGH,5,tau_r_div_tau_p^2,0.09174663530156577
