Dataset,Selection_Mode,Rank_in_saved_results,Feature,Coefficient_in_log_d_equation
LOW_1,log,1,u_p_div_u_r,3.7164367221117485
LOW_1,log,1,tau_peak_MPa_csds,1.9199549985230515
LOW_1,log,1,tau_r_MPa,2.0499293274471566
LOW_1,log,1,u_p_div_tau_p,-0.045423553740806165
LOW_1,log,1,tau_p_x_tau_r,-0.9794477038707728
LOW_1,log,1,u_r_div_tau_r,0.0027933033477760393
LOW_1,d,1,u_r_div_tau_p,0.009573379368112363
LOW_1,d,1,tau_r_div_u_p,0.3620638169162835
LOW_1,d,1,u_p_div_tau_p,-0.09324562649547316
LOW_1,d,1,sigma_n_x_u_r,8.370608194524227e-05
LOW_1,d,1,u_p_div_u_r,7.08556956349229
LOW_1,d,1,tau_p_div_sigma_n,0.43681284841429435
LOW_1,d,2,u_p_div_u_r,8.076869425441073
LOW_1,d,2,u_p_div_tau_p,-0.06496634106947724
LOW_1,d,2,u_p_div_tau_r,-0.014641853840696217
LOW_1,d,2,tau_r_div_tau_p,-3.5085729667253642
LOW_1,d,2,u_r_div_tau_p,0.007651639609324559
LOW_1,d,2,tau_r_div_u_p,0.34594862678236465
LOW_1,d,3,tau_r_div_u_p,0.3595469389015781
LOW_1,d,3,sigma_n_div_u_p,0.0009359490920587943
LOW_1,d,3,u_r_div_tau_p,0.009154100879123793
LOW_1,d,3,u_p_div_tau_p,-0.09081468977982607
LOW_1,d,3,tau_p_div_sigma_n,0.453258804213118
LOW_1,d,3,u_p_div_u_r,7.027114648262696
LOW_1,d,4,u_p_div_tau_r,-0.062148957412524665
LOW_1,d,4,tau_r_div_u_p,0.3545734953352813
LOW_1,d,4,tau_r_div_tau_p,-4.117268593150822
LOW_1,d,4,u_p_div_u_r,8.291567897211138
LOW_1,d,4,u_r_div_tau_r,0.006149066758836021
LOW_1,d,5,u_p_div_u_r,8.09529484332234
LOW_1,d,5,tau_r_div_tau_p,-3.224521947634957
LOW_1,d,5,sigma_n_x_u_r,6.952616155822963e-05
LOW_1,d,5,u_p_div_tau_p,-0.04526987333229601
LOW_1,d,5,sigma_n_div_u_r,-0.0014278662252107327
LOW_1,d,5,tau_r_div_u_p,0.36940760676658946
