Dataset,Rank_in_saved_results,Polynomial_Term,Coefficient_in_scaled_space
LOW_1,1,tau_r_div_tau_p,-0.694448225249661
LOW_1,1,tau_peak_MPa_csds,1.6283736543674447
LOW_1,1,u_p_div_u_r,0.29278449230278736
LOW_1,1,delta_peak_mm,0.06733556634807483
LOW_1,1,u_r_div_tau_r,-1.1373659817941648
LOW_1,1,tau_r_div_tau_p^2,-0.10833783732963825
LOW_1,1,tau_r_div_tau_p tau_peak_MPa_csds,0.02703056319948543
LOW_1,1,tau_r_div_tau_p u_p_div_u_r,-0.26419280772267983
LOW_1,1,tau_r_div_tau_p delta_peak_mm,-0.13353327821770902
LOW_1,1,tau_r_div_tau_p u_r_div_tau_r,-0.2506463601928629
LOW_1,1,tau_peak_MPa_csds^2,-0.32406673502130556
LOW_1,1,tau_peak_MPa_csds u_p_div_u_r,0.06926966741282878
LOW_1,1,tau_peak_MPa_csds delta_peak_mm,-0.14541410307786026
LOW_1,1,tau_peak_MPa_csds u_r_div_tau_r,0.23209798609244323
LOW_1,1,u_p_div_u_r^2,0.20572534631959646
LOW_1,1,u_p_div_u_r delta_peak_mm,-0.3548223658188072
LOW_1,1,u_p_div_u_r u_r_div_tau_r,-0.728266939207976
LOW_1,1,delta_peak_mm^2,0.2130650413206025
LOW_1,1,delta_peak_mm u_r_div_tau_r,0.13064200188245073
LOW_1,1,u_r_div_tau_r^2,0.06929531047214567
LOW_1,2,u_p_div_u_r,0.7748925002089689
LOW_1,2,tau_r_div_tau_p,-0.6787889572668573
LOW_1,2,delta_peak_mm,0.11023723080951639
LOW_1,2,u_p_div_tau_r,-0.9936684685883089
LOW_1,2,tau_peak_MPa_csds,1.4884350385151925
LOW_1,2,u_p_div_u_r^2,0.17196896531069336
LOW_1,2,u_p_div_u_r tau_r_div_tau_p,-0.2092596478106805
LOW_1,2,u_p_div_u_r delta_peak_mm,-0.32802718818035553
LOW_1,2,u_p_div_u_r u_p_div_tau_r,0.0679663437368425
