sample_id,u_peak,u_r,tau_peak,tau_r,true_a,true_b,true_c,true_d,true_e,estimated_a,estimated_b,estimated_c,estimated_d,estimated_e,error_b,abs_error_b,error_d,abs_error_d,error_e,abs_error_e,curve_rmse_tau_u,curve_mae_tau_u,curve_r2_tau_u,curve_valid,e_constraint_respected,d_positive,b_positive,dataset,model_name
7,0.72,2.75,0.044,0.03175,0.03175,0.0801325410005739,1.818181818181818,0.1118825410005739,3.441242286799551,0.03175,0.0568687795232035,1.818181818181818,0.0886187795232035,4.653152889799829,-0.0232637614773704,0.0232637614773704,-0.0232637614773704,0.0232637614773704,1.2119106030002778,1.2119106030002778,0.0016133054320275,0.0009881006718717,0.9435558972664344,True,True,True,True,FULL,FULL_direct_exp_rank_1
8,0.92,3.0,0.035,0.02825,0.02825,0.0557241852265918,1.6666666666666667,0.0839741852265918,3.007954906577982,0.02825,0.0415334650513384,1.6666666666666667,0.0697834650513384,3.750869926204948,-0.014190720175253406,0.014190720175253406,-0.014190720175253399,0.014190720175253399,0.7429150196269663,0.7429150196269663,0.0009528450641933,0.0005613154220279,0.9691649157199548,True,True,True,True,FULL,FULL_direct_exp_rank_1
9,0.97,3.0,0.029,0.0255,0.0255,0.0288872445152351,1.6666666666666667,0.0543872445152351,3.290221199159674,0.0255,0.0255763069809329,1.6666666666666667,0.0510763069809329,3.584430726611986,-0.0033109375343021996,0.0033109375343021996,-0.0033109375343021996,0.0033109375343021996,0.294209527452312,0.294209527452312,0.0002817973117366,0.0001583175858186,0.9961943014078086,True,True,True,True,FULL,FULL_direct_exp_rank_1
11,0.78,3.5,0.05,0.0417499999999999,0.0417499999999999,0.0354980845491272,1.4285714285714286,0.0772480845491271,4.004659571873231,0.0417499999999999,0.0297524267035846,1.4285714285714286,0.0715024267035845,4.942915394680969,-0.0057456578455426024,0.0057456578455426024,-0.0057456578455425955,0.0057456578455425955,0.9382558228077382,0.9382558228077382,0.001033122525809,0.0005297115051367,0.9779602677524576,True,True,True,True,FULL,FULL_direct_exp_rank_1
12,1.25,3.5,0.04,0.034,0.034,0.0670624339164287,1.4285714285714286,0.1010624339164287,2.366794324621144,0.034,0.0510539342950977,1.4285714285714286,0.0850539342950977,2.802440412400469,-0.016008499621331003,0.016008499621331003,-0.01600849962133101,0.01600849962133101,0.43564608777932534,0.43564608777932534,0.0008793283180347,0.0005146373061486,0.9815142782015944,True,True,True,True,FULL,FULL_direct_exp_rank_1
13,1.8,4.0,0.035,0.033,0.033,0.0334302203204883,1.25,0.0664302203204883,2.0972939397426664,0.033,0.0404070343903491,1.25,0.0734070343903491,1.9339750214561455,0.0069768140698608025,0.0069768140698608025,0.0069768140698607956,0.0069768140698607956,-0.1633189182865209,0.1633189182865209,0.000339707486847,0.0001948373459336,0.9970005649827682,True,True,True,True,FULL,FULL_direct_exp_rank_1
15,1.64,10.5,4.17,3.725,3.725,1.1700588885069725,0.4761904761904761,4.895058888506973,2.4309486751406535,3.725,1.146658507514974,0.4761904761904761,4.871658507514974,2.5045607744641334,-0.023400380991998482,0.023400380991998482,-0.023400380991998482,0.023400380991998482,0.0736120993234799,0.0736120993234799,0.0095615778285559,0.0040060421177,0.9996502816560784,True,True,True,True,FULL,FULL_direct_exp_rank_1
16,1.61,10.5,13.41,12.8475,12.8475,1.3946189571869354,0.4761904761904761,14.242118957186936,3.178145408783804,12.8475,1.383931974778427,0.4761904761904761,14.231431974778427,3.2148877389646917,-0.010686982408508294,0.010686982408508294,-0.010686982408508072,0.010686982408508072,0.036742330180887794,0.036742330180887794,0.0110229699755023,0.0036566602153269,0.9999542622394147,True,True,True,True,FULL,FULL_direct_exp_rank_1
17,2.76,10.5,3.72,3.5425,3.5425,0.8694826394566157,0.4761904761904761,4.411982639456616,1.5814976920825412,3.5425,0.9105035688420292,0.4761904761904761,4.453003568842029,1.519865849976475,0.04102092938541346,0.04102092938541346,0.041020929385413574,0.041020929385413574,-0.061631842106066204,0.061631842106066204,0.0138091241674911,0.0062140396439146,0.9993692913431914,True,True,True,True,FULL,FULL_direct_exp_rank_1
18,3.07,10.5,12.57,12.4375,12.4375,0.7124450836759753,0.4761904761904761,13.149945083675975,1.9539451798171723,12.4375,0.7449034447692338,0.4761904761904761,13.182403444769234,1.887184703543901,0.0324583610932585,0.0324583610932585,0.0324583610932585,0.0324583610932585,-0.0667604762732712,0.0667604762732712,0.0404587091984834,0.0157049449389353,0.9995224208441432,True,True,True,True,FULL,FULL_direct_exp_rank_1
