dataset,model_name,n_rows,rmse_d,r2_d,rmse_b,r2_b,rmse_e,r2_e,rmse_tau_u,mean_curve_rmse_tau_u,median_curve_rmse_tau_u,max_curve_rmse_tau_u,valid_curve_count,r2_tau_u,constraint_ok_count,d_positive_count,b_positive_count
HIGH,HIGH_direct_poly_rank_1,67,67.64319558095191,0.8186430702493508,67.64319558095187,0.8191365000217007,0.36241528506446813,0.980196312752826,0.09976576299779397,0.07298287310522664,0.0575524752894496,0.4331651072957346,67,0.9994375842800111,67,67,67
HIGH,HIGH_direct_poly_rank_5,67,51.28233292968301,0.895763104062,51.28233292968296,0.8960467082667242,0.472592895243034,0.9663250140071288,0.1061670116074983,0.07789005609225487,0.0694935754987785,0.4296987881494592,67,0.9993630965808116,67,67,67
HIGH,HIGH_direct_poly_rank_2,67,48.92472080567146,0.9051269998538548,48.92472080567142,0.9053851270890734,0.33309944965595184,0.9832705802738536,0.18875336795282957,0.09410098622719877,0.0556080930424781,1.1558370525311377,67,0.9979868144083698,67,67,67
HIGH,HIGH_direct_poly_rank_3,67,66.32925344389429,0.8256202138111118,66.32925344389425,0.8260946604083271,0.4048381650016351,0.9752886801278641,0.15818402691230704,0.10875760299002322,0.079352237985353,0.6273939897364696,67,0.9985860968928447,67,67,67
HIGH,HIGH_direct_poly_rank_4,67,52.15884305300655,0.8921694496692392,52.15884305300651,0.8924628313667307,0.7389547421709008,0.9176679881094965,0.25293157040775044,0.1369359316028775,0.0867372393597735,1.6479731400831228,67,0.9963850651439886,67,67,67
HIGH,HIGH_direct_exp_rank_4,67,98.91362988791697,0.6122085747713187,98.91362988791693,0.6132636645047681,0.6358512995822518,0.9390401101546167,0.24594647161339575,0.16615668829205923,0.1126829398890523,1.31551765753537,67,0.9965819722260053,67,67,67
HIGH,HIGH_direct_exp_rank_1,67,93.3122962694806,0.6548851268527605,93.31229626948056,0.6558241036733634,0.6723939855545162,0.9318319788185093,0.2459974322124712,0.1697818921483348,0.1264545767086725,1.2889379995177763,67,0.9965805556349269,67,67,67
HIGH,HIGH_direct_exp_rank_2,67,95.48691965694371,0.6386120317247583,95.48691965694368,0.639595283829661,0.7273986372070064,0.9202229426032359,0.25416637736987685,0.17125558015718648,0.1278277346388701,1.4282807570135656,67,0.9963496829045745,67,67,67
HIGH,HIGH_direct_exp_rank_5,67,89.49057519565793,0.6825754435527727,89.49057519565788,0.6834390815005553,1.1251254921983083,0.8091311853404566,0.28465395463730103,0.20140190765318805,0.1693311435052802,1.4559316248636835,67,0.9954214407580046,67,67,67
HIGH,HIGH_direct_exp_rank_3,67,94.43209617333324,0.6465522814867215,94.43209617333319,0.6475139300298642,1.191204505275099,0.7860532460517418,0.39961447052220367,0.21731112241153394,0.1616427375764588,2.7515171113265477,67,0.9909764629319051,67,67,67
