dataset,model_name,n_rows,rmse_d,r2_d,rmse_b,r2_b,rmse_e,r2_e,rmse_tau_u,mean_curve_rmse_tau_u,median_curve_rmse_tau_u,max_curve_rmse_tau_u,valid_curve_count,r2_tau_u,constraint_ok_count,d_positive_count,b_positive_count
FULL,FULL_direct_poly_rank_2,299,27.62860181300535,0.8857421175470742,27.628601813005332,0.8810724450765889,3.969905456476542,0.8332682719287345,0.10222034233882059,0.0273839802085423,0.0064452637901513,1.5737323124192035,299,0.9996764169259208,299,299,299
FULL,FULL_direct_poly_rank_4,299,27.47902703403605,0.8869758996064219,27.479027034036037,0.882356651299184,4.273053278806218,0.8068322866305868,0.06521768997187856,0.03222452327572374,0.008244553309187,0.4042287427322675,299,0.9998682829613051,299,299,299
FULL,FULL_direct_poly_rank_5,299,26.094823909695943,0.8980758502199293,26.09482390969593,0.8939102523102909,4.1110501960014165,0.8212016600724955,0.12829387093359068,0.03253190555105144,0.0068117684354138,2.01508215024472,299,0.999490290236665,299,299,299
FULL,FULL_direct_poly_rank_3,299,28.156147582843218,0.8813371370726681,28.156147582843197,0.8764874348693298,4.327640347324965,0.8018654351633192,0.087046543883513,0.03484343793576871,0.0085221431874863,1.0321408734875137,299,0.9997653534358866,299,299,299
FULL,FULL_direct_poly_rank_1,299,27.55890637330344,0.8863178404466437,27.558906373303422,0.8816716975333061,4.353413910799862,0.799498399167307,0.10438848008147275,0.03697196403453161,0.0075481245378952,1.4069317175388023,299,0.9996625446772126,299,299,299
FULL,FULL_direct_exp_rank_3,299,77.62221770465939,0.09813724995524509,77.62221770465938,0.06127849180544853,7.013444012560406,0.47962000577501296,0.5069203792506586,0.11059988330757692,0.0289008316232764,8.325311774909286,299,0.9920422436723623,299,299,299
FULL,FULL_direct_exp_rank_4,299,77.62221770465939,0.09813724995524509,77.62221770465938,0.06127849180544853,7.013444012560406,0.47962000577501296,0.5069203792506586,0.11059988330757692,0.0289008316232764,8.325311774909286,299,0.9920422436723623,299,299,299
FULL,FULL_direct_exp_rank_5,299,49.79792066591165,0.6288146951421101,49.79792066591163,0.6136445050218989,6.967099207412743,0.4864746201926432,0.30573140743796473,0.11637054966978562,0.0336419002269629,3.5213723663068595,299,0.997105382085684,299,299,299
FULL,FULL_direct_exp_rank_2,299,50.56364702330716,0.6173117409782962,50.56364702330715,0.601671429871814,6.362848552545066,0.571687158115382,0.554650103937884,0.11756116515392286,0.0224323351119156,7.174512624482899,299,0.9904731499019017,299,299,299
FULL,FULL_direct_exp_rank_1,299,56.067287470439396,0.5294698603145066,56.067287470439375,0.5102394878215781,6.830711488199925,0.5063833417267604,0.7275397926257523,0.14768623125129515,0.0304632204117263,9.843926908118693,299,0.9836082757977795,299,299,299
HIGH,HIGH_direct_poly_rank_5,67,69.20903763308303,0.8101495883911162,69.20903763308299,0.8106661269403158,0.3199519892030693,0.9845651406525157,0.22734796277645702,0.09996963106342134,0.0397561449490089,1.4805340117685306,67,0.9970793700915834,67,67,67
HIGH,HIGH_direct_poly_rank_3,67,69.57605680196689,0.8081306758998109,69.57605680196684,0.8086527074375186,0.32135271652398056,0.9844296993650868,0.2270784727674752,0.10015368309323743,0.040583517102727,1.4758695770194958,67,0.9970862900048503,67,67,67
HIGH,HIGH_direct_poly_rank_4,67,69.57605680196689,0.8081306758998109,69.57605680196684,0.8086527074375186,0.32135271652398056,0.9844296993650868,0.2270784727674752,0.10015368309323743,0.040583517102727,1.4758695770194958,67,0.9970862900048503,67,67,67
