Dataset,Model_Family,Features,Feature_List,N_Features,R2_train_z,RMSE_train_z,R2_val_z,RMSE_val_z,R2_cv_mean_z,R2_cv_std_z,R2_train_e_gap,RMSE_train_e_gap,R2_val_e_gap,RMSE_val_e_gap,R2_test_e_gap,RMSE_test_e_gap,R2_train_e,RMSE_train_e,R2_val_e,RMSE_val_e,R2_test_z,RMSE_test_z,R2_test_e,RMSE_test_e,RMSE_train_tau_u,R2_train_tau_u,RMSE_val_tau_u,R2_val_tau_u,RMSE_test_tau_u,R2_test_tau_u,Valid_curve_count_train,Valid_curve_count_val,Valid_curve_count_test,Target_Mode,Target_Used_For_Training,Reconstructed_Gap_Formula,Reconstructed_E_Formula,Selection_Score
FULL,exponential,u_r_mm + u_p_x_tau_r + u_p_div_u_r + tau_p_div_tau_r + sigma_n_div_tau_p + sigma_n_div_tau_r,"['u_r_mm', 'u_p_x_tau_r', 'u_p_div_u_r', 'tau_p_div_tau_r', 'sigma_n_div_tau_p', 'sigma_n_div_tau_r']",6,0.8713653073310997,0.5321664465527143,0.8675832618992928,0.576250268081068,0.848491425108822,0.023460058930943342,0.39946649580973304,7.6009575706420325,0.3383911345295607,7.800405905097776,0.7077080962616289,3.1643455842219286,0.47663980636784375,7.600957570642034,0.36511059884403996,7.800405905097777,0.8855812349899308,0.5030756580760537,0.7611179688596686,3.164345584221929,0.3815390081922443,0.9960531773086216,0.10923846155408584,0.9993398855530105,0.18779144712120777,0.9987323964279944,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.2294829685606092
FULL,exponential,u_r_mm + u_p_x_tau_p + u_p_div_u_r + tau_p_div_tau_r + sigma_n_div_tau_p + sigma_n_div_tau_r,"['u_r_mm', 'u_p_x_tau_p', 'u_p_div_u_r', 'tau_p_div_tau_r', 'sigma_n_div_tau_p', 'sigma_n_div_tau_r']",6,0.873337465449292,0.5280712442912431,0.8563577142469309,0.6001790771311932,0.8555466682105625,0.02529001225647193,0.3950021054312566,7.629158169714868,0.3028421363558329,8.007226426532293,0.6953838108442343,3.230368040337675,0.4727491255038687,7.62915816971487,0.33099726793187934,8.007226426532293,0.8886155629586092,0.49636017971643814,0.7510456736807519,3.230368040337675,0.2850727980157141,0.9977966612098099,0.11439734776249239,0.9992760642919422,0.19889232243276986,0.9985781038607496,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.221602047126565
FULL,exponential,u_r_mm + u_p_x_tau_r + tau_p_x_tau_r + u_p_div_u_r + tau_p_div_tau_r + sigma_n_div_tau_r,"['u_r_mm', 'u_p_x_tau_r', 'tau_p_x_tau_r', 'u_p_div_u_r', 'tau_p_div_tau_r', 'sigma_n_div_tau_r']",6,0.8712153215032019,0.5324766046077845,0.8533291318461209,0.6064732207084856,0.84475641201924,0.030855245325586204,0.44354860015544884,7.316667290702663,0.2737452184254153,8.172615118986133,0.769778319500545,2.8083331369552975,0.5150570112450211,7.3166672907026635,0.30307544619632654,8.172615118986133,0.8671746949503126,0.5420322000108049,0.8118462333480277,2.8083331369552975,0.4654524106157716,0.9941261846298668,0.10296416282664249,0.9994135374657791,0.1699906721578275,0.9989613194019307,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.212621813323182
FULL,exponential,tau_peak_MPa_csds + u_r_mm + u_p_x_tau_r + u_p_div_u_r + u_p_div_tau_r + sigma_n_div_tau_r,"['tau_peak_MPa_csds', 'u_r_mm', 'u_p_x_tau_r', 'u_p_div_u_r', 'u_p_div_tau_r', 'sigma_n_div_tau_r']",6,0.8743463750552257,0.5259639071271653,0.8454561988088424,0.6225374647890491,0.8561475062438715,0.027269815776763767,0.4962193219284311,6.961782333774872,0.3001450086573708,8.022700443073386,0.8403805836171346,2.3383976929473342,0.5609591282018792,6.961782333774872,0.3284090653265527,8.022700443073386,0.8272632412253427,0.6181260677905265,0.8695474971858841,2.3383976929473342,0.30451692263921876,0.9974858418778997,0.11935303899732314,0.9992119839729262,0.18409406893000843,0.9987818200963072,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.2108029703531016
FULL,exponential,u_r_mm + u_p_x_tau_r + u_p_div_u_r + tau_p_div_tau_r + u_p_div_tau_r + sigma_n_div_tau_r,"['u_r_mm', 'u_p_x_tau_r', 'u_p_div_u_r', 'tau_p_div_tau_r', 'u_p_div_tau_r', 'sigma_n_div_tau_r']",6,0.8785982081380054,0.5169886162707795,0.8398287337425788,0.6337704735893545,0.8578866950538284,0.016834813092849645,0.42017564791548256,7.468749833360448,0.25279761168283754,8.28963999060366,0.739740059575839,2.985926943170783,0.4946876684444763,7.468749833360449,0.28297382090902135,8.28963999060366,0.8569600268866008,0.5624881608826389,0.7872968002266854,2.985926943170783,0.3658377450747815,0.9963713360795396,0.1168585008771849,0.9992445796002,0.19658127528163627,0.9986109555826786,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.2070885999602081
FULL,exponential,u_r_mm + tau_r_MPa + u_p_x_tau_r + u_p_div_u_r + tau_p_div_tau_r + u_p_div_tau_r,"['u_r_mm', 'tau_r_MPa', 'u_p_x_tau_r', 'u_p_div_u_r', 'tau_p_div_tau_r', 'u_p_div_tau_r']",6,0.8835269741954924,0.506385324429939,0.8364968286000434,0.640328435356577,0.8621026397634957,0.012577114285925117,0.4758151205399117,7.101366578313066,0.2515857773181507,8.296359455756987,0.8105189446526674,2.5477593968570376,0.5431770282605882,7.101366578313066,0.28181092719001266,8.296359455756987,0.8498143022620273,0.5763668103187011,0.8451424114555716,2.5477593968570376,0.38276097785665086,0.9960278555421138,0.11381519192330784,0.9992834136067247,0.1799045104971163,0.9988366351416669,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.2062904370531986
FULL,exponential,u_r_mm + u_p_x_tau_r + tau_p_x_tau_r + u_p_div_u_r + tau_p_div_tau_r + u_p_div_tau_r,"['u_r_mm', 'u_p_x_tau_r', 'tau_p_x_tau_r', 'u_p_div_u_r', 'tau_p_div_tau_r', 'u_p_div_tau_r']",6,0.8826933987891622,0.5081941458253261,0.8372109491935243,0.6389285477898458,0.8607232665298877,0.013081073680209587,0.46438368691367315,7.178382320128955,0.2466393009085247,8.323730770196462,0.7964835518970408,2.6404337290805144,0.5332146243740836,7.178382320128955,0.2770642171481109,8.323730770196464,0.8496436857405079,0.576694104424634,0.833671675911978,2.6404337290805144,0.4066740768960911,0.9955160299548772,0.11242297270979758,0.999300837354642,0.17496315238115243,0.9988996647477771,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.2062644750904472
FULL,exponential,u_r_mm + u_r_x_tau_r + u_p_div_u_r + tau_p_div_tau_r + sigma_n_div_tau_p + sigma_n_div_tau_r,"['u_r_mm', 'u_r_x_tau_r', 'u_p_div_u_r', 'tau_p_div_tau_r', 'sigma_n_div_tau_p', 'sigma_n_div_tau_r']",6,0.8695336114068819,0.5359419503688556,0.8447350812409842,0.623988186970023,0.8482943008549032,0.029782247194778684,0.36502701995702913,7.81586968723261,0.2977258380523049,8.03655441155595,0.6623466635970444,3.401034498997287,0.44662607586805403,7.81586968723261,0.3260875943534389,8.03655441155595,0.9120516506722001,0.4410608625139541,0.7240453334846888,3.4010344989972876,0.33723360971285593,0.9969165889392063,0.11670213961124848,0.9992465998120895,0.17146607482590182,0.9989432110844491,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.205904006948958
FULL,exponential,u_r_mm + tau_r_MPa + u_p_x_tau_r + u_p_div_u_r + tau_p_div_tau_r + sigma_n_div_tau_r,"['u_r_mm', 'tau_r_MPa', 'u_p_x_tau_r', 'u_p_div_u_r', 'tau_p_div_tau_r', 'sigma_n_div_tau_r']",6,0.8698595173116157,0.535272138533912,0.8465705920648674,0.6202888895878922,0.8435230244374876,0.02991551622680507,0.44311535328389107,7.319515074388853,0.2709350013291617,8.188411674730194,0.7688408540932995,2.814045110938932,0.5146794400270843,7.319515074388853,0.30037872137524935,8.188411674730194,0.8680414627957322,0.5402607564832393,0.811080068983766,2.8140451109389315,0.4468570702837507,0.9945861403698344,0.10590927212689571,0.9993795081894623,0.17852575765153308,0.9988543984124403,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.2053405526609304
FULL,exponential,u_r_mm + u_p_div_u_r + tau_p_div_tau_r + u_p_div_tau_p + sigma_n_div_tau_p + sigma_n_div_tau_r,"['u_r_mm', 'u_p_div_u_r', 'tau_p_div_tau_r', 'u_p_div_tau_p', 'sigma_n_div_tau_p', 'sigma_n_div_tau_r']",6,0.8648373397626533,0.5455025653932115,0.8469984547139762,0.6194233979715246,0.8394197213119405,0.0232238572685158,0.3849195916174931,7.692466866045327,0.34636720737279214,7.753244158914772,0.6910679404179741,3.2531718412163415,0.4639622945526378,7.6924668660453275,0.37276455328041946,7.7532441589147725,0.8776721321703418,0.5201724886064758,0.7475184329998525,3.2531718412163415,0.3706101827924201,0.9962760450459799,0.1189169909854329,0.9992177313781381,0.14919724507160884,0.9991998830975128,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.204385929643095
