Dataset,Model_Family,Features,Feature_List,N_Features,R2_train_z,RMSE_train_z,R2_val_z,RMSE_val_z,R2_cv_mean_z,R2_cv_std_z,R2_train_e_gap,RMSE_train_e_gap,R2_val_e_gap,RMSE_val_e_gap,R2_test_e_gap,RMSE_test_e_gap,R2_train_e,RMSE_train_e,R2_val_e,RMSE_val_e,R2_test_z,RMSE_test_z,R2_test_e,RMSE_test_e,RMSE_train_tau_u,R2_train_tau_u,RMSE_val_tau_u,R2_val_tau_u,RMSE_test_tau_u,R2_test_tau_u,Valid_curve_count_train,Valid_curve_count_val,Valid_curve_count_test,Target_Mode,Target_Used_For_Training,Reconstructed_Gap_Formula,Reconstructed_E_Formula,Selection_Score
LOW_2,exponential,u_p_x_tau_p + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_u_p,"['u_p_x_tau_p', 'u_p_div_u_r', 'tau_r_div_tau_p', 'tau_p_div_u_p']",4,0.987524759863195,0.13935043823147367,0.9711268530040136,0.19807416607184178,0.9626914788568218,0.00876551878362832,0.9732083618555906,0.6222686908494568,0.9684978961198627,0.698851066541763,0.9807199185607507,0.5759667327050405,0.9780217632718782,0.6222686908494568,0.9728029968996799,0.6988510665417637,0.9786213419457482,0.22939939186708594,0.984202782950981,0.5759667327050403,0.034759255501872886,0.998623116725356,0.04112534570197128,0.9982331660653235,0.04861641430754395,0.9961365066968263,44,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4115960405540615
LOW_2,exponential,u_p_x_tau_p + u_p_div_u_r + tau_p_div_tau_r + tau_r_div_tau_p + tau_p_div_u_p,"['u_p_x_tau_p', 'u_p_div_u_r', 'tau_p_div_tau_r', 'tau_r_div_tau_p', 'tau_p_div_u_p']",5,0.989276586564478,0.1291963983648172,0.9776343645910842,0.1743297051826341,0.9625016204257353,0.008726323831314062,0.9755254510344218,0.5947516619880282,0.9689999509099022,0.6932598413542782,0.9826600266279555,0.5462194753945737,0.9799225628503895,0.5947516619880282,0.9732364405113569,0.6932598413542788,0.9790545512068732,0.22706326425338827,0.9857924187796864,0.5462194753945734,0.03137007132747776,0.9988785311757497,0.03332431930137563,0.9988398899670151,0.047985080703043734,0.9962361979531589,44,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4080125424208203
LOW_2,exponential,u_p_x_tau_p + tau_p_x_tau_r + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_u_p,"['u_p_x_tau_p', 'tau_p_x_tau_r', 'u_p_div_u_r', 'tau_r_div_tau_p', 'tau_p_div_u_p']",5,0.988702794395537,0.1326079001849627,0.9734776050307167,0.18983974607982423,0.9652539563272886,0.00852789131068322,0.981640805427372,0.5151161048122195,0.968218903860816,0.7019388642993067,0.9850867264436167,0.5065583281333179,0.9849392290878239,0.5151161048122196,0.9725621319287836,0.7019388642993067,0.9757320030986332,0.24441002036342346,0.9877807456351307,0.5065583281333179,0.03170156352193972,0.9988547044927004,0.03871324450876236,0.9984343461523445,0.05014670384929123,0.9958894579141442,44,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4052517940632927
LOW_2,exponential,tau_peak_MPa_csds + u_p_x_tau_p + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_u_p,"['tau_peak_MPa_csds', 'u_p_x_tau_p', 'u_p_div_u_r', 'tau_r_div_tau_p', 'tau_p_div_u_p']",5,0.9881816778208719,0.13563188397718462,0.973801455716614,0.1886771708176832,0.9644617068942459,0.008759724996701555,0.9793798124176348,0.5459144898595495,0.96619523092475,0.7239421103168134,0.9841455001168982,0.5222990564284008,0.9830844474077794,0.5459144898595495,0.9708150156305949,0.7239421103168134,0.9763341403889721,0.24135882546860501,0.9870095478255014,0.5222990564284007,0.03312823289437165,0.9987493011974539,0.03811974868281218,0.998481982891994,0.04984325186683661,0.9959390555151019,44,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.405156336664067
LOW_2,exponential,tau_r_MPa + u_p_x_tau_p + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_u_p,"['tau_r_MPa', 'u_p_x_tau_p', 'u_p_div_u_r', 'tau_r_div_tau_p', 'tau_p_div_u_p']",5,0.9883010021087887,0.13494543981194534,0.9729334104575057,0.19177745178843342,0.9635646645872898,0.008425327275093498,0.97804034144832,0.5633666151261532,0.9680940968233647,0.7033158002659983,0.9837597002487669,0.5286156153984696,0.9819856265781098,0.5633666151261533,0.9724543811132375,0.7033158002659983,0.9767188287868618,0.23938914530080993,0.9866934410562662,0.5286156153984697,0.03279942184697373,0.998774005364772,0.039361831329590924,0.9983814459731736,0.04964122350308926,0.9959719090402314,44,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.403873210023641
LOW_2,exponential,u_r_x_tau_p + u_p_x_tau_p + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_u_p,"['u_r_x_tau_p', 'u_p_x_tau_p', 'u_p_div_u_r', 'tau_r_div_tau_p', 'tau_p_div_u_p']",5,0.9887619516166022,0.13226024733493155,0.9704741705919547,0.2003004054015809,0.9649908291556967,0.008387652089605646,0.9774125405648917,0.5713628624268767,0.9754701890291161,0.6166829672577832,0.9821810064363783,0.5537127873765202,0.9814706167694621,0.571362862426877,0.9788224511110815,0.6166829672577832,0.9846858184308415,0.19415516027464694,0.9853999315404052,0.5537127873765201,0.033261567676695365,0.9987392132917721,0.04032859754563654,0.9983009629580128,0.042403596809881976,0.9970608638269683,44,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4021308199608424
LOW_2,exponential,u_r_mm + u_p_x_tau_p + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_u_p,"['u_r_mm', 'u_p_x_tau_p', 'u_p_div_u_r', 'tau_r_div_tau_p', 'tau_p_div_u_p']",5,0.9882338767911752,0.1353320241737474,0.9701382916650637,0.2014364689127753,0.9636909248759152,0.008790846597804675,0.9750016155942395,0.6010827806152121,0.9731960326272483,0.6446357591402541,0.9811002209824521,0.5702579267836204,0.9794928399925019,0.6010827806152123,0.9768590826025036,0.6446357591402541,0.9850078810699214,0.19210273639147926,0.984514385364011,0.5702579267836204,0.0341723189162177,0.9986692235880654,0.041211544400919536,0.9982257517375942,0.042201643611851504,0.9970887932724866,44,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.401104669443241
LOW_2,exponential,u_p_x_tau_p + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_u_p + tau_r_div_u_r,"['u_p_x_tau_p', 'u_p_div_u_r', 'tau_r_div_tau_p', 'tau_p_div_u_p', 'tau_r_div_u_r']",5,0.9874982037582011,0.13949867736544794,0.9711062963710988,0.19814466433529543,0.9611677270461741,0.008084172181786049,0.973099245259907,0.6235345866830266,0.9687530381243208,0.6960152437843765,0.9807221351148759,0.5759336234534866,0.9779322506277475,0.6235345866830266,0.9730232710093922,0.6960152437843771,0.9788518852826129,0.22815913968190518,0.9842045990940678,0.5759336234534866,0.03480981697754695,0.9986191081306677,0.04112579602407631,0.9982331273714855,0.04839497195613795,0.9961716221041135,44,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4008817426760072
LOW_2,exponential,u_r_x_tau_r + u_p_x_tau_p + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_u_p,"['u_r_x_tau_r', 'u_p_x_tau_p', 'u_p_div_u_r', 'tau_r_div_tau_p', 'tau_p_div_u_p']",5,0.9878660932971998,0.13743084203975175,0.9705879639807301,0.19991405104900772,0.9621945149849195,0.009199849826146128,0.9744483688944487,0.6076977525545146,0.970101856927601,0.6808272979166482,0.9815599540304587,0.5632795279836638,0.9790389899191502,0.6076977525545146,0.9741877592389455,0.6808272979166482,0.9821701145388384,0.20949628134611592,0.9848910695998557,0.5632795279836638,0.03460309257122842,0.9986354607826831,0.041286562746985694,0.9982192864465845,0.045178591334060436,0.9966635879117468,44,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4007652364905752
LOW_2,exponential,u_p_x_tau_p + u_p_div_u_r + tau_r_div_tau_p + u_r_div_tau_p + tau_p_div_u_p,"['u_p_x_tau_p', 'u_p_div_u_r', 'tau_r_div_tau_p', 'u_r_div_tau_p', 'tau_p_div_u_p']",5,0.9879019260819508,0.1372277676733585,0.9700711825332955,0.20166268905940543,0.9629792083940997,0.008885630147462135,0.9739633905716135,0.6134377947521795,0.9714428172635821,0.665384274935148,0.9806666497684702,0.5767618509584199,0.978641143086126,0.6134377947521795,0.9753454629451439,0.665384274935148,0.9839901032048757,0.19851636210391368,0.9841591369385798,0.5767618509584196,0.034608554138428275,0.998635030005535,0.04163151558659956,0.9981894061047534,0.043476573239951376,0.9969102387115576,44,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.400672223715599
