Dataset,Model_Family,Features,Feature_List,N_Features,R2_train_z,RMSE_train_z,R2_val_z,RMSE_val_z,R2_cv_mean_z,R2_cv_std_z,R2_train_e_gap,RMSE_train_e_gap,R2_val_e_gap,RMSE_val_e_gap,R2_test_e_gap,RMSE_test_e_gap,R2_train_e,RMSE_train_e,R2_val_e,RMSE_val_e,R2_test_z,RMSE_test_z,R2_test_e,RMSE_test_e,RMSE_train_tau_u,R2_train_tau_u,RMSE_val_tau_u,R2_val_tau_u,RMSE_test_tau_u,R2_test_tau_u,Valid_curve_count_train,Valid_curve_count_val,Valid_curve_count_test,Target_Mode,Target_Used_For_Training,Reconstructed_Gap_Formula,Reconstructed_E_Formula,Selection_Score
HIGH,polynomial,u_r_x_tau_p + u_p_div_u_r + tau_r_div_tau_p + tau_r_div_u_p,"['u_r_x_tau_p', 'u_p_div_u_r', 'tau_r_div_tau_p', 'tau_r_div_u_p']",4,0.981266557351101,0.1979818014643488,0.9656739163027906,0.24268081391350982,0.9240085812957286,0.02553355024689678,0.9811978156130717,0.34845620164576524,0.86336240696558,0.6421847508455909,0.9469359887150102,0.596008324249821,0.9827053849847327,0.34845620164576524,0.8684566329978204,0.6421847508455909,0.9153697789372996,0.38193973674969356,0.950789559120894,0.596008324249821,0.11093599080226849,0.9993895581708253,0.140570589911225,0.9974618467833304,0.8993188802510756,0.9535925659122291,42,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.3851248519259654
HIGH,polynomial,u_p_x_tau_r + u_p_div_u_r + tau_r_div_tau_p + tau_r_div_u_p,"['u_p_x_tau_r', 'u_p_div_u_r', 'tau_r_div_tau_p', 'tau_r_div_u_p']",4,0.9844849888251374,0.18017416600106848,0.9714567563190949,0.2212967199554516,0.9137023054081442,0.056597480030408945,0.9807913492668208,0.35220253261653045,0.9367803997623319,0.43681823512879064,0.9670486011728023,0.4696661005733344,0.9823315093312229,0.35220253261653045,0.9391374006881125,0.43681823512879026,0.9757307839264873,0.20453139522125688,0.9694415701979104,0.46966610057333436,0.11407144170887792,0.9993545639586056,0.11359941229496913,0.9983423949189972,0.37950050632576987,0.9917361037962479,42,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.382648161020126
HIGH,polynomial,u_p_div_u_r + tau_r_div_tau_p + tau_r_div_u_p,"['u_p_div_u_r', 'tau_r_div_tau_p', 'tau_r_div_u_p']",3,0.9711693398571273,0.24560871188137792,0.9631921239864982,0.2513006968953266,0.8975478299563661,0.022820093775332586,0.9720101122826251,0.42515238797110533,0.9048319043458866,0.5359454357494378,0.9028309075119874,0.8065222637481354,0.9742543567050062,0.42515238797110533,0.9083800332286738,0.5359454357494374,0.967370786608327,0.23715670561765514,0.9098874403693955,0.8065222637481353,0.20704939993066068,0.9978735885393841,0.14243094843882204,0.9973942206827949,0.14410486555394206,0.9988084358631742,42,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.379684029587148
HIGH,polynomial,u_p_x_tau_r + u_p_div_u_r + tau_r_div_tau_p,"['u_p_x_tau_r', 'u_p_div_u_r', 'tau_r_div_tau_p']",3,0.979627964609657,0.20645893610759408,0.9408329685652117,0.31861278908420454,0.9042676586166004,0.0558411935582452,0.962893070279889,0.4895212570784061,0.8236992186143932,0.7294608792360158,0.7216964512130087,1.3649340227099274,0.9658683240892978,0.48952125707840627,0.8302721976174166,0.7294608792360158,0.9325897365788116,0.34087497484508616,0.7419071796047652,1.3649340227099274,0.12258828148969075,0.9992545864796031,0.20123158268108915,0.9947985888296048,0.41167416837814524,0.9902754980419455,42,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.3573826785176872
HIGH,polynomial,delta_peak_mm + u_p_div_u_r + tau_r_div_tau_p,"['delta_peak_mm', 'u_p_div_u_r', 'tau_r_div_tau_p']",3,0.9845712915655018,0.17967235494452083,0.9133710183160981,0.38552710663057393,0.9463325957972403,0.01731846515763071,0.9497835841399095,0.5694648213112347,0.9712683700145522,0.29447946783636136,0.9665530287065958,0.47318469145693837,0.9538099636789747,0.5694648213112348,0.9723395643628288,0.29447946783636136,0.987210189495227,0.1484787018192567,0.9689819867823523,0.47318469145693837,0.1208258567738566,0.9992758657006698,0.14261350451694102,0.9973875366620173,0.16334680215030917,0.9984689780830829,42,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.3548054696989553
HIGH,polynomial,u_p_div_u_r + tau_r_div_tau_p,"['u_p_div_u_r', 'tau_r_div_tau_p']",2,0.9175374823988568,0.41537922239701996,0.9503484553664746,0.29187015996985766,0.8457035621419887,0.085042104375778,0.7302023896492895,1.3199670615568881,0.8751436873463311,0.6138752721048398,0.5798968569745204,1.676989148908242,0.7518349088046077,1.3199670615568881,0.8797986747775692,0.6138752721048398,0.9250143698113754,0.35951840606392066,0.6104052373283396,1.6769891489082418,0.3077012455984143,0.99530367806248,0.17473964058855845,0.9960779621877462,0.24640446978695454,0.9965161672475876,42,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.344696025999891
HIGH,polynomial,delta_peak_mm + u_p_div_u_r + tau_r_div_tau_p + tau_r_div_u_p,"['delta_peak_mm', 'u_p_div_u_r', 'tau_r_div_tau_p', 'tau_r_div_u_p']",4,0.9863202447203019,0.1691825779130064,0.916245174160221,0.3790776976343444,0.9322622012778313,0.03728727953533863,0.9663641588759988,0.466063605768472,0.9872621537390488,0.196075300214366,0.9491332753215302,0.5835380425124885,0.9690610989136601,0.466063605768472,0.9877370557522954,0.19607530021436592,0.9835587529402399,0.16834471413630447,0.9528272762106158,0.5835380425124884,0.12109085292251572,0.9992726858642357,0.13657145119854758,0.9976042099958226,0.15149811449978554,0.9986830339182043,42,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.3386475468456027
HIGH,polynomial,u_r_x_tau_p + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_u_p + tau_r_div_u_p,"['u_r_x_tau_p', 'u_p_div_u_r', 'tau_r_div_tau_p', 'tau_p_div_u_p', 'tau_r_div_u_p']",5,0.9811880593691316,0.19839616538581537,0.9608673194024023,0.2591153333042342,0.8608306894073374,0.07824273710237346,0.9755510507371941,0.3973508480400121,0.7263592071540823,0.9087936989673494,0.9125691221522576,0.7650409931782522,0.9775113807881813,0.3973508480400121,0.7365612900468002,0.9087936989673494,0.8091150881342998,0.5736115766056025,0.9189184545015407,0.7650409931782522,0.1158059567306049,0.9993347863539707,0.18664619445978078,0.9955252664603275,1.4988560876389019,0.871091959544345,42,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.3334583903958335
HIGH,polynomial,delta_peak_mm + u_p_div_u_r + tau_r_div_tau_p + tau_r_div_u_r,"['delta_peak_mm', 'u_p_div_u_r', 'tau_r_div_tau_p', 'tau_r_div_u_r']",4,0.984400778445904,0.18066246737826214,0.8869947831879894,0.44032420607705014,0.9460394082441194,0.017111496676637212,0.9406407039339397,0.6191393624525333,0.9650267995440068,0.32489466185009014,0.9566809317379414,0.538507604539323,0.9454001645812229,0.6191393624525333,0.9663306968407691,0.3248946618500901,0.9843962965046379,0.16400079426353897,0.9598268130127021,0.538507604539323,0.12126650820964316,0.9992705742392437,0.1532324614260598,0.9969840061203266,0.1899860244761525,0.9979288886696664,42,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.3183033376423854
HIGH,polynomial,u_r_x_tau_p + u_p_div_u_r + tau_r_div_tau_p + tau_r_div_u_r,"['u_r_x_tau_p', 'u_p_div_u_r', 'tau_r_div_tau_p', 'tau_r_div_u_r']",4,0.9803608799423629,0.20271107960176654,0.8876248981983235,0.43909487015597465,0.9384594853361476,0.01802762991011854,0.9311578881067283,0.6667624550799826,0.9236878542688546,0.47992317245196936,0.8288464433197343,1.0703979072909584,0.9366776860852497,0.6667624550799824,0.9265329813727974,0.47992317245196936,0.9167616606662328,0.37878590520902533,0.8412758142796983,1.0703979072909584,0.12325873392750872,0.9992464106418106,0.16529352950329823,0.9964905374962129,0.6244956137273202,0.9776221211089161,42,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.3150518778753855
