dataset,model_name,model_family,selection_mode,rank_in_saved_results,model_features,saved_r2_val_z,saved_r2_cv_mean_z,saved_r2_val_e,saved_rmse_val_e,saved_r2_test_z,saved_rmse_test_z,saved_r2_test_e,saved_rmse_test_e,saved_r2_test_tau_u,saved_rmse_test_tau_u,saved_selection_score,n_rows,rmse_z,r2_z,rmse_d,r2_d,rmse_b,r2_b,rmse_e,r2_e,rmse_tau_u,r2_tau_u,mean_curve_rmse_tau_u,median_curve_rmse_tau_u,max_curve_rmse_tau_u,valid_curve_count,constraint_ok_count,d_positive_count,b_positive_count,detailed_output_file
FULL,FULL_direct_poly_rank_4,polynomial,log_gap,4,u_r_mm + sigma_n_x_u_r + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p,0.9729796809533664,0.9774590176242984,0.6576418522417542,5.728072391103733,0.8893925299415097,0.4946259591350265,0.9809622633957448,0.893305119542229,0.9977276800684648,0.2514309986905029,1.4106781654334395,299,0.17994579860937487,0.9856602544515707,27.479027034035536,0.8869758996064261,27.479027034035518,0.8823566512991884,4.273053278806217,0.8068322866305868,0.06521768997187882,0.9998682829613051,0.03222452327572383,0.0082445533091879,0.40422874273226583,299,299,299,299,/Users/hariderarako/Desktop/python/results/methodologie_2/reconstructed_parameters/from_z/full/FULL_direct_poly_rank_4_b_d_from_e_predictions.csv
FULL,FULL_direct_poly_rank_3,polynomial,log_gap,3,u_r_mm + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p + u_r_div_tau_r,0.9719376256804968,0.9792557278434302,0.6332878085312523,5.92830908085581,0.9164259273606836,0.4299524808179021,0.9842841207622436,0.8116363843296885,0.9988196795496186,0.1812107873614773,1.4107271212564692,299,0.17878959606610872,0.9858439362705896,28.156147582842944,0.8813371370726705,28.156147582842927,0.8764874348693321,4.327640347324974,0.8018654351633184,0.08704654388351145,0.9997653534358866,0.03484343793576853,0.008522143187486338,1.0321408734874746,299,299,299,299,/Users/hariderarako/Desktop/python/results/methodologie_2/reconstructed_parameters/from_z/full/FULL_direct_poly_rank_3_b_d_from_e_predictions.csv
FULL,FULL_direct_poly_rank_2,polynomial,log_gap,2,u_r_mm + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p + tau_r_div_u_r,0.9729355629602072,0.9776017293709474,0.628856379395768,5.96402099934531,0.9565779974061648,0.3099128618723131,0.9874863304581212,0.7242433347061232,0.9997300227936736,0.086665776192412,1.410956691365948,299,0.16448689400484096,0.9880182398243879,27.62860181300519,0.8857421175470755,27.628601813005172,0.8810724450765903,3.9699054564765586,0.8332682719287332,0.10222034233882055,0.9996764169259208,0.02738398020854241,0.00644526379015138,1.5737323124192026,299,299,299,299,/Users/hariderarako/Desktop/python/results/methodologie_2/reconstructed_parameters/from_z/full/FULL_direct_poly_rank_2_b_d_from_e_predictions.csv
FULL,FULL_direct_poly_rank_1,polynomial,log_gap,1,u_r_mm + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p,0.9710146073645354,0.9788231307844372,0.616107745284548,6.06558703653985,0.912658995261227,0.4395353080178422,0.9821516078621152,0.8649514190708846,0.99869704716903,0.1903918826772699,1.419532349064481,299,0.18286617976274544,0.9851910315758644,27.558906373303024,0.8863178404466472,27.558906373303007,0.8816716975333097,4.353413910799873,0.7994983991673061,0.1043884800814709,0.9996625446772126,0.03697196403453131,0.007548124537895209,1.4069317175387637,299,299,299,299,/Users/hariderarako/Desktop/python/results/methodologie_2/reconstructed_parameters/from_z/full/FULL_direct_poly_rank_1_b_d_from_e_predictions.csv
FULL,FULL_direct_poly_rank_5,polynomial,log_gap,5,u_r_mm + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p + tau_r_div_u_p,0.9726619288076146,0.9770010587465302,0.6296699929916911,5.957480309220316,0.9584558012473204,0.3031376431392338,0.9836929871334684,0.82675984077126,0.9997111618271196,0.0896419666669179,1.410303527321356,299,0.17153011266505808,0.9869701694309767,26.094823909695737,0.8980758502199309,26.09482390969572,0.8939102523102925,4.111050196001416,0.8212016600724956,0.12829387093358866,0.999490290236665,0.032531905551051274,0.006811768435413828,2.0150821502446825,299,299,299,299,/Users/hariderarako/Desktop/python/results/methodologie_2/reconstructed_parameters/from_z/full/FULL_direct_poly_rank_5_b_d_from_e_predictions.csv
FULL,FULL_direct_exp_rank_4,exponential,log_gap,4,tau_peak_MPa_csds + u_r_mm + u_p_x_tau_r + u_p_div_u_r + u_p_div_tau_r + sigma_n_div_tau_r,0.8454561988088424,0.8561475062438715,0.3284090653265527,8.022700443073386,0.8272632412253427,0.6181260677905265,0.8695474971858841,2.3383976929473342,0.9987818200963072,0.1840940689300084,1.2108029703531016,299,0.5525263927768292,0.8648039264521205,48.30513989640357,0.650735017900281,48.305139896403546,0.6364607023187054,6.573171222128683,0.5429035867003135,0.2694719002124162,0.997751265908023,0.1049662132375869,0.030278035075828148,2.8564374032195854,299,299,299,299,/Users/hariderarako/Desktop/python/results/methodologie_2/reconstructed_parameters/from_z/full/FULL_direct_exp_rank_4_b_d_from_e_predictions.csv
FULL,FULL_direct_exp_rank_2,exponential,log_gap,2,u_r_mm + u_p_x_tau_p + u_p_div_u_r + tau_p_div_tau_r + sigma_n_div_tau_p + sigma_n_div_tau_r,0.8563577142469309,0.8555466682105625,0.3309972679318793,8.007226426532293,0.8886155629586092,0.4963601797164381,0.7510456736807519,3.230368040337675,0.9985781038607496,0.1988923224327698,1.221602047126565,299,0.5247872460200755,0.8780379919293136,46.50245604586287,0.6763168155051582,46.50245604586285,0.6630880174271145,7.073416182873571,0.4706823856227318,0.2764904908829661,0.9976326005985261,0.10912300576620293,0.02977966429326655,2.946682839718948,299,299,299,299,/Users/hariderarako/Desktop/python/results/methodologie_2/reconstructed_parameters/from_z/full/FULL_direct_exp_rank_2_b_d_from_e_predictions.csv
FULL,FULL_direct_exp_rank_1,exponential,log_gap,1,u_r_mm + u_p_x_tau_r + u_p_div_u_r + tau_p_div_tau_r + sigma_n_div_tau_p + sigma_n_div_tau_r,0.8675832618992928,0.848491425108822,0.3651105988440399,7.800405905097777,0.8855812349899308,0.5030756580760537,0.7611179688596686,3.164345584221929,0.9987323964279944,0.1877914471212077,1.2294829685606092,299,0.5265929495378391,0.8771972469955662,47.93341726481081,0.6560897341556993,47.93341726481079,0.6420342636161319,7.072847289357855,0.4707675250352835,0.3638002269142189,0.995901385561974,0.11288772726699219,0.02636267701775574,5.197426618228049,299,299,299,299,/Users/hariderarako/Desktop/python/results/methodologie_2/reconstructed_parameters/from_z/full/FULL_direct_exp_rank_1_b_d_from_e_predictions.csv
FULL,FULL_direct_exp_rank_5,exponential,log_gap,5,u_r_mm + u_p_x_tau_r + u_p_div_u_r + tau_p_div_tau_r + u_p_div_tau_r + sigma_n_div_tau_r,0.8398287337425788,0.8578866950538284,0.2829738209090213,8.28963999060366,0.8569600268866008,0.5624881608826389,0.7872968002266854,2.985926943170783,0.9986109555826786,0.1965812752816362,1.207088599960208,299,0.5371654631602428,0.872216674294491,46.49460279429056,0.6764261323478544,46.494602794290536,0.6632018020040269,7.011769285044134,0.4798684972842828,0.36666145876057527,0.9958366621168873,0.11463961255495625,0.030835659747894217,5.284061592448748,299,299,299,299,/Users/hariderarako/Desktop/python/results/methodologie_2/reconstructed_parameters/from_z/full/FULL_direct_exp_rank_5_b_d_from_e_predictions.csv
FULL,FULL_direct_exp_rank_3,exponential,log_gap,3,u_r_mm + u_p_x_tau_r + tau_p_x_tau_r + u_p_div_u_r + tau_p_div_tau_r + sigma_n_div_tau_r,0.8533291318461209,0.84475641201924,0.3030754461963265,8.172615118986133,0.8671746949503126,0.5420322000108049,0.8118462333480277,2.8083331369552975,0.9989613194019308,0.1699906721578275,1.212621813323182,299,0.5376927300841433,0.8719656939434668,57.65628880728183,0.5024213639563442,57.65628880728181,0.48208553058754333,6.839645397850206,0.5050912916926871,0.4436359231117042,0.99390512861407,0.11151110771591091,0.02876649866661744,7.034398621931595,299,299,299,299,/Users/hariderarako/Desktop/python/results/methodologie_2/reconstructed_parameters/from_z/full/FULL_direct_exp_rank_3_b_d_from_e_predictions.csv
