sample_id,u_peak,u_r,tau_peak,tau_r,true_a,true_b,true_c,true_d,true_e,estimated_a,estimated_b,estimated_c,estimated_d,estimated_e,error_b,abs_error_b,error_d,abs_error_d,error_e,abs_error_e,curve_rmse_tau_u,curve_mae_tau_u,curve_r2_tau_u,curve_valid,e_constraint_respected,d_positive,b_positive,dataset,model_name
7,0.72,2.75,0.044,0.03175,0.03175,0.0801325410005739,1.818181818181818,0.1118825410005739,3.441242286799551,0.03175,0.0569653364870464,1.818181818181818,0.0887153364870464,4.643062033055478,-0.023167204513527502,0.023167204513527502,-0.02316720451352751,0.02316720451352751,1.2018197462559268,1.2018197462559268,0.001600894598564,0.0009813417459865,0.9444209831601628,True,True,True,True,FULL,FULL_direct_exp_rank_4
8,0.92,3.0,0.035,0.02825,0.02825,0.0557241852265918,1.6666666666666667,0.0839741852265918,3.007954906577982,0.02825,0.0447826318829031,1.6666666666666667,0.0730326318829031,3.5012133902545552,-0.010941553343688702,0.010941553343688702,-0.010941553343688695,0.010941553343688695,0.49325848367657343,0.49325848367657343,0.0006417369645985,0.0003878886515927,0.986013318866191,True,True,True,True,FULL,FULL_direct_exp_rank_4
9,0.97,3.0,0.029,0.0255,0.0255,0.0288872445152351,1.6666666666666667,0.0543872445152351,3.290221199159674,0.0255,0.0297322730944351,1.6666666666666667,0.0552322730944351,3.2315152353767056,0.0008450285791999981,0.0008450285791999981,0.0008450285791999981,0.0008450285791999981,-0.05870596378296833,0.05870596378296833,5.726495337763001e-05,3.338193285118286e-05,0.9998428412662308,True,True,True,True,FULL,FULL_direct_exp_rank_4
11,0.78,3.5,0.05,0.0417499999999999,0.0417499999999999,0.0354980845491272,1.4285714285714286,0.0772480845491271,4.004659571873231,0.0417499999999999,0.0301067393483195,1.4285714285714286,0.0718567393483194,4.854349396836611,-0.005391345200807703,0.005391345200807703,-0.005391345200807696,0.005391345200807696,0.84968982496338,0.84968982496338,0.0009415591598249,0.0004864163566314,0.9816938136984804,True,True,True,True,FULL,FULL_direct_exp_rank_4
12,1.25,3.5,0.04,0.034,0.034,0.0670624339164287,1.4285714285714286,0.1010624339164287,2.366794324621144,0.034,0.0576350968498884,1.4285714285714286,0.0916350968498884,2.5753864972307836,-0.009427337066540302,0.009427337066540302,-0.009427337066540309,0.009427337066540309,0.2085921726096398,0.2085921726096398,0.0004259567096213,0.0002564472513472,0.9956622429824872,True,True,True,True,FULL,FULL_direct_exp_rank_4
13,1.8,4.0,0.035,0.033,0.033,0.0334302203204883,1.25,0.0664302203204883,2.0972939397426664,0.033,0.056891765669255,1.25,0.0898917656692551,1.7295696680529593,0.023461545348766703,0.023461545348766703,0.023461545348766794,0.023461545348766794,-0.3677242716897071,0.3677242716897071,0.0007681346685022,0.0004530743312747,0.9846642876491648,True,True,True,True,FULL,FULL_direct_exp_rank_4
15,1.64,10.5,4.17,3.725,3.725,1.1700588885069725,0.4761904761904761,4.895058888506973,2.4309486751406535,3.725,1.1065719949945616,0.4761904761904761,4.831571994994562,2.6581744278735036,-0.06348689351241088,0.06348689351241088,-0.06348689351241088,0.06348689351241088,0.22722575273285006,0.22722575273285006,0.0287219747506242,0.0116855327856048,0.9968443569188884,True,True,True,True,FULL,FULL_direct_exp_rank_4
16,1.61,10.5,13.41,12.8475,12.8475,1.3946189571869354,0.4761904761904761,14.242118957186936,3.178145408783804,12.8475,1.5131421580405997,0.4761904761904761,14.3606421580406,2.874185637571259,0.1185232008536643,0.1185232008536643,0.11852320085366408,0.11852320085366408,-0.3039597712125448,0.3039597712125448,0.0966053861926253,0.0337229314176974,0.9964869823652948,True,True,True,True,FULL,FULL_direct_exp_rank_4
17,2.76,10.5,3.72,3.5425,3.5425,0.8694826394566157,0.4761904761904761,4.411982639456616,1.5814976920825412,3.5425,0.8425109290149444,0.4761904761904761,4.385010929014944,1.6293867935544757,-0.026971710441671348,0.026971710441671348,-0.026971710441671348,0.026971710441671348,0.04788910147193448,0.04788910147193448,0.0104657870235769,0.0046004086825649,0.9996377233793104,True,True,True,True,FULL,FULL_direct_exp_rank_4
18,3.07,10.5,12.57,12.4375,12.4375,0.7124450836759753,0.4761904761904761,13.149945083675975,1.9539451798171723,12.4375,0.6800566323426764,0.4761904761904761,13.117556632342676,2.0382781734111917,-0.03238845133329882,0.03238845133329882,-0.03238845133329882,0.03238845133329882,0.08433299359401936,0.08433299359401936,0.0490105136147541,0.0186631342572667,0.9992991907499728,True,True,True,True,FULL,FULL_direct_exp_rank_4
