sample_id,u_peak,u_r,tau_peak,tau_r,true_a,true_b,true_c,true_d,true_e,estimated_a,estimated_b,estimated_c,estimated_d,estimated_e,error_b,abs_error_b,error_d,abs_error_d,error_e,abs_error_e,curve_rmse_tau_u,curve_mae_tau_u,curve_r2_tau_u,curve_valid,e_constraint_respected,d_positive,b_positive,dataset,model_name
16,1.61,10.5,13.41,12.8475,12.8475,1.3946189571869354,0.4761904761904761,14.242118957186936,3.178145408783804,12.8475,1.2533553687358356,0.4761904761904761,14.100855368735836,4.08102821971642,-0.14126358845109976,0.14126358845109976,-0.14126358845109976,0.14126358845109976,0.9028828109326161,0.9028828109326161,0.2351740859495937,0.071083967305048,0.9791811576106152,True,True,True,True,HIGH,HIGH_direct_exp_rank_3
18,3.07,10.5,12.57,12.4375,12.4375,0.7124450836759753,0.4761904761904761,13.149945083675975,1.9539451798171723,12.4375,0.652362763599438,0.4761904761904761,13.089862763599438,2.13365525620058,-0.06008232007653724,0.06008232007653724,-0.06008232007653724,0.06008232007653724,0.17971007638340764,0.17971007638340764,0.1017202854723416,0.0383100745574723,0.9969811852831756,True,True,True,True,HIGH,HIGH_direct_exp_rank_3
21,1.67,12.0,7.53,5.32,5.32,5.617172562155661,0.4166666666666667,10.93717256215566,1.7473164085592403,5.32,4.627601715278304,0.4166666666666667,9.947601715278305,2.769024554790718,-0.9895708468773563,0.9895708468773563,-0.9895708468773545,0.9895708468773545,1.0217081462314779,1.0217081462314779,0.2893905137692278,0.1340742023079534,0.9141361357151102,True,True,True,True,HIGH,HIGH_direct_exp_rank_3
22,1.67,12.0,19.67,18.994999999999997,18.994999999999997,1.5273740416856256,0.4166666666666667,20.522374041685623,3.2739688179792332,18.994999999999997,1.6689261996075615,0.4166666666666667,20.66392619960756,2.9212391192643885,0.14155215792193587,0.14155215792193587,0.14155215792193587,0.14155215792193587,-0.3527296987148447,0.3527296987148447,0.1512673012296175,0.0485471059978726,0.9957236214060816,True,True,True,True,HIGH,HIGH_direct_exp_rank_3
23,0.84,16.0,8.44,7.47,7.47,1.3255582927799532,0.3125,8.795558292779953,6.166176834932969,7.47,1.261359115762514,0.3125,8.731359115762514,13.105714422452056,-0.06419917701743927,0.06419917701743927,-0.06419917701743927,0.06419917701743927,6.939537587519087,6.939537587519087,0.1965994808244807,0.0338266101862444,0.94174540256061,True,True,True,True,HIGH,HIGH_direct_exp_rank_3
24,1.81,16.0,7.62,7.29,7.29,0.6419185077225471,0.3125,7.931918507722547,3.0024433868829834,7.29,0.581210886073845,0.3125,7.871210886073845,6.080527173695093,-0.06070762164870214,0.06070762164870214,-0.06070762164870214,0.06070762164870214,3.0780837868121096,3.0780837868121096,0.2843425107571367,0.0629403834056066,0.8871692665362272,True,True,True,True,HIGH,HIGH_direct_exp_rank_3
30,2.17,3.85,16.37,14.955,14.955,60.674147880173095,1.2987012987012987,75.6291478801731,1.6284330431129306,14.955,48.15265564512022,1.2987012987012987,63.10765564512022,1.735542141002727,-12.521492235052875,12.521492235052875,-12.521492235052875,12.521492235052875,0.10710909788979639,0.10710909788979639,0.1875956436810888,0.1137092538720693,0.996104825491211,True,True,True,True,HIGH,HIGH_direct_exp_rank_3
33,2.26,4.125,16.14,11.3475,11.3475,422.7987490320256,1.2121212121212122,434.1462490320256,1.3091974223177918,11.3475,200.2376570346294,1.2121212121212122,211.5851570346294,1.4412626507764374,-222.56109199739623,222.56109199739623,-222.5610919973962,222.5610919973962,0.13206522845864566,0.13206522845864566,0.5260639157751438,0.3378963946810596,0.979176135232486,True,True,True,True,HIGH,HIGH_direct_exp_rank_3
36,1.48,3.625,14.91,14.235,14.235,8.232456046268986,1.3793103448275863,22.467456046268985,2.7321098339023515,14.235,9.265690326520328,1.3793103448275863,23.500690326520328,2.5644689148988453,1.0332342802513423,1.0332342802513423,1.0332342802513423,1.0332342802513423,-0.1676409190035062,0.1676409190035062,0.1059437060556686,0.056946793263353,0.9983090605202768,True,True,True,True,HIGH,HIGH_direct_exp_rank_3
39,0.54,3.35,15.9,14.4675,14.4675,3.852469877296928,1.4925373134328357,18.319969877296927,7.688914610134782,14.4675,4.8590532197363725,1.4925373134328357,19.326553219736372,6.047294024029641,1.0065833424394444,1.0065833424394444,1.0065833424394448,1.0065833424394448,-1.641620586105141,1.641620586105141,0.2885158479923242,0.1341097577779076,0.9785616273589636,True,True,True,True,HIGH,HIGH_direct_exp_rank_3
42,0.71,3.35,16.28,14.8375,14.8375,5.373344828404187,1.4925373134328357,20.210844828404188,5.457009220110153,14.8375,6.404507752348456,1.4925373134328357,21.242007752348457,4.659496338922009,1.0311629239442688,1.0311629239442688,1.0311629239442688,1.0311629239442688,-0.797512881188144,0.797512881188144,0.2199726949237707,0.1088194320170131,0.9902100708276524,True,True,True,True,HIGH,HIGH_direct_exp_rank_3
45,2.87,4.1,13.67,13.42,13.42,16.705556614946417,1.2195121951219514,30.12555661494642,1.6634039681803665,13.42,25.36606090318555,1.2195121951219514,38.78606090318555,1.5051328933501378,8.660504288239132,8.660504288239132,8.660504288239132,8.660504288239132,-0.15827107483022873,0.15827107483022873,0.1806389632276066,0.1038742702040231,0.9952128960991602,True,True,True,True,HIGH,HIGH_direct_exp_rank_3
48,2.37,4.125,16.38,14.3675,14.3675,112.7264689844744,1.2121212121212122,127.0939689844744,1.4228254925840296,14.3675,73.10331199906216,1.2121212121212122,87.47081199906216,1.5693564621578804,-39.62315698541224,39.62315698541224,-39.62315698541224,39.62315698541224,0.1465309695738508,0.1465309695738508,0.357268914788934,0.2200050871644047,0.9859484331790652,True,True,True,True,HIGH,HIGH_direct_exp_rank_3
50,4.16,4.75,15.04,14.775,14.775,58.5314735148253,1.0526315789473684,73.3064735148253,1.2144266984360343,14.775,83.6746567588071,1.0526315789473684,98.44965675880712,1.161704073215266,25.143183243981802,25.143183243981802,25.143183243981824,25.143183243981824,-0.052722625220768427,0.052722625220768427,0.1120430826385687,0.0614664545778526,0.998262128141947,True,True,True,True,HIGH,HIGH_direct_exp_rank_3
52,3.13,4.466666666666667,15.58,14.793333333333337,14.793333333333337,75.02328336156236,1.1194029850746268,89.8166166948957,1.313812712287742,14.793333333333337,63.2862143439547,1.1194029850746268,78.07954767728803,1.356811062814362,-11.737069017607666,11.737069017607666,-11.737069017607666,11.737069017607666,0.04299835052661982,0.04299835052661982,0.0988748454780231,0.058211082276234,0.9988161908821678,True,True,True,True,HIGH,HIGH_direct_exp_rank_3
55,0.63,3.85,16.18,14.365,14.365,5.024596391351091,1.2987012987012987,19.38959639135109,6.152370825583352,14.365,5.771799752877092,1.2987012987012987,20.136799752877092,5.261778875951832,0.747203361526001,0.747203361526001,0.747203361526001,0.747203361526001,-0.8905919496315207,0.8905919496315207,0.1967158576492497,0.093848221769003,0.990474539516342,True,True,True,True,HIGH,HIGH_direct_exp_rank_3
58,0.94,3.875,16.28,13.935,13.935,11.349260923481204,1.2903225806451613,25.28426092348121,3.405427164282276,13.935,11.53149139085613,1.2903225806451613,25.46649139085613,3.35850112333879,0.18223046737492687,0.18223046737492687,0.18223046737492155,0.18223046737492155,-0.0469260409434864,0.0469260409434864,0.0218342053434819,0.0121845520715456,0.9999119753962212,True,True,True,True,HIGH,HIGH_direct_exp_rank_3
61,2.68,4.125,16.95,15.5375,15.5375,116.71406105996982,1.2121212121212122,132.25156105996982,1.3981039630569712,15.5375,84.03954455210464,1.2121212121212122,99.57704455210464,1.48701546691352,-32.67451650786518,32.67451650786518,-32.67451650786518,32.67451650786518,0.08891150385654889,0.08891150385654889,0.2371569048823656,0.1443095321473105,0.9943381208161346,True,True,True,True,HIGH,HIGH_direct_exp_rank_3
64,2.73,4.125,15.88,13.97,13.97,220.02903798852773,1.2121212121212122,233.99903798852773,1.3339956390040135,13.97,126.57933952355872,1.2121212121212122,140.54933952355873,1.4455136286303203,-93.44969846496902,93.44969846496902,-93.449698464969,93.449698464969,0.11151798962630677,0.11151798962630677,0.3760025613217317,0.2295415426770508,0.9844685198021256,True,True,True,True,HIGH,HIGH_direct_exp_rank_3
67,3.13,4.533333333333333,14.91,14.596666666666666,14.596666666666666,20.35467702287054,1.1029411764705883,34.951343689537204,1.4882877719989878,14.596666666666666,27.44780698740405,1.1029411764705883,42.044473654070714,1.381963086785155,7.09312996453351,7.09312996453351,7.09312996453351,7.09312996453351,-0.10632468521383287,0.10632468521383287,0.1512442824382465,0.0873976944054861,0.9971823556217502,True,True,True,True,HIGH,HIGH_direct_exp_rank_3
70,3.12,4.466666666666667,16.37,15.163333333333334,15.163333333333334,137.96164146287623,1.1194029850746268,153.12497479620956,1.2614658876838951,15.163333333333334,95.87663098130412,1.1194029850746268,111.03996431463746,1.3375815091898655,-42.08501048157211,42.08501048157211,-42.0850104815721,42.0850104815721,0.0761156215059704,0.0761156215059704,0.232217632168045,0.1379760255729904,0.9940027380333109,True,True,True,True,HIGH,HIGH_direct_exp_rank_3
73,1.09,3.85,15.19,13.3025,13.3025,11.821633061680007,1.2987012987012987,25.12413306168001,2.9737453064844868,13.3025,11.34515517117019,1.2987012987012987,24.64765517117019,3.071093562455535,-0.4764778905098179,0.4764778905098179,-0.4764778905098197,0.4764778905098197,0.09734825597104813,0.09734825597104813,0.050855392547993,0.0281735806115238,0.9995068726887724,True,True,True,True,HIGH,HIGH_direct_exp_rank_3
76,4.13,4.7,14.9,13.285,13.285,1213.8760619263403,1.0638297872340423,1227.1610619263406,1.0940505167399543,13.285,498.790540753132,1.0638297872340423,512.075540753132,1.1437716826577635,-715.0855211732082,715.0855211732082,-715.0855211732086,715.0855211732086,0.049721165917809174,0.049721165917809174,0.4019697948973322,0.2241582624860479,0.9875334764252264,True,True,True,True,HIGH,HIGH_direct_exp_rank_3
79,3.62,4.5,14.62,13.843333333333334,13.843333333333334,173.78668847200146,1.1111111111111112,187.6300218053348,1.2115644521301927,13.843333333333334,128.06127988716,1.1111111111111112,141.90461322049333,1.2536509177514652,-45.72540858484146,45.72540858484146,-45.72540858484146,45.72540858484146,0.042086465621272495,0.042086465621272495,0.1335686873342934,0.0759499670386237,0.9973501059685748,True,True,True,True,HIGH,HIGH_direct_exp_rank_3
82,0.39,3.9275,14.13,12.93,12.93,2.178980729198466,1.273074474856779,15.108980729198466,12.268593789286898,12.93,2.5689976702681,1.273074474856779,15.4989976702681,9.62144833440637,0.3900169410696339,0.3900169410696339,0.3900169410696339,0.3900169410696339,-2.647145454880528,2.647145454880528,0.2060035089098489,0.0771877628123492,0.981523592609619,True,True,True,True,HIGH,HIGH_direct_exp_rank_3
85,0.46,3.86,15.2,13.9425,13.9425,2.582793456166362,1.2953367875647668,16.525293456166363,10.00333623780827,13.9425,3.0992063174776217,1.2953367875647668,17.041706317477622,7.898221852423869,0.5164128613112595,0.5164128613112595,0.5164128613112595,0.5164128613112595,-2.105114385384401,2.105114385384401,0.2353556762724297,0.0941594837346629,0.9811007731174408,True,True,True,True,HIGH,HIGH_direct_exp_rank_3
