dataset,model_name,n_rows,rmse_d,r2_d,rmse_b,r2_b,rmse_e,r2_e,rmse_tau_u,mean_curve_rmse_tau_u,median_curve_rmse_tau_u,max_curve_rmse_tau_u,valid_curve_count,r2_tau_u,constraint_ok_count,d_positive_count,b_positive_count
HIGH,HIGH_direct_poly_rank_1,67,67.64319558095163,0.8186430702493523,67.64319558095158,0.8191365000217021,0.3624152850644655,0.9801963127528263,0.09976576299779295,0.07298287310522629,0.0575524752894486,0.433165107295733,67,0.9994375842800111,67,67,67
HIGH,HIGH_direct_poly_rank_5,67,51.2823329296834,0.8957631040619984,51.282332929683356,0.8960467082667226,0.4725928952430344,0.9663250140071288,0.10616701160749754,0.07789005609225454,0.0694935754987789,0.4296987881494586,67,0.9993630965808116,67,67,67
HIGH,HIGH_direct_poly_rank_2,67,48.92472080567148,0.9051269998538547,48.924720805671434,0.9053851270890734,0.3330994496559482,0.9832705802738541,0.18875336795282885,0.09410098622719837,0.0556080930424754,1.1558370525311312,67,0.9979868144083698,67,67,67
HIGH,HIGH_direct_poly_rank_3,67,66.32925344389427,0.825620213811112,66.32925344389425,0.8260946604083271,0.40483816500163283,0.9752886801278644,0.15818402691230746,0.10875760299002302,0.0793522379853526,0.6273939897364704,67,0.9985860968928447,67,67,67
HIGH,HIGH_direct_poly_rank_4,67,52.15884305300619,0.8921694496692407,52.158843053006144,0.8924628313667321,0.7389547421709002,0.9176679881094966,0.2529315704077503,0.13693593160287726,0.0867372393597735,1.6479731400831237,67,0.9963850651439886,67,67,67
HIGH,HIGH_direct_exp_rank_4,67,98.91362988791697,0.6122085747713187,98.91362988791693,0.6132636645047681,0.6358512995822512,0.9390401101546169,0.24594647161339578,0.16615668829205923,0.1126829398890518,1.31551765753537,67,0.9965819722260053,67,67,67
HIGH,HIGH_direct_exp_rank_1,67,93.3122962694806,0.6548851268527605,93.31229626948056,0.6558241036733634,0.6723939855545161,0.9318319788185093,0.245997432212471,0.16978189214833472,0.1264545767086725,1.2889379995177748,67,0.9965805556349269,67,67,67
HIGH,HIGH_direct_exp_rank_2,67,95.48691965694371,0.6386120317247583,95.48691965694368,0.639595283829661,0.7273986372070065,0.9202229426032359,0.2541663773698769,0.1712555801571865,0.1278277346388701,1.4282807570135656,67,0.9963496829045745,67,67,67
HIGH,HIGH_direct_exp_rank_5,67,89.49057519565793,0.6825754435527727,89.49057519565788,0.6834390815005553,1.1251254921983085,0.8091311853404565,0.28465395463730064,0.20140190765318797,0.1693311435052802,1.4559316248636798,67,0.9954214407580046,67,67,67
HIGH,HIGH_direct_exp_rank_3,67,94.43209617333324,0.6465522814867215,94.43209617333319,0.6475139300298642,1.191204505275099,0.7860532460517418,0.3996144705222031,0.21731112241153377,0.1616427375764588,2.751517111326542,67,0.9909764629319051,67,67,67
