sample_id,u_peak,u_r,tau_peak,tau_r,true_a,true_b,true_c,true_d,true_e,estimated_a,estimated_b,estimated_c,estimated_d,estimated_e,error_b,abs_error_b,error_d,abs_error_d,error_e,abs_error_e,curve_rmse_tau_u,curve_mae_tau_u,curve_r2_tau_u,curve_valid,e_constraint_respected,d_positive,b_positive,dataset,model_name
15,1.64,10.5,4.17,3.725,3.725,1.1700588885069725,0.4761904761904761,4.895058888506973,2.4309486751406535,3.725,1.052922255438116,0.4761904761904761,4.777922255438116,2.9605362834110647,-0.11713663306885658,0.11713663306885658,-0.11713663306885636,0.11713663306885636,0.5295876082704112,0.5295876082704112,0.0635257998496303,0.0245722961983166,0.9845631185775154,True,True,True,True,LOW_2,LOW_2_direct_exp_rank_4
17,2.76,10.5,3.72,3.5425,3.5425,0.8694826394566157,0.4761904761904761,4.411982639456616,1.5814976920825412,3.5425,0.8114824865281629,0.4761904761904761,4.353982486528163,1.694602460496688,-0.05800015292845284,0.05800015292845284,-0.05800015292845284,0.05800015292845284,0.11310476841414685,0.11310476841414685,0.0243473936882153,0.0105667691643347,0.9980393436558718,True,True,True,True,LOW_2,LOW_2_direct_exp_rank_4
29,0.6,2.425,4.93,4.2975,4.2975,3.110870023650559,2.061855670103093,7.408370023650559,5.517814597970529,4.2975,3.1408782861953117,2.061855670103093,7.438378286195312,5.471706693717664,0.03000826254475264,0.03000826254475264,0.03000826254475264,0.03000826254475264,-0.046107904252864707,0.046107904252864707,0.0039949562200445,0.0021680049381472,0.999968307230733,True,True,True,True,LOW_2,LOW_2_direct_exp_rank_4
32,0.3,2.175,4.71,4.1925,4.1925,1.211168346774408,2.298850574712644,5.403668346774408,13.642584509493682,4.1925,1.2585518921167846,2.298850574712644,5.4510518921167845,12.891884126251307,0.04738354534237654,0.04738354534237654,0.04738354534237654,0.04738354534237654,-0.7507003832423749,0.7507003832423749,0.0192310175304236,0.0080402813056513,0.9987977226118216,True,True,True,True,LOW_2,LOW_2_direct_exp_rank_4
35,0.47,2.2,4.91,4.25,4.25,2.5915991927768687,2.2727272727272725,6.841599192776869,7.213346651196478,4.25,2.659335799572098,2.2727272727272725,6.909335799572098,7.0296701660899785,0.06773660679522919,0.06773660679522919,0.06773660679522919,0.06773660679522919,-0.18367648510649914,0.18367648510649914,0.0114378553145335,0.0060062639754977,0.9997098572924504,True,True,True,True,LOW_2,LOW_2_direct_exp_rank_4
38,0.26,2.175,5.3,4.1,4.1,2.5910971306331803,2.298850574712644,6.69109713063318,13.042743993933716,4.1,2.5361737487928915,2.298850574712644,6.636173748792891,13.564827299463062,-0.054923381840288776,0.054923381840288776,-0.054923381840288776,0.054923381840288776,0.5220833055293461,0.5220833055293461,0.0152293424740271,0.0073527152038259,0.9994092543536376,True,True,True,True,LOW_2,LOW_2_direct_exp_rank_4
41,0.38,2.175,5.2,4.3975,4.3975,2.452688320111813,2.298850574712644,6.850188320111813,9.031706106944794,4.3975,2.474631743990765,2.298850574712644,6.8721317439907645,8.933433136882295,0.021943423878952206,0.021943423878952206,0.021943423878951762,0.021943423878951762,-0.09827297006249935,0.09827297006249935,0.0047569109185388,0.002396839559326,0.999948877086564,True,True,True,True,LOW_2,LOW_2_direct_exp_rank_4
44,1.5,2.625,3.89,3.6325,3.6325,10.486129835864666,1.9047619047619049,14.118629835864668,2.474961892115721,3.6325,10.30135357116794,1.9047619047619049,13.93385357116794,2.487023601237538,-0.18477626469672614,0.18477626469672614,-0.18477626469672792,0.18477626469672792,0.012061709121817366,0.012061709121817366,0.0030557201022216,0.0018455752428616,0.9999821562908158,True,True,True,True,LOW_2,LOW_2_direct_exp_rank_4
47,0.6,2.175,5.04,4.655,4.655,2.141531174694559,2.298850574712644,6.796531174694559,6.310564627174357,4.655,2.4309270924149367,2.298850574712644,7.085927092414937,5.7349257680695,0.28939591772037776,0.28939591772037776,0.28939591772037776,0.28939591772037776,-0.5756388591048571,0.5756388591048571,0.0462492293780079,0.023789004785987,0.996280708238966,True,True,True,True,LOW_2,LOW_2_direct_exp_rank_4
49,1.46,2.566666666666667,4.68,4.1066666666666665,4.1066666666666665,30.593215473314466,1.948051948051948,34.69988213998113,2.300589855794831,4.1066666666666665,24.443891760884945,1.948051948051948,28.55055842755161,2.407874589113439,-6.149323712429521,6.149323712429521,-6.149323712429517,6.149323712429517,0.107284733318608,0.107284733318608,0.0450265748597263,0.0279751523401209,0.9972489186067752,True,True,True,True,LOW_2,LOW_2_direct_exp_rank_4
54,0.35,2.175,4.68,4.205,4.205,1.283914851902833,2.298850574712644,5.488914851902833,11.46515887900422,4.205,1.3646201299448508,2.298850574712644,5.569620129944851,10.620608865261936,0.08070527804201788,0.08070527804201788,0.08070527804201788,0.08070527804201788,-0.8445500137422837,0.8445500137422837,0.0276251829424541,0.0121924287149374,0.9977282792565656,True,True,True,True,LOW_2,LOW_2_direct_exp_rank_4
57,0.58,2.175,5.35,4.42,4.42,5.5363451785319135,2.298850574712644,9.956345178531912,5.059116621676996,4.42,5.342078258520965,2.298850574712644,9.762078258520964,5.200555902626424,-0.19426692001094814,0.19426692001094814,-0.19426692001094814,0.19426692001094814,0.14143928094942826,0.14143928094942826,0.0154680861913738,0.009221765159114,0.9996178285300882,True,True,True,True,LOW_2,LOW_2_direct_exp_rank_4
60,2.38,2.85,5.22,4.84,4.84,137.35939252357494,1.7543859649122806,142.19939252357494,1.8523237169572588,4.84,151.75244425425043,1.7543859649122806,156.59244425425044,1.8423065952426367,14.393051730675495,14.393051730675495,14.393051730675495,14.393051730675495,-0.010017121714622101,0.010017121714622101,0.0101130121263966,0.0057462606979948,0.9998906100273705,True,True,True,True,LOW_2,LOW_2_direct_exp_rank_4
63,0.76,2.2,5.03,4.68,4.68,3.0326428857358856,2.2727272727272725,7.712642885735885,4.87933520201715,4.68,3.5591247796586387,2.2727272727272725,8.239124779658638,4.437185858602129,0.5264818939227531,0.5264818939227531,0.5264818939227531,0.5264818939227531,-0.44214934341502055,0.44214934341502055,0.0503017207654042,0.0275016570816754,0.9962313479473708,True,True,True,True,LOW_2,LOW_2_direct_exp_rank_4
66,0.34,2.175,5.0,4.24,4.24,2.0482757543105174,2.298850574712644,6.288275754310518,10.49368724913285,4.24,2.080142804239209,2.298850574712644,6.320142804239209,10.27621901919212,0.03186704992869149,0.03186704992869149,0.03186704992869149,0.03186704992869149,-0.21746822994073156,0.21746822994073156,0.0082848978666627,0.0039920479682579,0.9998193153607606,True,True,True,True,LOW_2,LOW_2_direct_exp_rank_4
69,1.69,2.566666666666667,5.04,4.426666666666667,4.426666666666667,69.19774278410341,1.948051948051948,73.62440945077007,2.1459242646578933,4.426666666666667,54.68040102751762,1.948051948051948,59.10706769418429,2.206648684253084,-14.517341756585793,14.517341756585793,-14.517341756585786,14.517341756585786,0.06072441959519059,0.06072441959519059,0.039901405716524,0.0246082541470416,0.9982669157694204,True,True,True,True,LOW_2,LOW_2_direct_exp_rank_4
72,0.42,2.175,5.1,3.8825,3.8825,4.482035276937978,2.298850574712644,8.364535276937978,6.759501195047857,3.8825,4.447752337753187,2.298850574712644,8.330252337753187,6.814122604850409,-0.03428293918479142,0.03428293918479142,-0.03428293918479142,0.03428293918479142,0.05462140980255192,0.05462140980255192,0.0038504423144092,0.0023148298478093,0.9999696519432476,True,True,True,True,LOW_2,LOW_2_direct_exp_rank_4
75,0.57,2.175,4.24,4.0125,4.0125,1.1193350008113887,2.298850574712644,5.131835000811389,7.4273022742503985,4.0125,1.3879006229227535,2.298850574712644,5.400400622922754,6.324188390380309,0.2685656221113648,0.2685656221113648,0.2685656221113648,0.2685656221113648,-1.1031138838700896,1.1031138838700896,0.0623998639495925,0.0299597283760341,0.9900816124609796,True,True,True,True,LOW_2,LOW_2_direct_exp_rank_4
78,1.25,2.566666666666667,4.37,3.77,3.77,17.6011784506471,1.948051948051948,21.3711784506471,2.4976694597033373,3.77,13.802922644439215,1.948051948051948,17.572922644439217,2.689802294507526,-3.7982558062078855,3.7982558062078855,-3.7982558062078837,3.7982558062078837,0.19213283480418886,0.19213283480418886,0.0558803844888191,0.0344636652430346,0.9947206201974014,True,True,True,True,LOW_2,LOW_2_direct_exp_rank_4
81,0.23,2.1775,4.79,3.54875,3.54875,2.4552355004571034,2.296211251435132,6.003985500457103,14.649101403235154,3.54875,2.487184430941724,2.296211251435132,6.035934430941724,14.29277006475337,0.031948930484620774,0.031948930484620774,0.031948930484620774,0.031948930484620774,-0.3563313384817839,0.3563313384817839,0.0083362642480617,0.0041760549265349,0.999782891726266,True,True,True,True,LOW_2,LOW_2_direct_exp_rank_4
84,1.52,2.19,4.53,3.98,3.98,84.48453784563569,2.2831050228310503,88.46453784563569,2.4678705594788535,3.98,59.43442381077871,2.2831050228310503,63.41442381077871,2.5580435127770262,-25.050114034856975,25.050114034856975,-25.050114034856982,25.050114034856982,0.09017295329817276,0.09017295329817276,0.0522352582450102,0.0316094925892782,0.9964217044278052,True,True,True,True,LOW_2,LOW_2_direct_exp_rank_4
87,1.53,2.29,3.84,3.5879999999999996,3.5879999999999996,21.229112109709114,2.1834061135371177,24.817112109709115,2.5522940611621228,3.5879999999999996,20.13988050538792,2.1834061135371177,23.72788050538792,2.575453827156548,-1.089231604321192,1.089231604321192,-1.0892316043211956,1.0892316043211956,0.023159765994425374,0.023159765994425374,0.007068272873248,0.0042655594314045,0.9999014171647544,True,True,True,True,LOW_2,LOW_2_direct_exp_rank_4
90,0.44,2.0033333333333334,4.09,3.8813333333333335,3.8813333333333335,0.7845727106922662,2.4958402662229617,4.6659060440256,10.177837650659969,3.8813333333333335,1.0030002753041782,2.4958402662229617,4.884333608637512,8.315857935525921,0.21842756461191204,0.21842756461191204,0.21842756461191204,0.21842756461191204,-1.8619797151340478,1.8619797151340478,0.069871012691644,0.0313801220585363,0.9847395672678276,True,True,True,True,LOW_2,LOW_2_direct_exp_rank_4
93,0.29,2.175,4.72,4.314,4.314,0.9127902034753363,2.298850574712644,5.226790203475336,15.255568277966066,4.314,0.958294314788513,2.298850574712644,5.272294314788513,14.192478902265949,0.045504111313176665,0.045504111313176665,0.045504111313176665,0.045504111313176665,-1.0630893757001179,1.0630893757001179,0.0237429811634535,0.0091606453493477,0.998134985924591,True,True,True,True,LOW_2,LOW_2_direct_exp_rank_4
96,0.32,2.225,5.75,4.01075,4.01075,4.5926707536336835,2.2471910112359548,8.603420753633683,8.90252129065327,4.01075,4.540523554410756,2.2471910112359548,8.551273554410756,9.047069947025577,-0.052147199222927654,0.052147199222927654,-0.052147199222927654,0.052147199222927654,0.14454865637230618,0.14454865637230618,0.0079595078647387,0.0046662924396724,0.999892660731716,True,True,True,True,LOW_2,LOW_2_direct_exp_rank_4
99,0.38,2.1775,5.29,3.8055,3.8055,4.8847712477868654,2.296211251435132,8.690271247786866,7.231167894086396,3.8055,4.880088756509359,2.296211251435132,8.68558875650936,7.239014654473747,-0.004682491277506529,0.004682491277506529,-0.004682491277506529,0.004682491277506529,0.007846760387351104,0.007846760387351104,0.0005318791125499,0.0003274794000599,0.9999994663154952,True,True,True,True,LOW_2,LOW_2_direct_exp_rank_4
102,0.33,2.175,5.38,4.15275,4.15275,3.3230952595070686,2.298850574712644,7.475845259507069,9.464816530487427,4.15275,3.2947951109176303,2.298850574712644,7.4475451109176305,9.577923567465366,-0.0283001485894383,0.0283001485894383,-0.0283001485894383,0.0283001485894383,0.11310703697793834,0.11310703697793834,0.0052894203323164,0.0028562327630203,0.9999396188459976,True,True,True,True,LOW_2,LOW_2_direct_exp_rank_4
108,0.24,2.175,5.1,3.69825,3.69825,2.8769666070220197,2.298850574712644,6.5752166070220195,13.53664985652516,3.69825,2.86993600494964,2.298850574712644,6.56818600494964,13.598821091739929,-0.007030602072379821,0.007030602072379821,-0.007030602072379821,0.007030602072379821,0.06217123521476786,0.06217123521476786,0.0017087095441463,0.0008771173678869,0.9999923730457756,True,True,True,True,LOW_2,LOW_2_direct_exp_rank_4
111,0.25,2.165,6.22,4.547499999999999,4.547499999999999,3.553532108811563,2.3094688221709005,8.101032108811562,12.896286747191096,4.547499999999999,3.2985884375024694,2.3094688221709005,7.846088437502469,15.116109095174297,-0.25494367130909357,0.25494367130909357,-0.25494367130909357,0.25494367130909357,2.2198223479832,2.2198223479832,0.0729927467898271,0.0348375999756955,0.9907265709222496,True,True,True,True,LOW_2,LOW_2_direct_exp_rank_4
114,0.46,2.215,4.54,3.755,3.755,3.0550946555112306,2.2573363431151243,6.8100946555112305,6.812602552841997,3.755,3.089854865401639,2.2573363431151243,6.844854865401639,6.735292483759832,0.03476020989040851,0.03476020989040851,0.03476020989040851,0.03476020989040851,-0.07731006908216553,0.07731006908216553,0.0047592056867136,0.0026584483957516,0.999940712897825,True,True,True,True,LOW_2,LOW_2_direct_exp_rank_4
117,0.28,2.16,4.98,3.80875,3.80875,2.7207253448886286,2.314814814814815,6.5294753448886285,11.627647012732409,3.80875,2.7465007433222084,2.314814814814815,6.555250743322208,11.455399674919082,0.025775398433579788,0.025775398433579788,0.025775398433579788,0.025775398433579788,-0.17224733781332624,0.17224733781332624,0.0057210394119391,0.0029800490711553,0.9999108385149196,True,True,True,True,LOW_2,LOW_2_direct_exp_rank_4
120,0.24,2.1675,5.34,3.634,3.634,3.551284821064535,2.306805074971165,7.185284821064535,12.76758648025316,3.634,3.5313396910989856,2.306805074971165,7.1653396910989855,12.900896697577537,-0.019945129965549313,0.019945129965549313,-0.019945129965549313,0.019945129965549313,0.13331021732437698,0.13331021732437698,0.0042218166901675,0.0022924182105853,0.999961875982978,True,True,True,True,LOW_2,LOW_2_direct_exp_rank_4
123,0.34,2.19,5.86,3.70375,3.70375,6.4076526447249105,2.2831050228310503,10.11140264472491,7.4904783908875965,3.70375,6.4220745015769936,2.2831050228310503,10.125824501576991,7.470132380617436,0.014421856852083081,0.014421856852083081,0.014421856852081305,0.014421856852081305,-0.020346010270160697,0.020346010270160697,0.0015209478597854,0.0009877453242044,0.9999969118677938,True,True,True,True,LOW_2,LOW_2_direct_exp_rank_4
126,0.33,2.195,4.91,4.2615,4.2615,1.6629195649406574,2.277904328018223,5.924419564940657,11.444353107108954,4.2615,1.7042518671191669,2.277904328018223,5.965751867119167,11.058636942916824,0.04133230217850947,0.04133230217850947,0.04133230217850947,0.04133230217850947,-0.3857161641921305,0.3857161641921305,0.0128793858638571,0.0058618790241108,0.9995322908721102,True,True,True,True,LOW_2,LOW_2_direct_exp_rank_4
129,0.39,2.18,6.11,4.593,4.593,5.057943521426855,2.293577981651376,9.650943521426855,7.34235077378404,4.593,4.872230791578016,2.293577981651376,9.465230791578016,7.672852276431304,-0.18571272984883969,0.18571272984883969,-0.18571272984883969,0.18571272984883969,0.3305015026472642,0.3305015026472642,0.024584321889365,0.0143535358876495,0.999109648666568,True,True,True,True,LOW_2,LOW_2_direct_exp_rank_4
132,0.38,2.2025,4.61,3.49275,3.49275,3.5417527605950667,2.270147559591374,7.034502760595067,7.697329513236288,3.49275,3.633361198080878,2.270147559591374,7.126111198080879,7.4747930636662545,0.09160843748581149,0.09160843748581149,0.09160843748581193,0.09160843748581193,-0.2225364495700335,0.2225364495700335,0.0120321148285089,0.0071078532426742,0.9996137633931522,True,True,True,True,LOW_2,LOW_2_direct_exp_rank_4
135,0.42,2.1925,4.74,4.255,4.255,1.6007301765706998,2.280501710376283,5.8557301765707,9.079561652406012,4.255,1.7089015839281556,2.280501710376283,5.9639015839281555,8.460045623857777,0.10817140735745578,0.10817140735745578,0.10817140735745578,0.10817140735745578,-0.6195160285482348,0.6195160285482348,0.0280209721918456,0.0132952158710649,0.9979821378606356,True,True,True,True,LOW_2,LOW_2_direct_exp_rank_4
138,0.99,2.6033333333333335,4.93,4.496666666666667,4.496666666666667,4.9592094785200045,1.9206145966709345,9.455876145186672,3.460965956174455,4.496666666666667,5.193253467628609,1.9206145966709345,9.689920134295276,3.376860661185722,0.23404398910860458,0.23404398910860458,0.23404398910860458,0.23404398910860458,-0.08410529498873309,0.08410529498873309,0.0140708221732621,0.00806600548074,0.999707821367534,True,True,True,True,LOW_2,LOW_2_direct_exp_rank_4
141,1.23,2.5733333333333337,4.22,4.026666666666666,4.026666666666666,3.714553371745124,1.94300518134715,7.74122003841179,3.22230726876678,4.026666666666666,4.690576708045845,1.94300518134715,8.717243374712512,2.932584877699859,0.9760233363007211,0.9760233363007211,0.9760233363007211,0.9760233363007211,-0.2897223910669213,0.2897223910669213,0.0479362373331465,0.0273871861308644,0.996058906021941,True,True,True,True,LOW_2,LOW_2_direct_exp_rank_4
144,0.43,2.1725,4.53,3.8975,3.8975,2.2412867147074325,2.3014959723820483,6.138786714707432,7.955893974394428,3.8975,2.3279297157144248,2.3014959723820483,6.225429715714425,7.642237155616229,0.08664300100699229,0.08664300100699229,0.08664300100699229,0.08664300100699229,-0.31365681877819895,0.31365681877819895,0.0159158526352573,0.0082721503071994,0.9993044357198716,True,True,True,True,LOW_2,LOW_2_direct_exp_rank_4
147,1.84,3.1775,4.39,3.69,3.69,48.191526905344915,1.5735641227380015,51.88152690534491,1.779339325853626,3.69,31.438531557759894,1.5735641227380015,35.1285315577599,1.9140305738235508,-16.75299534758502,16.75299534758502,-16.752995347585014,16.752995347585014,0.1346912479699247,0.1346912479699247,0.0823991036331717,0.0516336735219765,0.9901266346268998,True,True,True,True,LOW_2,LOW_2_direct_exp_rank_4
150,0.4,2.175,5.29,4.25,4.25,3.4798658017251105,2.298850574712644,7.7298658017251105,7.755705088302538,4.25,3.461385331264588,2.298850574712644,7.711385331264588,7.803310524898594,-0.01848047046052237,0.01848047046052237,-0.01848047046052237,0.01848047046052237,0.047605436596056094,0.047605436596056094,0.0028658706726439,0.0015856861888997,0.9999831211779228,True,True,True,True,LOW_2,LOW_2_direct_exp_rank_4
153,1.3,2.566666666666667,4.2,3.9333333333333336,3.9333333333333336,6.732843008196392,1.948051948051948,10.666176341529724,2.832743127876559,3.9333333333333336,7.247007404436141,1.948051948051948,11.180340737769477,2.759941171850983,0.5141643962397495,0.5141643962397495,0.5141643962397531,0.5141643962397531,-0.07280195602557571,0.07280195602557571,0.0149717665202304,0.0088380391616817,0.9996158432563078,True,True,True,True,LOW_2,LOW_2_direct_exp_rank_4
156,0.67,2.1775,4.06,3.745,3.745,2.1627193549790276,2.296211251435132,5.907719354979028,5.4890381882934465,3.745,2.384829541326683,2.296211251435132,6.129829541326683,5.130547788486021,0.22211018634765534,0.22211018634765534,0.22211018634765534,0.22211018634765534,-0.35849039980742514,0.35849039980742514,0.0278066862699286,0.01478185057607,0.9980814513968402,True,True,True,True,LOW_2,LOW_2_direct_exp_rank_4
159,0.32,2.1825,5.06,4.11975,4.11975,2.410582651104151,2.290950744558992,6.530332651104151,10.626543938716322,4.11975,2.4246204907310887,2.290950744558992,6.5443704907310885,10.537972533058408,0.014037839626937831,0.014037839626937831,0.014037839626937831,0.014037839626937831,-0.08857140565791433,0.08857140565791433,0.0033326022120877,0.0016671405523935,0.999970944665503,True,True,True,True,LOW_2,LOW_2_direct_exp_rank_4
162,0.24,2.175,6.09,4.409,4.409,3.4511384121172206,2.298850574712644,7.86013841211722,13.515323404054092,4.409,3.2183281200978557,2.298850574712644,7.627328120097856,15.785117959254569,-0.23281029201936487,0.23281029201936487,-0.23281029201936398,0.23281029201936398,2.269794555200477,2.269794555200477,0.0684660364178944,0.0324682689541127,0.991434409843554,True,True,True,True,LOW_2,LOW_2_direct_exp_rank_4
165,0.23,2.1675,5.85,4.43275,4.43275,2.80147060168731,2.306805074971165,7.23422060168731,14.978792929839672,4.43275,2.6176140656615203,2.306805074971165,7.050364065661521,17.61627579738489,-0.18385653602578955,0.18385653602578955,-0.18385653602578955,0.18385653602578955,2.637482867545218,2.637482867545218,0.0655323231560713,0.0288029888423463,0.9907256516871366,True,True,True,True,LOW_2,LOW_2_direct_exp_rank_4
