dataset,model_name,n_rows,rmse_d,r2_d,rmse_b,r2_b,rmse_e,r2_e,rmse_tau_u,mean_curve_rmse_tau_u,median_curve_rmse_tau_u,max_curve_rmse_tau_u,valid_curve_count,r2_tau_u,constraint_ok_count,d_positive_count,b_positive_count
FULL,FULL_direct_poly_rank_2,299,27.62860181300519,0.8857421175470755,27.628601813005172,0.8810724450765903,3.9699054564765595,0.8332682719287332,0.10222034233882053,0.02738398020854237,0.0064452637901513,1.5737323124192026,299,0.9996764169259208,299,299,299
FULL,FULL_direct_poly_rank_4,299,27.479027034035536,0.8869758996064261,27.479027034035518,0.8823566512991884,4.273053278806217,0.8068322866305868,0.06521768997187868,0.03222452327572379,0.0082445533091879,0.4042287427322658,299,0.9998682829613051,299,299,299
FULL,FULL_direct_poly_rank_5,299,26.094823909695737,0.8980758502199309,26.09482390969572,0.8939102523102925,4.111050196001416,0.8212016600724956,0.12829387093358866,0.03253190555105123,0.0068117684354138,2.0150821502446825,299,0.999490290236665,299,299,299
FULL,FULL_direct_poly_rank_3,299,28.156147582842944,0.8813371370726705,28.156147582842927,0.8764874348693321,4.327640347324974,0.8018654351633184,0.08704654388351145,0.034843437935768495,0.0085221431874863,1.0321408734874746,299,0.9997653534358866,299,299,299
FULL,FULL_direct_poly_rank_1,299,27.558906373303024,0.8863178404466472,27.558906373303007,0.8816716975333097,4.353413910799873,0.7994983991673061,0.10438848008147095,0.03697196403453127,0.0075481245378952,1.4069317175387637,299,0.9996625446772126,299,299,299
FULL,FULL_direct_exp_rank_4,299,48.30513989640357,0.650735017900281,48.305139896403546,0.6364607023187054,6.573171222128683,0.5429035867003135,0.26947190021241624,0.10496621323758686,0.0302780350758281,2.8564374032195854,299,0.997751265908023,299,299,299
FULL,FULL_direct_exp_rank_2,299,46.50245604586287,0.6763168155051582,46.50245604586285,0.6630880174271145,7.073416182873571,0.4706823856227318,0.27649049088296607,0.10912300576620287,0.0297796642932665,2.946682839718948,299,0.9976326005985261,299,299,299
FULL,FULL_direct_exp_rank_3,299,57.65628880728183,0.5024213639563442,57.65628880728182,0.4820855305875432,6.839645397850206,0.5050912916926871,0.4436359231117042,0.11151110771591087,0.0287664986666174,7.034398621931595,299,0.99390512861407,299,299,299
FULL,FULL_direct_exp_rank_1,299,47.93341726481081,0.6560897341556993,47.93341726481079,0.6420342636161318,7.072847289357855,0.4707675250352835,0.36380022691421865,0.11288772726699216,0.0263626770177557,5.197426618228049,299,0.995901385561974,299,299,299
FULL,FULL_direct_exp_rank_5,299,46.49460279429056,0.6764261323478544,46.494602794290536,0.6632018020040269,7.011769285044134,0.4798684972842828,0.36666145876057504,0.1146396125549562,0.0308356597478942,5.284061592448748,299,0.9958366621168873,299,299,299
HIGH,HIGH_direct_poly_rank_1,67,67.64319558095163,0.8186430702493523,67.64319558095158,0.8191365000217021,0.3624152850644655,0.9801963127528263,0.09976576299779295,0.07298287310522629,0.0575524752894486,0.433165107295733,67,0.9994375842800111,67,67,67
HIGH,HIGH_direct_poly_rank_5,67,51.2823329296834,0.8957631040619984,51.282332929683356,0.8960467082667226,0.4725928952430344,0.9663250140071288,0.10616701160749754,0.07789005609225454,0.0694935754987789,0.4296987881494586,67,0.9993630965808116,67,67,67
HIGH,HIGH_direct_poly_rank_2,67,48.92472080567148,0.9051269998538547,48.924720805671434,0.9053851270890734,0.3330994496559482,0.9832705802738541,0.18875336795282885,0.09410098622719837,0.0556080930424754,1.1558370525311312,67,0.9979868144083698,67,67,67
HIGH,HIGH_direct_poly_rank_3,67,66.32925344389427,0.825620213811112,66.32925344389425,0.8260946604083271,0.40483816500163283,0.9752886801278644,0.15818402691230746,0.10875760299002302,0.0793522379853526,0.6273939897364704,67,0.9985860968928447,67,67,67
