Dataset,Model_Family,Features,Feature_List,N_Features,R2_train_z,RMSE_train_z,R2_val_z,RMSE_val_z,R2_cv_mean_z,R2_cv_std_z,R2_train_e_gap,RMSE_train_e_gap,R2_val_e_gap,RMSE_val_e_gap,R2_test_e_gap,RMSE_test_e_gap,R2_train_e,RMSE_train_e,R2_val_e,RMSE_val_e,R2_test_z,RMSE_test_z,R2_test_e,RMSE_test_e,RMSE_train_tau_u,R2_train_tau_u,RMSE_val_tau_u,R2_val_tau_u,RMSE_test_tau_u,R2_test_tau_u,Valid_curve_count_train,Valid_curve_count_val,Valid_curve_count_test,Target_Mode,Target_Used_For_Training,Reconstructed_Gap_Formula,Reconstructed_E_Formula,Selection_Score
HIGH,exponential,u_r_x_tau_r + u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p + u_r_div_tau_r + tau_p_div_u_p,"['u_r_x_tau_r', 'u_p_div_u_r', 'u_r_div_u_p', 'tau_r_div_tau_p', 'u_r_div_tau_r', 'tau_p_div_u_p']",6,0.9484803723506053,0.32832415248079294,0.9002129041609763,0.41377143536974126,0.9150864200232869,0.028631529070085246,0.9573156869639454,0.525022834986461,0.9447600724441325,0.4083207377424182,0.7607913849812691,1.2654374859651198,0.9607381384014646,0.5250228349864609,0.9468195691809002,0.4083207377424182,0.9451189945499956,0.307569407780078,0.7781629936732305,1.2654374859651198,0.23765114618389938,0.997198573849101,0.19507831959951624,0.995111823126189,0.2602529038161384,0.9961135659517774,42,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.2948929612656113
HIGH,exponential,u_r_x_tau_r + u_p_div_u_r + tau_r_div_tau_p + u_r_div_tau_r + tau_p_div_u_r + tau_p_div_u_p,"['u_r_x_tau_r', 'u_p_div_u_r', 'tau_r_div_tau_p', 'u_r_div_tau_r', 'tau_p_div_u_r', 'tau_p_div_u_p']",6,0.9511863338206115,0.31958558897166983,0.8882406985562145,0.43789012718355885,0.9269354228160208,0.0180411334789788,0.9472220445328642,0.5838083816136989,0.9711934094474816,0.29486336475968283,0.9265944502035569,0.7009979291676847,0.9514538097109813,0.5838083816136989,0.9722673985322846,0.29486336475968283,0.9632742608543197,0.2516039062261256,0.9319252468673069,0.7009979291676847,0.2456062435415496,0.9970078858530264,0.18962274760527711,0.9953814061762172,0.21010583948067654,0.9974669930565885,42,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.289904296616327
HIGH,exponential,u_r_x_tau_r + u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p,"['u_r_x_tau_r', 'u_p_div_u_r', 'u_r_div_u_p', 'tau_r_div_tau_p']",4,0.9345390810327145,0.37009014706650173,0.8765113709516559,0.4602955739448023,0.9023500817940008,0.03129753643470002,0.9665164368938934,0.4650074146893877,0.9675096610980046,0.31314970572210254,-15.824311970767493,10.612579179832931,0.9692011671972478,0.4650074146893877,0.9687209904734362,0.3131497057221025,0.7462871934287949,0.6613072767537209,-14.60251080760801,10.612579179832931,0.3601825569549492,0.9935650569808341,0.20658612163921106,0.9945180990388414,0.21412360838580694,0.9973691914701709,42,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.2845566582051862
HIGH,exponential,u_r_x_tau_r + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_u_r + tau_p_div_u_p,"['u_r_x_tau_r', 'u_p_div_u_r', 'tau_r_div_tau_p', 'tau_p_div_u_r', 'tau_p_div_u_p']",5,0.9482390686928263,0.3290921439358199,0.8721736311398907,0.4683101173613116,0.9267572530142711,0.016924251769530486,0.952451718011951,0.5541297402142412,0.9858445364291243,0.20669831459112775,0.9531578609718346,0.5599775891633798,0.9562641651258149,0.5541297402142412,0.9863722911225419,0.20669831459112775,0.9692978081588927,0.23004711823398433,0.9565595917557699,0.5599775891633798,0.23325351630575933,0.9973012929045174,0.19812129806184214,0.9949581348053815,0.1635838669406296,0.9984645309220717,42,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.2838598324700732
HIGH,exponential,u_r_x_u_p + u_r_x_tau_r + u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p + sigma_n_div_tau_p,"['u_r_x_u_p', 'u_r_x_tau_r', 'u_p_div_u_r', 'u_r_div_u_p', 'tau_r_div_tau_p', 'sigma_n_div_tau_p']",6,0.9450139633482558,0.3391897210200177,0.8860032747718928,0.4422516909161593,0.9171334812077822,0.02837992801067929,0.9622730484898362,0.4935940336980787,0.9428834052139159,0.41519875343533413,-13.608397600967297,9.889027336805876,0.9652980159836346,0.49359403369807864,0.9450128692769932,0.41519875343533413,0.7477370951988107,0.6594149710433869,-12.547518724507432,9.889027336805876,0.17767407342220443,0.99843415968496,0.19790480584915274,0.9949691475354043,0.31063169971990645,0.9944632912271273,42,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.2817320225747157
HIGH,exponential,u_r_x_tau_r + u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p + tau_p_div_u_p,"['u_r_x_tau_r', 'u_p_div_u_r', 'u_r_div_u_p', 'tau_r_div_tau_p', 'tau_p_div_u_p']",5,0.9378953882676887,0.36047769682813324,0.876358730937544,0.46057996379312904,0.9136865781550144,0.024270238640240912,0.9689219457924882,0.4479927178100494,0.9846326374123432,0.215364717833275,0.19979249552031642,2.314480878213072,0.9714138010838679,0.4479927178100494,0.9852055750410176,0.21536471783327504,0.9308502465918703,0.34524502146525204,0.2579044980462435,2.314480878213072,0.21443815102974587,0.9977191146289079,0.20765043665394478,0.9944614689146716,0.17194399012495723,0.9983035770628813,42,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.280774996151027
HIGH,exponential,u_r_x_tau_r + u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p + u_r_div_tau_p + u_r_div_tau_r,"['u_r_x_tau_r', 'u_p_div_u_r', 'u_r_div_u_p', 'tau_r_div_tau_p', 'u_r_div_tau_p', 'u_r_div_tau_r']",6,0.9441747883661283,0.3417682094919883,0.8966949119062104,0.4210020111398441,0.8936988839245421,0.05574796165496706,0.966040895761673,0.4682978432349115,0.9221051020268793,0.48487455452761125,-8.556057663834087,7.998189101707541,0.9687637552116811,0.4682978432349115,0.9250092384963605,0.4848745545276113,0.7973469976249603,0.5910287782217886,-7.862085607848789,7.998189101707541,0.23685431132968277,0.9972173284957443,0.20519937593314397,0.9945914484745971,0.3935083032481628,0.9911147851108086,42,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.2779695577029848
HIGH,exponential,u_r_x_tau_r + u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p + u_p_div_tau_r + tau_p_div_u_p,"['u_r_x_tau_r', 'u_p_div_u_r', 'u_r_div_u_p', 'tau_r_div_tau_p', 'u_p_div_tau_r', 'tau_p_div_u_p']",6,0.9588227180844312,0.2935251454721537,0.8783003172782267,0.4569493220085649,0.9221086199797129,0.022200728398264393,0.9598771337180472,0.509026063337055,0.9570091392981095,0.3602159650816494,0.953311080513086,0.5590610022169294,0.9630942069615142,0.509026063337055,0.9586119570649654,0.3602159650816494,0.9584810816362687,0.2675193017593785,0.9567016843151842,0.5590610022169294,0.24156471341700056,0.9971055480662049,0.19572908687696078,0.9950791555138617,0.4023196712914885,0.9907124178121907,42,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.2771345544282566
HIGH,exponential,sigma_n_x_tau_r + u_r_x_tau_r + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_u_r + tau_p_div_u_p,"['sigma_n_x_tau_r', 'u_r_x_tau_r', 'u_p_div_u_r', 'tau_r_div_tau_p', 'tau_p_div_u_r', 'tau_p_div_u_p']",6,0.9514958962840538,0.31857061654178476,0.8780408000654085,0.457436270945611,0.9177032005083854,0.009024315480543992,0.9600696008310967,0.5078037111140492,0.9767209304060599,0.2650682412605013,0.924507136163101,0.7108946362688779,0.9632712419567462,0.5078037111140491,0.9775888382760551,0.2650682412605014,0.9641807224595237,0.24847947329744752,0.9299895160076038,0.7108946362688779,0.17694459177880825,0.9984469911223903,0.19062093523742663,0.9953326529800661,0.1555173129270573,0.9986122295941042,42,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.2759899687715468
HIGH,exponential,u_r_mm + u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p,"['u_r_mm', 'u_p_div_u_r', 'u_r_div_u_p', 'tau_r_div_tau_p']",4,0.928289004858107,0.38735516277767695,0.8668719533803878,0.4779231790635511,0.9014056660157902,0.026886022889026594,0.9706141204154184,0.43562559830683173,0.9829309197414816,0.22697600483678723,-4.481340728627591,6.05753157757075,0.972970296225067,0.43562559830683173,0.983567302094744,0.22697600483678718,0.8498248396668109,0.5087813213951168,-4.08327937018708,6.05753157757075,0.3378320522334884,0.9943388970243083,0.22832287785717448,0.9933038101267477,0.20929438528658417,0.9974865208333911,42,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.2748861840993804
