Dataset,Model_Family,Features,Feature_List,N_Features,R2_train_z,RMSE_train_z,R2_val_z,RMSE_val_z,R2_cv_mean_z,R2_cv_std_z,R2_train_e_gap,RMSE_train_e_gap,R2_val_e_gap,RMSE_val_e_gap,R2_test_e_gap,RMSE_test_e_gap,R2_train_e,RMSE_train_e,R2_val_e,RMSE_val_e,R2_test_z,RMSE_test_z,R2_test_e,RMSE_test_e,RMSE_train_tau_u,R2_train_tau_u,RMSE_val_tau_u,R2_val_tau_u,RMSE_test_tau_u,R2_test_tau_u,Valid_curve_count_train,Valid_curve_count_val,Valid_curve_count_test,Target_Mode,Target_Used_For_Training,Reconstructed_Gap_Formula,Reconstructed_E_Formula,Selection_Score
FULL,polynomial,u_r_mm + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p,"['u_r_mm', 'u_r_x_u_p', 'u_p_div_u_r', 'tau_r_div_tau_p']",4,0.9848126177281294,0.18285628581709398,0.9710146073645362,0.2696058376616154,0.9788231307844368,0.008938236922727839,0.7620969004035922,4.784094365606416,0.5999515527543244,6.065587036539845,0.9781610174204064,0.8649514190709137,0.7926693325156793,4.784094365606416,0.6161077452845486,6.065587036539846,0.9126589952612417,0.43953530801780505,0.9821516078621141,0.8649514190709137,0.0933038915433036,0.99976396889523,0.07551531131441086,0.9996845444870983,0.19039188267722976,0.9986970471690304,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4195323490644818
FULL,polynomial,u_r_mm + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p + tau_r_div_u_r,"['u_r_mm', 'u_r_x_u_p', 'u_p_div_u_r', 'tau_r_div_tau_p', 'tau_r_div_u_r']",5,0.9865662635692225,0.1719756040339204,0.9729355629602069,0.26051887653792843,0.9776017293709469,0.007797362797327074,0.7904541812080073,4.489926038167255,0.6132367160209713,5.964020999345323,0.9846884913206378,0.7242433347061409,0.817382478192191,4.489926038167256,0.6288563793957666,5.964020999345323,0.9565779974061769,0.3099128618722695,0.9874863304581205,0.724243334706141,0.08611679221364528,0.9997989308638005,0.06727687157565838,0.999749619983467,0.08666577619239041,0.9997300227936737,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4109566913659477
FULL,polynomial,u_r_mm + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p + u_r_div_tau_r,"['u_r_mm', 'u_r_x_u_p', 'u_p_div_u_r', 'tau_r_div_tau_p', 'u_r_div_tau_r']",5,0.9854570390448699,0.1789348159649927,0.9719376256804968,0.2652784091004872,0.97925572784343,0.00838368345742654,0.7651988762756622,4.752802554397079,0.6178546428557885,5.928309080855837,0.9807703231616113,0.8116363843297137,0.7953726799254759,4.75280255439708,0.6332878085312488,5.928309080855839,0.9164259273606955,0.4299524808178719,0.9842841207622425,0.8116363843297136,0.07420258151942888,0.9998507178940905,0.0762278797341796,0.9996785630729865,0.18121078736144497,0.998819679549619,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4107271212564692
FULL,polynomial,u_r_mm + sigma_n_x_u_r + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p,"['u_r_mm', 'sigma_n_x_u_r', 'u_r_x_u_p', 'u_p_div_u_r', 'tau_r_div_tau_p']",5,0.9854597387020182,0.17891820706819775,0.9729796809533666,0.26030645279968717,0.9774590176242983,0.010310243320757492,0.7690971115090697,4.713183733531815,0.6432336320145093,5.728072391103745,0.9767057561911857,0.8933051195422493,0.7987699610635711,4.713183733531815,0.6576418522417528,5.728072391103745,0.8893925299415204,0.4946259591350025,0.980962263395744,0.8933051195422492,0.06285340735952488,0.9998928906518798,0.07652793124776636,0.9996760275844615,0.25143099869047514,0.9977276800684654,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.41067816543344
FULL,polynomial,u_r_mm + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p + tau_r_div_u_p,"['u_r_mm', 'u_r_x_u_p', 'u_p_div_u_r', 'tau_r_div_tau_p', 'tau_r_div_u_p']",5,0.9858122121548385,0.17673630651694375,0.9726619288076143,0.26183254844573645,0.9770010587465301,0.008589308595237188,0.7860412177623396,4.536957864941346,0.6140845707294462,5.957480309220316,0.9800470223218885,0.8267598407712918,0.8135366154929393,4.536957864941347,0.629669992991691,5.957480309220316,0.9584558012473322,0.3031376431391905,0.9836929871334672,0.8267598407712918,0.11552796111725186,0.999638137198445,0.07828497160593165,0.9996609803399398,0.08964196666690125,0.9997111618271196,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4103035273213556
FULL,polynomial,u_r_mm + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_u_p,"['u_r_mm', 'u_r_x_u_p', 'u_p_div_u_r', 'tau_r_div_tau_p', 'tau_p_div_u_p']",5,0.9861556267706695,0.17458425795647597,0.972302359073687,0.263548827296175,0.9775612231603065,0.0084065547040495,0.7952034577438956,4.4387531873712085,0.6158248045214616,5.944032903652184,0.9781834943694903,0.864506195172292,0.8215214350865054,4.438753187371209,0.6313399464154537,5.944032903652183,0.953462418113136,0.32083857794461546,0.9821699776465054,0.864506195172292,0.07237883254431414,0.9998579658191022,0.07584237438137169,0.9996818060417955,0.09640813761246879,0.9996659132714858,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4102423151834351
FULL,polynomial,u_r_mm + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_u_r,"['u_r_mm', 'u_r_x_u_p', 'u_p_div_u_r', 'tau_r_div_tau_p', 'tau_p_div_u_r']",5,0.9863491305925902,0.17335987608160935,0.9721090236616372,0.26446704112505076,0.9776559739364792,0.007155340478967889,0.785295970009602,4.544852419386451,0.6056416958269457,6.022295195515605,0.9822469713963513,0.7798511932424461,0.8128871379776048,4.544852419386451,0.6215680885725721,6.022295195515607,0.9527590646476602,0.323254009205957,0.985490944232489,0.7798511932424461,0.06549816141929644,0.9998836870844771,0.06774475467991492,0.9997461252924437,0.09537077582496468,0.9996730642082396,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.41022147658198
FULL,polynomial,u_r_mm + u_r_x_u_p + u_p_x_tau_r + u_p_div_u_r + tau_r_div_tau_p,"['u_r_mm', 'u_r_x_u_p', 'u_p_x_tau_r', 'u_p_div_u_r', 'tau_r_div_tau_p']",5,0.9865875911235833,0.1718390345847827,0.9713795590645169,0.26790317333465224,0.9783735430176735,0.005646407161621214,0.7748702160129206,4.6538905416933565,0.6318199950408068,5.81897704521461,0.9785191974213355,0.8578290837851986,0.8038011759248769,4.6538905416933565,0.6466891617301269,5.818977045214612,0.9780080806687679,0.22055466239615057,0.9824443383997769,0.8578290837851986,0.054129387179428334,0.9999205606020382,0.07777049137725754,0.999665421697654,0.038450159123865214,0.999946859196107,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4100016898571914
FULL,polynomial,u_r_mm + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p + u_p_div_tau_r,"['u_r_mm', 'u_r_x_u_p', 'u_p_div_u_r', 'tau_r_div_tau_p', 'u_p_div_tau_r']",5,0.9854170150860321,0.1791808717390226,0.9711461632757832,0.26899331226672546,0.9791283345428317,0.008144782657849623,0.7658092632768565,4.746620861795895,0.6069398872061836,6.012374602560414,0.9799386597809983,0.8290018241351139,0.795904627363723,4.746620861795895,0.6228138517271576,6.012374602560414,0.9079137520764662,0.45131738695408447,0.983604425447234,0.8290018241351137,0.07244941612031798,0.9998576886615864,0.07620803863375125,0.9996787303826995,0.19206672258163696,0.9986740227026467,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.409895852281414
FULL,polynomial,u_r_mm + tau_r_MPa + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p,"['u_r_mm', 'tau_r_MPa', 'u_r_x_u_p', 'u_p_div_u_r', 'tau_r_div_tau_p']",5,0.9866524622116055,0.17142296850267996,0.9723483472314656,0.26332994294751877,0.9766070888961531,0.00938221646218904,0.7858830905454358,4.538634085027663,0.6194820605438193,5.915672359696791,0.9840521979900348,0.7391386838022905,0.8133988088755235,4.538634085027663,0.6348495019959363,5.915672359696792,0.9809399474825997,0.20532731237879132,0.9869663056429564,0.7391386838022905,0.06515341649813307,0.9998849082717222,0.07474996418397781,0.999690906362768,0.062109944192977405,0.9998613390679484,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4097136700333233
FULL,polynomial,u_r_mm + u_r_x_u_p + tau_p_x_tau_r + u_p_div_u_r + tau_r_div_tau_p,"['u_r_mm', 'u_r_x_u_p', 'tau_p_x_tau_r', 'u_p_div_u_r', 'tau_r_div_tau_p']",5,0.9863359744597127,0.17344339443638712,0.9713483796579023,0.26804906186679767,0.9778721380404891,0.008070543802348817,0.7772416205430944,4.629314775659313,0.6170150739906044,5.934817720706892,0.9788133811100485,0.8519347667982493,0.8058678361951734,4.629314775659314,0.6324821461499461,5.934817720706892,0.9675267822852649,0.26800774100779623,0.9826847665340813,0.8519347667982494,0.045180822225185956,0.9999446550519744,0.07680251009720078,0.9996736986162871,0.08380096965419757,0.9997475764182977,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4094773942979117
FULL,polynomial,u_r_mm + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p + u_r_div_tau_p,"['u_r_mm', 'u_r_x_u_p', 'u_p_div_u_r', 'tau_r_div_tau_p', 'u_r_div_tau_p']",5,0.9854319300905386,0.17908921810270226,0.969525866731011,0.276442860980308,0.979333109743545,0.008592968124172906,0.7644842199594538,4.760030032043322,0.6025724808817872,6.045684957678586,0.9804015819808317,0.8193812522192898,0.794749862604841,4.760030032043322,0.6186228256835008,6.045684957678586,0.9185855642698679,0.42436092231351497,0.9839827588664695,0.8193812522192898,0.07961411002265897,0.999828149890633,0.07726328025122663,0.9996697716367,0.1714279590708976,0.9989436808663626,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4083331247903663
FULL,polynomial,sigma_n_MPa + u_r_mm + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p,"['sigma_n_MPa', 'u_r_mm', 'u_r_x_u_p', 'u_p_div_u_r', 'tau_r_div_tau_p']",5,0.985447294044652,0.17899475657180036,0.9725975231293408,0.26214079225474196,0.9739887634041375,0.014379620885435143,0.7689673290706032,4.714508105335578,0.6368245823991816,5.779293714146278,0.9764664696487123,0.8978815666900598,0.7986568566961179,4.714508105335579,0.6514916358758324,5.779293714146278,0.888398124418681,0.4968444269518872,0.9807667011699023,0.8978815666900598,0.06270191475923112,0.9998934063508572,0.0761837226449013,0.99967893536743,0.25359083292836465,0.9976884731769409,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.408153942742866
FULL,polynomial,tau_peak_MPa_csds + u_r_mm + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p,"['tau_peak_MPa_csds', 'u_r_mm', 'u_r_x_u_p', 'u_p_div_u_r', 'tau_r_div_tau_p']",5,0.9863759449677308,0.17318952715966932,0.971227472239712,0.2686140386577518,0.9741728903981336,0.00595596676700722,0.7838260844050704,4.5603831442194736,0.6043249061527667,6.032341246642776,0.9806465591426576,0.8142440794848423,0.8116061443124101,4.560383144219474,0.6203044782261578,6.032341246642776,0.9798536469630028,0.21109740572346117,0.9841829718769959,0.8142440794848423,0.0485578313231526,0.9999360724165406,0.07458074135334902,0.9996923042629442,0.058110605349373526,0.9998786212568229,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.407718320762078
FULL,polynomial,u_r_mm + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p + u_p_div_tau_p,"['u_r_mm', 'u_r_x_u_p', 'u_p_div_u_r', 'tau_r_div_tau_p', 'u_p_div_tau_p']",5,0.9853277645825125,0.17972834501873308,0.9690190427235958,0.27873218170212033,0.9787927567382189,0.008066818472868026,0.7643448269349618,4.76143846597992,0.5947944506562068,6.1045581718741415,0.9780445884498576,0.8672539883006661,0.7946283826877671,4.76143846597992,0.6111589157968333,6.1045581718741415,0.8920488180721524,0.48865053306650785,0.9820564537076113,0.8672539883006661,0.07842224774547522,0.999833256737202,0.07717338524818632,0.9996705396240292,0.21808225423382335,0.9982904866668638,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4076087392454184
FULL,polynomial,u_r_mm + u_r_x_u_p + u_p_x_tau_p + u_p_div_u_r + tau_r_div_tau_p,"['u_r_mm', 'u_r_x_u_p', 'u_p_x_tau_p', 'u_p_div_u_r', 'tau_r_div_tau_p']",5,0.9861689116388791,0.17450047353785142,0.9711538613648717,0.2689574266991284,0.9725742236976019,0.0056704419085660766,0.7819213806124086,4.580429803046864,0.6227030260267222,5.890581992100333,0.9789689938976667,0.8488003291284392,0.8099462100393284,4.580429803046864,0.6379403868877679,5.890581992100333,0.985166507039608,0.18113667480209547,0.9828119445308107,0.8488003291284392,0.05028642794755265,0.9999314399228623,0.07709188481384878,0.9996712351224917,0.046829888937493895,0.9999211724383846,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.406873929022816
FULL,polynomial,u_r_mm + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_sigma_n,"['u_r_mm', 'u_r_x_u_p', 'u_p_div_u_r', 'tau_r_div_tau_p', 'tau_p_div_sigma_n']",5,0.9855655015213578,0.17826631266155832,0.9696552929845192,0.2758551981014887,0.9766849742012512,0.011467106859621552,0.7719874191736101,4.683592397843303,0.5888757822974288,6.148979914296627,0.9852346605802084,0.7112089807060527,0.8012888413065811,4.683592397843304,0.6054792763511416,6.148979914296627,0.9509965255225298,0.32922902277921645,0.9879326993804338,0.7112089807060527,0.07223934413612394,0.9998585127478148,0.07262302848226733,0.9997082460137325,0.10335133072697612,0.9996160594498901,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4068510693991827
FULL,polynomial,u_r_mm + tau_r_MPa + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_u_p,"['u_r_mm', 'tau_r_MPa', 'u_r_x_u_p', 'u_p_div_u_r', 'tau_r_div_tau_p', 'tau_p_div_u_p']",6,0.9878272797401612,0.16370511631264353,0.977458834042501,0.23775402937793616,0.9785469384241718,0.008256381457630996,0.8276838343818821,4.071577430466923,0.6504399215909343,5.669926882520064,0.9819452245437713,0.7864508033116364,0.8498278261336172,4.071577430466923,0.6645571115626502,5.669926882520065,0.9787165266556269,0.21697311696665258,0.9852443349350277,0.7864508033116364,0.05074729010403195,0.9999301774934432,0.07665908927479899,0.9996749161472538,0.06688805346829357,0.9998391841123474,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4059066651088237
FULL,polynomial,u_r_mm + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p + sigma_n_div_u_r,"['u_r_mm', 'u_r_x_u_p', 'u_p_div_u_r', 'tau_r_div_tau_p', 'sigma_n_div_u_r']",5,0.98543313103965,0.17908183615466713,0.9717115526576442,0.2663448190504221,0.9713576190783859,0.016583619101358995,0.7685425644126986,4.718840039885441,0.6255460056418463,5.868346892941066,0.9763519872130008,0.9000628577867505,0.7982866776602142,4.718840039885442,0.6406685510940641,5.868346892941066,0.8908372353835823,0.49138504968649005,0.9806731378641012,0.9000628577867507,0.06300647606446755,0.9998923683237003,0.0756167192728279,0.999683696680789,0.24750110288624408,0.9977981581900384,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4057320002867013
FULL,polynomial,u_r_mm + u_r_x_u_p + u_r_x_tau_p + u_p_div_u_r + tau_r_div_tau_p,"['u_r_mm', 'u_r_x_u_p', 'u_r_x_tau_p', 'u_p_div_u_r', 'tau_r_div_tau_p']",5,0.9857085015901371,0.1773810880678768,0.9708895366251167,0.270186880417886,0.9723991142307377,0.014476241382309662,0.7767938407129512,4.6339652698695435,0.6030548471831382,6.04201495501975,0.9773256479293971,0.8813389371436982,0.8054775996189072,4.6339652698695435,0.6190857113372245,6.04201495501975,0.9875711465278476,0.1658059877028864,0.9814688836463125,0.8813389371436982,0.051310733206547866,0.9999286184186755,0.08082938468843873,0.9996385846176588,0.07158149490118018,0.9998158238607651,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4056414696022543
FULL,polynomial,u_r_mm + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p + sigma_n_div_tau_p,"['u_r_mm', 'u_r_x_u_p', 'u_p_div_u_r', 'tau_r_div_tau_p', 'sigma_n_div_tau_p']",5,0.9849851013671553,0.18181496814300488,0.9689008313535148,0.2792634426013187,0.9752341687217116,0.00950142415673879,0.7625915157704288,4.779118562878009,0.5904568029762793,6.137145256533472,0.9778130637144903,0.8718146902622346,0.7931003858913109,4.779118562878008,0.6069964465772342,6.137145256533472,0.8955185820564665,0.4807332984458068,0.9818672349905123,0.8718146902622343,0.09632209572396981,0.9997484515938626,0.07660691699457368,0.999675358484741,0.235894614213001,0.9979998254916053,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4055677732986966
FULL,polynomial,u_r_mm + u_r_x_u_p + tau_p_x_tau_r + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_u_p,"['u_r_mm', 'u_r_x_u_p', 'tau_p_x_tau_r', 'u_p_div_u_r', 'tau_r_div_tau_p', 'tau_p_div_u_p']",6,0.9874583950974332,0.1661670804723485,0.9767864660596357,0.241273891022827,0.97734387973303,0.0074041740348782985,0.8246095522509314,4.10773724369637,0.6543185033407822,5.63838349595235,0.9781646882161473,0.8648787235274156,0.8471486135999157,4.107737243696371,0.6682790545005587,5.638383495952351,0.9596113482629551,0.298892043230293,0.9821546079012233,0.8648787235274155,0.05339826706615956,0.999922692069105,0.06956423413530162,0.999732305096126,0.08602188467486684,0.9997340195332203,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.404717988522663
FULL,polynomial,u_r_mm + tau_r_MPa + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_u_r,"['u_r_mm', 'tau_r_MPa', 'u_r_x_u_p', 'u_p_div_u_r', 'tau_r_div_tau_p', 'tau_p_div_u_r']",6,0.9877433605651554,0.16426844158894868,0.9758889907175935,0.24589369487074628,0.9780799119360861,0.0075392087954478755,0.8012657647636489,4.372562553871723,0.6370921797447284,5.777164152828165,0.9864329235995403,0.6817398016535097,0.8268046876503965,4.372562553871723,0.6517484261447238,5.777164152828165,0.9917138775228355,0.13538182061718268,0.9889120063685417,0.6817398016535097,0.04480462354081439,0.9999455728756755,0.07592731527121407,0.999681092909771,0.07144241860746146,0.9998165388402867,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4041750258060917
FULL,polynomial,u_r_mm + tau_r_MPa + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p + tau_r_div_u_p,"['u_r_mm', 'tau_r_MPa', 'u_r_x_u_p', 'u_p_div_u_r', 'tau_r_div_tau_p', 'tau_r_div_u_p']",6,0.9874011276638373,0.16654602416068137,0.976192619506692,0.2443405258515113,0.9772981887497949,0.008401427349405095,0.8143585469911605,4.226074674456692,0.6390748479345356,5.761361397667969,0.9791261126112634,0.8456237708751707,0.8382149436876735,4.226074674456692,0.6536510231101116,5.76136139766797,0.9832301804674514,0.1925967128600409,0.9829403532788946,0.8456237708751707,0.059420686100926705,0.9999042706637432,0.07490072963939183,0.9996896582648295,0.06366421431875117,0.999854312394725,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.404001571146649
FULL,polynomial,u_r_mm + u_r_x_u_p + u_r_x_tau_p + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_u_p,"['u_r_mm', 'u_r_x_u_p', 'u_r_x_tau_p', 'u_p_div_u_r', 'tau_r_div_tau_p', 'tau_p_div_u_p']",6,0.9865912833905016,0.17181538039781608,0.9768619573900751,0.24088125542841912,0.9757296208556518,0.007372949713404292,0.8353715465877982,3.9797165065318234,0.6764492032772124,5.454912406001021,0.973612916375383,0.9507606771824805,0.8565276064466267,3.9797165065318234,0.6895159930651769,5.454912406001021,0.980907203862977,0.20550360450668195,0.9784345715652788,0.9507606771824805,0.05323502483356212,0.9999231640181004,0.07866478944253093,0.9996576826934138,0.07024301383935758,0.9998226471747383,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4039894728465605
FULL,polynomial,u_r_mm + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_u_p + tau_r_div_u_p,"['u_r_mm', 'u_r_x_u_p', 'u_p_div_u_r', 'tau_r_div_tau_p', 'tau_p_div_u_p', 'tau_r_div_u_p']",6,0.9873618782531652,0.16680524379441888,0.9764428401575471,0.24305309859067467,0.9755605055665812,0.00658683797908185,0.8342651316641677,3.993067310257133,0.6591295881180459,5.599009405666314,0.9840434049999679,0.7393424217058419,0.8555633746017282,3.9930673102571332,0.6728958407810381,5.599009405666315,0.9699345585603396,0.25788047913587564,0.9869591193771032,0.7393424217058419,0.059789127460268966,0.9999030798328077,0.07649341452856344,0.9996763197638757,0.07251659355505544,0.9998109804925366,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4035644091429296
FULL,polynomial,u_r_mm + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p + sigma_n_div_tau_r,"['u_r_mm', 'u_r_x_u_p', 'u_p_div_u_r', 'tau_r_div_tau_p', 'sigma_n_div_tau_r']",5,0.9852370263087409,0.18028324013192443,0.9664191731256024,0.29019196988566537,0.9760725176872695,0.00922405682090371,0.7678275591739472,4.726123006770346,0.5701583123166563,6.287395946240308,0.9763725653639301,0.899671161863579,0.7976635562563461,4.726123006770346,0.5875177224369605,6.287395946240309,0.8942619054823735,0.48361572749084536,0.9806899558136518,0.899671161863579,0.06826316792439338,0.9998736594970493,0.07585122359731102,0.9996817317843282,0.23886811130980654,0.9979490825114109,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4035330262871466
